Symbol,Market Cap,Volume
CRAI,657250976,32311
CRBU,324166788,404302
CRCT,1364174482,136844
CRDO,1640484215,270098
CRGE,715764785,937876
CRMT,647647742,116883
CRNC,1014864834,298082
CRNX,1008584500,209635
CROX,2952531559,1275408
CRSR,1260232798,587050
CRUS,3893438322,386168
CRVL,2655115100,47444
CRWD,41598845951,3705562
CSCO,1.76405E+11,24337646
CSGP,24296534905,1031894
CSGS,1949195694,132779
CSII,594239242,266429
CSQ,2123418010,254647
CSTL,591133219,225525
CSTR,434480977,40004
CSWC,480664992,368990
CSWI,1643554664,42574
CSX,63792786992,13838774
CTAQ,504443125,4262
CTAS,38546817223,430914
CTBI,742471060,49905
CTIC,662518661,4765547
CTKB,1472071960,634620
CTLP,403199415,194139
CTSH,35455456199,2006491
CTXS,12395972153,494880
CUTR,681853623,531048
CVBF,3547584330,882599
CVCO,1794383385,51385
CVET,2908959391,1026905
CVGW,745879566,79416
CVLG,394937258,122753
CVLT,2858136594,193819
CVT,2411435024,316854
CWST,3789249127,139643
CYRX,1557331940,391017
CYTK,3511740733,7399381
CYXT,2042799067,488941
CZNC,377644267,9951
CZR,8259527336,6301738
DAWN,1434642984,975705
DBX,8225728323,2560840
DCGO,729881465,561909
DCOM,1182805661,105452
DCPH,878030909,725796
DCRD,392347656,372672
DCT,1903037991,1615695
DDOG,31832506350,3821125
DENN,559731940,904478
DFH,1035195083,192475
DGICA,537900813,119190
DGICB,530671200,346
DGII,832561307,141871
DGNU,524348108,6519
DH,2294050736,612120
DHBC,352546875,6064
DHBCU,352546875,601
DHC,451687879,1591314
DHCA,379077132,3921
DHHC,423918750,305
DHIL,557609377,6787
DICE,617785084,206923
DIOD,2757820558,303088
DISA,336531250,80
DISH,9736037891,3632469
DJCO,367278436,1281
DKNG,5147524897,14108426
DLTH,322588299,123454
DLTR,35091371746,1572427
DMLP,917463129,149829
DNAA,316667700,423142
DNAB,309651900,1884
DNAC,313159800,420208
DNAD,309651900,1889
DNLI,3839197970,492902
DNUT,2275232699,352155
DOCU,12240571680,7464699
DOMO,945740018,380763
DORM,3508991718,151123
DRAY,356140625,65998
DRVN,4685185362,505960
DSEY,2103997890,1029740
DSGN,785974692,95187
DSGR,999354605,14937
DSKE,406107290,342491
DTOC,407703750,10
DUOL,3722677646,569572
DVAX,1637009598,1466032
DWAC,900596563,481158
DXCM,30470064715,1981948
DXPE,582954759,61116
DYN,371905366,135896
DZSI,441030155,55451
EA,34279243299,1185860
EAC,338100000,12
EBAY,24011629170,4950808
EBC,3468997737,1450214
EBIX,519509873,478541
EBTC,395799034,7110
ECPG,1427184326,228470
EDIT,864191650,1440321
EEFT,4998938747,507801
EFSC,1566390613,126276
EGAN,318526078,78661
EGBN,1557493030,179855
EGIO,497143817,803635
EGLE,647674454,598666
EGRX,616989207,168837
EMBC,1507374396,578190
EMLD,337024316,145
ENPH,26427726937,2067494
ENSG,4199059958,209675
ENTA,1027970854,211027
ENTF,380472000,200
ENTG,12009346964,2085437
ENVX,1367532626,1862904
EOLS,655212693,227895
EPHY,501924750,341207
EQBK,480153653,34738
EQIX,61260403400,337341
EQRX,2219320840,1272247
ERAS,709211843,360958
ERES,430387500,848
ERIE,10205936436,70871
ERII,1078087178,251006
ESAC,346380000,3
ESPR,406392693,609853
ETAC,762000000,1514
ETSY,10145368827,5654704
EVBG,1145491356,697291
EVCM,1807362452,166837
EVGO,388494412,4141707
EVLV,368482321,272819
EVOP,987087697,187043
EWBC,9323384771,620808
EWCZ,696145881,553129
EWTX,400571567,104379
EXAS,7236622374,1460290
EXC,45158256502,7685372
EXEL,6918377352,2060847
EXFY,1516149980,239956
EXLS,4936009115,215105
EXPD,16369424001,943701
EXPE,15144230908,2661667
EXPI,1880729008,1335008
EXPO,4746340985,206936
EXTR,1170979524,1076508
EYE,2287955418,1099319
EZPW,432848051,236482
FA,1971939630,332963
FANG,21283455169,2391996
FARO,566651211,145844
FAST,28630644032,2918599
FATE,2429255197,1204707
FBMS,600750432,52812
FBNC,1268761114,122556
FCBC,498546821,24338
FCEL,1461383513,9990481
FCFS,3327251426,145082
FCNCA,10762355455,60067
FCUV,506086727,49159
FDUS,432541980,57247
FELE,3413754817,130969
FFBC,1868072749,352350
FFIC,656103805,76924
FFIE,1300284731,15549598
FFIN,5698776219,370894
FFIV,9272780160,328085
FFWM,1179450686,260401
FGEN,1063591979,751737
FHB,2927502189,725708
FHTX,579719956,46278
FIBK,4239592889,437679
FINM,509220000,422989
FISI,405425541,37444
FISV,59843162538,3711294
FITB,23217199748,4771027
FIVE,6269830919,885264
FIVN,6589174870,546720
FIZZ,4618237868,170445
FLGT,1683766311,173868
FLIC,411632173,47245
FLNC,1541849985,796346
FLWS,619091954,617478
FLYW,1972754086,479739
FMAO,435616539,72810
FMBH,741677940,29463
FMIV,420363279,476742
FMNB,517936921,68319
FMTX,340369443,319354
FNKO,1102440892,1378836
FNLC,334239888,13517
FOCS,2256963292,428550
FOLD,3025649786,3773077
FORM,2683835851,822573
FORR,898686360,48717
FOUN,398475000,662
FOX,17030963381,630199
FOXA,18411701831,1507551
FOXF,3500452359,243702
FRG,1309501448,978655
FRME,2157289596,118747
FROG,2167671035,682768
FRPH,586009787,4625
FRPT,2518690855,844030
FRSH,3827787424,1877660
FRST,336346615,41787
FSBC,445105039,7115
FSLR,7263712549,1079760
FSRX,375340000,3113
FSSI,318262500,97351
FTAA,335974930,2449
FTAI,1916325607,618580
FTCI,376464978,1018457
FTCV,336738670,1467626
FTDR,2056449350,4725032
FTNT,45232325482,2661718
FTPA,336367730,2
FTVI,337052797,14
FULT,2345430215,2001224
FWAC,345057960,15312
FWONA,13174211501,95017
FWONK,14437523867,955400
FWRD,2453813280,86956
FWRG,879231361,78856
FYBR,6136323150,1240520
GABC,1029910002,79384
GAIN,481140783,182291
GAMC,350750000,10353
GATE,407187730,1
GBDC,2262658671,641727
GBIO,382489319,151992
GBT,2135219779,1247896
GCBC,397746702,14361
GCMG,1290892257,228220
GDEN,1180085471,191520
GDRX,2442180233,1274549
GDYN,866840363,255389
GERN,630336669,3605305
GEVO,554661872,9814574
GFGD,317116500,4
GFS,20947614757,3541016
GGMC,342244547,10102
GH,4449972239,833629
GHIX,631968750,11295
GIII,964989474,491440
GIIX,409589305,1832
GILD,78218986617,5207604
GLAD,350933715,177128
GLBL,423918750,10175
GLDD,854886535,253759
GLPI,11590026139,1260597
GLUE,471817746,64294
GNTX,6649265635,907154
GNTY,439577949,9630
GO,4191982031,828397
GOEV,478133903,2788735
GOGO,1755076386,853031
GOOD,732013821,194371
GOOG,1.4366E+12,1550583
GOOGL,1.43207E+12,1771915
GOSS,644695654,548605
GPAC,369375000,88203
GPRE,1553833778,1183733
GPRO,874447749,2728904
GRPN,329260697,1212718
GSAQ,321496875,7120
GSBC,752614804,41723
GSEV,673750000,20481
GSHD,950993956,300815
GSRM,390964063,1
GT,3053450779,3398209
GTLB,8027495000,1753701
GTPA,336187500,44
GTPB,562925000,2600
GTYH,376101574,487283
GWRS,309392061,15697
GXII,366750000,6944
HA,751941576,652579
HAAC,544635000,52104
HAFC,693429421,86523
HAIN,2117424178,957273
HALO,6136001766,1084858
HAS,11343639809,1199327
HAYN,398811086,51182
HBAN,17414013374,20518538
HBNC,779081592,132232
HBT,519114197,7302
HCAR,406962000,505
HCAT,834449755,606299
HCCI,659010657,77508
HCIC,423487500,7275
HCII,306875000,63033
HCKT,610547134,93846
HCMA,389677500,150
HCNE,383848438,300549
HCP,5525985123,816735
HCSG,1303033600,368213
HCVI,438662675,216
HDSN,332780907,637657
HEES,1052662837,136833
HERA,1067668407,2223
HFWA,907045292,135117
HIBB,579875153,337982
HIFS,609250692,2893
HIII,735750000,134903
HLAH,319185880,13154
HLIT,898608539,504616
HLMN,1680891027,1488292
HLNE,2537797595,139425
HLTH,452681490,472676
HLVX,350985695,74781
HMCO,378609375,20956
HMPT,532500719,20040
HMST,668279128,138023
HMTV,311085444,368943
HOLX,17491579552,1349210
HON,1.19203E+11,1973117
HONE,722220937,260193
HOOD,7131625458,10369452
HOPE,1702395481,803371
HPK,2659463183,181346
HQY,4865483125,1110276
HRMY,3070507856,394768
HSIC,10645095723,897083
HSII,638856850,88432
HSKA,1056078175,54599
HST,11229148681,6261648
HSTM,670143657,120111
HTBI,395999471,81762
HTBK,657636671,111520
HTLD,1110593642,231165
HTLF,1796496904,93034
HTZ,6849290604,3774542
HUBG,2475078455,162114
HUMA,338885042,200539
HURN,1402222305,265159
HWC,3896969280,310023
HWEL,302812500,101269
HWKN,761787949,50121
HYZN,731307888,2181037
IAC,6896906971,381629
IART,4572432315,423876
IAS,1524783025,266887
IBCP,413794224,88805
IBKR,5484026776,794478
IBOC,2573634410,199329
IBRX,1587847480,1321380
IBTX,2900810727,143781
ICFI,1781431599,72337
ICHR,637028380,414226
ICPT,419845425,546632
ICUI,4019551543,101104
IDCC,1869179772,234064
IDEX,312792348,7113101
IDXX,30111552597,369091
IDYA,553323683,151771
IEA,403500440,206280
IEP,14851127322,404396
IESC,638188407,26814
IGAC,371625000,55918
IGMS,781214028,128097
IHRT,1149360679,559131
III,325264505,225964
IIII,336908000,1103
IIIV,557476240,118933
IIVI,5230211137,2760407
ILMN,30012384000,1118139
ILPT,930042875,364258
IMGN,1016671108,3249475
IMGO,477361910,73835
IMKTA,1664857056,138906
IMVT,325610673,169962
IMXI,836886607,2052118
INBK,362949493,28361
INBX,452052432,243203
INCY,17204294204,1319739
INDB,3813423998,201536
INDI,636212703,1054983
INDT,613511393,26023
INFN,1168508410,1620932
INGN,559476953,138006
INNV,603086277,144259
INO,432887705,6022515
INSM,2496714496,632449
INTA,912801684,60996
INTC,1.48594E+11,40585287
INTU,1.09533E+11,1132842
INVA,1037811588,617303
IOAC,321742200,5
IONS,5396826323,770060
IOSP,2379278595,82612
IOVA,1802720642,4141619
IPAR,2344737410,70123
IPGP,4717297609,313273
IPSC,517294014,36263
IPVI,354703125,200
IRBT,1014406455,392916
IRDM,4881596420,362120
IRMD,420911302,13388
IRTC,3343796621,252453
IRWD,1773750595,2484515
ISEE,1094340800,1550123
ISRG,73980936917,1459694
ITCI,5203872348,896500
ITHX,307081875,172182
ITOS,741734492,343530
ITRI,2177830753,299456
JACK,1217087867,308345
JAMF,3144297085,480244
JANX,491226531,80055
JBHT,16751723437,623000
JBLU,2736330409,8197141
JBSS,847963847,49799
JCIC,424350000,26151
JGGC,304826670,5
JJSF,2708649199,86125
JKHY,13426245176,460147
JMSB,310626870,27202
JOAN,314359265,175375
JOFF,506632500,2893
JOUT,628788254,20518
JUGG,335685000,148
KAIR,339825000,5431
KALU,1258349878,124854
KDNY,1078717978,543722
KDP,51166984230,5867254
KE,492281571,41323
KELYA,740910842,163136
KELYB,721572841,22
KFRC,1327546656,148032
KHC,47297084542,6969373
KIDS,867862753,130823
KIII,355994375,21551
KINZ,343965000,600
KLAC,42272168877,2323216
KLAQ,353625000,62092
KNBE,2850208953,696687
KNSA,701070327,172827
KNTE,560714693,77921
KNTK,4669488949,159541
KOD,402640640,394813
KPTI,375648791,1519802
KRNL,374080625,32839
KRNY,762209139,344527
KROS,675141015,303430
KRT,339929716,10048
KRTX,3768211875,353011
KRUS,489472560,65001
KRYS,1729602761,177843
KTOS,1741221026,726719
KURA,1232767943,775361
KVSA,396397100,55298
KVSC,610623907,26168
KYMR,1091380177,582813
KZR,561260794,3714849
LAMR,8980151206,617564
LANC,3613363380,202890
LAND,764593791,247015
LANDM,598874892,280
LASR,444175364,178528
LAUR,2021758377,815850
LAZR,2153353300,7295420
LBAI,973637508,258655
LBC,668720363,20448
LBRDA,19070646947,279962
LBRDK,19401078948,1001589
LCA,611875000,1431
LCID,28353289741,14070946
LE,383592387,369920
LECO,7283535958,187265
LEGA,422409375,109071
LEGH,323923859,35777
LEGN,8612115308,389515
LESL,2766348366,1699367
LFAC,322790625,2090
LFST,2055035587,845715
LFUS,6142871812,79819
LGIH,2203331040,239242
LGND,1527300087,135181
LGST,480291997,2586
LGTO,355878010,105087
LGVC,346999757,50784
LHCG,4810844575,309267
LILA,1815698294,150187
LILAK,1811170368,837166
LIND,413139596,392261
LITE,5369580000,766640
LITT,413762656,113
LKFN,1705542366,144847
LKQ,14011543749,1144435
LMACA,707250000,58199
LMAT,1018572707,74380
LNT,15066380641,1826290
LNTH,4358263001,1378141
LNW,4646467992,1109230
LOB,1502822329,617294
LOCO,364217186,81893
LOGI,8515818069,625035
LOPE,3082296410,228403
LOVE,430311229,263046
LPLA,14492004031,820265
LPRO,1236297527,733878
LPSN,1072819586,578847
LQDT,454525553,209209
LRCX,54768854110,2949639
LSCC,6231019650,2361825
LSTR,5454376491,198094
LSXMA,12123895461,426900
LSXMB,13657482672,1
LSXMK,12123895461,475628
LTRPB,681200988,14
LUNG,569739749,236276
LUXA,426506250,90240
LVLU,427158237,70805
LWLG,723199726,984458
LYEL,1474349501,1035747
LYFT,4690799288,9723082
LZ,2218673598,2449290
MANH,7398800411,258064
MANT,3906839403,212288
MAR,45553389363,2039263
MARA,588949904,11520399
MASI,7543044427,456474
MASS,673374613,283295
MAT,7783063987,2831190
MATW,898802380,92607
MBIN,1001216337,60720
MBUU,1087277166,135268
MBWM,517288381,28063
MCBC,301092326,78596
MCBS,522546643,33152
MCFT,380192348,77962
MCHP,31140793008,4657482
MCRB,334796454,1622389
MCRI,1131752435,58798
MDB,18323612384,1490611
MDGL,1258638838,133642
MDLZ,87657722851,9481211
MDRX,1758862776,914079
MDXG,404669303,323564
ME,1167850115,1574309
MEDP,4797028870,156035
META,4.33093E+11,31400974
METC,567142100,751582
MGEE,2882220589,81919
MGI,984926590,676806
MGNI,1191148636,1348495
MGPI,2228255256,146645
MGRC,1892124333,67578
MGTX,338459832,144279
MIDD,6889559893,488486
MIRM,638178023,76570
MITK,418191597,330344
MKSI,5361111771,776164
MKTX,9728754309,383778
MLAB,1089770887,29268
MLKN,2001687056,856384
MMAT,308978575,5262717
MMSI,3115162808,273180
MNDT,5146898632,2115798
MNKD,1005210292,4499995
MNRO,1471834055,386897
MNST,50101618388,1817612
MNTK,1339822344,366415
MNTV,1348791096,1668461
MODV,1242175414,57350
MOFG,470727499,17659
MON,306875000,153938
MORF,850728117,288564
MORN,10237397388,179951
MPB,433352444,22644
MPWR,17022362850,772903
MQ,4589639114,6909454
MRCY,3691087360,529467
MRNA,59644039574,4835802
MRSN,449069710,1592017
MRTN,1380798458,291733
MRTX,3952403105,849436
MRVI,3867223433,892204
MSBI,542556321,85764
MSDA,703656250,1549
MSEX,1589810330,108320
MSFT,1.94141E+12,22825198
MSTR,1884092080,782618
MTAC,307656250,49009
MTCH,20417026698,1880956
MTSI,3094054029,485180
MTTR,1020706274,3533326
MU,59909176878,43663026
MUDS,398672656,1096
MULN,515711688,61186882
MVBF,390651508,71259
MVIS,652579389,1843751
MVST,671635781,1183956
MXCT,474192043,234857
MXL,2453829405,1197723
MYGN,1496793164,439907
MYPS,526113611,708302
MYRG,1466637263,143226
NARI,3647592298,320723
NATI,4069016177,836287
NAUT,332312614,132730
NAVI,2117791831,905216
NBIX,9485983704,655901
NBTB,1634245731,150882
NCAC,327730250,51
NCACU,328383750,15163
NCNO,3550605884,617719
NDAC,431443200,187154
NDAQ,25622214857,882275
NDSN,11654189126,294379
NEO,1044225958,2879863
NEOG,2619460393,853969
NESR,622170010,267229
NEWT,471624789,115777
NEXT,565240416,618438
NFBK,650811803,131946
NFE,8221303023,687985
NFLX,79947079308,5194678
NGM,1012906351,589365
NKLA,1987772686,7208832
NKTR,698528085,2373302
NKTX,637969083,514752
NLOK,12923827435,4752464
NMFC,1242846892,369305
NMIH,1456457205,496708
NMRK,1787186707,807050
NODK,363970882,16102
NOVT,4269511823,211837
NPAB,312187500,2094
NRC,979056210,22216
NRDS,566954001,188579
NRIX,598736584,508536
NSIT,2998857951,256812
NSSC,747527539,65247
NSTG,610368309,668596
NTAP,13886334819,2066237
NTCT,2493320269,443813
NTGR,540033491,181826
NTLA,4096867519,1016602
NTNX,3335251646,2080040
NTRA,3556870444,743919
NTRS,20362875326,767727
NTUS,1130860241,183247
NUTX,1987553047,929752
NUVA,2615582168,250758
NUVL,654654714,85591
NVAX,4465392104,6408930
NVDA,3.63075E+11,57661254
NVEE,1799021861,54163
NVSA,338790000,98999
NVTS,457657562,1179043
NWBI,1648502994,880180
NWE,3396110334,301351
NWL,8067385000,2062380
NWLI,751492614,8094
NWS,9428412947,621852
NWSA,9223447448,2006901
NXGN,1182022312,201578
NXST,6809328590,375509
NYMT,1082747248,2734782
OAS,2145305533,1292525
OBNK,943619296,44740
OCFC,1159297504,270835
OCGN,521902454,5324750
OCSL,1228607475,1510520
OCUL,313946821,472611
ODFL,29586464898,810967
ODP,1493124367,304923
OEPW,423271875,524553
OFLX,1078275476,17151
OHPA,506632500,110075
OKTA,15143652319,2424535
OLED,4826248710,542004
OLLI,3832800258,1066292
OLPX,9357544673,1404379
OM,747980247,451079
OMCL,5099145757,10030580
ON,20352245255,11221130
ONB,4411962540,1311352
ONEM,1606713383,1389362
ONEW,465121308,60192
ONYX,330625000,2
OPCH,5136884616,843793
OPEN,3192480681,14340491
OPI,988838500,183763
OPK,1793525917,3204866
OPRX,505179873,101081
OPTN,300959015,192313
ORGN,709994574,1077364
ORGO,645650895,813893
ORLY,41806634059,532478
OSBC,618008526,214115
OSIS,1474129938,84225
OSPN,487054377,141088
OSTK,1117987608,1492332
OTTR,2891665296,219102
OXLC,845310000,1650458
OZK,4548827192,1023671
PAA,7096948598,4615726
PACB,1002993561,5883453
PACW,3201608491,936185
PACX,495578125,7065
PAGP,2045225863,2821537
PAHC,793465681,82760
PANW,50639686968,1174714
PARA,16363824059,6437988
PARAA,18070958421,28480
PATK,1222933573,137211
PAYA,870354342,472748
PAYO,1368084706,1143787
PAYX,41877964000,1693019
PCAR,28819462272,1129109
PCH,3129384633,366760
PCRX,2628516103,436089
PCT,1144257904,2022586
PCTY,9803938744,169042
PCVX,1264826929,311504
PDCE,6082439983,1035745
PDCO,2986256980,869444
PDFS,766845840,155491
PEBO,770141285,87703
PECO,3871461000,529238
PEGA,4046757353,397578
PEGR,321148011,65
PENN,5247616277,2416955
PEP,2.34213E+11,3918397
PETQ,518375065,223725
PETS,412218795,484240
PFBC,1021396558,69189
PFC,921512268,142651
PFDR,398937500,102803
PFG,17124410064,1575373
PFHC,751750565,156866
PFIS,402275124,10585
PFTA,314175473,3
PGC,552395282,39232
PGNY,2705917365,614175
PHAT,354383285,144734
PI,1386551137,333669
PIII,920822413,35739
PINC,4274657199,462046
PLAB,1114366848,1346894
PLAY,1649593591,874812
PLCE,505217301,291899
PLL,643221752,262320
PLMI,391040021,19490
PLMR,1630654145,83435
PLPC,304161588,5330
PLUG,9931784870,12195480
PLUS,1416556392,100769
PLXS,2162135254,124005
PMGM,338100000,2494
PMVP,705486681,1173173
PNFP,5642591492,393243
PNT,656104780,373710
PNTG,367523471,136879
PODD,15702654421,258572
POOL,14085570902,450164
POSH,821080676,894956
POW,339825000,7564
POWI,4088530314,614615
POWW,479434577,2524285
PPBI,2868795389,551606
PPC,7563177673,803419
PPYA,376067306,960
PRAA,1482959212,321115
PRCT,1384391911,285410
PRDO,829478249,598689
PRFT,3127036060,167133
PRGS,1970794688,303066
PRIM,1169537799,265911
PRSR,400562500,94774
