name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
		InvestmentsAndAdvances,"1,699,557,000","1,915,047,000","2,368,615,000","2,322,905,000","1,967,739,000","1,943,463,000","1,661,737,000","1,645,323,000","1,449,147,000","1,487,484,000","1,330,644,000","1,392,016,000","1,291,309,000","1,129,771,000","1,155,326,000","983,725,000","894,175,000","633,872,000","518,954,000","483,003,000","444,928,000","392,698,000","454,569,000","443,328,000","480,677,000","330,570,000","360,614,000","283,062,000","236,389,000","177,577,000","174,802,000","169,322,000","140,288,000","129,163,000","122,605,000","123,543,000","115,048,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"38,456,000","38,483,000","321,737,000","323,622,000","325,928,000","332,349,000","330,792,000","326,858,000","325,665,000","346,890,000","340,190,000","334,162,000","290,405,000","237,507,000","197,970,000","192,972,000","169,865,000","110,618,000","33,692,000","58,083,000","50,457,000","50,221,000","133,580,000","127,165,000","127,212,000",,,,,,,,,,,,,"107,808,000","104,454,000","25,870,000","95,777,000","88,777,000","88,862,000","88,694,000","83,899,000","80,941,000","112,272,000","76,918,000","72,882,000","71,080,000","66,068,000","64,788,000","61,861,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"38,456,000","38,483,000","321,737,000","323,622,000","325,928,000","332,349,000","330,792,000","326,858,000","325,665,000","346,890,000","340,190,000","334,162,000","290,405,000","237,507,000","197,970,000","192,972,000","169,865,000","110,618,000","33,692,000","58,083,000","50,457,000","50,221,000","133,580,000","127,165,000","127,212,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,"1,661,101,000","1,876,564,000","2,046,878,000","1,999,283,000","1,641,811,000","1,611,114,000","1,330,945,000","1,318,465,000","1,123,482,000","1,140,594,000","990,454,000","1,057,854,000","1,000,904,000","892,264,000","957,356,000","790,753,000","724,310,000","523,254,000","485,262,000","424,920,000","394,471,000","342,477,000","320,989,000","316,163,000","353,465,000","330,570,000","360,614,000","283,062,000","236,389,000","177,577,000","174,802,000","169,322,000","140,288,000","129,163,000","122,605,000","123,543,000","115,048,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,,,,,,,,,,"0","0","38,000","494,000","2,606,000","4,724,000","5,991,000","6,461,000","5,260,000","3,733,000","3,782,000","4,463,000","4,115,000","180,000","25,000","596,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,384,015,000","1,261,527,000","1,166,670,000","1,124,310,000","1,069,209,000","1,019,548,000","996,656,000","976,860,000","945,648,000","924,951,000","882,280,000","847,031,000","814,642,000","785,367,000","766,615,000","732,059,000","703,511,000","666,686,000","622,071,000","597,352,000","580,272,000","546,150,000","525,219,000","496,478,000","514,663,000","490,297,000","468,136,000","443,035,000","435,922,000","425,341,000","408,414,000","394,705,000","383,083,000","362,714,000","341,869,000","329,972,000","330,444,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,"112,168,000","13,861,000","28,337,000","12,574,000","26,340,000","31,028,000","11,167,000","22,054,000","12,524,000","12,974,000","8,315,000","5,275,000","18,415,000","10,576,000","3,592,000","7,867,000","5,083,000","3,302,000","75,474,000","8,570,000","3,713,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DefinedPensionBenefit,"39,106,000","38,937,000","39,453,000","37,284,000","33,438,000","31,057,000","29,154,000","27,753,000","22,983,000","22,225,000","20,694,000","20,178,000","19,124,000","19,238,000","20,110,000","19,400,000","18,264,000","15,534,000","14,832,000","14,108,000","12,943,000","11,632,000","10,667,000","8,547,000","8,489,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"71,467,000","53,985,000","53,970,000","54,928,000","41,493,000","30,620,000","25,833,000","40,179,000","31,579,000","32,040,000","15,312,000","15,437,000","19,735,000","37,295,000","37,393,000","38,804,000","30,436,000","28,468,000","24,531,000","25,094,000","27,086,000","24,056,000","27,216,000","34,035,000","32,645,000","138,768,000","131,179,000","133,093,000","114,266,000","117,668,000","105,442,000","145,707,000","134,156,000","159,567,000","120,740,000","135,952,000","90,679,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"12,663,640,000","11,186,123,000","11,586,597,000","10,837,033,000","10,452,384,000","9,384,100,000","9,575,551,000","9,000,132,000","8,787,670,000","8,224,025,000","8,094,534,000","7,628,001,000","7,125,292,000","6,570,242,000","6,692,182,000","6,562,055,000","6,087,849,000","5,620,784,000","5,640,512,000","5,591,176,000","5,422,299,000","4,972,610,000","5,000,980,000","4,784,241,000","4,617,156,000","4,962,166,000","4,685,772,000","4,608,369,000","4,226,478,000","4,063,199,000","3,826,766,000","3,751,534,000","3,550,823,000","3,377,395,000","3,379,814,000","3,595,638,000","3,647,058,000","3,448,397,000","3,385,154,000","3,279,089,000","3,141,236,000","3,024,697,000","2,887,427,000","2,983,651,000","2,919,533,000","2,855,795,000","3,008,129,000","0","3,092,589,000","0","0","3,231,423,000","3,460,900,000","3,117,312,000","2,977,862,000","2,918,474,000","3,062,768,000","2,756,576,000","2,476,267,000","2,371,600,000","2,208,348,000","1,895,318,000","1,419,226,000","1,657,937,000","1,512,535,000","1,356,044,000","1,375,385,000","1,292,270,000","1,251,811,000","909,569,000","775,098,000","783,096,000","765,442,000","709,783,000","742,278,000","723,599,000","673,390,000","592,706,000","634,581,000","571,334,000","629,508,000","599,922,000","543,699,000","506,034,000","461,832,000","441,842,000","420,083,000","398,361,000","380,500,000","356,600,000","299,340,000","323,800,000","330,500,000","275,800,000","221,000,000","205,100,000","81,600,000","64,200,000","61,900,000","123,400,000"
