name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
				MachineryFurnitureEquipment,,"1,476,896,000",,,,"1,430,192,000",,,,"1,337,234,000",,,,"1,308,865,000",,,,"1,165,304,000",,,,"1,116,758,000","1,076,915,000",,,"1,102,087,000"
				OtherProperties,"915,350,000","136,207,000","902,304,000","865,033,000","877,063,000","114,484,000","875,485,000","883,824,000","893,856,000","135,985,000","867,765,000","816,404,000","801,980,000","672,210,000","639,728,000","619,267,000","615,498,000","612,612,000","597,877,000","590,095,000","584,714,000","575,375,000",,"539,642,000","530,550,000",
				ConstructionInProgress,,"44,414,000",,,,"47,000,000",,,,"97,143,000",,,,"80,720,000",,,,"75,322,000",,,,"67,829,000","79,231,000",,,"74,544,000"
			AccumulatedDepreciation,,"-969,516,000",,,,"-919,847,000",,,,"-869,843,000",,,,"-897,099,000",,,,"-800,022,000",,,,"-771,357,000","-764,435,000",,,"-808,453,000"
		GoodwillAndOtherIntangibleAssets,"106,811,000","17,592,000","17,592,000","17,592,000","17,592,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000"
			Goodwill,"57,863,000","17,592,000","17,592,000","17,592,000","17,592,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000","15,005,000"
			OtherIntangibleAssets,"48,948,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"22,497,000","40,382,000","37,384,000","37,949,000","38,051,000","34,946,000","36,079,000","37,251,000","37,987,000","38,561,000","38,795,000","38,164,000","37,902,000","36,348,000","37,312,000","36,443,000","37,391,000","34,884,000","35,105,000","33,683,000","30,602,000","32,039,000","28,043,000","29,390,000","26,479,000","16,220,000"
TotalLiabilitiesNetMinorityInterest,"798,730,000","710,809,000","724,051,000","722,495,000","768,195,000","819,284,000","814,098,000","865,212,000","855,476,000","835,091,000","794,591,000","742,323,000","704,528,000","614,288,000","571,431,000","553,074,000","600,653,000","673,949,000","647,031,000","666,632,000","683,688,000","689,595,000","685,406,000","345,704,000","331,172,000","361,916,000"
	CurrentLiabilities,"307,252,000","309,822,000","306,140,000","269,105,000","259,482,000","287,037,000","253,162,000","226,324,000","268,680,000","291,726,000","286,668,000","253,727,000","256,702,000","284,724,000","247,244,000","228,780,000","276,624,000","296,794,000","216,262,000","235,736,000","259,309,000","273,978,000","207,358,000","202,402,000","201,864,000","243,054,000"
