name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
		CashDividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,902,000","-3,905,000","-3,908,000","-3,876,000","-3,863,000","-3,857,000","-3,849,000","-3,831,000","-3,784,000","-3,773,000","-3,771,000","-3,775,000",
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,,"-61,000",,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,,,"-2,648,000","-1,950,000","0","-861,000","-367,000","-318,000","-2,055,000","77,653,000","-2,719,000","-97,000",,,"-1,288,000","-695,000","-8,829,000","-946,000","2,440,000","-1,529,000","2,220,000","-1,647,000","534,000","-880,000","-1,883,000","9,534,000","-2,711,000","-2,227,000","-3,170,000","5,022,000","-2,038,000","-3,025,000","-121,000","-1,099,000","9,003,000","-6,233,000","40,000","-5,654,000","446,000","-272,000","-424,000","-1,433,000","-74,000","5,168,000","-1,630,000","-6,185,000","1,000","6,672,000","-3,808,000","-2,858,000","-5,055,000","-8,442,000","-663,000","6,000","-208,000","0","294,000","-212,000","-19,000","-18,000","0","93,000","-26,000","-696,000","-6,996,000","-569,000","0","-63,062,000","-12,654,000","75,146,000","-5,898,000"
EndCashPosition,"74,438,000","74,438,000","85,203,000","186,000","179,000","179,000","82,000","10,154,000","11,530,000","12,558,000","11,643,000","12,847,000","12,662,000","12,682,000","8,939,000","7,630,000","5,210,000","7,069,000","4,696,000","5,590,000","4,777,000","5,185,000","5,540,000","4,704,000","5,240,000","7,126,000","4,808,000","6,904,000","2,844,000","6,033,000","4,522,000","7,839,000","7,695,000","7,579,000","5,034,000","6,869,000","8,386,000","5,285,000","5,188,000","7,874,000","5,151,000","5,864,000","4,898,000","5,890,000","6,109,000","6,151,000","14,297,000","12,921,000","18,821,000","13,379,000","29,457,000","25,498,000","53,011,000","60,030,000","150,353,000","71,098,000","29,791,000","16,956,000","15,759,000","25,000,000","24,756,000","20,262,000","27,042,000","24,182,000","27,146,000","27,434,000","24,320,000","28,320,000","27,197,000","18,706,000","15,572,000"
	ChangesInCash,"74,259,000","-10,765,000","85,017,000","7,000","0","97,000","-10,072,000","-1,376,000","-1,028,000","915,000","-1,204,000","185,000","-20,000","3,743,000","1,309,000","2,420,000","-1,859,000","2,373,000","-894,000","813,000","-408,000","-355,000","836,000","-536,000","-1,886,000","2,318,000","-2,096,000","4,060,000","-3,189,000","1,511,000","-3,317,000","144,000","116,000","2,545,000","-1,835,000","-1,517,000","3,101,000","97,000","-2,686,000","2,723,000","-713,000","966,000","-992,000","-219,000","-42,000","-8,146,000","1,376,000","-5,900,000","5,442,000","-16,078,000","3,959,000","-27,513,000","-7,019,000","-90,323,000","79,255,000","41,307,000","12,835,000","1,197,000","-9,241,000","244,000","4,494,000","-6,780,000","2,860,000","-2,964,000","-288,000","3,114,000","-4,000,000","1,123,000","8,491,000","3,134,000","-7,533,000"
	BeginningCashPosition,"179,000","85,203,000","186,000","179,000","179,000","82,000","10,154,000","11,530,000","12,558,000","11,643,000","12,847,000","12,662,000","12,682,000","8,939,000","7,630,000","5,210,000","7,069,000","4,696,000","5,590,000","4,777,000","5,185,000","5,540,000","4,704,000","5,240,000","7,126,000","4,808,000","6,904,000","2,844,000","6,033,000","4,522,000","7,839,000","7,695,000","7,579,000","5,034,000","6,869,000","8,386,000","5,285,000","5,188,000","7,874,000","5,151,000","5,864,000","4,898,000","5,890,000","6,109,000","6,151,000","14,297,000","12,921,000","18,821,000","13,379,000","29,457,000","25,498,000","53,011,000","60,030,000","150,353,000","71,098,000","29,791,000","16,956,000","15,759,000","25,000,000","24,756,000","20,262,000","27,042,000","24,182,000","27,146,000","27,434,000","24,320,000","28,320,000","27,197,000","18,706,000","15,572,000","23,105,000"
IncomeTaxPaidSupplementalData,"101,205,000","2,350,000","16,259,000","29,981,000",,,"13,767,000","387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InterestPaidSupplementalData,"29,652,000","6,387,000","6,854,000","7,638,000","8,773,000","9,971,000","9,786,000","58,132,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CapitalExpenditure,"-15,802,000","-2,509,000","-8,991,000","-2,524,000","-1,778,000","-1,122,000","-1,746,000","-191,000","-507,000","-1,245,000","-1,470,000","-1,537,000","-561,000","-1,223,000","-852,000","-1,295,000","-245,000","-332,000","-556,000","-52,000","-29,000","-160,000","-120,000",,,,"-79,000","-347,000","-470,000","-665,000","-1,200,000","-563,000","-478,000","-775,000","-907,000","-1,040,000","-2,010,000","-955,000","-336,000","-350,000","-1,391,000","-749,000","-1,190,000","-512,000","-1,825,000","-3,695,000","-1,403,000","-1,426,000","-854,000","-409,000","-863,000","-264,000","-522,000","-166,000","-2,305,000","-1,112,000","-545,000","-957,000","-1,198,000","-1,916,000","-3,935,000","-6,092,000","-2,334,000","-4,482,000","-2,127,000","-658,000","-2,710,000","-3,711,000","-4,275,000","-2,048,000","-8,082,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,"0","0","-1,177,000","39,892,000",,,,,,,,,,,,,,,,,,"0","0","434,000","54,000","119,000","0","323,000","170,000","261,000","-858,000","2,341,000","189,000","199,000","38,000","8,600,000","115,513,000"
IssuanceOfDebt,"982,731,000","0","344,935,000","261,823,000","375,973,000","262,210,000","302,205,000","191,464,000","146,040,000","204,196,000","137,409,000","146,860,000","168,405,000","197,114,000","143,788,000","201,874,000","594,939,000","119,441,000","111,843,000","102,282,000","112,101,000","115,553,000","73,149,000","93,290,000","-6,957,000","315,630,000","62,981,000","89,381,000","134,841,000","121,806,000","90,774,000","113,796,000","141,033,000","149,191,000","109,704,000","94,881,000","195,555,000","199,828,000","104,368,000","123,897,000","143,439,000","178,566,000","440,330,000","-41,227,000","41,568,000","55,851,000","-8,237,000","-29,130,000","43,949,000","34,618,000",,,,,,,,,,,,,,,,,,,,,
RepaymentOfDebt,"-1,056,549,000","-3,722,000","-274,060,000","-362,149,000","-416,618,000","-237,276,000","-292,878,000","-264,465,000","-216,405,000","-220,539,000","-169,689,000","-163,372,000","-225,835,000","-139,979,000","-227,453,000","-239,206,000","-192,372,000","-176,636,000","-150,296,000","-115,909,000","-103,582,000","-98,326,000","-138,834,000","-133,522,000","-19,366,000","-272,436,000","-129,313,000","-107,456,000","-111,833,000","-85,709,000","-139,815,000","-121,922,000","-125,659,000","-100,525,000","-151,429,000","-159,148,000","-141,923,000","-129,866,000","-142,686,000","-160,630,000","-122,162,000","-87,402,000","-482,538,000","-39,751,000","-125,000","-72,000","-7,012,000","-15,009,000","-71,000","-402,000","7,900,000","-19,371,000","-19,998,000","-68,531,000",,,,,,,,,,,,,,,,,
RepurchaseOfCapitalStock,"-11,957,000","-6,820,000","-58,000","-3,000","-5,076,000","-56,000","-16,000","-1,000","-247,000","-7,000","-3,000","0","-208,000","0","0","-1,199,000","-62,000","-1,759,000",,,,,,,,,,,"0","-261,000","0","-63,000","-438,000","-554,000","-325,000","0","-1,661,000","-1,206,000",,,,"-424,000","0","0","0","0","0","0","0","-583,000","-180,000","-238,000","-832,000","-792,000",,,,,,,,,,,,,,,,,
FreeCashFlow,"156,066,000","-272,000","9,173,000","101,734,000","45,431,000","-25,730,000","-21,123,000","61,304,000","71,581,000","-60,432,000","43,905,000","11,211,000","9,579,000","-79,051,000","99,997,000","37,882,000","-53,712,000","-45,335,000","35,219,000","16,161,000","-14,660,000","-40,020,000","41,447,000","25,262,000","25,697,000","-51,640,000","68,101,000","17,647,000","-9,172,000","-38,210,000","39,927,000","14,338,000","-22,692,000","-46,890,000","30,006,000","61,823,000","-39,828,000","-96,794,000","12,088,000","23,082,000","-22,466,000","-89,780,000","32,715,000","16,986,000","-40,063,000","-66,503,000","16,602,000","31,534,000","-35,135,000","-47,002,000","-7,220,000","-921,000","7,900,000","-21,427,000","79,392,000","67,687,000","51,319,000","-22,046,000","97,549,000","43,551,000","8,700,000","-83,099,000","124,634,000","45,191,000","-49,163,000","-67,059,000","93,791,000","81,322,000","20,432,000","-83,501,000","76,523,000"
