name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"89,983,000"
CommonStockEquity,"215,960,000","176,453,000","185,293,000","194,847,000","191,078,000","186,011,000","172,787,000","183,964,000","181,830,000","179,174,000","175,765,000","172,481,000","175,361,000","160,762,000","194,065,000","185,731,000","178,177,000","179,144,000","171,077,000","165,362,000","166,827,000","151,226,000","105,523,000","107,834,000","92,316,000","90,343,000","87,629,000","96,448,000","102,884,000","27,908,000","33,096,000","41,910,667","44,686,692","774,729","-87,929,014"
CapitalLeaseObligations,"3,900,000","4,213,000","4,247,000","4,534,000","4,812,000","3,959,000","3,962,000","4,471,000","4,721,000","3,000,000","4,311,000","2,611,000",,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"166,277,000","126,039,000","134,751,000","143,599,000","139,124,000","133,351,000","119,460,000","129,971,000","127,170,000","123,848,000","119,809,000","115,895,000","118,145,000","102,916,000","135,620,000","126,686,000","115,782,000","116,079,000","107,332,000","93,670,000","94,424,000","78,111,000","80,764,000","96,874,000","81,200,000","90,343,000","87,629,000","96,448,000","102,884,000","27,908,000","33,096,000","41,910,667","44,686,692","774,729","2,053,986"
WorkingCapital,"138,524,000","98,230,000","123,263,000","130,840,000","122,013,000","127,980,000","118,283,000","127,950,000","129,693,000","140,626,000","137,427,000","133,913,000","138,007,000","124,158,000","162,359,000","153,858,000","140,060,000","141,395,000","147,759,000","91,913,000","88,134,000","68,145,000","83,598,000","99,720,000","83,754,000","87,995,000","85,715,000","95,970,000","102,739,000","27,521,000","32,707,000","41,506,158","44,264,234","-299,975","3,140,602"
InvestedCapital,"239,685,000","202,060,000","212,782,000","224,218,000","222,331,000","219,146,000","207,804,000","219,863,000","328,611,000","217,731,000","215,452,000","213,324,000","217,360,000","205,167,000","238,377,000","232,449,000","226,051,000","226,924,000","220,013,000","165,362,000","166,827,000","151,226,000","105,523,000","107,834,000","92,316,000","90,343,000","87,629,000","96,448,000","102,884,000","27,908,000","33,096,000","41,910,667","44,686,692","774,729","-87,929,014"
TangibleBookValue,"166,277,000","126,039,000","134,751,000","143,599,000","139,124,000","133,351,000","119,460,000","129,971,000","127,170,000","123,848,000","119,809,000","115,895,000","118,145,000","102,916,000","135,620,000","126,686,000","115,782,000","116,079,000","107,332,000","93,670,000","94,424,000","78,111,000","80,764,000","96,874,000","81,200,000","90,343,000","87,629,000","96,448,000","102,884,000","27,908,000","33,096,000","41,910,667","44,686,692","774,729","-87,929,014"
TotalDebt,"27,625,000","29,820,000","31,736,000","33,905,000","36,065,000","37,094,000","38,979,000","40,370,000","151,502,000","41,557,000","43,998,000","43,454,000","41,999,000","44,405,000","44,312,000","46,718,000","47,874,000","47,780,000","48,936,000",,,,,,,,,,,,,,,"0","0"
ShareIssued,"16,975,970","16,903,034","16,886,123","16,879,974","16,858,031","16,739,203","16,624,681","16,621,681","16,597,814","16,537,846","16,524,848","16,522,196","16,519,728","16,504,283","16,503,283","16,457,575","16,166,259","16,089,439","16,071,435","16,065,987","16,007,789","15,890,862","15,726,322","15,636,387","15,636,387","15,636,387","15,589,844","15,589,844","15,509,179","14,036,680","14,032,167","14,020,133","14,020,133","13,918,742","13,918,742"
OrdinarySharesNumber,"12,697,139","12,791,412","12,944,582","13,097,113","13,145,460","13,057,027","13,030,130","13,603,971","13,664,494","13,630,159","13,669,532","13,666,880","13,929,470","13,914,025","14,920,617","15,043,591","14,800,873","14,847,744","14,920,998","15,169,241","15,251,806","15,324,024","15,435,728","15,636,387","15,636,387","15,636,387","15,589,844","15,589,844","15,509,179","14,036,680","14,032,167","14,020,133","14,020,133","13,918,742","13,918,742"
TreasurySharesNumber,"4,278,831","4,111,622","3,941,541","3,782,861","3,712,571","3,682,176","3,594,551","3,017,710","2,933,320","2,907,687","2,855,316","2,855,316","2,590,258","2,590,258","1,582,666","1,413,984","1,365,386","1,241,695","1,150,437","896,746","755,983","566,838","290,594",,,,,,,,,,,,
