name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
		RetainedEarnings,"5,598,000","5,925,000","8,640,000","11,137,000","15,715,000","20,549,000","25,098,000","31,516,000","40,145,000","74,222,000","62,517,000","54,284,000","51,983,000","43,317,000","33,182,000","20,163,000","9,566,000","3,636,000","1,536,000","157,000","6,861,000","2,079,000"
		TreasuryStock,,,,,,"0","0","0","0","2,526,000","2,522,000","2,144,000","1,845,000","1,414,000","1,410,000","261,000","261,000","261,000",,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,"69,267,000"
	MinorityInterest,"95,145,000","94,727,000","95,863,000","96,577,000","98,269,000","114,225,000","117,657,000","122,166,000","127,908,000","145,811,000","137,074,000","131,000,000","138,255,000","138,907,000","130,459,000","118,764,000","109,006,000","116,268,000","133,105,000","127,078,000",,
TotalCapitalization,"204,894,000","203,149,000","204,813,000","206,137,000","209,915,000","201,254,000","205,198,000","210,314,000","217,824,000","263,847,000","254,458,000","245,183,000","182,182,000","181,521,000","166,289,000","144,326,000","131,146,000","125,292,000","62,294,000","59,495,000","81,805,000","73,948,000"
CommonStockEquity,"204,894,000","203,149,000","204,813,000","206,137,000","209,915,000","201,254,000","205,198,000","210,314,000","217,824,000","263,847,000","254,458,000","245,183,000","182,182,000","168,521,000","158,289,000","144,326,000","131,146,000","125,292,000","62,294,000","59,495,000","79,212,000","71,346,000"
CapitalLeaseObligations,"7,381,000","7,520,000","7,655,000","7,789,000","8,073,000","8,196,000","8,099,000","8,223,000","8,493,000","8,611,000","8,726,000","8,841,000","9,101,000","189,000","197,000","204,000","206,000","212,000","219,000","226,000","232,000","239,000"
NetTangibleAssets,"189,882,000","187,942,000","189,411,000","190,540,000","194,124,000","185,268,000","189,017,000","193,938,000","201,254,000","242,850,000","233,266,000","223,796,000","160,601,000","146,745,000","136,318,000","122,160,000","108,785,000","102,721,000","49,223,000","46,429,000","66,166,000","58,306,000"
WorkingCapital,"47,033,000","51,769,000","54,168,000","55,076,000","59,131,000","61,525,000","64,943,000","69,602,000","75,963,000","97,195,000","73,459,000","54,873,000","38,402,000","45,440,000","31,318,000","27,498,000","41,606,000","67,053,000","64,250,000","80,694,000","6,951,000","6,771,000"
InvestedCapital,"204,894,000","203,149,000","204,813,000","206,137,000","209,915,000","201,254,000","205,198,000","210,314,000","217,824,000","263,847,000","254,458,000","245,183,000","182,182,000","181,521,000","166,289,000","144,326,000","131,146,000","125,292,000","62,294,000","59,495,000","82,142,000","74,148,000"
TangibleBookValue,"189,882,000","187,942,000","189,411,000","190,540,000","194,124,000","185,268,000","189,017,000","193,938,000","201,254,000","242,850,000","233,266,000","223,796,000","160,601,000","146,745,000","136,318,000","122,160,000","108,785,000","102,721,000","49,223,000","46,429,000","66,166,000","58,306,000"
TotalDebt,"7,381,000","7,520,000","7,655,000","7,789,000","8,073,000","8,196,000","8,099,000","8,223,000","8,493,000","8,611,000","8,726,000","8,841,000","9,101,000","13,189,000","8,197,000","204,000","206,000","212,000","219,000","226,000","3,162,000","3,041,000"
NetDebt,,,,,,,,,,,,,,,"5,923,000",,,,,,"1,152,000",
ShareIssued,"31,416,000","31,146,000","31,094,000","30,984,000","30,978,000","28,943,000","28,842,000","28,673,000","28,555,000","30,928,000","31,179,000","31,040,000","30,401,000","27,091,000","26,607,000","25,820,000","25,149,000","19,026,000","10,100,000","10,100,000","10,600,000","10,600,000"
OrdinarySharesNumber,"31,416,000","31,146,000","31,094,000","30,984,000","30,978,000","28,943,000","28,842,000","28,673,000","28,555,000","30,765,000","31,016,000","30,905,000","30,282,000","27,000,000","26,516,000","25,804,000","25,133,000","19,010,000","10,100,000","10,100,000","10,600,000","10,600,000"
TreasurySharesNumber,,,,,,"0",,,"0","163,000","163,000","135,000","119,000","91,000","91,000","16,000","16,000","16,000",,,,
