name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
		AmortizationOfSecurities,,,,,,,,,,,,,,,"15,000","8,000","145,000","-99,000","-43,000","-8,000","8,000","52,000","122,000","128,000","128,000","147,000","131,000","134,000","142,000","163,000","169,000","90,000","101,000","56,000","830,000","1,212,000","933,000","232,000","59,000","0"
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-133,000","3,584,000","122,000","144,000","189,000","788,000"
		StockBasedCompensation,"25,407,000","4,632,000","6,166,000","6,613,000","7,996,000","8,749,000","9,590,000","9,800,000","10,176,000","10,529,000","11,172,000","10,606,000","10,695,000","12,620,000","9,713,000","9,978,000","10,318,000","8,719,000","8,006,000","6,557,000","6,665,000","4,850,000","5,280,000","4,099,000","3,881,000","3,534,000","3,412,000","3,316,000","3,476,000","2,741,000","2,482,000","2,392,000","2,382,000","1,922,000","1,327,000","1,130,000","237,000","164,000","138,000","108,000"
		OtherNonCashItems,"28,000","-50,000","-27,000","-99,000","204,000","1,116,000","-363,000","-376,000","46,000","-39,000","3,817,000","6,238,000","31,000","-186,000","798,000","24,684,000","77,000","77,000","24,878,000","77,000","77,000","76,000","76,000","76,000","76,000","75,000","73,000","77,000","78,000","77,000",,,,,,,,,,
		ChangeInWorkingCapital,"3,909,000","89,609,000","-91,565,000","4,719,000","1,146,000","-6,862,000","50,301,000","-778,000","6,726,000","-11,359,000","-1,553,000","-2,139,000","-4,473,000","-15,791,000","8,769,000","6,848,000","7,241,000","-9,470,000","-1,051,000","3,996,000","77,000","-4,336,000","4,730,000","-1,896,000","-1,574,000","-633,000","2,376,000","2,469,000","-1,227,000","927,000","2,416,000","1,175,000","891,000","181,000","622,000","816,000","-177,000","856,000","109,000","21,000"
			ChangeInReceivables,"-17,467,000","95,211,000","-94,262,000","-5,415,000","-13,001,000","9,872,000","-9,174,000","-3,770,000","-137,000","-4,587,000","-5,076,000","-7,627,000","-10,893,000","-12,043,000","-754,000","-836,000",,,,,,,,,,,,,,,,,,,,,,,,
				ChangesInAccountReceivables,"-17,467,000","5,211,000","-4,262,000","-5,415,000","-13,001,000","9,872,000","-9,174,000","-3,770,000","-137,000","-4,587,000","-5,076,000","-7,627,000","-10,893,000","-12,043,000","-754,000","-836,000",,,,,,,,,,,,,,,,,,,,,,,,
			ChangeInInventory,"-10,511,000","538,000","-9,615,000","687,000","-2,121,000","-1,052,000","-6,081,000","-1,482,000","1,349,000","1,048,000","-6,177,000","-4,066,000","-47,000","33,000","-4,390,000","247,000","-4,577,000","-969,000",,,,,,,,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-4,210,000","-1,211,000","-1,904,000","-2,849,000","1,754,000","-4,286,000","711,000","490,000","1,549,000","-2,410,000","571,000","857,000","-2,181,000","-1,391,000","-1,746,000","-483,000","3,066,000","-1,628,000","-3,957,000","-47,000","338,000","1,427,000","-936,000","-1,707,000","288,000","503,000","-602,000","-165,000","132,000","-205,000","-697,000","272,000","-265,000","-27,000","-498,000","-16,000","55,000","-57,000","-30,000","17,000"
			ChangeInPayablesAndAccruedExpense,"22,360,000","-9,517,000","6,842,000","10,656,000","14,379,000","-10,297,000","15,652,000","5,400,000","5,436,000","-3,952,000","10,190,000","10,009,000","9,834,000","-1,267,000","15,659,000","7,920,000","9,877,000","-6,873,000","2,906,000","4,043,000","-261,000","-5,763,000","5,666,000","-189,000","-1,862,000","-1,136,000","2,978,000","2,634,000","-1,359,000","1,132,000","3,113,000","903,000","1,156,000","208,000","1,120,000","832,000","-232,000","913,000","139,000","4,000"
