name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986
	ResearchAndDevelopment,"24,704,000","6,275,000","6,302,000","6,404,000","5,723,000","5,748,000","4,931,000","4,230,000","4,071,000","4,614,000","4,912,000","4,181,000","4,282,000","4,139,000","3,806,465","3,306,856","2,601,237","2,058,442","1,971,569","1,795,292","1,521,123","1,411,136","1,178,502","1,118,358","936,823","978,340","893,721","936,015","736,399","671,036","983,722","681,230","555,758","812,615","626,572","593,643","498,318","406,943","373,322","390,395","367,363","296,131","580,206","76,982",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"121,561","147,240","114,641","111,035","97,249","101,532","96,688","109,126","116,000","170,025","217,000","259,027","219,236","225,657","215,866","249,948","264,896","300,000","300,000","300,000","300,000","300,000","300,000","200,000","300,000","300,000","200,000","300,000","300,000","400,000","500,000","400,000","500,000","500,000","500,000","600,000","400,000","400,000","500,000","400,000","300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165,142","163,532","164,330","200,621","207,403","300,000","200,000","300,000","100,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","300,000","200,000","300,000","300,000","300,000","200,000","300,000","300,000","200,000","200,000","200,000","200,000","100,000","100,000","100,000","200,000","100,000","100,000","100,000","0","100,000","100,000","100,000","100,000",,"100,000","100,000","-700,000","800,000","200,000","100,000",,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"44,427",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"165,142","163,532","164,330","200,621","207,403","300,000","200,000","300,000","100,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","300,000","200,000","300,000","300,000","300,000","200,000","300,000","300,000","200,000","200,000","200,000","200,000","100,000","100,000","100,000","200,000","100,000","100,000","100,000","0","100,000","100,000","100,000","100,000",,"100,000","100,000","-700,000","800,000","200,000","100,000",,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"673,004","-165,142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"-30,516,000","-11,320,000","-5,353,000","-6,689,000","-7,154,000","-6,220,000","-5,374,000","-1,045,000","-8,254,000","-8,509,000","-7,419,000","-6,112,000","-7,672,000","-10,203,000","-5,855,751","-4,834,581","-4,817,627","-4,992,041","-1,806,976","-1,498,425","-1,445,653","-3,200,232","-2,719,401","-1,181,687","-1,605,970","-2,622,804","-2,651,911","-1,917,826","-2,153,269","-2,543,704","-2,708,999","-1,802,904","-2,297,744","-2,991,142","-2,797,328","-2,276,994","-2,194,329","-2,323,554","-2,231,070","-2,042,988","-1,586,803","-1,941,075","-1,989,124","-2,626,434","513,189","1,487,020","-521,451","-613,505","-338,623","-374,946","16,082,957","-131,006","138,822","-134,992","-122,718","-585,847","-181,342","-166,883","-29,878","-469,283","-171,558","-129,202","-177,818","-61,925","-106,062","-51,573","137,575","-19,133","-66,653","-378,311","180,709","-141,137","1,505","79,676","-190,441","-336,772","-427,270","-290,675","-657,697","-335,922","-730,000","-768,268","-1,194,000","-1,700,224","-436,304","-640,325","-562,872","-829,002","-637,253","-800,000","-700,000","-500,000","-300,000","-700,000","-200,000","-200,000","-300,000","-100,000","200,000","200,000","0","-200,000","0","0","200,000","-700,000","0","-400,000","300,000","0","0","0","100,000","200,000","500,000","200,000","200,000","0","300,000","300,000","300,000","300,000","300,000","300,000","200,000","200,000","300,000","-2,200,000","1,400,000","1,200,000","200,000","-4,100,000","1,600,000","1,700,000","1,500,000","-3,200,000","1,400,000","1,400,000","1,400,000","-3,100,000","1,200,000","1,200,000","1,200,000"
NetNonOperatingInterestIncomeExpense,"-1,266,000","-354,000","71,000","-417,000","-565,000","-444,000","-595,000","-397,000","206,000","-31,000","-8,000","-7,000","-11,000","-14,000","-2,810","5,964","-408,462","-646,281","-686,817","-624,051","-600,494","-552,040","-2,910,829","-1,120,882","-1,196,109","-1,033,837","-959,377","-1,073,677","-1,054,984","-1,028,494","-3,790,302","-1,435,687","-1,444,315","-1,242,533","-1,346,055","-1,275,819","-1,264,860","-1,111,837","-1,827,470","-205,439","-185,201","-160,076","-163,010","-487,117","23,749","1,692","10,090","4,836","4,235","4,018","1,222","32","169","531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,"237,000",,"439,000",,,,,"5,964","156,411",,,,,,,,,,,,,,,,,,,,,,,,,,,,"23,749","1,692","10,090","4,836","4,235","4,018","1,222","32","169","531",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,266,000","354,000","-71,000","417,000","565,000","444,000","595,000","397,000","31,000","31,000","8,000","7,000","11,000","14,000","2,810","0","564,873","646,281","686,817","624,051","600,494","552,040","2,910,829","1,120,882","1,196,109","1,033,837","959,377","1,073,677","1,054,984","1,028,494","3,790,302","1,435,687","1,444,315","1,242,533","1,346,055","1,275,819","1,264,860","1,111,837","1,827,470","205,439","185,201","160,076","163,010","487,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-18,000","199,000","-4,000","-35,000","-179,000","4,000","-41,000","-37,000","-57,000","348,000","389,000","548,000","660,000","713,000","629,047","726,989","-2,201,351","-235","-5,386","-1,603","-14,032","-9,753","3,246","-2,804","-617","-19,450","-205","12,645","17,380","-3,003","8,035","417","588","-5,889","34,588","32","1,390","-2,117","14,677","11,618","5,851","-8,174","15,148","381",,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,"12,515","-158","2,593","-342","-557","-49,879","1,476","3,316","0","53","35,000","4,285,813","102,597","-11,543","-2,238","7,974","-6,075",,,"0",,,,,,,,"-500,000","-1,600,000","100,000","100,000",,,,,,,,,"0",,,,"0","100,000",,,"0",,,,"100,000",,,"100,000","0","-200,000","-100,000",,,,,,,,,,,,,
	GainOnSaleOfSecurity,"259,000","206,000","137,000","-29,000","-55,000","34,000","-17,000","-43,000",,"311,000","439,000","555,000","654,000","716,000","641,335","727,115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,"0",,"0","0","0",,"114","0","-2,186,114",,,"-1,603",,,,,,,,,,,,,,,"34,588",,,,,"11,618","5,851","-8,174","15,148","381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,515","-158","2,593","-342","-557","-49,879","1,476","3,316",,"53","35,000","4,285,813","102,597","-11,543","-2,238","7,974","-6,075",,,"0",,,,,,,,"-500,000","-1,600,000","100,000","100,000",,,,,,,,,"0",,,,"0","100,000",,,"0",,,,"100,000",,,"100,000",,"-200,000","-100,000",,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,"-114",,"2,186,114",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-277,000","-7,000","-141,000","-6,000","-124,000","-30,000","-24,000","6,000","-57,000","37,000","-50,000","-7,000","6,000","-3,000","-12,402","-126","-15,237","-235","-5,386","-1,603","-14,032","-9,753","3,246","-2,804","-617","-19,450","-205","12,645","17,380","-3,003","8,035","417","588","-5,889","34,588","32","1,390","-2,117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-31,800,000","-11,475,000","-5,286,000","-7,141,000","-7,898,000","-6,660,000","-6,010,000","-1,479,000","-8,105,000","-8,192,000","-7,038,000","-5,571,000","-7,023,000","-9,504,000","-5,229,514","-4,101,628","-7,427,440","-5,638,557","-2,499,179","-2,124,079","-2,060,179","-3,762,025","-5,626,984","-2,305,373","-2,802,696","-3,676,091","-3,611,493","-2,978,858","-3,190,873","-3,575,201","-6,491,266","-3,238,174","-3,741,471","-4,239,564","-4,108,795","-3,552,781","-3,457,799","-3,437,508","-4,043,863","-2,236,809","-1,766,153","-2,109,325",,"-3,113,170","536,938","1,488,712","-511,361","-608,669","-334,388","-370,928",,,,,,,,,,,,,,,,,"137,575","-19,133",,,,,,,"-141,930","-343,797","-433,548","-359,486","-683,209","-370,461","-768,000","-806,981",,"3,225,171","-543,781",,,,,,,,,,,,,,,,,,,,,,,,"300,000",,,"0",,"300,000","600,000","200,000","300,000",,"300,000","300,000","300,000","400,000","400,000","300,000","300,000","300,000","300,000",,,,,,,,,,,,,,,,
TaxProvision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,"-1,758","0","-736,434","0",,"0","286,500","583,500","-136,289","-143,758","-104,000","-125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,,"0",,"100,000","200,000","0","100,000",,"100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","100,000","-100,000",,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"-31,800,000","-11,475,000","-5,286,000","-7,141,000","-7,898,000","-6,660,000","-6,010,000","-1,479,000","-8,105,000","-8,192,000","-7,038,000","-5,571,000","-7,023,000","-9,504,000","-5,229,514","-4,101,628","-7,427,440","-5,638,557","-2,499,179","-2,124,079","-2,060,179","-3,762,025","-5,626,984","-2,305,373","-2,802,696","-3,676,091","-3,611,493","-2,978,858","-3,190,873","-3,575,201","-6,491,266","-3,238,174","-3,741,471","-4,239,564","-4,108,795","-3,552,781","-3,457,799","-3,437,508","-4,042,105","-2,236,809","-1,029,719","-2,109,325","-2,136,986","-3,443,002","250,438","905,212","-375,072","-464,911","-230,388","-245,928","15,172,776","-130,974","138,991","-134,461","-120,792","-582,839","-177,376","-159,702","-19,568","-456,995","-158,091","-114,326","-147,622","-61,925","-106,062","-51,573","139,575","379","-82,319","-588,247","1,041,692","1,171,421","8,839","74,727","-144,930","-343,797","-433,548","-359,486","-657,736","-370,461","-768,000","-806,981","-1,190,000","3,177,171","-543,781","-691,996","-597,901","-817,499","-643,328","-800,000","-600,000","-500,000","-300,000","-700,000","-200,000","-300,000","-300,000",,"200,000","-600,000","-1,500,000","-300,000",,"0","100,000","-700,000","-100,000","-100,000","200,000",,"100,000","0",,"200,000","400,000","200,000","200,000","100,000","200,000","200,000","200,000","300,000","300,000","200,000","200,000","200,000","200,000",,"-200,000",,"200,000",,,,,,,,,,,,
