name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
				LandAndImprovements,"3,222,000","2,812,000","2,812,000","2,758,000","2,758,000","2,758,000","2,758,000","2,758,000","2,758,000","2,758,000","2,758,000"
				BuildingsAndImprovements,"80,397,000","76,234,000","73,227,000","79,104,000","77,411,000","75,101,000","73,080,000","72,063,000","71,721,000","69,911,000","69,791,000"
				MachineryFurnitureEquipment,"32,820,000","31,468,000","30,537,000","37,952,000","36,982,000","36,343,000","34,863,000","34,692,000","33,923,000","32,742,000","32,316,000"
				OtherProperties,"462,924,000","440,740,000","405,611,000","390,529,000","356,366,000","325,013,000","307,062,000","293,202,000","275,970,000","263,660,000","255,596,000"
				ConstructionInProgress,"173,929,000","148,815,000","129,886,000","77,705,000","71,867,000","61,748,000","54,412,000","32,640,000","36,656,000","24,393,000","16,453,000"
			AccumulatedDepreciation,"-278,952,000","-264,765,000","-251,061,000","-246,363,000","-233,534,000","-221,780,000","-210,401,000","-200,126,000","-187,480,000","-177,237,000","-168,220,000"
		GoodwillAndOtherIntangibleAssets,"1,247,568,000","1,265,205,000","1,193,962,000","1,206,098,000","1,218,581,000","1,231,121,000","1,243,764,000","1,257,285,000","1,270,582,000","1,272,858,000","1,286,716,000"
			Goodwill,"987,440,000","992,513,000","951,390,000","951,390,000","951,390,000","951,390,000","951,390,000","951,190,000","950,602,000","944,298,000","944,298,000"
			OtherIntangibleAssets,"260,128,000","272,692,000","242,572,000","254,708,000","267,191,000","279,731,000","292,374,000","306,095,000","319,980,000","328,560,000","342,418,000"
		NonCurrentDeferredAssets,,,,,,,,,"686,000","775,000","865,000"
		OtherNonCurrentAssets,"76,721,000","77,578,000","70,462,000","2,046,000","2,190,000","1,608,000","1,623,000","1,268,000","40,000","2,136,000","1,398,000"
TotalLiabilitiesNetMinorityInterest,"826,446,000","763,955,000","760,670,000","661,802,000","640,998,000","621,801,000","627,968,000","660,809,000","1,400,665,000","1,249,295,000","1,298,240,000"
	CurrentLiabilities,"173,583,000","162,538,000","170,407,000","137,569,000","126,205,000","114,430,000","124,040,000","107,591,000","120,163,000","96,322,000","139,997,000"
		PayablesAndAccruedExpenses,"127,431,000","126,924,000","128,954,000","101,500,000","95,839,000","90,849,000","90,870,000","78,139,000","88,707,000","72,902,000","108,883,000"
			Payables,"76,228,000","64,490,000","69,474,000","49,736,000","51,547,000","38,179,000","42,059,000","36,414,000","37,197,000","20,780,000","47,479,000"
				AccountsPayable,"76,228,000","64,490,000","69,474,000","49,736,000","51,547,000","38,179,000","42,059,000","36,414,000","37,197,000","20,780,000","47,479,000"
			CurrentAccruedExpenses,"51,203,000","62,434,000","59,480,000","51,764,000","44,292,000","52,670,000","48,811,000","41,725,000","51,510,000","52,122,000","61,404,000"
				InterestPayable,"46,000","214,000","72,000","1,103,000","3,512,000","1,089,000","1,103,000","1,185,000","13,846,000","7,294,000","13,578,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"24,590,000","17,637,000","32,996,000","30,949,000","25,881,000","18,555,000","26,554,000","23,605,000","17,047,000","10,826,000","17,202,000"
		CurrentDebtAndCapitalLeaseObligation,"6,235,000","5,274,000","3,977,000","1,064,000","1,071,000","1,047,000","969,000","922,000","9,218,000","9,155,000","9,025,000"
			CurrentDebt,,,,,,,,,"8,304,000","8,304,000","8,304,000"
				OtherCurrentBorrowings,,,,,,,,,"8,304,000","8,304,000","8,304,000"
			CurrentCapitalLeaseObligation,"6,235,000","5,274,000","3,977,000","1,064,000","1,071,000","1,047,000","969,000","922,000","914,000","851,000","721,000"
		CurrentDeferredLiabilities,"10,676,000","8,724,000",,,,,,,,,
			CurrentDeferredRevenue,"10,676,000","8,724,000",,,,,,,,,
		OtherCurrentLiabilities,"4,651,000","3,979,000","4,480,000","4,056,000","3,414,000","3,979,000","5,647,000","4,925,000","5,191,000","3,439,000","4,887,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"652,863,000","601,417,000","590,263,000","524,233,000","514,793,000","507,371,000","503,928,000","553,218,000","1,280,502,000","1,152,973,000","1,158,243,000"
		LongTermDebtAndCapitalLeaseObligation,"505,284,000","464,999,000","464,715,000","474,936,000","474,877,000","474,194,000","473,892,000","517,557,000","1,241,010,000","1,113,401,000","1,114,494,000"
			LongTermDebt,"505,284,000","464,999,000","464,715,000","464,431,000","464,146,000","463,308,000","462,982,000","506,656,000","1,229,844,000","1,102,144,000","1,103,313,000"
			LongTermCapitalLeaseObligation,,,,"10,505,000","10,731,000","10,886,000","10,910,000","10,901,000","11,166,000","11,257,000","11,181,000"
		NonCurrentDeferredLiabilities,"61,505,000","50,753,000","46,371,000","38,645,000","29,970,000","24,168,000","21,260,000","26,732,000","29,509,000","29,864,000","34,003,000"
			NonCurrentDeferredTaxesLiabilities,"61,505,000","50,753,000","46,371,000","38,645,000","29,970,000","24,168,000","21,260,000","26,732,000","29,509,000","29,864,000","34,003,000"
		OtherNonCurrentLiabilities,"86,074,000","85,665,000","79,177,000","10,652,000","9,946,000","9,009,000","8,776,000","8,929,000","9,983,000","9,708,000","9,746,000"
TotalEquityGrossMinorityInterest,"1,493,034,000","1,451,151,000","1,427,164,000","1,382,173,000","1,349,403,000","1,319,103,000","1,303,888,000","1,269,513,000","485,406,000","479,996,000","490,023,000"
	StockholdersEquity,"1,493,034,000","1,451,151,000","1,427,164,000","1,382,173,000","1,349,403,000","1,319,103,000","1,303,888,000","1,269,513,000","485,406,000","479,996,000","490,023,000"
		CapitalStock,"155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","111,000","0","0"
			PreferredStock,"0","0","0","0","0","0","0","0","0",,
			CommonStock,"155,000","155,000","155,000","155,000","155,000","155,000","155,000","155,000","111,000","0","0"
		AdditionalPaidInCapital,"1,628,581,000","1,622,516,000","1,615,236,000","1,610,884,000","1,599,883,000","1,592,240,000","1,587,208,000","1,488,474,000","485,295,000","651,084,000","652,601,000"
		RetainedEarnings,"-135,702,000","-171,520,000","-188,227,000","-228,866,000","-250,635,000","-273,292,000","-283,475,000","-219,116,000","-167,000,000","-171,088,000","-162,578,000"
TotalCapitalization,"1,998,318,000","1,916,150,000","1,891,879,000","1,846,604,000","1,813,549,000","1,782,411,000","1,766,870,000","1,776,169,000","1,715,250,000","1,582,140,000","1,593,336,000"
CommonStockEquity,"1,493,034,000","1,451,151,000","1,427,164,000","1,382,173,000","1,349,403,000","1,319,103,000","1,303,888,000","1,269,513,000","485,406,000","479,996,000","490,023,000"
CapitalLeaseObligations,"6,235,000","5,274,000","3,977,000","11,569,000","11,802,000","11,933,000","11,879,000","11,823,000","12,080,000","12,108,000","11,902,000"
NetTangibleAssets,"245,466,000","185,946,000","233,202,000","176,075,000","130,822,000","87,982,000","60,124,000","12,228,000","-785,176,000","-792,862,000","-796,693,000"
WorkingCapital,"347,268,000","274,481,000","361,991,000","356,577,000","331,575,000","314,562,000","300,655,000","328,949,000","261,052,000","140,973,000","150,593,000"
InvestedCapital,"1,998,318,000","1,916,150,000","1,891,879,000","1,846,604,000","1,813,549,000","1,782,411,000","1,766,870,000","1,776,169,000","1,723,554,000","1,590,444,000","1,601,640,000"
TangibleBookValue,"245,466,000","185,946,000","233,202,000","176,075,000","130,822,000","87,982,000","60,124,000","12,228,000","-785,176,000","-792,862,000","-796,693,000"
TotalDebt,"511,519,000","470,273,000","468,692,000","476,000,000","475,948,000","475,241,000","474,861,000","518,479,000","1,250,228,000","1,122,556,000","1,123,519,000"
NetDebt,"479,472,000","398,943,000","214,179,000","243,967,000","312,829,000","253,274,000","247,970,000","291,545,000","1,143,450,000","1,087,980,000","1,005,670,000"
ShareIssued,"155,108,727","155,032,477","154,866,413","154,829,253","154,739,338","154,735,717","154,637,340","154,635,540","141,957,150","141,957,150","141,957,150"
OrdinarySharesNumber,"155,108,727","155,032,477","154,866,413","154,829,253","154,739,338","154,735,717","154,637,340","154,635,540","141,957,150","141,957,150","141,957,150"
