name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,12/31/2015
			GrossPPE,"32,883,000","61,142,000","19,965,000","19,428,000","21,146,000","45,737,000","20,061,000","22,468,000","24,604,000","44,109,000","26,272,000","27,221,000","27,440,000","26,602,000",,,,"21,312,000",,,,"16,252,000",,,"15,470,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,"0"
				MachineryFurnitureEquipment,,"32,647,000",,,,"26,847,000",,,,"20,898,000",,,,"16,525,000",,,,"12,057,000",,,,"8,841,000",,,"6,526,000"
				OtherProperties,"32,883,000","17,495,000","19,965,000","19,428,000","21,146,000","8,708,000","20,061,000","22,468,000","24,604,000","12,549,000","26,272,000","27,221,000","27,440,000",,,,,,,,,,,,
				ConstructionInProgress,,"938,000",,,,"17,000",,,,"528,000",,,,"0",,,,"180,000",,,,"523,000",,,"1,274,000"
				Leases,,"10,062,000",,,,"10,165,000",,,,"10,134,000",,,,"10,077,000",,,,"9,075,000",,,,"6,888,000",,,"7,670,000"
			AccumulatedDepreciation,,"-28,557,000",,,,"-23,790,000",,,,"-18,536,000",,,,"-13,066,000",,,,"-8,543,000",,,,"-4,934,000",,,"-3,051,000"
		GoodwillAndOtherIntangibleAssets,"580,040,000","356,475,000","353,776,000","353,864,000","351,349,000","354,446,000","216,131,000","216,145,000","213,595,000","213,927,000","213,625,000","216,019,000","218,815,000","221,946,000","224,931,000","227,619,000","230,180,000","232,770,000","235,397,000","237,968,000","240,975,000","243,847,000","246,599,000","217,592,000","222,949,000"
			Goodwill,"443,861,000","289,710,000","289,710,000","289,710,000","289,710,000","289,710,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,138,000","185,052,000","163,154,000","163,154,000"
			OtherIntangibleAssets,"136,179,000","66,765,000","64,066,000","64,154,000","61,639,000","64,736,000","30,993,000","31,007,000","28,457,000","28,789,000","28,487,000","30,881,000","33,677,000","36,808,000","39,793,000","42,481,000","45,042,000","47,632,000","50,259,000","52,830,000","55,837,000","58,709,000","61,547,000","54,438,000","59,795,000"
