name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,09/30/1995
				OtherProperties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,143,867,000",,,,"1,152,598,000","1,160,632,000",,,"1,131,813,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-319,941,000","-321,253,000","-314,915,000","-305,585,000","-297,147,000","-288,529,000","-280,147,000","-271,797,000","-263,496,000","-255,309,000","-252,336,000","-245,178,000","-239,152,000","-233,429,000","-225,009,000","-216,644,000","-208,207,000","-199,853,000","-193,350,000","-185,258,000","-177,988,000","-170,233,000","-162,855,000","-155,843,000","-148,866,000","-142,194,000","-136,153,000","-130,550,000","-125,097,000","-119,703,000","-114,761,000","-109,750,000","-104,729,000","-100,173,000","-95,504,000","-92,498,000","-88,767,000","-84,184,000","-79,771,000","-75,344,000","-70,916,000","-66,787,000","-62,865,000","-59,091,000","-55,502,000","-52,003,000","-48,605,000","-45,253,000","-43,120,000","-39,973,000","-36,681,000","-33,453,000",,,,"-21,339,000",,,,"-11,639,000",,,,"-5,457,000",,,,
		GoodwillAndOtherIntangibleAssets,"16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","54,544,000","4,325,000","4,522,000","1,303,000","1,970,000","1,322,000","1,282,000","2,204,000","2,646,000",,"1,922,000","1,092,000","983,000","1,367,000","2,321,000","2,891,000","1,651,000","1,544,000","1,641,000","2,523,000",,,,,,,,,"27,000","54,000",,,"389,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","16,500,000","54,544,000","4,325,000","4,522,000","1,303,000","1,970,000","1,322,000","1,282,000","2,204,000","2,646,000",,"1,922,000","1,092,000","983,000","1,367,000","2,321,000","2,891,000","1,651,000","1,544,000","1,641,000","2,523,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentProperties,"6,406,109,000","6,082,807,000","5,272,345,000","4,950,208,000","4,699,416,000","4,457,145,000","4,357,660,000","4,087,667,000","4,100,726,000","3,993,140,000","3,958,024,000","3,788,030,000","3,745,860,000","3,694,258,000","3,675,617,000","3,675,667,000","3,681,129,000","3,697,096,000","3,704,541,000","3,711,344,000","3,713,610,000","3,707,604,000","3,688,973,000","2,435,773,000","2,353,127,000","2,026,507,000","2,021,359,000","1,958,972,000","1,891,833,000","1,766,282,000","1,712,828,000","1,674,264,000","1,585,374,000","1,498,165,000","1,460,050,000","1,434,139,000","1,437,550,000","1,427,002,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"214,641,000","213,003,000","161,834,000","139,495,000","140,415,000","143,042,000","143,633,000","147,749,000","147,326,000","154,984,000","150,182,000","134,455,000","135,342,000","145,911,000","135,328,000","133,225,000","133,106,000","133,458,000","134,232,000","132,524,000","89,046,000","67,300,000","66,667,000","67,157,000","64,985,000","62,520,000","57,185,000","57,580,000","57,659,000","57,803,000","38,911,000","36,750,000","30,199,000","30,391,000","37,841,000","36,571,000","34,263,000","34,255,000","34,524,000","34,363,000","33,901,000","31,939,000","30,911,000","19,558,000","19,604,000","19,730,000","19,710,000","19,791,000","19,839,000","19,944,000","19,974,000","19,989,000","20,010,000","20,111,000","16,684,000","100,000",,"0","797,000","2,888,000","1,649,000","2,274,000","2,169,000","4,505,000","4,277,000","2,236,000","890,000","949,000","1,015,000","1,113,000","1,295,000","2,821,000","2,874,000","2,926,000","3,196,000","3,227,000","3,292,000","3,386,000","4,157,000","4,134,000","4,064,000","3,659,000","4,659,000","4,595,000","4,476,000","4,033,000",,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"214,641,000","213,003,000","161,834,000","139,495,000","140,415,000","143,042,000","143,633,000","147,749,000","147,326,000","154,984,000","150,182,000","134,455,000","135,342,000","145,911,000","135,328,000","133,225,000","133,106,000","133,458,000","134,232,000","132,524,000","89,046,000","67,300,000","66,667,000","67,157,000","64,985,000","62,520,000","57,185,000","57,580,000","57,659,000","57,803,000","38,911,000","36,750,000","30,199,000","30,391,000","37,841,000","36,571,000","34,263,000","34,255,000","34,524,000","34,363,000","33,901,000","31,939,000","30,911,000","19,558,000","19,604,000","19,730,000",,,,,"19,974,000","19,989,000","20,010,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"214,641,000","213,003,000","161,834,000","139,495,000","140,415,000","143,042,000","143,633,000","147,749,000","147,326,000","154,984,000","150,182,000","134,455,000","135,342,000","145,911,000","135,328,000","133,225,000","133,106,000","133,458,000","134,232,000","132,524,000","89,046,000","67,300,000","66,667,000","67,157,000","64,985,000","62,520,000","57,185,000","57,580,000","57,659,000","57,803,000","38,911,000","36,750,000","30,199,000","30,391,000","37,841,000","36,571,000","34,263,000","34,255,000","34,524,000","34,363,000","33,901,000","31,939,000","30,911,000","19,558,000","19,604,000","19,730,000",,,,,"19,974,000","19,989,000","20,010,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,,,,,,,,,,,,,,"0","0","177,000","277,000","205,000",,,,"0",,"0","0","550,000",,,,"0","547,000","0","580,000","794,000","166,000","889,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,"797,000","918,000","1,302,000","1,124,000","1,041,000","1,807,000","1,006,000","742,000","994,000","900,000","1,397,000","869,000","1,022,000","1,296,000","1,223,000","747,000","1,045,000","659,000","929,000","814,000","811,000","728,000","583,000","714,000","543,000","860,000","883,000","782,000","655,000","740,000","856,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
