name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,06/30/2010
			GrossPPE,"75,007,554","71,469,585","67,280,859","64,271,543","60,276,922","54,716,223","50,294,600","44,411,653","41,393,727","37,466,273","35,984,298","34,115,749","33,773,986","33,536,762","33,242,774","32,674,869","32,418,792","31,752,780","30,574,903","28,986,051",,"4,224,049",,,,"4,150,639",,,,"4,124,566",,,,"1,801,315",,,,"1,604,680",,,,,,,,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,
				LandAndImprovements,"4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","4,339,441","11,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"19,093,765","19,067,032","18,962,987","18,694,960","18,247,277","17,396,557","17,422,006","16,869,821","16,480,277","16,063,680","16,063,679","16,063,049","15,700,092","15,685,325","15,670,559","15,660,559","15,660,559","15,660,559","15,660,559","8,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"8,016,866","7,471,602","7,034,388","6,166,233","5,513,867","5,643,113","4,294,912","3,620,985","3,353,988","2,272,336","2,500,036","2,455,265","2,783,223","2,772,546","2,735,188","2,694,346","2,504,049","2,223,379","1,199,992","730,494",,"1,524,945",,,,"1,460,319",,,,"1,424,830",,,,"858,962",,,,"664,577",,,,,,,,,
				OtherProperties,"24,206,903","23,965,649","22,494,438","21,911,245","20,971,649","18,728,065","17,193,801","9,898,186","9,524,749","8,831,817","8,705,021","8,367,061","8,366,402","8,233,203","7,386,573","7,258,395","7,148,405","7,148,405","7,901,218","8,176,699",,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,
				ConstructionInProgress,"6,384,242","5,496,222","5,332,751","5,966,844","5,932,680","3,336,557","3,750,517","6,672,211","6,022,188","4,285,915","2,703,037","1,217,849","911,744","845,538","1,460,984","1,072,099","1,116,309","738,093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,"12,966,337","11,129,639","9,116,854","7,192,820","5,272,008","5,272,490","3,293,923","3,011,009","1,673,084","1,673,084","1,673,084","1,673,084","1,673,084","1,660,709","1,650,029","1,650,029","1,650,029","1,642,903","1,473,693","78,858",,"2,699,104",,,,"2,690,320",,,,"2,699,736",,,,"942,353",,,,"940,103",,,,,,,,,
			AccumulatedDepreciation,"-14,680,432","-13,271,853","-12,196,193","-10,955,523","-9,904,014","-8,863,942","-7,889,103","-7,038,287","-6,332,932","-5,724,956","-5,271,383","-4,671,260","-4,079,222","-3,421,032","-2,880,145","-2,337,584","-1,803,262","-1,285,922","-819,362","-359,383",,"-2,223,265",,,,"-1,753,689",,,,"-1,283,868",,,,"-1,036,016",,,,"-825,383",,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"5,079,439","5,258,277","5,437,116","5,615,954","5,794,792","5,973,630","6,152,468","6,331,306","6,510,145","6,688,983","6,900,217","7,111,452","7,322,686","7,533,921","7,745,155","7,956,390","8,167,624","8,378,859","9,266,684","9,540,512",,,,,,,,,,,,,,,,,,,,,,,,,,,
			Goodwill,"3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509","3,529,509",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"1,549,930","1,728,768","1,907,607","2,086,445","2,265,283","2,444,121","2,622,959","2,801,797","2,980,636","3,159,474","3,370,708","3,581,943","3,793,177","4,004,412","4,215,646","4,426,881","4,638,115","4,849,350","5,737,175","6,011,003",,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,"3,554",,"37,888","18,000","180,617","271,621","307,309","323,232","307,700","149,618","282,262","203,092","245,416","363,403","0","0","0",,,,,,
		NonCurrentPrepaidAssets,"2,825,748","4,067,404","3,333,514","2,526,660","2,222,781","2,106,976","1,869,548","4,846,834","3,465,207","2,840,044","2,843,332","2,829,186","2,768,374","1,543,737","530,173","533,422","539,572","510,057","750,693","502,454","29,563","27,163","27,163","27,163","27,163","27,163","27,163","27,163","27,163","27,163","27,163","27,163","27,163","12,577","12,577","12,577","12,577","12,577",,,,,,,,,
		OtherNonCurrentAssets,,,,,,,,,,,,,,"5,153,508","5,204,391","5,295,392","5,395,444","5,496,410","1,596,493","1,698,755","29,563","27,163","27,163","27,163","27,163","27,163","27,163","27,163","27,163","27,163",,"27,163","27,163","12,577","452,004","452,004","452,004","452,004","439,540","439,540","349,540",,,,,,
TotalLiabilitiesNetMinorityInterest,"181,099,427","135,080,158","135,860,239","121,220,260","123,162,942","119,423,968","118,600,089","114,662,113","114,188,144","100,897,576","101,661,701","96,368,259","68,081,016","69,106,083","69,138,886","65,992,922","68,112,226","67,686,076","59,820,972","56,957,264","28,353,266","28,142,347","27,647,526","27,825,853","23,054,235","22,893,543","22,909,788","20,280,264","20,497,212","21,218,847","16,042,268","15,580,355","16,047,637","10,406,584","9,437,622","8,962,133","7,416,664","6,131,673","1,617,786","1,228,134","1,257,958","5,306","9,809","9,818","5,818","4,818","12,358"
	CurrentLiabilities,"31,566,512","30,378,315","32,337,243","18,186,396","21,205,738","19,947,367","16,473,583","12,880,029","13,908,103","14,027,893","15,150,100","10,128,568","8,338,127","9,625,046","9,892,987","6,917,086","9,442,837","9,440,183","13,338,866","15,645,011","12,957,920","11,222,861","9,207,805","5,082,539","4,291,028","4,216,532","4,298,235","3,200,041","3,786,811","4,197,897","4,118,670","3,796,785","4,303,402","3,657,846","2,517,119","2,028,744","2,100,801","1,817,319","1,403,533","1,005,640","1,027,057","5,306","9,809","9,818","5,818","4,818","12,358"
		PayablesAndAccruedExpenses,"27,680,921","28,632,411","29,187,164","15,722,348","20,744,994","19,438,851","16,054,761","12,526,325","13,571,282","13,655,986","13,722,674","9,762,620","7,985,787","9,452,229","9,720,710","6,745,260","9,300,003","9,239,351","13,016,462","8,816,128","6,129,164","4,950,037","4,602,019","4,921,552","4,130,392","4,056,239","4,134,105","3,110,117","3,697,102","4,108,500","4,029,580","3,707,995","4,214,905","3,569,636","2,429,190","1,947,386","2,088,970","1,805,750","1,393,356","995,463","1,017,106","5,306","9,809","9,818","5,818","4,818","12,358"
			Payables,"14,115,135","12,429,409","17,282,841","6,167,465","12,152,852","11,073,708","7,979,772","6,909,659","9,152,239","9,174,591","8,959,903","6,788,144","5,479,791","5,900,394","5,267,683","3,101,079","5,718,121","5,920,873","9,156,341","4,672,316","3,904,445","2,564,681","2,777,221","3,317,052","2,468,470","2,087,855","2,184,686","1,647,556","1,778,953","1,779,197","2,444,904","2,339,722","2,763,872","2,709,489","1,482,643","1,158,826","1,379,011","1,058,671","890,762","790,869","508,852",,,,,,
				AccountsPayable,"14,115,135","12,429,409","17,282,841","6,167,465","12,152,852","11,073,708","7,979,772","6,909,659","9,152,239","9,174,591","8,959,903","6,788,144","5,479,791","5,900,394","5,267,683","3,101,079","5,718,121","5,920,873","9,156,341","4,672,316","3,904,445","2,564,681","2,777,221","3,317,052","2,468,470","2,087,855","2,184,686","1,647,556","1,778,953","1,779,197","2,444,904","2,339,722","2,763,872","2,709,489","1,482,643","1,158,826","1,379,011","1,058,671","890,762","790,869","508,852",,,,,,
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,"0","0",,,,,,
			CurrentAccruedExpenses,"13,565,786","16,203,002","11,904,323","9,554,883","8,592,142","8,365,143","8,074,989","5,616,666","4,419,043","4,481,395","4,762,771","2,974,476","2,505,996","3,551,835","4,453,027","3,644,181","3,581,882","3,318,478","3,860,121","4,143,812","2,224,719","2,385,356","1,824,798","1,604,500","1,661,922","1,968,384","1,949,419","1,462,561","1,918,149","2,329,303","1,584,676","1,368,273","1,451,033","860,147","946,547","788,560","709,959","747,079","502,594","204,594","508,254","5,306","9,809","9,818","5,818","4,818","12,358"
				InterestPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","114,715","105,664","73,666","142,274","101,102","36,597","35,417","35,417","33,292",,"0","0","0",,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,"624,522","789,534",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"654,003","591,084","501,239","385,858","317,910","365,682","275,988","210,870","193,987","229,073","229,516","223,114","209,506","29,983","29,443","28,992",,,"0","6,666,667","6,683,602","6,127,670","4,460,632","15,833","15,482","15,139","14,804","14,368","14,154","13,841","13,534","13,234","12,941","12,654","12,373","12,099","11,831","11,569","10,177","10,177","9,951",,,,,,
			CurrentDebt,,,,,,,,,,,,,,,,,,,"0","6,666,667","6,666,667","6,111,111","4,444,440",,,,,,,,,,,,,,,,"0",,,,,,,,
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,,,,"6,666,667","6,666,667","6,111,111","4,444,440",,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"654,003","591,084","501,239","385,858","317,910","365,682","275,988","210,870","193,987","229,073","229,516","223,114","209,506","29,983","29,443","28,992",,,,,"16,935","16,559","16,192","15,833","15,482","15,139","14,804","14,368","14,154","13,841","13,534","13,234","12,941","12,654","12,373","12,099","11,831","11,569","10,177","10,177","9,951",,,,,,
		CurrentDeferredLiabilities,"142,834","142,834","142,834","142,834","142,834","142,834","142,834","142,834","142,834","142,834","1,197,910","142,834","142,834","142,834","142,834","142,834","142,834","142,834","145,154","145,154","145,154","145,154","145,154","145,154","145,154","145,154","149,326","75,556","75,555","75,556","75,556","75,556","75,556","75,556","75,556","69,259",,,,,,,,,,,
			CurrentDeferredRevenue,"142,834","142,834","142,834","142,834","142,834","142,834","142,834","142,834","142,834","142,834","1,197,910","142,834","142,834","142,834","142,834","142,834","142,834","142,834","145,154","145,154","145,154","145,154","145,154","145,154","145,154","145,154","149,326","75,556","75,555","75,556","75,556","75,556","75,556","75,556","75,556","69,259",,,,,,,,,,,
