name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012
		DepreciationAndAmortizationInIncomeStatement,"30,468,000","7,629,000","7,641,000","10,861,000","4,337,000","2,665,000","2,776,000","2,771,000","2,794,000","3,131,000","3,329,000","2,581,000","2,556,000","4,067,000","4,041,000","4,023,000","4,020,000","3,997,000","4,005,000","4,041,000","4,067,000","4,115,000","4,108,000","4,083,000","4,061,000","4,356,000","4,289,000","4,283,000","4,265,000","4,381,000","4,475,000","4,668,000","4,832,000","2,578,000","2,584,610","2,585,615","1,848,472","1,010,000","980,823","919,788","921,228"
	OtherOperatingExpenses,"3,349,000","1,118,000","455,000","413,000","1,363,000","6,728,000","6,000","172,000","27,000","3,021,000","268,000","530,000","422,000","231,000","506,000","193,000","541,000","233,000","445,000","332,000","474,000","2,250,000","1,492,000","638,000","119,000","13,000","65,000","75,000","306,000",,"0","972,000","62,000","249,000","899,557","122,055","1,380,353","3,292,000","187,446","429,941","85,613"
OperatingIncome,"-2,926,000","-5,731,000","5,422,000","-7,671,000","5,054,000","5,014,000","17,912,000","12,416,000","9,146,000","4,057,000","13,347,000","10,421,000","14,039,000","9,697,000","18,881,000","10,889,000","8,288,000","4,794,000","-629,000","8,407,000","10,498,000","7,057,000","12,603,000","9,570,000","10,693,000","7,163,000","11,081,000","7,951,000","8,814,000","7,053,000","10,209,000","5,614,000","6,628,000","3,645,000","4,251,991","4,110,019","384,221","-92,000","9,019,336","3,650,546","5,455,332"
NetNonOperatingInterestIncomeExpense,"-12,789,000","-3,164,000","-3,182,000","-3,278,000","-3,165,000","-2,358,000","-2,543,000","-2,551,000","-2,496,000","-2,786,000","-2,875,000","-3,113,000","-3,005,000","-2,960,000","-3,156,000","-3,073,000","-3,019,000","-2,884,000","-2,816,000","-2,863,000","-2,598,000","-2,628,000","-2,872,000","-2,954,000","-2,869,000","-2,956,000","-3,015,000","-3,080,000","-3,008,000","-2,983,000","-3,054,000","-3,029,000","-2,936,000","-2,907,000","-2,967,190","-2,338,838","-1,154,775","-759,000","-824,284","-853,372","-771,009"
	InterestExpenseNonOperating,"12,789,000","3,164,000","3,182,000","3,278,000","3,165,000","2,358,000","2,543,000","2,551,000","2,496,000","2,786,000","2,875,000","3,113,000","3,005,000","2,960,000","3,156,000","3,073,000","3,019,000","2,884,000","2,816,000","2,863,000","2,598,000","2,628,000","2,872,000","2,954,000","2,869,000","2,956,000","3,015,000","3,080,000","3,008,000","2,983,000","3,054,000","3,029,000","2,936,000","2,907,000","2,967,190","2,338,838","1,154,775","759,000","824,284","853,372","771,009"
	TotalOtherFinanceCost,,,,,,,,,,,"2,875,000","3,113,000","3,005,000","2,960,000","3,156,000","3,073,000","3,019,000","2,884,000","2,816,000","2,863,000","2,598,000","2,628,000","2,872,000","2,954,000","2,869,000","2,956,000","3,015,000","3,080,000","3,008,000","2,983,000","3,054,000","3,029,000","2,936,000","2,907,000","2,967,190","2,338,838","1,154,775","759,000","824,284","853,372","771,009"
OtherIncomeExpense,"-16,530,000","-4,726,000","-2,986,000","-2,373,000","-6,445,000","31,993,000","-3,457,000","16,000","-10,371,000","-12,489,000","-4,549,000","-6,734,000","-9,739,000","-5,914,000","-7,022,000","-5,641,000","-8,791,000","-9,792,000","-6,173,000","-3,104,000","119,000","0","0","9,000","-16,000","1,000","-2,000","-75,000","-34,000","3,000","0","-1,171,000","-16,000","2,000","-132,377","-1,686,046","-55,542","-37,000","-11,500","-12,501","-10,999"
	EarningsFromEquityInterest,"-19,702,000","-4,772,000","-3,139,000","-3,222,000","-8,569,000","32,609,000","-4,062,000","-988,000","-10,189,000","-7,019,000","-6,223,000","-6,888,000","-9,784,000","-7,376,000","-7,928,000","-8,657,000","-8,826,000","-9,795,000","-9,435,000","-2,571,000",,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"2,632,000","46,000","153,000","309,000","2,124,000","52,000","605,000","1,004,000","-182,000","-5,470,000","1,674,000","154,000","45,000","1,462,000","906,000","3,016,000","35,000","3,000","3,262,000","-533,000","-2,000","0","0","9,000","-16,000","1,000","-2,000","0","-34,000","3,000","0","-1,171,000","-16,000","2,000","-131,877","-1,648,546","-43,042","-25,000","-49,000","0","1,500"
		RestructuringAndMergernAcquisition,"-2,632,000","-46,000","-153,000","-309,000","-2,124,000","-52,000","-122,000","-1,004,000","182,000","-9,000","-78,000","-154,000","-45,000","-1,462,000","-906,000","-936,000",,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,"0","0",,,"13,000","533,000",,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,"0","0","0","0","0","0","0","5,479,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,,,,,,"0","-2,080,000",,,"-3,252,000",,,,,,,,,"75,000",,,"0","1,116,000",,,"454","1,648,546",,"3,329,070","236,446","429,941",
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,"35,000","3,000","25,000","0","-2,000","0","0","9,000","-16,000","1,000","-2,000","0","-34,000","3,000","0","-55,000","-16,000","2,000","-131,423","0","-43,042","-25,000","-49,000","0","1,500"
	OtherNonOperatingIncomeExpenses,,,"0","540,000",,"-668,000",,,,,,,,,,"2,080,000",,,,,"121,000",,,,,,,,,,,,,,"-500","-37,500","-12,500","-12,000",,"-12,501","-12,499"
PretaxIncome,"-32,245,000","-13,621,000","-746,000","-13,322,000","-4,556,000","34,649,000","11,912,000","9,881,000","-3,721,000","-11,218,000","5,923,000","574,000","1,295,000","823,000","8,703,000","2,175,000","-3,522,000","-7,882,000","-9,618,000","2,440,000","8,019,000","4,429,000","9,731,000","6,625,000","7,808,000","4,208,000","8,064,000","4,871,000","5,772,000","4,073,000","7,155,000","1,414,000","3,676,000","740,000","1,152,424","85,135","-826,096","-888,000","8,183,552","2,784,673","4,673,324"
TaxProvision,"3,333,000","-393,000","462,000","1,479,000","1,785,000","1,268,000","3,119,000","4,664,000","2,884,000","-1,675,000","2,144,000","3,743,000","3,643,000","2,556,000","5,781,000","3,229,000","1,584,000","-323,000","12,426,000","1,758,000","2,838,000","1,684,000","3,809,000","2,276,000","2,779,000","1,508,000","3,130,000","1,961,000","2,341,000","1,611,000","2,828,000","751,000","-1,642,000","492,000","-934,115","4,070,252","357,011","-363,000","1,633,472","1,828,984","2,022,287"
NetIncomeCommonStockholders,"-35,523,000","-13,228,000","-1,208,000","-14,801,000","-6,286,000","33,358,000","9,578,000","5,297,000","-6,682,000","-9,428,000","3,846,000","-3,169,000","-2,358,000","-1,686,000","2,813,000","-1,054,000","-5,106,000","-7,559,000","-22,044,000","682,000","5,181,000","2,745,000","5,922,000","4,349,000","5,029,000","2,700,000","4,934,000","2,910,000","3,431,000","2,462,000","4,327,000","663,000","5,318,000","248,000","2,086,539","-3,985,117","-1,183,107","-525,000","6,550,080","955,689","2,651,037"
	NetIncome,"-35,523,000","-13,228,000","-1,208,000","-14,801,000","-6,286,000","33,358,000","9,578,000","5,297,000","-6,682,000","-9,428,000","3,846,000","-3,169,000","-2,358,000","-1,686,000","2,813,000","-1,054,000","-5,106,000","-7,559,000","-22,044,000","682,000","5,181,000","2,745,000","5,922,000","4,349,000","5,029,000","2,700,000","4,934,000","2,910,000","3,431,000","2,462,000","4,327,000","663,000","5,318,000","248,000","2,086,539","-3,985,117","-1,183,107","-525,000","6,550,080","955,689","2,651,037"
		NetIncomeIncludingNoncontrollingInterests,"-35,578,000","-13,228,000","-1,208,000","-14,801,000","-6,341,000","33,381,000","8,793,000","5,217,000","-6,605,000","-9,543,000","3,779,000","-3,169,000","-2,348,000","-1,733,000","2,922,000","-1,054,000","-5,106,000","-7,559,000","-22,044,000","682,000","5,181,000","2,745,000","5,922,000","4,349,000","5,029,000","2,700,000","4,934,000","2,910,000","3,431,000","2,462,000","4,327,000","663,000","5,318,000","248,000","2,086,539","-3,985,117","-1,183,107","-525,000","6,550,080","955,689","2,651,037"
			NetIncomeContinuousOperations,"-35,578,000","-13,228,000","-1,208,000","-14,801,000","-6,341,000","33,381,000","8,793,000","5,217,000","-6,605,000","-9,543,000","3,779,000","-3,169,000","-2,348,000","-1,733,000","2,922,000","-1,054,000","-5,106,000","-7,559,000","-22,044,000","682,000","5,181,000","2,745,000","5,922,000","4,349,000","5,029,000","2,700,000","4,934,000","2,910,000","3,431,000","2,462,000","4,327,000","663,000","5,318,000","248,000","2,086,539","-3,985,117","-1,183,107","-525,000","6,550,080","955,689","2,651,037"
		MinorityInterests,"55,000","0","0","0","55,000","-23,000","785,000","80,000","-77,000","115,000","67,000","0","-10,000","47,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-35,523,000","-13,228,000","-1,208,000","-14,801,000","-6,286,000","33,358,000","9,578,000","5,297,000","-6,682,000","-9,428,000","3,846,000","-3,169,000","-2,358,000","-1,686,000","2,813,000","-1,054,000","-5,106,000","-7,559,000","-22,044,000","682,000","5,181,000","2,745,000","5,922,000","4,349,000","5,029,000","2,700,000","4,934,000","2,910,000","3,431,000","2,462,000","4,327,000","663,000","5,318,000","248,000","2,086,539","-3,985,117","-1,183,107","-525,000","6,550,080","955,689","2,651,037"
BasicEPS,,"-0.33",,"-0.37","-0.16","0.85",,"0.13","-0.17","-0.24",,"-0.08","-0.06","-0.04",,"-0.03","-0.13","-0.19",,"0.02","0.13","0.07",,"0.11","0.12","0.06",,"0.07","0.08","0.06",,"0.02","0.13","0.01",,"-0.09","-0.03","-0.012",,"0.021","0.059"
DilutedEPS,,"-0.33",,"-0.37","-0.16","0.84",,"0.13","-0.17","-0.24",,"-0.08","-0.06","-0.04",,"-0.03","-0.13","-0.19",,"0.02","0.13","0.07",,"0.11","0.12","0.06",,"0.07","0.08","0.06",,"0.02","0.13","0.01",,"-0.09","-0.03","-0.012",,"0.021","0.059"
BasicAverageShares,,"39,730,000",,"39,713,000","39,641,000","39,380,000",,"39,489,000","39,444,000","39,313,000",,"39,209,000","39,164,000","39,031,000",,"38,969,000","39,021,000","38,955,000",,"40,398,000","40,633,000","40,514,000",,"40,499,000","42,546,000","43,142,000",,"43,103,000","42,737,000","42,396,000",,"42,383,000","42,345,000","42,172,000",,"42,171,763","40,710,542","45,041,100",,"45,041,100","45,041,100"
DilutedAverageShares,,"39,730,000",,"39,713,000","39,641,000","39,756,000",,"39,525,000","39,444,000","39,313,000",,"39,209,000","39,164,000","39,031,000",,"38,969,000","39,021,000","38,955,000",,"40,925,000","40,808,000","40,760,000",,"41,035,000","42,807,000","44,469,000",,"44,143,000","43,290,000","43,245,000",,"42,587,000","42,518,000","42,609,000",,"42,171,763","40,710,542","45,041,100",,"45,041,100","45,041,100"
TotalOperatingIncomeAsReported,"-294,000","-5,685,000","5,575,000","-7,362,000","7,178,000","5,066,000","15,250,000","13,420,000","8,964,000","4,066,000","13,425,000","10,575,000","14,084,000","11,159,000","19,787,000","11,825,000","8,323,000","4,797,000","-604,000","8,407,000","10,496,000","7,057,000","12,603,000","9,579,000","10,677,000","7,164,000","11,079,000","7,951,000","8,780,000","7,056,000","10,209,000","5,559,000","6,612,000","3,647,000","4,120,568","4,110,019","341,179","-117,000","8,970,336","3,650,546","5,456,832"
TotalExpenses,"209,798,000","54,530,000","51,400,000","58,462,000","45,406,000","32,563,000","28,956,000","24,756,000","25,589,000","28,352,000","25,937,000","25,425,000","25,108,000","25,413,000","27,133,000","26,350,000","26,503,000","24,241,000","24,581,000","23,766,000","24,682,000","26,102,000","26,804,000","23,546,000","24,338,000","23,808,000","25,155,000","23,514,000","23,804,000","22,418,000","22,993,000","23,167,000","22,427,000","17,306,000","21,624,268","19,594,547","22,545,060","13,587,000","14,070,751","13,893,308","11,772,308"
NetIncomeFromContinuingAndDiscontinuedOperation,"-35,523,000","-13,228,000","-1,208,000","-14,801,000","-6,286,000","33,358,000","9,578,000","5,297,000","-6,682,000","-9,428,000","3,846,000","-3,169,000","-2,358,000","-1,686,000","2,813,000","-1,054,000","-5,106,000","-7,559,000","-22,044,000","682,000","5,181,000","2,745,000","5,922,000","4,349,000","5,029,000","2,700,000","4,934,000","2,910,000","3,431,000","2,462,000","4,327,000","663,000","5,318,000","248,000","2,086,539","-3,985,117","-1,183,107","-525,000","6,550,080","955,689","2,651,037"
NormalizedIncome,"-37,102,200","-13,272,672.785","-1,319,690","-15,026,570","-7,836,520","33,307,902.97","9,131,411.266","4,564,080","-6,549,140","-4,774,745.409","2,777,952.389","-3,281,420","-2,390,850","-2,753,260","2,151,620","-3,255,680","-5,131,550","-7,561,877.062","-24,001,200","1,001,800","5,182,292.181","2,745,000","5,922,000","4,343,091.925","5,039,305.328","2,699,358.365","4,935,223.71","2,910,000","3,451,400","2,460,185","4,327,000","1,424,150","5,328,400","246,776","2,172,259.05","-2,913,562.1","-1,155,129.7","-508,750","6,589,299.39","955,689","2,650,062"
InterestExpense,"12,789,000","3,164,000","3,182,000","3,278,000","3,165,000","2,358,000","2,543,000","2,551,000","2,496,000","2,786,000","2,875,000","3,113,000","3,005,000","2,960,000","3,156,000","3,073,000","3,019,000","2,884,000","2,816,000","2,863,000","2,598,000","2,628,000","2,872,000","2,954,000","2,869,000","2,956,000","3,015,000","3,080,000","3,008,000","2,983,000","3,054,000","3,029,000","2,936,000","2,907,000","2,967,190","2,338,838","1,154,775","759,000","824,284","853,372","771,009"
NetInterestIncome,"-12,789,000","-3,164,000","-3,182,000","-3,278,000","-3,165,000","-2,358,000","-2,543,000","-2,551,000","-2,496,000","-2,786,000","-2,875,000","-3,113,000","-3,005,000","-2,960,000","-3,156,000","-3,073,000","-3,019,000","-2,884,000","-2,816,000","-2,863,000","-2,598,000","-2,628,000","-2,872,000","-2,954,000","-2,869,000","-2,956,000","-3,015,000","-3,080,000","-3,008,000","-2,983,000","-3,054,000","-3,029,000","-2,936,000","-2,907,000","-2,967,190","-2,338,838","-1,154,775","-759,000","-824,284","-853,372","-771,009"
EBIT,"-19,456,000","-10,457,000","2,436,000","-10,044,000","-1,391,000","37,007,000","14,455,000","12,432,000","-1,225,000","-8,432,000","8,798,000","3,687,000","4,300,000","3,783,000","11,859,000","5,248,000","-503,000","-4,998,000","-6,802,000","5,303,000","10,617,000","7,057,000","12,603,000","9,579,000","10,677,000","7,164,000","11,079,000","7,951,000","8,780,000","7,056,000","10,209,000","4,443,000","6,612,000","3,647,000","4,119,614","2,423,973","328,679","-129,000","9,007,836","3,638,045","5,444,333"
EBITDA,"26,943,000"
ReconciledCostOfRevenue,"46,970,000","11,242,000","12,552,000","12,199,000","10,977,000","7,971,000","9,000,000","7,423,000","6,950,000","7,541,000","7,669,000","6,985,000","7,510,000","6,840,000","7,322,000","7,619,000","7,787,000","6,937,000","7,305,000","7,110,000","6,962,000","6,782,000","7,474,000","6,806,000","7,689,000","7,142,000","8,307,000","7,400,000","7,196,000","6,584,000","7,499,000","6,566,000","6,859,000","5,154,000","7,720,296","7,012,184","5,047,675","4,115,000","7,339,855","7,248,227","7,439,854"
ReconciledDepreciation,"46,399,000","11,512,000","12,043,000","14,686,000","8,158,000","6,473,000","7,564,000","6,342,000","8,404,000","6,557,000","6,822,000","6,041,000","6,363,000","7,441,000","7,593,000","7,443,000","7,067,000","6,487,000","6,239,000","6,814,000","7,403,000","7,578,000","7,280,000","7,103,000","7,010,000","7,397,000","7,562,000","7,132,000","6,977,000","7,250,000","7,359,000","7,276,000","7,265,000","5,022,000","4,996,572","5,863,784","4,472,644","2,751,000","2,791,933","2,905,647","921,228"
NetIncomeFromContinuingOperationNetMinorityInterest,"-35,523,000","-13,228,000","-1,208,000","-14,801,000","-6,286,000","33,358,000","9,578,000","5,297,000","-6,682,000","-9,428,000","3,846,000","-3,169,000","-2,358,000","-1,686,000","2,813,000","-1,054,000","-5,106,000","-7,559,000","-22,044,000","682,000","5,181,000","2,745,000","5,922,000","4,349,000","5,029,000","2,700,000","4,934,000","2,910,000","3,431,000","2,462,000","4,327,000","663,000","5,318,000","248,000","2,086,539","-3,985,117","-1,183,107","-525,000","6,550,080","955,689","2,651,037"
TotalUnusualItemsExcludingGoodwill,"2,632,000","46,000","153,000","309,000","2,124,000","52,000","605,000","1,004,000","-182,000","-5,470,000","1,674,000","154,000","45,000","1,462,000","906,000","3,016,000","35,000","3,000","3,262,000","-533,000","-2,000","0","0","9,000","-16,000","1,000","-2,000","0","-34,000","3,000","0","-1,171,000","-16,000","2,000","-131,877","-1,648,546","-43,042","-25,000","-49,000","0","1,500"
TotalUnusualItems,"2,632,000","46,000","153,000","309,000","2,124,000","52,000","605,000","1,004,000","-182,000","-5,470,000","1,674,000","154,000","45,000","1,462,000","906,000","3,016,000","35,000","3,000","3,262,000","-533,000","-2,000","0","0","9,000","-16,000","1,000","-2,000","0","-34,000","3,000","0","-1,171,000","-16,000","2,000","-131,877","-1,648,546","-43,042","-25,000","-49,000","0","1,500"
NormalizedEBITDA,"24,311,000","1,009,000","14,326,000","4,333,000","4,643,000","43,428,000","21,414,000","17,770,000","7,361,000","3,595,000","13,946,000","9,574,000","10,618,000","9,762,000","18,546,000","9,675,000","6,529,000","1,486,000","-3,825,000","12,650,000","18,022,000","14,635,000","19,883,000","16,673,000","17,703,000","14,560,000","18,643,000","15,083,000","15,791,000","14,303,000","17,568,000","12,890,000","13,893,000","8,667,000","9,248,063","9,936,303","4,844,365","2,647,000","11,848,769","6,543,692","6,364,061"
TaxRateForCalcs,"0.4","0.029","0.27","0.27","0.27","0.037","0.262","0.27","0.27","0.149","0.362","0.27","0.27","0.27","0.27","0.27","0.27","0.041","0.4","0.4","0.354","0.38","0.391","0.344","0.356","0.358","0.388","0.4","0.4","0.395","0.395","0.35","0.35","0.388","0.35","0.35","0.35","0.35","0.2","0.35","0.35"
TaxEffectOfUnusualItems,"1,052,800","1,327.215","41,310","83,430","573,480","1,902.97","158,411.266","271,080","-49,140","-816,745.409","605,952.389","41,580","12,150","394,740","244,620","814,320","9,450","122.938","1,304,800","-213,200","-707.819","0","0","3,091.925","-5,694.672","358.365","-776.29","0","-13,600","1,185","0","-409,850","-5,600","776","-46,156.95","-576,991.1","-15,064.7","-8,750","-9,780.61","0","525"
