name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002
EBIT,"46,159,000","2,371,000","7,720,000","24,352,000","11,716,000","6,041,000","-9,423,000","29,715,000","30,945,000","4,961,000","28,403,000","32,303,000","17,871,000","15,104,000","43,371,000","34,500,000","29,124,000","8,111,000","40,098,000","17,901,000","7,804,000","-10,944,000","15,470,000","4,633,000","-1,296,000","-7,319,000","23,140,000","18,488,000","681,000","10,015,000","31,837,000","24,733,000","4,537,000","-3,043,000","24,617,000","37,427,000","28,697,000","2,354,000","34,591,000","16,556,000","25,904,000","21,747,000","27,241,000","17,122,000","22,294,000","11,858,000","21,889,000","32,661,000","21,468,000","-7,597,000","-14,018,000","21,296,000","10,701,000","31,193,000","-2,050,000","-1,206,000","-5,280,000","-13,159,000","7,567,000","7,666,000","6,641,000","6,116,000","5,055,000","5,352,000","4,015,000","5,101,000","4,456,000","4,133,000","3,499,000","3,027,000","2,717,000","2,232,000","2,075,000"
EBITDA,"120,607,000"
ReconciledCostOfRevenue,"257,030,000","65,531,000","70,103,000","60,104,000","61,292,000","60,619,000","91,782,000","85,589,000","82,350,000","86,460,000","104,541,000","97,936,000","102,268,000","98,947,000","96,180,000","97,528,000","99,787,000","97,813,000","95,536,000","93,990,000","92,822,000","92,918,000","98,535,000","85,074,000","85,227,000","83,625,000","85,611,000","89,332,000","102,622,000","88,882,000","94,540,000","87,364,000","88,241,000","90,702,000","79,079,000","65,361,000","65,792,000","64,882,000","63,893,000","57,180,000","67,846,000","60,430,000","65,874,000","62,469,000","61,939,000","47,941,000","53,806,000","52,169,000","53,630,000","51,248,000","53,799,000","56,969,000","52,219,000","49,926,000","59,828,000","54,344,000","58,683,000","55,502,000","34,360,000","33,231,000","32,269,000","30,676,000","29,235,000","27,106,000","25,757,000","24,064,000","22,560,000","21,766,000","20,912,000","22,716,000","18,956,000","18,582,000","17,799,000"
ReconciledDepreciation,"74,448,000","18,048,000","18,539,000","19,241,000","18,620,000","19,049,000","26,950,000","25,720,000","23,807,000","23,931,000","23,652,000","23,114,000","21,812,000","22,954,000","22,684,000","21,296,000","20,972,000","23,963,000","25,851,000","24,463,000","25,994,000","29,422,000","28,846,000","28,376,000","28,700,000","28,335,000","26,831,000","27,081,000","27,360,000","25,028,000","25,166,000","25,106,000","25,868,000","23,324,000","15,738,000","12,946,000","12,825,000","14,459,000","14,621,000","14,211,000","14,169,000","14,096,000","13,888,000","13,613,000","12,585,000","12,954,000","12,851,000","12,148,000","12,054,000","11,898,000","11,866,000","11,917,000","12,434,000","13,073,000","13,241,000","13,577,000","13,924,000","14,400,000",,,,,,,,,,,,,,"806,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"13,900,000","286,000","-4,623,000","13,237,000","5,000,000","799,000","-19,922,000","10,175,000","8,494,000","-6,014,000","4,869,000","11,681,000","10,558,000","1,576,000","27,306,000","18,920,000","21,980,000","-2,215,000","17,097,000","2,489,000","-6,427,000","-19,786,000","8,018,000","-8,237,000","-11,705,000","-17,456,000","17,505,000","7,634,000","-11,242,000","-416,000","4,583,000","10,670,000","-12,278,000","27,956,000","22,887,000","22,487,000","17,536,000","-9,153,000","25,889,000","5,471,000","12,607,000","10,035,000","17,179,000","9,451,000","10,475,000","-112,000","13,140,000","17,174,000","11,475,000","-16,208,000","-18,791,000","13,176,000","1,598,000","19,634,000","-18,868,000","-21,136,000","-15,087,000","-25,297,000","7,308,000","7,137,000","6,533,000","6,707,000","5,180,000","5,671,000","1,514,000","5,782,000","4,667,000","3,977,000","3,512,000","3,459,000","2,759,000","2,222,000","1,707,000"
TotalUnusualItemsExcludingGoodwill,"610,000","1,713,000","47,000","-687,000","-463,000","-17,389,000","1,478,000","-3,070,000","2,569,000","-2,240,000","-1,036,000","1,263,000","953,000","-638,000","-1,396,000","-407,000","-858,000","-347,000","3,851,000","-640,000","2,178,000","-794,000","-4,239,000","-886,000","-2,307,000","4,366,000","-2,792,000","-2,208,000","-3,219,000","577,000","-10,047,000","-387,000","-6,894,000","-4,634,000","-16,037,000","-19,000","-1,413,000","-10,996,000","-584,000","891,000","-440,000","695,000","-1,176,000","-1,995,000","738,000","-7,124,000","-1,151,000","2,159,000","-2,448,000","-3,698,000","-6,396,000","-2,775,000","-3,117,000","-4,976,000","-37,524,000","307,000","-1,911,000","-28,000",,,,"368,000",,,"-4,635,000",,,,,"4,119,000","-793,000",,
TotalUnusualItems,"610,000","1,713,000","47,000","-687,000","-463,000","-17,389,000","1,478,000","-3,070,000","2,569,000","-2,240,000","-1,036,000","1,263,000","953,000","-638,000","-1,396,000","-407,000","-858,000","-347,000","3,851,000","-640,000","2,178,000","-794,000","-4,239,000","-886,000","-2,307,000","4,366,000","-2,792,000","-2,208,000","-3,219,000","577,000","-10,047,000","-387,000","-6,894,000","-4,634,000","-16,037,000","-19,000","-1,413,000","-10,996,000","-584,000","891,000","-440,000","695,000","-1,176,000","-1,995,000","738,000","-7,124,000","-1,151,000","2,159,000","-2,448,000","-3,698,000","-6,396,000","-2,775,000","-3,117,000","-4,976,000","-37,524,000","307,000","-1,911,000","-28,000",,,,"368,000",,,"-4,635,000",,,,,"4,119,000","-793,000",,
NormalizedEBITDA,"119,997,000","18,706,000","26,212,000","44,280,000","30,799,000","42,479,000","16,049,000","58,505,000","52,183,000","31,132,000","53,091,000","54,154,000","38,730,000","38,696,000","67,451,000","56,203,000","50,954,000","32,421,000","62,098,000","43,004,000","31,620,000","19,272,000","48,555,000","33,895,000","29,711,000","16,650,000","52,763,000","47,777,000","31,260,000","34,466,000","67,050,000","50,226,000","37,299,000","24,915,000","56,392,000","50,392,000","42,935,000","27,809,000","49,796,000","29,876,000","40,513,000","35,148,000","42,305,000","32,730,000","34,141,000","31,936,000","35,891,000","42,650,000","35,970,000","7,999,000","4,244,000","35,988,000","26,252,000","49,242,000","48,715,000","12,064,000","10,555,000","1,269,000","7,567,000","7,666,000","6,641,000","5,748,000","5,055,000","5,352,000","8,650,000","5,101,000","4,456,000","4,133,000","3,499,000","-1,092,000","3,510,000","3,038,000","2,075,000"
TaxRateForCalcs,"0.4","0.34","0.4","0.27","0.27","0.07","0.009","0.27","0.27","0.307","0.27","0.27","0.27","0.273","0.16","0.217","0.27","0.27","0.27","0.4","0.4","0.045","0.4","0.4","0.4","0.4","0.4","0.155","0.4","0.4","0.4","0.293","0.35","0.35","0.35","0.198","0.132","0.35","0.35","0.253","0.265","0.171","0.08","0.35","0.219","0.35","0.35","0.225","0.202","0.35","0.09","0.119","0.35","0.172","0.35","0.35","0.017","0.35","0.235","0.237","0.216","0.088","0.135","0.088","0.4","0.03","0.125","0.127","0.125","0.132","0.177","0.204","0.22"
TaxEffectOfUnusualItems,"244,000","582,420","18,800","-185,490","-125,010","-1,217,230","12,641.933","-828,900","693,630","-687,680","-279,720","341,010","257,310","-174,174","-223,255.601","-88,319","-231,660","-93,690","1,039,770","-256,000","871,200","-35,730","-1,695,600","-354,400","-922,800","1,746,400","-1,116,800","-342,240","-1,287,600","230,800","-4,018,800","-113,391","-2,412,900","-1,621,900","-5,612,950","-3,762","-186,516","-3,848,600","-204,400","225,423","-116,600","118,845","-94,617.213","-698,250","161,688.301","-2,493,400","-402,850","485,319.899","-495,053.309","-1,294,300","-577,429.937","-330,951.515","-1,090,950","-854,974.557","-13,133,400","107,450","-33,181.515","-9,800","0","0","0","32,422.026","0","0","-1,854,000","0","0","0","0","541,892.041","-140,678.295","0","0"
