name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016
		RetainedEarnings,"-1,252,129,000","-1,192,844,000","-1,129,399,000","-1,107,808,000","-1,046,148,000","-964,785,000","-890,936,000","-823,874,000","-791,014,000","-726,101,000","-640,497,000","-569,929,000","-502,025,000","-427,011,000","-356,378,000","-290,608,000","-228,474,000","-180,221,000","-138,444,000","-108,536,000","-85,097,000","-63,423,000","-55,340,000","-20,627,277"
		GainsLossesNotAffectingRetainedEarnings,"-17,285,000","-17,285,000","-17,285,000","-17,285,000","-17,285,000","-17,285,000","-11,540,000","-5,121,000","-1,646,000","-823,000","-31,000","-312,000","507,000","227,000","377,000","449,000","24,000","-91,000","288,000","404,000","140,000",,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,"-1,000","-1,000","-1,000","-1,000","-1,000","-1,000","-660"
TotalCapitalization,"-114,777,000","-73,583,000","-24,227,000","-40,926,000","4,735,000","43,043,000","53,921,000","59,090,000","5,423,000","64,812,000","109,329,000","168,637,000","97,574,000","143,891,000","118,661,000","104,286,000","81,353,000","110,773,000","118,719,000","145,982,000","166,776,000","186,068,000","-37,925,000","-8,598,094"
CommonStockEquity,"-473,477,000","-432,283,000","-382,927,000","-399,626,000","-353,965,000","-270,657,000","-199,779,000","-134,610,000","-108,277,000","-48,888,000","17,254,000","79,567,000","4,334,000","46,735,000","74,101,000","60,155,000","37,729,000","82,198,000","118,719,000","145,982,000","166,776,000","186,068,000","-37,925,000","-8,598,094"
CapitalLeaseObligations,"9,189,000","9,670,000","10,127,000","10,571,000","10,996,000","11,400,000","11,784,000","12,156,000","12,512,000","12,848,000","10,173,000","10,363,000",,,,,,,,,,,,
NetTangibleAssets,"-473,477,000","-432,283,000","-382,927,000","-399,626,000","-353,965,000","-270,657,000","-199,779,000","-134,610,000","-108,277,000","-48,888,000","17,254,000","79,567,000","4,334,000","46,735,000","74,101,000","60,155,000","37,729,000","82,198,000","118,719,000","145,982,000","166,776,000","186,068,000","-37,925,000","-8,598,094"
WorkingCapital,"237,815,000","305,717,000","386,330,000","394,565,000","423,305,000","501,955,000","50,151,000","56,482,000","1,985,000","57,678,000","107,549,000","166,862,000","94,819,000","140,292,000","115,563,000","101,269,000","77,678,000","108,032,000","115,982,000","142,174,000","165,827,000","187,152,000","-7,254,000",
InvestedCapital,"-114,777,000","-73,583,000","-24,227,000","-40,926,000","4,735,000","43,043,000","53,921,000","59,090,000","5,423,000","64,812,000","117,731,000","179,504,000","103,716,000","145,411,000","118,661,000","104,286,000","81,353,000","110,773,000","118,719,000","145,982,000","166,776,000","186,068,000","-37,925,000","-8,598,094"
TangibleBookValue,"-473,477,000","-432,283,000","-382,927,000","-399,626,000","-353,965,000","-270,657,000","-199,779,000","-134,610,000","-108,277,000","-48,888,000","17,254,000","79,567,000","4,334,000","46,735,000","74,101,000","60,155,000","37,729,000","82,198,000","118,719,000","145,982,000","166,776,000","186,068,000","-37,925,000","-8,598,094"
TotalDebt,"367,889,000","368,370,000","368,827,000","369,271,000","369,696,000","325,100,000","265,484,000","205,856,000","126,212,000","126,548,000","110,650,000","110,300,000","99,382,000","98,676,000","44,560,000","44,131,000","43,624,000","28,575,000",,,,,,
NetDebt,,,,,,,"159,490,000","108,974,000","37,056,000","30,627,000",,,,,,,,,,,,,,
ShareIssued,"94,858,446","93,658,206","93,077,789","91,942,643","91,000,869","90,870,042","90,581,003","90,137,012","89,833,998","89,787,654","89,623,564","89,622,626","72,057,490","70,801,521","68,484,888","64,891,218","60,997,856","60,989,395","60,849,236","60,844,300","60,275,757","60,250,094","60,250,094","58,523,408"
OrdinarySharesNumber,"94,858,446","93,658,206","93,077,789","91,942,643","91,000,869","90,870,042","90,581,003","90,137,012","89,833,998","89,787,654","89,623,564","89,622,626","72,057,490","70,801,521","68,484,888","64,891,218","60,997,856","60,989,395","60,849,236","60,844,300","60,275,757","60,250,094","60,250,094","58,523,408"
