name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,06/30/2017
		NonCurrentDeferredLiabilities,"12,429,000","11,618,000","14,186,000","19,380,000","12,650,000","10,514,000","10,770,000","5,861,000","6,919,000","4,738,000","1,950,000","2,033,000","2,380,000","2,601,000","2,795,000","2,832,000","3,859,000","2,586,000"
			NonCurrentDeferredTaxesLiabilities,"8,437,000","8,787,000","9,553,000","10,010,000","5,149,000","5,497,000","5,691,000","5,861,000","5,000,000","2,837,000","1,950,000","2,033,000","2,380,000","2,601,000","2,795,000","2,832,000","2,621,000","2,586,000"
		OtherNonCurrentLiabilities,"4,186,000","191,000","209,000","205,000","1,947,000","138,000","133,000","136,000","121,000","108,000","118,000","113,000","67,000","284,000","279,000","7,528,000","7,018,000","219,000"
TotalEquityGrossMinorityInterest,"395,008,000","363,608,000","334,680,000","300,669,000","275,348,000","258,842,000","248,752,000","236,327,000","207,854,000","189,981,000","182,785,000","166,329,000","155,636,000","148,590,000","136,900,000","69,499,000","62,495,000","48,720,000"
	StockholdersEquity,"395,008,000","363,608,000","334,680,000","300,669,000","275,348,000","258,842,000","248,752,000","236,327,000","207,854,000","189,981,000","182,785,000","166,329,000","155,636,000","148,590,000","136,900,000","69,499,000","62,495,000","48,720,000"
		CapitalStock,"1,134,000","1,130,000","1,114,000","1,114,000","1,114,000","1,110,000","1,099,000","1,099,000","1,098,000","1,095,000","1,089,000","1,089,000","1,085,000","1,061,000","1,061,000","996,000","996,000","996,000"
			CommonStock,"1,134,000","1,130,000","1,114,000","1,114,000","1,114,000","1,110,000","1,099,000","1,099,000","1,098,000","1,095,000","1,089,000","1,089,000","1,085,000","1,061,000","1,061,000","996,000","996,000","996,000"
		AdditionalPaidInCapital,"7,605,000","4,541,000","247,000","247,000","230,000","230,000","229,000","221,000","21,286,000","20,278,000","17,280,000","17,271,000","16,451,000","48,614,000","48,614,000","2,678,000","2,678,000","2,678,000"
		RetainedEarnings,"367,328,000","343,216,000","315,021,000","283,059,000","257,485,000","239,469,000","227,398,000","214,638,000","172,994,000","156,313,000","165,314,000","146,963,000","133,219,000","73,956,000","63,659,000","59,260,000","52,959,000","38,072,000"
		TreasuryStock,"155,000","155,000","155,000","155,000","155,000","186,000","837,000","1,341,000","1,441,000","1,683,000","1,826,000","1,847,000","2,241,000","2,275,000","2,275,000","2,275,000","2,275,000","2,275,000"
		GainsLossesNotAffectingRetainedEarnings,"19,096,000","14,876,000","18,453,000","16,404,000","16,674,000","18,219,000","20,863,000","21,710,000","13,917,000","13,978,000","928,000","2,853,000","7,122,000","27,234,000","25,841,000","8,840,000","8,137,000","9,249,000"
