name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,12/31/2014
		CurrentDebtAndCapitalLeaseObligation,"5,142,000","3,142,000",,,,,,,,,"5,313,000",,,,,,"2,693,000","1,229,000",,,,,,,,,,
			CurrentDebt,,,,,,,,,,,"5,313,000",,,,,,"2,693,000","1,229,000",,,,,,,,,,
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,"2,693,000","1,229,000",,,,,,,,,,
			CurrentCapitalLeaseObligation,"5,142,000","3,142,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"755,000","1,648,000","2,561,000","3,090,000","3,893,000","4,688,000","4,688,000","4,688,000","4,701,000","4,701,000","31,421,000","31,421,000","31,335,000","31,335,000","31,335,000","30,157,000","28,836,000","28,183,000","30,588,000","35,985,000","41,323,000","46,603,000","49,595,000","49,595,000","49,595,000","49,730,000","49,730,000","49,595,000"
			CurrentDeferredRevenue,"755,000","1,648,000","2,561,000","3,090,000","3,893,000","4,688,000","4,688,000","4,688,000","4,701,000","4,701,000","31,421,000","31,421,000","31,335,000","31,335,000","31,335,000","30,157,000","28,836,000","28,183,000","30,588,000","35,985,000","41,323,000","46,603,000","49,595,000","49,595,000","49,595,000","49,730,000","49,730,000","49,595,000"
		OtherCurrentLiabilities,"13,778,000","21,450,000","20,671,000","16,983,000","14,443,000","22,264,000","15,002,000","14,545,000","13,606,000","11,631,000","14,398,000","11,056,000","10,107,000","4,696,000","8,083,000","8,130,000","5,005,000","3,511,000","6,474,000","5,198,000","3,885,000","3,047,000","4,756,000","4,649,000","4,487,000","4,030,000","4,670,000","2,919,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"508,463,000","495,033,000","354,585,000","342,680,000","331,392,000","320,965,000","380,391,000","373,592,000","234,710,000","233,549,000","251,984,000","266,252,000","274,690,000","274,129,000","281,697,000","286,859,000","228,148,000","234,693,000","243,199,000","250,284,000","257,293,000","244,510,000","254,041,000","266,563,000","278,949,000","291,290,000","303,903,000","341,752,000"
		LongTermDebtAndCapitalLeaseObligation,"136,445,000","132,891,000",,,,,,,"155,506,000","155,017,000","74,923,000","79,897,000","79,558,000","79,219,000","78,881,000","78,591,000","16,977,000","18,385,000","19,833,000","19,792,000","19,753,000",,,,,,,
			LongTermDebt,,,,,,,,,"155,506,000","155,017,000","74,923,000","79,897,000","79,558,000","79,219,000","78,881,000","78,591,000","16,977,000","18,385,000","19,833,000","19,792,000","19,753,000",,,,,,,
