name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010
FinancingCashFlow,"-491,000,000","-54,000,000","-40,000,000","-207,000,000","-190,000,000","-110,000,000","-234,000,000","-553,000,000","-371,000,000","-132,000,000","-164,000,000","5,856,000,000","-238,000,000","-19,000,000","-173,000,000","-139,000,000","-102,000,000","495,000,000","-141,000,000","-306,000,000","-149,000,000","294,000,000","-65,000,000","-142,000,000","-115,000,000","-166,000,000","2,240,000,000","-17,000,000","-197,000,000","-3,000,000","-148,000,000","-45,000,000","-17,000,000","-18,000,000","-39,000,000","-4,000,000","-49,000,000","-32,000,000","-79,000,000","-111,000,000","6,000,000","-9,000,000","-65,000,000","145,000,000","-14,000,000","-11,000,000","-30,000,000"
	CashFlowFromContinuingFinancingActivities,"-491,000,000","-54,000,000","-40,000,000","-207,000,000","-190,000,000","-110,000,000","-234,000,000","-553,000,000","-371,000,000","-132,000,000","-164,000,000","5,856,000,000","-238,000,000","-19,000,000","-173,000,000","-139,000,000","-102,000,000","495,000,000","-141,000,000","-306,000,000","-149,000,000","294,000,000","-65,000,000","-142,000,000","-115,000,000","-166,000,000","2,240,000,000","-17,000,000","-197,000,000","-3,000,000","-148,000,000","-45,000,000","-17,000,000","-18,000,000","-39,000,000","-4,000,000","-49,000,000","-32,000,000","-79,000,000","-111,000,000","6,000,000","-9,000,000","-65,000,000","145,000,000","-14,000,000","-11,000,000","-30,000,000"
		NetIssuancePaymentsOfDebt,"-178,000,000","240,000,000","-5,000,000","-209,000,000","-204,000,000","-132,000,000","-235,000,000","-577,000,000","-375,000,000","-118,000,000","-164,000,000","5,953,000,000","-261,000,000","-12,000,000","-110,000,000","-110,000,000","-107,000,000","488,000,000","-108,000,000","-259,000,000","-160,000,000","288,000,000","-10,000,000","-134,000,000","-123,000,000","-169,000,000","2,392,000,000","-20,000,000","-113,000,000","-9,000,000","-116,000,000","-49,000,000","13,000,000","-14,000,000","-10,000,000","-10,000,000","-67,000,000","11,000,000","-521,000,000","-111,000,000","6,000,000","-3,000,000","-65,000,000","147,000,000","-8,000,000","-6,000,000","-18,000,000"
			NetLongTermDebtIssuance,"-178,000,000","240,000,000","-5,000,000","-209,000,000","-204,000,000","-132,000,000","-235,000,000","-577,000,000","-375,000,000","-118,000,000","-164,000,000","5,953,000,000","-261,000,000","-12,000,000","-110,000,000","-110,000,000","-107,000,000","488,000,000","-108,000,000","-259,000,000","-160,000,000","288,000,000","-10,000,000","-134,000,000","-123,000,000","-169,000,000","2,392,000,000","-20,000,000","-113,000,000","-9,000,000","-116,000,000","-49,000,000","13,000,000","-14,000,000","-10,000,000","-10,000,000","-67,000,000","11,000,000","-521,000,000","-111,000,000","6,000,000","-3,000,000","-65,000,000","147,000,000","-8,000,000","-6,000,000","-18,000,000"
				LongTermDebtIssuance,"644,000,000","244,000,000","0","0","400,000,000","1,566,000,000","750,000,000","0","0",,,"6,784,000,000","0",,,"1,000,000","0",,,"-50,000,000","-50,000,000","595,000,000","0","0","0","-2,000,000","2,492,000,000","-9,000,000","702,000,000","0","0","-37,000,000","538,000,000","1,123,000,000","3,000,000","0","-1,000,000","1,391,000,000","1,000,000","2,000,000","0","0","0","195,000,000","0","0","800,000,000"
				LongTermDebtPayments,"-822,000,000","-4,000,000","-5,000,000","-209,000,000","-604,000,000","-1,698,000,000","-985,000,000","-577,000,000","-375,000,000","-1,320,000,000","-164,000,000","-831,000,000","-261,000,000","-12,000,000","-110,000,000","-111,000,000","-107,000,000","-9,000,000","-108,000,000","-209,000,000","-110,000,000","-307,000,000","-10,000,000","-134,000,000","-123,000,000","-167,000,000","-100,000,000","-11,000,000","-815,000,000","-9,000,000","-116,000,000","-12,000,000","-525,000,000","-1,137,000,000","-13,000,000","-10,000,000","-66,000,000","-1,380,000,000","-522,000,000","-113,000,000","6,000,000","-3,000,000","-65,000,000","-48,000,000","-8,000,000","-6,000,000","-818,000,000"
		NetCommonStockIssuance,"-308,000,000","-294,000,000","-35,000,000","3,000,000","18,000,000","32,000,000","7,000,000","24,000,000","3,000,000","1,000,000","2,000,000","12,000,000","23,000,000","-7,000,000","-47,000,000","-27,000,000","5,000,000","8,000,000","4,000,000","5,000,000","11,000,000","10,000,000","5,000,000","6,000,000","9,000,000","4,000,000","7,000,000","2,000,000","3,000,000","6,000,000","7,000,000","4,000,000","3,000,000","7,000,000","3,000,000","6,000,000","17,000,000","0","442,000,000","0","0",,,"-1,000,000","0","-4,000,000","3,000,000"
			CommonStockIssuance,"43,000,000","6,000,000","16,000,000","3,000,000","18,000,000","32,000,000","7,000,000","24,000,000","3,000,000","1,000,000","2,000,000","12,000,000","23,000,000","15,000,000","5,000,000","6,000,000","5,000,000","8,000,000","4,000,000","5,000,000","11,000,000","10,000,000","5,000,000","6,000,000","9,000,000","4,000,000","7,000,000","2,000,000","3,000,000","6,000,000","7,000,000","4,000,000","3,000,000","7,000,000","3,000,000","6,000,000","17,000,000","0","442,000,000",,,,,,,,
			CommonStockPayments,"-351,000,000","-300,000,000","-51,000,000",,,,,"0","0","0","0","0","0","-22,000,000","-52,000,000",,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","0","-6,000,000","0","-1,000,000","0","-4,000,000","3,000,000"
		NetOtherFinancingCharges,,,,"-1,000,000","-4,000,000","-10,000,000","-6,000,000","0","1,000,000","-15,000,000","-2,000,000","-109,000,000","0","0","-16,000,000","-2,000,000","0","-1,000,000","-37,000,000","-52,000,000","0","-4,000,000","-60,000,000","-14,000,000","-1,000,000","-1,000,000","-159,000,000","1,000,000","-87,000,000","0","-39,000,000","0","-33,000,000","-11,000,000","-32,000,000","0","1,000,000",,,,,,,"-1,000,000","-6,000,000","-1,000,000","-15,000,000"
