name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013
	SpecialIncomeCharges,"-22,061,000","-10,413,000","-2,429,000","-3,685,000","-5,534,000","-9,586,000","-2,562,000","-3,574,000","-5,781,000","-15,158,000","-15,213,000","-9,774,000","-9,264,000","-7,723,000","-9,989,000","-2,497,000","-3,140,000","-3,102,000","-4,724,000","-2,765,000","-3,912,000","-3,691,000","-728,000","-1,047,000","-1,380,000","-2,428,000","-1,374,000","-176,000","-360,000","-545,000","-1,557,000","-108,000","-231,000","-290,000","-911,000","-22,000"
		RestructuringAndMergernAcquisition,"22,061,000","10,413,000","2,429,000","3,685,000","5,534,000","9,586,000","2,562,000","3,574,000","5,781,000","15,158,000","15,213,000","7,457,000","9,264,000","7,723,000","9,989,000","2,497,000","3,140,000","3,102,000","4,724,000","4,399,000","2,278,000","3,691,000","728,000","1,047,000","1,380,000","2,428,000","1,374,000","176,000","360,000","545,000","1,557,000","108,000","231,000","290,000","911,000","22,000"
		OtherSpecialCharges,,,,,,,,,,,"0","2,317,000",,,,,,,"-29,000","-1,634,000","1,634,000","112,000","-427,000","64,000","293,000","748,000","157,000","-137,000","12,000","512,000","-409,000","-60,000","482,000","-114,000","-30,000","-49,000"
	OtherNonOperatingIncomeExpenses,"-908,000","-418,000","559,000","-650,000","-399,000","237,000","708,000","598,000","-15,000","-1,402,000","-1,559,000","-228,000","-692,000","-761,000","-816,000","-744,000","-524,000","303,000","549,000","-130,000","-18,000","-112,000","427,000","-64,000","-293,000","-748,000","-157,000","137,000","-12,000","-512,000","409,000","60,000","-482,000","114,000","-553,000","49,000"
PretaxIncome,"-64,435,000","-22,957,000","-9,611,000","-14,363,000","-17,504,000","-25,078,000","-6,092,000","-10,161,000","-14,832,000","-24,368,000","-20,504,000","-11,760,000","-11,470,000","-8,442,000","-10,125,000","-3,515,000","-4,358,000","-2,650,000","-4,051,000","-3,100,000","-5,615,000","-4,663,000","-1,012,000","-2,082,000","-3,419,000","-5,470,000","-3,409,000","-2,134,000","-3,096,000","-3,986,000","-3,881,000","-2,007,000","-2,097,000","-12,210,000","-4,542,000","-1,164,000"
TaxProvision,"-4,076,000","-126,000","-2,140,000","-3,348,000","1,538,000","-4,394,000","-423,000","1,149,000","-673,000","-4,287,000","-639,000","547,000","-6,101,000","-612,000","-11,927,000","735,000","872,000","511,000","-257,000","406,000","196,000","951,000","961,000","308,000","158,000","103,000","854,000","190,000","238,000","-243,000","-1,206,000","438,000","280,000","410,000","506,000","69,000"
NetIncomeCommonStockholders,"-60,359,000","-22,831,000","-7,471,000","-11,015,000","-19,042,000","-20,684,000","-5,669,000","-11,310,000","-14,159,000","-20,081,000","-19,865,000","-12,307,000","-5,369,000","-7,830,000","1,802,000","-4,250,000","-5,230,000","-3,161,000","-3,794,000","-3,506,000","-5,811,000","-5,614,000","-1,973,000","-2,390,000","-3,577,000","-5,573,000","-4,263,000","-2,324,000","-3,334,000","-3,743,000","-2,675,000","-2,445,000","-2,817,000","-12,620,000","-5,277,000","-1,428,000"
	NetIncome,"-60,359,000","-22,831,000","-7,471,000","-11,015,000","-19,042,000","-20,684,000","-5,669,000","-11,310,000","-14,159,000","-20,081,000","-19,865,000","-12,307,000","-5,369,000","-7,830,000","1,802,000","-4,250,000","-5,230,000","-3,161,000","-3,794,000","-3,506,000","-5,811,000","-5,614,000","-1,973,000","-2,390,000","-3,577,000","-5,573,000","-4,263,000","-2,324,000","-3,334,000","-3,743,000","-2,675,000","-2,445,000","-2,377,000","-12,620,000","-5,179,000","-1,428,000"
		NetIncomeIncludingNoncontrollingInterests,"-60,359,000","-22,831,000","-7,471,000","-11,015,000","-19,042,000","-20,684,000","-5,669,000","-11,310,000","-14,159,000","-20,081,000","-19,865,000","-12,307,000","-5,369,000","-7,830,000","1,802,000","-4,250,000","-5,230,000","-3,161,000","-3,794,000","-3,506,000","-5,811,000","-5,614,000","-1,973,000","-2,390,000","-3,577,000","-5,573,000","-4,263,000","-2,324,000","-3,334,000","-3,743,000","-2,675,000","-2,445,000","-2,377,000","-12,620,000","-5,179,000","-1,428,000"
			NetIncomeContinuousOperations,"-60,359,000","-22,831,000","-7,471,000","-11,015,000","-19,042,000","-20,684,000","-5,669,000","-11,310,000","-14,159,000","-20,081,000","-19,865,000","-12,307,000","-5,369,000","-7,830,000","1,802,000","-4,250,000","-5,230,000","-3,161,000","-3,794,000","-3,506,000","-5,811,000","-5,614,000","-1,973,000","-2,390,000","-3,577,000","-5,573,000","-4,263,000","-2,324,000","-3,334,000","-3,743,000","-2,675,000","-2,445,000","-2,377,000","-12,620,000","-5,048,000","-1,233,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"-131,000","-195,000"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","204,000","445,000","440,000","435,000","65,000","11,000"
DilutedNIAvailtoComStockholders,"-60,359,000","-22,831,000","-7,471,000","-11,015,000","-19,042,000","-20,684,000","-5,669,000","-11,310,000","-14,159,000","-20,081,000","-19,865,000","-12,307,000","-5,369,000","-7,830,000","1,802,000","-4,250,000","-5,230,000","-3,161,000","-3,794,000","-3,506,000","-5,811,000","-5,614,000","-1,973,000","-2,390,000","-3,577,000","-5,573,000","-4,263,000","-2,324,000","-3,334,000","-3,743,000","-2,675,000","-2,445,000","-2,817,000","-12,620,000","-5,277,000","-1,428,000"
BasicEPS,,"-0.73","-0.24","-0.36","-0.63","-0.69","-0.19","-0.42","-0.57","-0.81","-0.8","-0.5","-0.24","-0.38","0.13","-0.21","-0.26","-0.16","-0.19","-0.18","-0.33","-0.33","-0.12","-0.14","-0.22","-0.36","-0.28","-0.16","-0.22","-0.25","-0.3","-0.171","-0.28","-1.255",,"-0.142"
DilutedEPS,,"-0.73","-0.24","-0.36","-0.63","-0.69","-0.19","-0.42","-0.57","-0.81","-0.8","-0.5","-0.24","-0.38","0.13","-0.21","-0.26","-0.16","-0.19","-0.18","-0.33","-0.33","-0.12","-0.14","-0.22","-0.36","-0.28","-0.16","-0.22","-0.25","-0.3","-0.171","-0.28","-1.255",,"-0.142"
BasicAverageShares,,"31,163,273","30,677,368","30,428,675","30,097,749","29,970,050","29,403,603","27,220,134","25,032,996","24,906,932","24,726,132","24,568,483","22,619,805","20,442,626","20,191,390","20,089,919","19,901,599","19,759,203","19,514,893","19,380,519","17,778,184","16,971,393","16,871,250","16,702,062","16,269,808","15,432,405","15,114,300","14,934,796","14,867,947","14,841,316","9,507,246","14,335,673","10,059,553","10,059,553",,"10,059,553"
DilutedAverageShares,,"31,163,273","30,677,368","30,428,675","30,097,749","29,970,050","29,403,603","27,220,134","25,032,996","25,352,702","25,465,083","24,568,483","22,619,805","20,442,626","21,099,723","20,089,919","19,901,599","19,759,203","19,514,893","19,380,519","17,778,184","16,971,393","16,871,250","16,702,062","16,269,808","15,432,405","15,114,300","14,934,796","14,867,947","14,841,316","9,507,246","14,335,673","10,059,553","10,059,553",,"10,059,553"
TotalOperatingIncomeAsReported,"-31,926,000","-14,777,000","-2,244,000","-5,742,000","-9,163,000","-17,528,000","1,135,000","-2,681,000","-6,944,000","-15,323,000","-12,511,000","-3,698,000","-5,532,000","-2,565,000","-4,791,000","347,000","-691,000","-459,000","-2,390,000","-2,327,000","-2,803,000","-3,616,000","-590,000","-1,309,000","-2,464,000","-4,161,000","-2,779,000","-1,809,000","-2,508,000","-3,127,000","-3,570,000","-1,670,000","-1,196,000","-11,909,000","-2,173,000","-779,000"
TotalExpenses,"316,628,000","83,080,000","75,545,000","78,110,000","79,893,000","81,911,000","74,550,000","73,291,000","72,478,000","68,197,000","63,364,000","51,306,000","49,281,000","43,335,000","39,982,000","34,300,000","33,497,000","28,972,000","25,513,000","24,000,000","23,806,000","20,677,000","19,236,000","19,503,000","19,654,000","19,315,000","19,005,000","18,738,000","19,826,000","20,110,000","18,488,000","17,837,000","17,176,000","27,232,000","13,396,000","11,149,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-60,359,000","-22,831,000","-7,471,000","-11,015,000","-19,042,000","-20,684,000","-5,669,000","-11,310,000","-14,159,000","-20,081,000","-19,865,000","-12,307,000","-5,369,000","-7,830,000","1,802,000","-4,250,000","-5,230,000","-3,161,000","-3,794,000","-3,506,000","-5,811,000","-5,614,000","-1,973,000","-2,390,000","-3,577,000","-5,573,000","-4,263,000","-2,324,000","-3,334,000","-3,743,000","-2,675,000","-2,445,000","-2,377,000","-12,620,000","-5,179,000","-1,428,000"
NormalizedIncome,"-39,693,524.73","-12,475,151.98","-5,582,844.865","-8,188,969.575","-15,002,180","-12,777,595.024","-3,284,893.303","-8,700,980","-8,640,312.095","-7,589,708.224","-5,126,107.833","-5,171,980","1,393,720","-666,876.333","9,093,970","-2,427,190","-2,937,800","-896,540","630,304.122","-1,847,000","-3,463,800","-3,399,400","-1,536,200","-1,761,800","-2,749,000","-4,116,200","-3,438,600","-2,218,400","-3,118,000","-3,231,225.038","-1,601,829.425","-2,374,800","-2,226,850","-12,431,500","-4,455,850","-1,218,700"
InterestExpense,"31,601,000","7,762,000","7,926,000","7,971,000","7,942,000","7,787,000","7,935,000","8,078,000","7,873,000","7,643,000","6,434,000","5,517,000","5,246,000","5,116,000","4,518,000","3,118,000","3,143,000","2,494,000","2,210,000","2,277,000","1,160,000","935,000","849,000","709,000","662,000","561,000","473,000","462,000","576,000","347,000","720,000","397,000","419,000","415,000","1,816,000","434,000"
NetInterestIncome,"-31,601,000","-7,762,000","-7,926,000","-7,971,000","-7,942,000","-7,787,000","-7,935,000","-8,078,000","-7,873,000","-7,643,000","-6,434,000","-5,517,000","-5,246,000","-5,116,000","-4,518,000","-3,118,000","-3,143,000","-2,494,000","-2,210,000","-2,277,000","-1,160,000","-935,000","-849,000","-709,000","-662,000","-561,000","-473,000","-462,000","-576,000","-347,000","-720,000","-397,000","-419,000","-415,000","-1,816,000","-434,000"
EBIT,"-32,834,000","-15,195,000","-1,685,000","-6,392,000","-9,562,000","-17,291,000","1,843,000","-2,083,000","-6,959,000","-16,725,000","-14,070,000","-6,243,000","-6,224,000","-3,326,000","-5,607,000","-397,000","-1,215,000","-156,000","-1,841,000","-823,000","-4,455,000","-3,728,000","-163,000","-1,373,000","-2,757,000","-4,909,000","-2,936,000","-1,672,000","-2,520,000","-3,639,000","-3,161,000","-1,610,000","-1,678,000","-11,795,000","-2,726,000","-730,000"
EBITDA,"21,888,000"
ReconciledCostOfRevenue,"87,682,000","21,544,000","22,220,000","21,829,000","22,089,000","21,702,000","24,411,000","23,004,000","21,051,000","19,735,000","18,629,000","14,530,000","14,562,000","12,660,000","12,952,000","10,302,000","9,657,000","8,603,000","8,088,000","7,695,000","6,654,000","5,794,000","5,909,000","5,690,000","5,656,000","5,807,000","5,963,000","5,541,000","5,597,000","5,653,000","5,115,000","5,002,000","4,945,000","4,912,000","3,345,000","2,966,000"
ReconciledDepreciation,"54,722,000","14,262,000","13,508,000","13,751,000","13,201,000","12,468,000","12,073,000","11,696,000","11,658,000","11,737,000","10,899,000","8,570,000","7,765,000","7,387,000","6,743,000","5,387,000","5,045,000","4,172,000","3,802,000","3,066,000","2,648,000","2,398,000","2,295,000","2,424,000","2,560,000","2,515,000","2,374,000","2,037,000","2,039,000","2,001,000","1,994,000","1,858,000","1,807,000","1,798,000","1,244,000","1,209,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-60,359,000","-22,831,000","-7,471,000","-11,015,000","-19,042,000","-20,684,000","-5,669,000","-11,310,000","-14,159,000","-20,081,000","-19,865,000","-12,307,000","-5,369,000","-7,830,000","1,802,000","-4,250,000","-5,230,000","-3,161,000","-3,794,000","-3,506,000","-5,811,000","-5,614,000","-1,973,000","-2,390,000","-3,577,000","-5,573,000","-4,263,000","-2,324,000","-3,334,000","-3,743,000","-2,675,000","-2,445,000","-2,377,000","-12,620,000","-5,048,000","-1,233,000"
TotalUnusualItemsExcludingGoodwill,"-22,061,000","-10,413,000","-2,429,000","-3,685,000","-5,534,000","-9,586,000","-2,562,000","-3,574,000","-5,781,000","-15,158,000","-15,213,000","-9,774,000","-9,264,000","-7,723,000","-9,989,000","-2,497,000","-3,140,000","-3,102,000","-4,724,000","-2,765,000","-3,912,000","-3,691,000","-728,000","-1,047,000","-1,380,000","-2,428,000","-1,374,000","-176,000","-360,000","-545,000","-1,557,000","-108,000","-231,000","-290,000","-911,000","-22,000"
TotalUnusualItems,"-22,061,000","-10,413,000","-2,429,000","-3,685,000","-5,534,000","-9,586,000","-2,562,000","-3,574,000","-5,781,000","-15,158,000","-15,213,000","-9,774,000","-9,264,000","-7,723,000","-9,989,000","-2,497,000","-3,140,000","-3,102,000","-4,724,000","-2,765,000","-3,912,000","-3,691,000","-728,000","-1,047,000","-1,380,000","-2,428,000","-1,374,000","-176,000","-360,000","-545,000","-1,557,000","-108,000","-231,000","-290,000","-911,000","-22,000"
NormalizedEBITDA,"43,949,000","9,480,000","14,252,000","11,044,000","9,173,000","4,763,000","16,478,000","13,187,000","10,480,000","10,170,000","12,042,000","12,101,000","10,805,000","11,784,000","11,125,000","7,487,000","6,970,000","7,118,000","6,685,000","5,008,000","2,105,000","2,361,000","2,860,000","2,098,000","1,183,000","34,000","812,000","541,000","-121,000","-1,093,000","390,000","356,000","360,000","-9,707,000","-571,000","501,000"
TaxRateForCalcs,"0.063","0.005","0.223","0.233","0.27","0.175","0.069","0.27","0.045","0.176","0.031","0.27","0.27","0.072","0.27","0.27","0.27","0.27","0.063","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.4","0.061","0.311","0.35","0.35","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-1,395,524.73","-57,151.98","-540,844.865","-858,969.575","-1,494,180","-1,679,595.024","-177,893.303","-964,980","-262,312.095","-2,666,708.224","-474,107.833","-2,638,980","-2,501,280","-559,876.333","-2,697,030","-674,190","-847,800","-837,540","-299,695.878","-1,106,000","-1,564,800","-1,476,400","-291,200","-418,800","-552,000","-971,200","-549,600","-70,400","-144,000","-33,225.038","-483,829.425","-37,800","-80,850","-101,500","-318,850","-7,700"
