name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","8,376,000",,,,,,,,,,,,,,,"112,623,000","0","0","0","40,286,000","0","-1,195,000","39,811,000","24,357,000","1,187,000","76,212,000","2,838,000","4,138,000","611,000","1,635,000","1,472,000","1,864,000",,,,"0","0","0","0","0","0","0","240,000","395,000","874,000","236,000","484,000","548,000","407,000","356,000"
			CommonStockPayments,"-112,275,000","-112,053,000","-134,000","-6,000","-82,000","-7,350,000","-103,000","-75,000","-6,000","-3,834,000","-34,000","-109,000","-38,000","-9,189,000","0","-450,000","-101,000","-10,218,000","-306,000","-671,000","-206,000","-9,430,000","-204,000","-6,816,000","-143,000","-4,112,000","-129,000","-20,079,000","-196,000","-6,118,000","-17,000","-15,102,000","-1,957,000","-2,420,000","-30,000","-69,000","-48,530,000","-54,233,000","-33,000","-69,000","-61,000","-3,188,000","-53,000","-72,000","-64,000","-9,062,000","-77,000","-64,000","-3,392,000","-2,321,000","-43,000","-16,000","-96,000","-230,000","-18,913,000","-78,000","-315,000","-104,000","0","-1,402,000","-626,000","-47,000","0","-2,130,000","-119,000","-18,000","3,000","-2,179,000",,,"0","0","0","0","0","0","0","-217,000",,,"-1,107,000","-381,000","-126,000","0","131,000"
		ProceedsFromStockOptionExercised,,,,,,,,,,,,,,,"0","0",,,"0","0",,,"0","0","0","0","0","0","37,431,000","52,000",,,,,,,,,"0","0","0","0","0","304,000","1,174,000","3,255,000","1,675,000","2,187,000","817,000","518,000","37,000","31,000","134,000","13,000","4,000","262,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-15,227,000","4,164,000","-4,013,000","-7,231,000","-8,147,000","-8,013,000","3,775,000","3,193,000","-10,457,000","-1,880,000","1,931,000","-4,857,000","3,895,000","3,189,000","830,000","1,500,000","104,000","3,284,000","260,000","-9,033,000","-77,148,000","8,363,000","924,000","4,256,000","2,793,000","3,488,000","-5,889,000","3,557,000","-56,756,000","4,578,000","4,613,000","6,136,000","7,653,000","-17,956,000","-94,000","-6,579,000","-12,855,000","224,000","-9,332,000","-14,798,000","-8,481,000","-979,000","-4,967,000","-1,842,000","145,000","2,801,000","-967,000","257,000","191,000","1,229,000","789,000","203,000","-346,000","-545,000","1,597,000","-1,529,000","854,000","347,000","-31,386,000","31,368,000","693,000","870,000","-187,327,000","1,482,000",,,,"0",,,"3,064,000",,,,,,,,,"-20,378,000","40,454,000","10,785,000","-242,000","-1,788,000","204,425,000"
EndCashPosition,"740,903,000","740,903,000","921,017,000","784,141,000","760,453,000","714,024,000","856,281,000","729,333,000","739,178,000","235,619,000","113,430,000","80,703,000","120,758,000","164,504,000","232,741,000","226,155,000","227,929,000","130,404,000","291,864,000","176,280,000","282,747,000","118,936,000","138,250,000","100,671,000","155,247,000","317,410,000","425,950,000","376,695,000","514,750,000","336,406,000","298,601,000","262,224,000","276,404,000","279,652,000","321,816,000","280,967,000","355,775,000","330,311,000","409,763,000","315,789,000","233,072,000","166,649,000","187,111,000","417,352,000","462,011,000","576,774,000","588,852,000","545,288,000","604,021,000","532,576,000","613,740,000","480,144,000","459,634,000","433,248,000","397,385,000","379,200,000","367,538,000","537,673,000","477,309,000","372,473,000","312,478,000","261,763,000","231,807,000","172,837,000","311,623,000","309,162,000","305,890,000","277,791,000","192,539,000","163,626,000","133,917,000","97,327,000","158,262,000","138,452,000","93,297,000","157,987,000","141,287,000","134,993,000","178,473,000","144,321,000","238,693,000","236,431,000","299,942,000","333,840,000","493,723,000"
	ChangesInCash,"26,879,000","-180,114,000","136,876,000","23,688,000","46,429,000","-142,257,000","126,948,000","-9,845,000","503,559,000","122,189,000","32,727,000","-40,055,000","-43,746,000","-68,237,000","6,586,000","-1,774,000","97,525,000","-161,460,000","115,584,000","-106,467,000","163,811,000","-19,314,000","24,598,000","-54,576,000","-162,163,000","-108,540,000","49,255,000","-138,055,000","178,344,000","37,805,000","36,377,000","-14,180,000","-3,248,000","-42,164,000","40,849,000","-74,808,000","25,464,000","-79,452,000","93,974,000","82,717,000","66,423,000","-20,462,000","-230,241,000","-44,659,000","-114,763,000","-12,078,000","43,564,000","-58,733,000","71,445,000","-81,164,000","133,596,000","20,510,000","26,386,000","35,863,000","18,185,000","11,662,000","-170,135,000","60,364,000","104,836,000","59,995,000","50,715,000","29,956,000","58,970,000","-138,786,000","2,461,000","3,272,000","28,099,000","85,252,000","28,913,000","29,709,000","36,610,000","-60,935,000","19,810,000","45,155,000","-64,690,000","16,700,000","6,294,000","-87,399,000","34,152,000","-94,372,000","2,262,000","-63,511,000","-33,898,000","-159,883,000","140,043,000"
	BeginningCashPosition,"714,024,000","921,017,000","784,141,000","760,453,000","714,024,000","856,281,000","729,333,000","739,178,000","235,619,000","113,430,000","80,703,000","120,758,000","164,504,000","232,741,000","226,155,000","227,929,000","130,404,000","291,864,000","176,280,000","282,747,000","118,936,000","138,250,000","100,671,000","155,247,000","317,410,000","425,950,000","376,695,000","514,750,000","336,406,000","298,601,000","262,224,000","276,404,000","279,652,000","321,816,000","280,967,000","355,775,000","330,311,000","409,763,000","315,789,000","233,072,000","166,649,000","187,111,000","417,352,000","462,011,000","576,774,000","588,852,000","545,288,000","604,021,000","532,576,000","613,740,000","480,144,000","459,634,000","433,248,000","397,385,000","379,200,000","367,538,000","537,673,000","477,309,000","372,473,000","312,478,000","261,763,000","231,807,000","172,837,000","311,623,000","309,162,000","305,890,000","277,791,000","192,539,000","163,626,000","133,917,000","97,327,000","158,262,000","138,452,000","93,297,000","157,987,000","141,287,000","134,993,000","222,392,000","144,321,000","238,693,000","236,431,000","299,942,000","333,840,000","493,723,000","353,680,000"
CapitalExpenditure,"-528,818,000","-184,315,000","-87,812,000","-141,879,000","-114,812,000","-153,469,000","-115,295,000","-62,897,000","-50,723,000","-34,291,000","-86,490,000","-85,385,000","-87,999,000","-87,916,000","-85,655,000","-124,982,000","-240,552,000","-262,627,000","-141,100,000","-132,870,000","-131,479,000","-140,570,000","-89,745,000","-60,513,000","-118,540,000","-94,912,000","-160,751,000","-26,379,000","-59,648,000","-25,310,000","-24,028,000","-15,566,000","-21,891,000","-482,834,000","-16,108,000","-224,764,000","-116,035,000","-246,040,000","-212,810,000","-159,306,000","-126,258,000","-53,662,000","-596,283,000","-75,800,000","-118,028,000","-11,531,000","-10,412,000","-24,789,000","-12,891,000","-21,910,000","-24,265,000","-6,425,000","-7,903,000","-12,755,000","-113,350,000","-97,444,000","-225,953,000","-48,471,000","-16,110,000","-16,562,000","-14,438,000","-15,962,000","-43,918,000","-11,861,000","-3,785,000","-10,325,000","-5,001,000","-6,429,000","-9,962,000","-7,679,000","-7,367,000","-11,354,000","-6,645,000","-2,830,000","-2,260,000","-2,206,000","-1,840,000","-2,189,000","-9,434,000","-14,654,000","-17,222,000","-36,289,000","-61,468,000","-66,291,000","-103,925,000"
IssuanceOfCapitalStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"0","8,376,000",,,,,,,,,,,,,,,"112,623,000","0","0","0","40,286,000","0","-1,195,000","39,811,000","24,357,000","1,187,000","76,212,000","2,838,000","4,138,000","611,000","1,635,000","1,472,000","1,864,000",,,,"0","0","0","0","0","0","0","240,000","395,000","874,000","236,000","484,000","548,000","407,000","356,000"
IssuanceOfDebt,"196,556,000","0","188,769,000","0","7,787,000","16,161,000","16,314,000","79,901,000","157,518,000","239,000,000","72,269,000","74,000,000","50,000,000","19,723,000","71,154,000","95,412,000","345,702,000","94,357,000","172,703,000","12,540,000","435,325,000","150,000,000","18,702,000","0","70,000,000","14,790,000","343,533,000","0","224,500,000","0","0","0","0","572,552,000","0","198,676,000","285,960,000","224,848,000","571,932,000","311,407,000","292,526,000","35,695,000","240,000,000",,,,"-1,000",,,,"0","0","0","0","54,699,000","154,700,000","44,671,000","62,588,000",,,,,"0","0","0","0","0","0","0","10,000,000","0","0","0","18,000,000","0","0","0","0",,,,,,,
