name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
		PayablesAndAccruedExpenses,"8,340,000","14,555,000","15,452,000","13,245,000","10,601,000","13,917,000","16,013,000","13,207,000","9,386,000","18,954,000","21,958,000","45,016,000","45,616,000","48,129,000","73,463,000","55,528,000","37,574,000","38,592,000","41,995,000","43,074,000","42,653,000","34,196,000","44,227,000","41,635,000","52,916,000","63,039,000","46,335,000","64,389,000","95,969,000","98,572,000"
			Payables,"2,380,000","11,648,000","2,206,000","3,320,000","2,219,000","11,839,000","3,537,000","2,870,000","563,000","13,440,000","4,574,000","5,911,000","6,639,000","9,971,000","14,595,000","2,952,000","2,282,000","6,554,000","3,659,000","3,533,000","3,949,000","7,317,000","4,833,000","5,160,000","4,127,000","5,036,000","28,108,000","35,332,000","31,080,000","29,415,000"
				AccountsPayable,"2,380,000","5,944,000","2,206,000","3,320,000","2,219,000","3,407,000","3,537,000","2,870,000","563,000","5,309,000","4,574,000","5,911,000","6,639,000","4,149,000","14,595,000","2,952,000","2,282,000","2,464,000","3,659,000","3,533,000","3,949,000","4,142,000","4,833,000","5,160,000","4,127,000","5,036,000","28,108,000","35,332,000","31,080,000","29,415,000"
				TotalTaxPayable,,"5,704,000",,,,"8,432,000",,,,"8,131,000",,,,"5,822,000",,,,"4,090,000",,,,"3,175,000",,,,,,,,
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,
			CurrentAccruedExpenses,"5,960,000","2,907,000","13,246,000","9,925,000","8,382,000","2,078,000","12,476,000","10,337,000","8,823,000","5,514,000","17,384,000","39,105,000","38,977,000","38,158,000","58,868,000","52,576,000","35,292,000","32,038,000","38,336,000","39,541,000","38,704,000","26,879,000","39,394,000","36,475,000","48,789,000","58,003,000","18,227,000","29,057,000","64,889,000","69,157,000"
				InterestPayable,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","13,824,000","52,724,000","52,905,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,"8,978,000",,,,"5,058,000",,,,"9,057,000",,,,"16,109,000",,,,"16,503,000",,,,"20,898,000",,,,,,,,
		OtherCurrentLiabilities,"140,098,000","53,607,000","116,086,000","81,839,000","46,183,000","20,972,000","5,285,000","1,945,000","1,412,000","1,792,000","1,058,000","957,000","2,893,000","528,000","41,260,000","37,169,000","17,640,000","4,639,000","302,000","203,000","4,941,000","16,237,000","137,000","1,835,000",,,,"1,108,000",,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"91,982,000","107,152,000","129,681,000","123,109,000","132,575,000","145,064,000","175,724,000","349,644,000","409,682,000","418,601,000","437,115,000","534,567,000","529,489,000","482,734,000","522,227,000","506,135,000","494,284,000","426,174,000","385,384,000","408,922,000","404,130,000","331,835,000","319,900,000","306,082,000","133,875,000","87,744,000","64,915,000","28,432,000","406,185,000","413,828,000"
		LongTermProvisions,"12,702,000","12,561,000","12,412,000","17,741,000","17,503,000","17,377,000","16,972,000","16,717,000","16,225,000","15,653,000","15,584,000","15,377,000","15,146,000","14,948,000","14,669,000","14,589,000","14,382,000","14,092,000","13,909,000","13,627,000","13,599,000","13,350,000","11,366,000","11,240,000","10,972,000","10,585,000","10,181,000","9,908,000","9,621,000","9,381,000"
		LongTermDebtAndCapitalLeaseObligation,"69,000,000","89,000,000","99,000,000","96,000,000","111,000,000","121,000,000","147,000,000","323,000,000","388,000,000","394,000,000","413,000,000","436,000,000","435,000,000","410,000,000","402,000,000","421,000,000","436,000,000","388,000,000","362,000,000","393,000,000","388,000,000","316,000,000","299,000,000","285,000,000","116,000,000","66,000,000","43,000,000","6,000,000","389,000,000","394,000,000"
			LongTermDebt,"69,000,000","89,000,000","99,000,000","96,000,000","111,000,000","121,000,000","147,000,000","323,000,000","388,000,000","394,000,000","413,000,000","436,000,000","435,000,000","410,000,000","402,000,000","421,000,000","436,000,000","388,000,000","362,000,000","393,000,000","388,000,000","316,000,000","299,000,000","285,000,000","116,000,000","66,000,000","43,000,000","6,000,000","389,000,000","394,000,000"
		NonCurrentDeferredLiabilities,,,,,,,,,,,,,,,,,,"0","0","0","658,000","518,000","3,082,000","3,477,000","3,054,000","3,257,000","3,333,000","3,427,000","3,813,000","3,917,000"
