name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
		ProceedsFromStockOptionExercised,"19,367,000","2,356,000","5,119,000","5,778,000","6,114,000","6,320,000","1,702,000","2,506,000","823,000","4,548,000","492,000","10,841,000","1,866,000","39,000","0","299,000","1,008,000","580,000","444,000","57,000","4,323,000","411,000",,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-57,669,000","-5,373,000","-22,966,000","-13,287,000","-16,043,000","-12,259,000","-35,777,000","-9,888,000","-16,966,000","3,093,000","2,304,000","-10,645,000","-41,000","-605,000","-1,140,000","2,979,000","-137,000","-2,192,000","0","-210,000","283,000","-672,000","-1,249,000","-146,000","-2,556,000","-458,000","-160,000","-278,000","-5,639,000","-3,322,000","-6,866,000","-296,000","-12,418,000","5,719,000","3,254,000","-158,000",,,"-1,827,000","-2,918,000","-14,624,000","-300,000"
EndCashPosition,"570,827,000","570,827,000","836,340,000","374,985,000","368,121,000","393,476,000","534,109,000","549,060,000","676,903,000","511,432,000","328,572,000","223,796,000","198,227,000","173,806,000","331,859,000","383,373,000","321,421,000","289,288,000","575,503,000","266,177,000","248,088,000","302,159,000","300,179,000","160,519,000","131,879,000","141,124,000","126,188,000","158,279,000","145,546,000","399,537,000","462,205,000","281,528,000","300,821,000","433,000,000","389,181,000","355,415,000","421,147,000","237,963,000","300,567,000","412,779,000","367,121,000","174,719,000"
	ChangesInCash,"177,351,000","-265,513,000","461,355,000","6,864,000","-25,355,000","-140,633,000","-14,951,000","-127,843,000","165,471,000","182,860,000","104,776,000","25,569,000","24,421,000","-158,053,000","-51,514,000","61,952,000","32,133,000","-286,215,000","309,326,000","18,089,000","-54,071,000","347,000","139,660,000","28,640,000","-9,245,000","14,936,000","-32,091,000","13,297,000","-254,008,000","-42,724,000","186,581,000","-11,310,000","-139,611,000","50,526,000","47,394,000","-70,837,000","192,307,000","-58,641,000","-105,613,000","39,761,000","197,452,000","-109,474,000"
	EffectOfExchangeRateChanges,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-564,000","17,000","-19,944,000","-5,904,000","-7,983,000","7,432,000","-6,707,000","-13,628,000","5,105,000","-9,158,000","-3,963,000","-6,599,000","5,897,000","-5,050,000","4,871,000"
	BeginningCashPosition,"393,476,000","836,340,000","374,985,000","368,121,000","393,476,000","534,109,000","549,060,000","676,903,000","511,432,000","328,572,000","223,796,000","198,227,000","173,806,000","331,859,000","383,373,000","321,421,000","289,288,000","575,503,000","266,177,000","248,088,000","302,159,000","301,812,000","160,519,000","131,879,000","141,124,000","126,188,000","158,279,000","145,546,000","399,537,000","462,205,000","281,528,000","300,821,000","433,000,000","389,181,000","355,415,000","421,147,000","237,963,000","300,567,000","412,779,000","367,121,000","174,719,000","279,322,000"
IncomeTaxPaidSupplementalData,,"228,000","49,418,000",,,"4,592,000","867,000",,,,"-476,000","16,974,000","3,630,000","1,000","18,915,000","23,044,000","19,456,000","2,069,000","26,353,000","24,039,000","43,938,000","2,195,000","29,175,000","20,642,000","15,960,000","42,184,000","9,100,000","21,854,000","19,743,000","40,067,000","4,909,000","30,771,000","18,073,000","45,318,000","6,589,000","2,197,000","4,787,000","10,781,000","9,375,000","57,268,000","-40,488,000","16,400,000"
InterestPaidSupplementalData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,
CapitalExpenditure,"-18,764,000","-5,389,000","-5,501,000",,"-12,699,000","-7,824,000","-12,484,000","-8,225,000","-11,020,000","-6,031,000","-11,443,000","-6,648,000","-5,833,000","-6,194,000","-6,004,000","-5,861,000","-5,898,000","-2,695,000","-1,578,000","-928,000","-640,000","-275,000","-974,000","-747,000",,"-705,000","-2,545,000","-254,000","-1,182,000","-317,000","-977,000","-972,000",,,"-1,579,000","-1,457,000","-366,000","-384,000","-655,000","-797,000","-388,000","-913,000"
IssuanceOfCapitalStock,,,,,,,,,,,"0","0","0","0","-1,000","0","0","767,116,000","229,500,000","0","464,200,000","418,106,000",,,,,,,,,"0","0",,,"0","0",,,,,,
IssuanceOfDebt,"3,468,569,000","612,859,000","1,071,688,000","946,735,000","837,287,000","734,266,000","718,903,000","1,349,194,000","658,630,000","1,145,693,000","626,129,000","727,660,000","887,162,000","196,588,000","662,980,000","249,882,000","182,436,000","147,748,000","283,227,000","179,570,000","206,572,000","190,424,000","396,088,000","289,063,000","338,649,000","465,009,000","488,893,000","483,720,000","661,174,000","158,638,000","369,687,000","260,973,000","179,001,000","494,037,000","205,311,000","215,110,000","1,168,348,000","617,056,000","103,439,000","-63,536,000","692,441,000","81,884,000"
RepaymentOfDebt,"-3,462,074,000","-867,346,000","-997,132,000","-813,482,000","-784,114,000","-672,759,000","-996,541,000","-1,925,786,000","-661,137,000","-740,606,000","-751,835,000","-704,283,000","-961,597,000","-243,839,000","-490,498,000","-242,981,000","-163,125,000","-226,109,000","-217,926,000","-184,685,000","-209,350,000","-322,464,000","-478,910,000","-331,453,000","-403,545,000","-359,356,000","-505,342,000","-333,555,000","-707,824,000","-324,310,000","-395,334,000","-230,598,000","-154,139,000","-200,439,000","-274,792,000","-238,202,000","-904,519,000","-621,083,000","-19,586,000","178,628,000","-464,829,000","-113,241,000"
RepurchaseOfCapitalStock,"-301,031,000","-58,029,000","-44,589,000","-91,659,000","-106,754,000","-38,418,000","-13,169,000","0","0","-90,163,000","0","0","-79,600,000","-77,839,000","-138,465,000","0","-158,000","-969,742,000","-229,856,000","-4,198,000","-465,367,000","-418,936,000","0","-3,833,000","-19,717,000","-4,993,000",,,,,"0","0",,,"-3,239,000","0",,,,,,
FreeCashFlow,"559,651,000","52,072,000","474,690,000","-1,126,000","34,015,000","-152,132,000","312,769,000","466,600,000","240,083,000","66,070,000","228,396,000","1,055,000","168,135,000","-34,488,000","73,594,000","39,646,000","3,886,000","-1,990,000","251,880,000","31,877,000","-48,581,000","147,636,000","229,205,000","76,010,000","82,767,000","-17,288,000","6,480,000","20,941,000","-123,912,000","-170,495,000","236,342,000","-21,077,000","-106,232,000","-246,446,000","184,901,000","-45,349,000","-241,556,000","-53,715,000","-56,736,000","-75,201,000","-8,583,000","-76,702,000"
