name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
	OtherNonOperatingIncomeExpenses,"-376,000","-4,248,000","2,392,000","-320,000","1,800,000","1,594,000","4,890,000","3,683,000","6,149,000","-5,005,000","2,747,000","-7,577,000","-2,004,000","-135,000","7,199,000","-1,941,000","-1,838,000","-2,593,000","-13,356,000","1,463,000","-2,521,000","2,260,000","-131,000","1,006,000","389,000",,"-272,000","-1,809,000","-604,000","743,000","-458,000","-504,000","1,851,000","52,000",,,,"-5,000",,
PretaxIncome,"339,346,000","53,763,000","83,599,000","140,339,000","61,645,000","64,888,000","61,561,000","62,547,000","69,625,000","77,377,000","156,132,000","80,553,000","83,864,000","84,894,000","106,615,000","92,766,000","102,310,000","89,837,000","251,277,000","73,380,000","87,594,000","78,653,000","283,613,000","81,431,000","58,820,000","81,100,000","73,669,000","71,293,000","56,296,000","74,055,000","70,078,000","70,698,000","69,880,000","111,393,000","65,761,000","113,617,000","107,284,000","102,397,000","87,547,000","87,584,000"
TaxProvision,"51,031,000","14,694,000","6,367,000","19,033,000","34,094,000","13,444,000","16,657,000","-118,138,000","14,225,000","4,165,000","64,557,000","9,614,000","9,773,000","11,092,000","1,804,000","10,793,000","1,674,000","13,288,000","231,508,000","12,764,000","-52,974,000","6,514,000","104,938,000","23,336,000","8,464,000","9,543,000","12,674,000","19,040,000","24,235,000","2,026,000","4,270,000","5,811,000","3,248,000","9,413,000","14,284,000","891,000","3,788,000","1,255,000","2,166,000","2,517,000"
NetIncomeCommonStockholders,"285,513,000","38,415,000","75,545,000","122,004,000","26,392,000","48,321,000","43,969,000","142,155,000","-22,116,000","340,728,000","-443,668,000","723,731,000","-287,308,000","265,808,000","693,889,000","-681,333,000","-323,211,000","-103,537,000","281,200,000","336,430,000","-247,019,000","-79,800,000","332,766,000","70,302,000","101,645,000","299,948,000","-54,383,000","471,154,000","-84,076,000","-374,853,000","-32,979,000","-373,384,000","470,040,000","530,588,000","-3,713,408,000","-278,000","-797,000","4,229,000","1,991,000","2,256,000"
	NetIncome,"285,513,000","38,415,000","75,545,000","122,004,000","26,392,000","48,321,000","43,969,000","168,840,000","26,298,000","38,159,000","36,485,000","29,422,000","9,666,000","30,414,000","42,180,000","26,860,000","30,509,000","23,502,000","-36,716,000","16,006,000","37,199,000","20,174,000","47,558,000","8,494,000","10,544,000","15,539,000","11,178,000","4,353,000","7,990,000","12,209,000","9,271,000","9,273,000","8,879,000","13,525,000","6,404,000","-278,000","-797,000","4,229,000","1,991,000","2,256,000"
		NetIncomeIncludingNoncontrollingInterests,"288,315,000","39,069,000","77,232,000","121,306,000","27,551,000","51,444,000","44,904,000","180,685,000","55,445,000","73,217,000","92,189,000","71,329,000","23,493,000","73,802,000","104,811,000","81,973,000","100,636,000","76,549,000","19,769,000","60,616,000","140,568,000","72,139,000","178,675,000","58,095,000","50,356,000","71,557,000","60,995,000","52,253,000","32,061,000","72,029,000","65,808,000","64,887,000","66,632,000","101,980,000","51,477,000","112,726,000","103,496,000","101,142,000","85,381,000","85,067,000"
			NetIncomeContinuousOperations,"288,315,000","39,069,000","77,232,000","121,306,000","27,551,000","51,444,000","44,904,000","180,685,000","55,400,000","73,212,000","91,575,000","70,939,000","74,091,000","73,802,000","104,811,000","81,973,000","100,636,000","76,549,000","19,769,000","60,616,000","140,568,000","72,139,000","178,675,000","58,095,000","50,356,000","71,557,000","60,995,000","52,253,000","32,061,000","72,029,000","65,808,000","64,887,000","66,632,000","101,980,000","51,477,000","112,726,000","103,496,000","101,142,000","85,381,000","85,067,000"
			NetIncomeDiscontinuousOperations,,,,,"0","0","0","0","45,000","5,000","614,000","390,000","-46,736,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-2,802,000","-654,000","-1,687,000","698,000","-1,159,000","-3,123,000","-935,000","-11,845,000","-29,147,000","-35,058,000","-55,704,000","-41,907,000","-13,827,000","-43,388,000","-62,631,000","-55,113,000","-70,127,000","-53,047,000","-56,485,000","-44,610,000","-103,369,000","-51,965,000","-131,117,000","-49,601,000","-39,812,000","-56,018,000","-49,817,000","-47,900,000","-24,071,000","-59,820,000","-56,537,000","-55,614,000","-57,753,000","-88,455,000","-45,073,000","-113,004,000","-104,293,000","-96,913,000","-83,390,000","-82,811,000"
	OtherunderPreferredStockDividend,"0","0","0","0","0","0","0","26,685,000","48,414,000","-302,569,000","480,153,000","-694,309,000","296,974,000","-235,394,000","-651,709,000","708,193,000","353,720,000","127,039,000","-317,916,000","-320,424,000","284,218,000","99,974,000","-285,208,000","-61,808,000","-91,101,000","-284,409,000","65,561,000","-466,801,000","92,066,000","387,062,000","42,250,000","382,657,000","-461,161,000","-517,063,000","3,719,812,000",,,"0","0",
