name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014
NetIncomeFromContinuingAndDiscontinuedOperation,"-546,458,000","-138,595,000","-140,564,000","-151,273,000","-116,026,000","-63,853,000","-76,412,000","-58,323,000","-59,637,000","-35,372,000","-35,183,000","-23,137,000","-32,416,000","-34,091,000","-31,841,000","-29,616,000","-33,824,000","-32,873,000","-45,502,000","-27,119,000","-27,732,000","-35,961,000","-37,907,000","-26,017,000","-23,156,000","-8,685,000","-22,960,000","-17,630,000","-19,681,000","-10,004,000","1,254,000","3,724,000","-514,000","-9,616,000"
NormalizedIncome,"-546,458,000","-138,595,000","-140,564,000","-151,273,000","-116,026,000","-63,853,000","-76,412,000","-58,323,000","-55,367,960","-35,372,000","-35,183,000","-33,640,240","-32,416,000","-34,091,000","-31,841,000","-29,616,000","-33,824,000","-32,873,000","-45,502,000","-27,119,000","-27,732,000","-35,961,000","-37,907,000","-26,017,000","-23,156,000","-8,685,000","-22,960,000","-17,630,000","-19,681,000","-10,004,000","1,254,000","3,724,000","-514,000","-9,616,000"
InterestIncome,,"801,000",,"1,274,000","1,585,000","1,371,000",,,"1,924,000","1,987,000","2,190,000","673,000","836,000","453,000","618,000","449,000","-3,933,000","137,000","1,930,000","-437,000","-413,000","1,300,000","-5,000","887,000","-519,000","1,035,000","1,276,000","1,810,000","-322,000","-1,800,000","-1,124,000","708,000","1,340,000","-806,000"
InterestExpense,"8,319,000","2,087,000","2,079,000","2,078,000","2,075,000","2,073,000","4,310,000","4,270,000","4,038,000","2,464,000","2,576,000","2,672,000","2,721,000","2,724,000","2,746,000","2,781,000","2,560,000","2,389,000","2,335,000","1,477,000","218,000","183,000","150,000","146,000","122,000","115,000","-198,000","1,177,000","1,525,000","2,810,000","1,272,000","1,202,000","936,000","1,615,000"
NetInterestIncome,"-8,889,000","-1,286,000","-6,309,000","-804,000","-490,000","-702,000","3,252,000","-4,270,000","-4,038,000","-477,000","-386,000","-1,999,000","-1,885,000","-2,271,000","-2,746,000","-2,332,000","-2,560,000","-2,252,000","-405,000","-1,477,000","-218,000","1,117,000","-155,000","741,000","-122,000","920,000","1,162,000","633,000","-1,525,000","-2,810,000","-2,396,000","-494,000","404,000","-1,615,000"
EBIT,"-537,476,000","-136,329,000","-138,515,000","-148,923,000","-113,709,000","-61,646,000","-72,067,000","-54,028,000","-55,584,000","-32,885,000","-32,621,000","-20,421,000","-27,800,000","-31,293,000","-29,109,000","-26,717,000","-31,151,000","-30,380,000","-42,986,000","-25,480,000","-27,450,000","-35,731,000","-37,718,000","-25,768,000","-23,034,000","-8,570,000","-23,158,000","-16,453,000","-18,156,000","-7,194,000","2,526,000","4,926,000","422,000","-8,001,000"
EBITDA,"-525,626,000"
ReconciledCostOfRevenue,"354,820,000","103,215,000","94,122,000","81,371,000","76,112,000","66,813,000","59,882,000","51,821,000","46,939,000","44,978,000","44,462,000","43,880,000","43,825,000","43,303,000","42,789,000","41,679,000","40,995,000","40,592,000","36,725,000","34,612,000","34,559,000","33,700,000","38,000,000","34,261,000","30,973,000","32,340,000","31,813,000","30,456,000","25,732,000","24,843,000","22,662,000","20,820,000","19,014,000","15,900,000"
ReconciledDepreciation,"11,850,000","3,145,000","2,995,000","2,997,000","2,713,000","2,549,000","2,398,000","2,179,000","2,210,000","1,826,000","1,809,000","1,969,000","2,032,000","1,920,000","1,927,000","1,895,000","1,819,000","1,860,000","1,823,000","1,700,000","1,862,000","1,758,000","1,999,000","1,749,000","1,234,000","1,194,000","1,172,000","1,389,000","1,333,000","1,641,000","1,478,000","1,362,000","1,239,000","1,069,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-546,458,000","-138,595,000","-140,564,000","-151,273,000","-116,026,000","-63,853,000","-76,412,000","-58,323,000","-59,637,000","-35,372,000","-35,183,000","-23,137,000","-32,416,000","-34,091,000","-31,841,000","-29,616,000","-33,824,000","-32,873,000","-45,502,000","-27,119,000","-27,732,000","-35,961,000","-37,907,000","-26,017,000","-23,156,000","-8,685,000","-22,960,000","-17,630,000","-19,681,000","-10,004,000","1,254,000","3,724,000","-514,000","-9,616,000"
TotalUnusualItemsExcludingGoodwill,"0",,"0","0","0",,"0","0","-5,848,000",,"0","14,388,000",,,,,,,,,,,,,,"1,035,000","-6,774,000","2,478,000","-2,684,000","-917,000","-723,000",,"287,000","-719,000"
TotalUnusualItems,"0",,"0","0","0",,"0","0","-5,848,000",,"0","14,388,000",,,,,,,,,,,,,,"1,035,000","-6,774,000","2,478,000","-2,684,000","-917,000","-723,000",,"287,000","-719,000"
NormalizedEBITDA,"-525,626,000","-133,184,000","-135,520,000","-145,926,000","-110,996,000","-59,097,000","-69,669,000","-51,849,000","-47,526,000","-31,059,000","-30,812,000","-32,840,000","-25,768,000","-29,373,000","-27,182,000","-24,822,000","-29,332,000","-28,520,000","-41,163,000","-23,780,000","-25,588,000","-33,973,000","-35,719,000","-24,019,000","-21,800,000","-7,376,000","-21,986,000","-15,064,000","-16,823,000","-5,553,000","4,004,000","6,288,000","1,661,000","-6,932,000"
TaxRateForCalcs,"0.4","0.4","0","0.27","0.27","0.27","0.27","0.27","0.27","0.27","0","0.27","0.27","0.27","0","0.27","0.27","0.27","0.4","0.4","0.4","0.4","0.4","0.4","0","0","0","0","0","0","0.35","0.35","0","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","-1,578,960","0","0","3,884,760","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
