name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,06/30/2010,03/31/2010
			ChangeInPayablesAndAccruedExpense,"-55,000","90,574,000","-114,656,000","15,674,000","8,353,000","89,328,000","-77,148,000","6,868,000","19,173,000","52,729,000","-63,827,000","7,538,000","14,475,000","48,695,000","-68,479,000","4,389,000","6,799,000","67,318,000","-73,161,000","4,725,000","11,471,000","47,763,000","-57,451,000","4,733,000","8,051,000","41,147,000","-58,896,000","-2,215,000","8,474,000","52,321,000","-60,666,000","3,827,000","1,843,000","67,634,000","-74,293,000","7,368,000","10,086,000","54,434,000","-51,524,000","13,303,000","6,017,000","43,600,000","-53,103,000","423,280","10,291,446","40,397,274","1,579,254","28,843,548"
			ChangeInOtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-878,000",,,,,,,,,
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,452","-126,341","-55,550","-123,777"
			ChangeInOtherWorkingCapital,"-91,778,000","604,000","-32,009,000","-6,141,000","-54,232,000","61,578,000","23,174,000","27,085,000","-7,982,000","-5,690,000","10,674,000","9,744,000","12,223,000","7,425,000","4,146,000","10,698,000","1,052,000","1,013,000","-18,510,000","4,974,000","-16,326,000","973,000","-3,721,000","-345,000","87,000","-623,000","-3,706,000","-789,000","-241,000","-4,075,000","33,607,000","-5,250,000","-4,256,000","-14,060,000","-4,521,000","-3,707,000","-3,565,000","-229,261,000","8,666,000","56,512,000","1,376,000","23,294,000","22,272,000","-40,161,510","-2,252,309","-9,371,181","19,188,703","6,366,774"
InvestingCashFlow,"-60,648,000","-56,403,000","-838,000","-1,064,000","-2,343,000","-22,729,000","2,525,000","-718,000","13,370,000","3,575,000","-836,000","-2,404,000","-9,428,000","-4,838,000","-5,226,000","-6,352,000","-1,934,000","-829,000","-1,486,000","-4,058,000","-3,800,000","4,641,000","2,481,000","-675,000","-3,164,000","-711,000","-3,704,000","936,000","-7,168,000","-1,389,000","3,687,000","2,903,000","-2,431,000","-11,935,000","15,707,000","-594,000","-3,718,000","-2,654,000","1,643,000","-959,000","-532,000","-1,164,000","2,514,000","-328,187","-1,677,573","-20,156,240","-292,823","942,032"
	CashFlowFromContinuingInvestingActivities,"-60,648,000","-56,403,000","-838,000","-1,064,000","-2,343,000","-22,729,000","2,525,000","-718,000","13,370,000","3,575,000","-836,000","-2,404,000","-9,428,000","-4,838,000","-5,226,000","-6,352,000","-1,934,000","-829,000","-1,486,000","-4,058,000","-3,800,000","4,641,000","2,481,000","-675,000","-3,164,000","-711,000","-3,704,000","936,000","-7,168,000","-1,389,000","3,687,000","2,903,000","-2,431,000","-11,935,000","15,707,000","-594,000","-3,718,000","-2,654,000","1,643,000","-959,000","-532,000","-1,164,000","2,514,000","-328,187","-1,677,573","-20,156,240","-292,823","942,032"
		NetPPEPurchaseAndSale,"-8,222,000","-3,977,000","-838,000","-1,064,000","-2,343,000","-1,722,000","-1,357,000","-582,000","-362,000","-798,000","-1,124,000","-2,394,000","-9,428,000","-4,838,000","-4,976,000","-6,102,000","-1,934,000","-829,000","-1,486,000","-2,058,000","-800,000","-1,491,000","-705,000","-2,700,000","-3,160,000","-711,000","-3,704,000","-859,000","-1,383,000","-1,389,000","-1,757,000","-3,492,000","-2,431,000","-1,935,000","-1,225,000","-594,000","-718,000","-654,000","-2,955,000","-814,000","-532,000","-1,164,000","-1,587,000","-328,187","-637,573","-156,240","-292,823","-252,163"
			PurchaseOfPPE,"-8,222,000","-3,977,000","-838,000","-1,064,000","-2,343,000","-1,722,000","-1,357,000","-582,000","-362,000","-798,000","-1,124,000","-2,394,000","-9,428,000","-4,838,000","-4,976,000","-6,102,000","-1,934,000","-829,000","-1,486,000","-2,058,000","-800,000","-1,491,000","-705,000","-2,700,000","-3,160,000","-711,000","-3,704,000","-859,000","-1,383,000","-1,389,000","-1,757,000","-3,492,000","-2,431,000","-1,939,000","-1,225,000","-594,000","-718,000","-654,000","-2,955,000","-814,000","-532,000","-1,164,000","-1,614,000","-328,187","-637,573","-156,240","-292,823","-252,163"
			SaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","4,000",,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-52,426,000","-52,426,000","0","0","0","-21,007,000","3,882,000","-136,000","13,732,000","4,373,000","288,000",,,,"-250,000",,,"0","0","-2,000,000","-3,000,000","6,132,000","2,926,000","2,025,000",,,"0","1,759,000","-5,785,000","0","5,444,000","6,135,000","0","-10,000,000","16,932,000","0","-3,000,000","-2,000,000","4,598,000","0","0","0","4,101,000","0","0","-20,000,000","0","1,194,195"
