name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998
		GainsLossesNotAffectingRetainedEarnings,"-394,925,000","-90,381,000","-57,568,000","-14,689,000","-90,040,000","44,325,000","33,314,000","23,134,000","6,881,000","-18,408,000","-967,000","-9,972,000","-32,983,000","-58,174,000","-89,836,000","-71,467,000","-55,804,000","-37,519,000","-32,217,000","-34,181,000","-43,518,000","-48,146,000","-7,174,000","-1,712,000","-2,058,000","-14,941,000","1,830,000","5,430,000","13,555,000","4,237,000","-2,428,000","-2,535,000","-17,037,000","-30,459,000","-25,178,000","-21,678,000","6,185,000","4,669,000","-1,517,000","-15,923,000","-16,878,000","-33,940,000","-21,595,000","4,430,000","-10,155,000","-12,414,000","5,135,000","2,302,000","2,083,000","599,000","-23,179,000","-39,852,000","-80,070,000","-86,491,000","-72,599,000","-105,125,000","-109,032,000","-38,802,000","-10,982,000","-8,538,000","1,982,000","-10,087,000","-7,880,000","-11,292,000","-4,805,000","-10,868,000","-9,733,000","-7,943,000","-10,672,000","-5,426,000","-1,828,000","-4,360,000","-2,403,000","-1,818,000","593,000","1,973,000","2,172,000","3,268,000","1,901,000","669,000","-1,857,000","-743,000","-961,000","-4,309,000","-4,358,000","-8,619,000","-13,827,000","-15,875,000","-15,200,000","-13,600,000","-9,900,000",,"-1,100,000","-900,000"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000",,"92,500,000","103,000,000","110,000,000"
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,100,000",,,
TotalCapitalization,"5,930,302,000","6,238,546,000","6,090,894,000","5,948,009,000","6,090,257,000","6,073,526,000","7,362,608,000","7,224,444,000","5,701,483,000","5,915,802,000","5,780,548,000","5,632,173,000","5,089,020,000","4,896,981,000","4,727,216,000","4,601,008,000","4,469,846,000","4,337,419,000","4,281,732,000","4,169,467,000","4,069,538,000","3,935,711,000","3,890,403,000","3,813,640,000","3,737,856,000","4,348,458,000","3,601,011,000","3,539,234,000","3,477,445,000","3,393,657,000","3,315,582,000","3,252,912,000","3,180,515,000","2,906,185,000","2,813,611,000","2,709,151,000","2,793,791,000","2,832,275,000","2,818,506,000","2,870,003,000","2,495,475,000","2,979,172,000","2,932,422,000","2,987,544,000","3,187,130,000","3,563,649,000","3,638,404,000","3,596,545,000","4,310,811,000","4,325,616,000","2,680,568,000","2,885,576,000","3,004,032,000","1,786,336,000","3,050,951,000","3,064,692,000","3,010,292,000","3,232,054,000","2,870,440,000","2,440,623,000","2,109,698,000","2,351,658,000","2,671,732,000","1,968,329,000","1,835,337,000","887,233,000","944,665,000","931,575,000","1,527,878,000","795,484,000","1,196,820,000","1,037,823,000","922,017,000","693,296,000","507,258,000","346,903,000","334,728,000","322,867,000","311,894,000","292,110,000","277,369,000","265,165,000","305,823,000","287,090,000","287,343,000","474,899,000","432,796,000","485,325,000","157,281,000","165,600,000","546,900,000","643,900,000","648,900,000","424,600,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,027,000","83,058,000","370,882,000","369,695,000","369,095,000","693,803,000","367,922,000","474,425,000","473,340,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CommonStockEquity,"5,703,456,000","5,837,218,000","5,690,201,000","5,547,548,000","5,285,027,000","5,269,175,000","5,126,106,000","4,987,243,000","4,902,985,000","5,017,617,000","4,882,664,000","4,734,593,000","4,591,930,000","4,423,974,000","4,244,850,000","4,114,284,000","3,978,755,000","3,841,951,000","3,781,896,000","3,670,261,000","3,565,954,000","3,427,741,000","3,378,054,000","3,296,910,000","3,216,781,000","3,122,950,000","3,071,115,000","3,004,948,000","2,938,763,000","2,850,568,000","2,768,093,000","2,701,024,000","2,624,220,000","2,364,225,000","2,311,876,000","2,257,951,000","2,260,092,000","2,299,095,000","2,235,182,000","2,211,913,000","2,200,270,000","2,228,716,000","2,178,142,000","2,146,305,000","2,074,890,000","2,030,873,000","2,013,878,000","1,969,269,000","1,936,694,000","1,590,856,000","1,153,860,000","1,002,343,000","1,061,853,000","1,550,766,000","1,264,881,000","1,272,200,000","1,103,784,000","1,171,823,000","1,166,555,000","1,055,171,000","1,038,198,000","1,019,390,000","981,370,000","937,742,000","903,523,000","734,138,000","696,875,000","561,416,000","534,029,000","514,309,000","492,645,000","422,919,000","407,123,000","361,983,000","343,008,000","326,153,000","312,178,000","302,117,000","288,744,000","271,360,000","256,619,000","244,415,000","235,923,000","217,190,000","207,593,000","186,149,000","178,046,000","163,792,000","156,499,000","150,100,000","146,400,000","145,900,000","148,900,000","150,800,000"
CapitalLeaseObligations,"109,656,000","105,534,000","107,107,000","110,105,000","101,828,000","102,830,000","103,673,000","102,708,000","109,356,000","108,083,000","112,142,000","117,448,000","112,843,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"36,170,000",,,,,,,,,,,,,,,,
NetTangibleAssets,"5,237,759,000","5,371,521,000","5,224,504,000","5,081,851,000","4,819,330,000","4,803,478,000","4,660,409,000","4,521,546,000","4,437,288,000","4,551,920,000","4,416,967,000","4,268,896,000","4,126,233,000","3,958,427,000","3,779,303,000","3,648,737,000","3,513,208,000","3,372,518,000","3,312,463,000","3,200,828,000","3,096,521,000","2,958,308,000","2,908,621,000","2,827,477,000","2,747,348,000","2,653,517,000","2,601,682,000","2,535,515,000","2,469,330,000","2,381,135,000","2,309,626,000","2,242,557,000","2,165,753,000","2,026,787,000","1,974,438,000","1,920,513,000","2,005,681,000","2,044,684,000","1,922,025,000","1,896,022,000","1,881,542,000","1,907,115,000","1,853,616,000","1,818,712,000","1,744,147,000","1,776,493,000","2,047,322,000","2,001,526,000","1,968,351,000","1,947,221,000","1,184,344,000","1,139,330,000","1,197,755,000","1,213,328,000","927,550,000","934,626,000","766,208,000","836,457,000","831,688,000","810,908,000","793,935,000","775,131,000","737,194,000","693,391,000","659,378,000","590,884,000","552,385,000","517,614,000","490,227,000","470,607,000","449,371,000","394,262,000","376,439,000","331,675,000","313,485,000","297,443,000","283,205,000","302,117,000","268,143,000","250,759,000","256,619,000","244,415,000","215,640,000","196,761,000","186,798,000","169,652,000","161,334,000","147,089,000","139,736,000","143,300,000","139,500,000","138,900,000","145,400,000","147,200,000"
InvestedCapital,"5,930,302,000","6,238,546,000","6,090,894,000","5,948,009,000","6,090,257,000","6,094,535,000","7,422,221,000","7,477,295,000","5,768,407,000","5,944,471,000","5,828,237,000","5,652,145,000","5,128,570,000","4,954,619,000","4,783,627,000","4,659,531,000","4,500,123,000","4,337,419,000","4,306,545,000","4,193,893,000","4,111,561,000","3,995,761,000","3,927,395,000","3,843,139,000","3,747,949,000","4,348,458,000","3,604,157,000","3,542,505,000","3,477,445,000","3,393,657,000","3,315,582,000","3,252,912,000","3,180,515,000","2,906,185,000","2,813,611,000","2,709,151,000","2,710,764,000","2,769,248,000","2,735,479,000","2,786,976,000","2,807,167,000","2,982,132,000","2,939,364,000","3,014,767,000","3,184,134,000","3,541,277,000","3,341,072,000","3,280,457,000","4,006,978,000","3,706,219,000","2,319,757,000","2,422,729,000","2,545,289,000","1,786,336,000","3,050,951,000","3,064,692,000","3,010,292,000","3,232,054,000","2,870,440,000","2,440,623,000","2,109,698,000","2,351,658,000","2,671,732,000","1,968,329,000","1,835,337,000","1,513,748,000","1,523,921,000","1,544,909,000","1,559,378,000","1,443,606,000","1,196,820,000","1,037,823,000","922,017,000","705,296,000","507,258,000","346,903,000","334,728,000","322,867,000","365,894,000","351,110,000","277,369,000","265,165,000","326,573,000","294,090,000","332,343,000","512,899,000","470,796,000","523,325,000","532,031,000","634,200,000","582,900,000","643,900,000","652,900,000","715,600,000"
TangibleBookValue,"5,237,759,000","5,371,521,000","5,224,504,000","5,081,851,000","4,819,330,000","4,803,478,000","4,660,409,000","4,521,546,000","4,437,288,000","4,551,920,000","4,416,967,000","4,268,896,000","4,126,233,000","3,958,427,000","3,779,303,000","3,648,737,000","3,513,208,000","3,372,518,000","3,312,463,000","3,200,828,000","3,096,521,000","2,958,308,000","2,908,621,000","2,827,477,000","2,747,348,000","2,653,517,000","2,601,682,000","2,535,515,000","2,469,330,000","2,381,135,000","2,309,626,000","2,242,557,000","2,165,753,000","2,026,787,000","1,974,438,000","1,920,513,000","1,922,654,000","1,961,657,000","1,838,998,000","1,812,995,000","1,798,515,000","1,824,088,000","1,770,589,000","1,735,685,000","1,661,120,000","1,693,435,000","1,676,440,000","1,631,831,000","1,599,256,000","1,253,418,000","816,422,000","664,905,000","724,415,000","1,213,328,000","927,550,000","934,626,000","766,208,000","836,457,000","831,688,000","810,908,000","793,935,000","775,131,000","737,194,000","693,391,000","659,378,000","590,884,000","552,385,000","517,614,000","490,227,000","470,607,000","449,371,000","394,262,000","376,439,000","331,675,000","313,485,000","297,443,000","283,205,000","302,117,000","268,143,000","250,759,000","256,619,000","244,415,000","215,640,000","196,761,000","186,798,000","169,652,000","161,334,000","147,089,000","139,736,000","143,300,000","139,500,000","138,900,000","145,400,000","147,200,000"
TotalDebt,"336,502,000","506,862,000","507,800,000","510,566,000","907,058,000","928,190,000","2,399,788,000","2,592,760,000","974,778,000","1,034,937,000","1,057,715,000","1,035,000,000","649,483,000","530,645,000","538,777,000","545,247,000","521,368,000","495,468,000","524,649,000","523,632,000","545,607,000","568,020,000","549,341,000","546,229,000","531,168,000","1,225,508,000","533,042,000","537,557,000","538,682,000","543,089,000","547,489,000","551,888,000","556,295,000","541,960,000","501,735,000","451,200,000","450,672,000","470,153,000","500,297,000","575,063,000","606,897,000","753,416,000","761,222,000","868,462,000","1,109,244,000","1,510,404,000","1,327,194,000","1,311,188,000","2,070,284,000","2,115,363,000","1,165,897,000","1,420,386,000","1,483,436,000","235,570,000","1,786,070,000","1,792,492,000","1,906,508,000","2,060,231,000","1,703,885,000","1,385,452,000","1,071,500,000","1,332,268,000","1,690,362,000","1,030,587,000","931,814,000","779,610,000","827,046,000","983,493,000","1,025,349,000","929,297,000","704,175,000","614,904,000","514,894,000","343,313,000","164,250,000","20,750,000","22,550,000","56,920,000","77,150,000","79,750,000","20,750,000","20,750,000","90,650,000","76,900,000","124,750,000","326,750,000","292,750,000","359,533,000","375,532,000","484,100,000","436,500,000","498,000,000","504,000,000","564,800,000"
NetDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"176,455,000","467,500,000","125,244,000","889,549,000","1,280,222,000","712,468,000","847,272,000","942,370,000",,"1,258,596,000","1,368,434,000","1,641,489,000","1,899,884,000","1,536,603,000","1,194,914,000","924,523,000","1,139,709,000","1,517,906,000","892,615,000","797,029,000","628,418,000","690,212,000","866,215,000","920,297,000","836,122,000","592,948,000","452,568,000","131,875,000","201,130,000","60,747,000",,,,,,,,,,"9,002,000","263,702,000","241,209,000","307,085,000","330,510,000","440,600,000","396,300,000","427,000,000","423,000,000","403,700,000"
ShareIssued,"168,375,288","167,790,645","167,764,049","167,754,406","167,716,333","167,240,600","167,165,246","167,143,278","167,091,420","166,621,959","166,554,706","166,532,188","166,484,022","165,867,587","165,601,141","165,576,339","165,544,235","165,214,770","165,178,075","165,146,350","165,119,710","164,604,072","164,567,479","164,535,706","164,496,260","164,246,517","164,204,681","164,182,103","164,151,409","163,772,218","163,514,929","163,488,203","163,454,195","163,098,008","163,060,192","162,999,534","157,354,024","157,160,193","157,124,126","157,072,441","157,003,114","156,798,011","156,370,318","156,098,353","155,904,133","155,743,241","155,092,439","154,954,876","154,811,496","116,754,403","98,442,732","70,763,711","70,333,603","70,255,496","70,223,189","70,002,157","63,356,285","63,137,221","63,030,569","60,850,096","61,056,963","61,431,278","61,206,684","60,857,655","60,602,388","56,519,438","56,073,913","52,696,365","52,620,201","52,500,766","52,318,866","50,308,122","50,187,104","48,857,450","48,398,128","48,054,844","47,889,912","47,737,036","47,683,704","47,212,854","47,197,350","46,752,158","46,698,000","46,170,000","45,321,180","45,321,180","45,580,044","44,904,304","44,843,420","44,846,000","44,798,000","44,936,000","46,100,000","47,550,000"
OrdinarySharesNumber,"142,256,520","141,907,954","141,883,731","141,877,505","141,843,036","141,565,229","141,507,430","141,486,397","141,435,099","145,625,385","145,567,712","145,546,569","145,501,301","144,961,363","144,929,431","144,904,629","144,872,525","144,543,060","144,510,943","144,486,326","144,461,566","144,167,451","144,133,304","144,102,145","144,063,751","143,909,233","143,869,954","143,849,036","143,820,549","143,582,229","143,405,133","143,389,155","143,367,652","137,630,896","137,739,423","137,705,407","136,578,350","140,294,092","140,300,832","142,645,812","144,870,621","149,327,907","148,961,927","148,751,048","148,637,632","148,542,940","147,981,714","147,938,847","147,907,806","109,962,965","91,693,532","64,032,009","63,623,131","63,623,131","63,623,131","63,438,596","63,356,285","63,137,221","63,030,569","60,850,096","61,056,963","61,431,278","61,206,684","60,857,655","60,602,388","56,519,438","56,073,913","52,696,365","52,620,201","52,500,766","52,318,866","50,308,122","50,187,104","48,857,450","48,398,128","48,054,844","47,889,912","47,737,036","47,683,704","47,212,854","47,197,350","46,752,158","46,698,000","46,170,000","45,321,180","45,321,180","45,580,044","44,904,304","44,843,420","44,846,000","44,798,000","44,936,000","46,100,000","47,550,000"
