name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012
			NetLongTermDebtIssuance,"-157,000,000","-24,000,000","-23,000,000","-74,000,000","-36,000,000","-7,000,000","-72,000,000","-36,000,000","60,000,000","775,000,000","-24,000,000","-25,000,000","1,075,000,000","-25,000,000","-25,000,000","-25,000,000","975,000,000","-26,000,000","-27,000,000","901,000,000","-24,000,000","1,507,000,000","-1,447,384,000","-12,785,000","-12,308,000","-12,523,000","-12,865,000","-13,160,000","214,659,000","-1,210,000","248,960,000","-6,263,000","-132,000","-334,000","-1,850,000","-982,000","-350,521,000","-34,304,000","169,652,000","-5,792,000","-5,640,000","281,918,000"
				LongTermDebtIssuance,"200,000,000","0","0","200,000,000","0","1,751,000,000","0","1,000,000","790,000,000","800,000,000","0","800,000,000","1,410,000,000","790,000,000","0","0","1,631,000,000","0","0","1,244,000,000","0","3,998,000,000","466,000,000","0",,,"0","0",,,,,,,"2,060,755,000","0","0","0","2,153,227,000","0","-20,000","287,810,000"
				LongTermDebtPayments,"-357,000,000","-24,000,000","-23,000,000","-274,000,000","-36,000,000","-1,758,000,000","-72,000,000","-37,000,000","-730,000,000","-25,000,000","-24,000,000","-825,000,000","-25,000,000","-25,000,000","-25,000,000","-25,000,000","-656,000,000","-26,000,000","-27,000,000","-343,000,000","-24,000,000","-2,491,000,000","-1,913,384,000","-12,785,000","-12,308,000","-12,523,000","-12,865,000","-13,160,000","-2,033,841,000","-1,210,000","-26,040,000","-6,263,000","-132,000","-334,000","-2,062,605,000","-982,000","-350,521,000","-34,304,000","-1,983,575,000","-5,792,000","-5,620,000","-5,892,000"
			NetShortTermDebtIssuance,"860,000,000","650,000,000","100,000,000","110,000,000","0","0","-25,000,000","0","-100,000,000","-260,000,000","-34,000,000","400,000,000","-1,025,000,000","405,000,000","485,000,000","-50,000,000","-424,000,000","105,000,000","429,000,000","-238,000,000","338,000,000","-375,000,000",,,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,"1,760,000,000","950,000,000","400,000,000","410,000,000","0","0","0","0","260,000,000","990,000,000","812,000,000","610,000,000","310,000,000","790,000,000","645,000,000","340,000,000","1,055,000,000","405,000,000","699,000,000","369,000,000","363,000,000","490,000,000",,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,"-900,000,000","-300,000,000","-300,000,000","-300,000,000","0","0","-25,000,000","0","-360,000,000","-1,250,000,000","-846,000,000","-210,000,000","-1,335,000,000","-385,000,000","-160,000,000","-390,000,000","-1,479,000,000","-300,000,000","-270,000,000","-607,000,000","-25,000,000","-865,000,000",,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-747,000,000","-403,000,000","-204,000,000","-95,000,000","-45,000,000","-62,000,000","-101,000,000","0","-1,000,000","-345,000,000","-270,000,000","-298,000,000","-236,000,000","-145,000,000","-589,000,000","-133,000,000","-573,000,000","-95,000,000","-363,000,000","-541,000,000","-338,000,000","-1,287,000,000","-945,293,000","28,098,000","-88,140,000","5,335,000","-259,036,000","13,015,000","-223,186,000","18,494,000","-237,868,000","23,096,000",,,"29,006,000","-381,000","489,792,000","149,000","2,023,000","-2,454,000","-252,000","-9,214,000"
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,"5,000,000","17,000,000","40,000,000","29,000,000","54,070,000","28,098,000","9,497,000","5,335,000","5,974,000","13,015,000","26,814,000","18,494,000","12,132,000","23,096,000",,,"35,440,000","-381,000","489,792,000","149,000","2,466,000","0","1,000,000","0"
			CommonStockPayments,"-747,000,000","-403,000,000","-204,000,000","-95,000,000","-45,000,000","-62,000,000","-101,000,000","0","-1,000,000","-345,000,000","-270,000,000","-298,000,000","-236,000,000","-145,000,000","-604,000,000","-133,000,000","-573,000,000","-95,000,000","-368,000,000","-558,000,000","-378,000,000","-1,316,000,000","-999,363,000","0",,,"-265,010,000","0",,,"-250,000,000","0",,,"-6,434,000","0","0","0","-443,000","-2,454,000","-1,252,000","-9,214,000"
		CashDividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","-241,703,000","0","0","-326,148,000"
