name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006
				BuildingsAndImprovements,"130,000","309,000","309,000","309,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"150,000","139,000","129,000","119,000","26,000","20,000","162,000","162,000","152,000","152,454","152,454","150,349","143,062","135,909","135,909","135,909","132,796","110,499","105,096","104,538","104,538","103,945","102,134","96,882","96,881","95,361","90,829","77,987","77,152","55,355","34,132","22,236","17,059","-230,637","26,311","27,804","28,149","6,030",,,,"7,862",,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"7,409,000","7,462,000","6,215,000","6,305,000","5,223,000","5,257,000","5,581,000","5,672,000","5,732,000","5,596,414","5,621,648","5,655,802","5,563,399","4,712,976","4,630,805","4,609,088","4,513,860","4,334,492","4,141,752","3,225,774","3,225,774","3,212,656","3,144,733","3,035,322","3,016,246","3,016,246","3,031,375","3,031,375","3,031,375","3,031,375","3,004,848","2,997,140","2,909,517","3,220,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"1,496,000","1,289,000","42,000",,"105,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,"198,000",,,,"123,000","123,000","273,000","263,000","257,000","256,604","256,604","233,569","215,446","169,362","163,359","163,359","150,707","106,429",,,,,,,,,,,,"0","0","14,500","14,500","14,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-3,468,000","-3,300,000","-3,128,000","-2,956,000","-2,808,000","-2,670,000","-2,755,000","-2,597,000","-2,440,000","-2,283,523","-2,134,169","-1,976,516","-1,829,260","-1,757,499","-1,623,472","-1,491,194","-1,359,901","-1,235,373","-1,147,234","-1,058,523","-970,059","-881,938","-798,832","-717,478","-636,411","-555,814","-475,255","-393,555","-314,925","-236,115","-158,367","-81,639","-6,959","-6,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"7,934,000","7,919,000","8,036,000","8,119,000","8,110,000","8,211,000","8,231,000","8,239,000","8,512,000","8,493,914","8,535,711","9,754,964","9,722,900","9,751,504","8,709,973","8,640,302","7,476,679","7,435,411","7,468,932","7,443,776","7,438,849","7,389,946","7,400,713","7,385,456","7,383,107","7,364,120","7,305,603","7,205,927","7,165,501","7,077,759","6,380,053","1,727,943","1,594,909","1,544,869","1,419,088","1,345,080","1,338,507","1,353,304","1,366,184","1,366,256","1,361,499","1,387,104","1,406,617","1,432,308","1,442,575",,,,,,,,,,,,,,,,,,
			Goodwill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"852,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"7,934,000","7,919,000","8,036,000","8,119,000","8,110,000","8,211,000","8,231,000","8,239,000","8,512,000","8,493,914","8,535,711","9,754,964","9,722,900","9,751,504","8,709,973","8,640,302","7,476,679","7,435,411","7,468,932","7,443,776","7,438,849","7,389,946","7,400,713","7,385,456","7,383,107","7,364,120","7,305,603","7,205,927","7,165,501","7,077,759","5,528,053","1,727,943","1,594,909","1,544,869","1,419,088","1,345,080","1,338,507","1,353,304","1,366,184","1,366,256","1,361,499","1,387,104","1,406,617",,"1,442,575",,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"2,210,000","2,340,000","7,282,000","9,102,000","5,244,000","6,536,000","7,015,000","7,372,000","8,096,000","8,402,527","1,682,048","4,641,946","6,065,891","3,092,358","6,731,114","7,513,581","7,513,581","1,366,493","1,366,493","1,366,493","1,366,493","1,020,313","1,050,583","1,080,580","1,135,419","1,222,651","1,193,309","1,226,520","1,267,354","1,318,335","1,393,443","342,894",,,,,,,,,,,,,,"4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330","4,330"
