name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,12/31/2019,12/31/2018,09/30/2018,12/31/2017
				ConstructionInProgress,"16,170,000","10,717,000","10,013,000","6,962,000","4,274,000","47,920,000","34,776,000","348,000","0",,
				Leases,"82,013,000","80,301,000","73,691,000","73,557,000","72,817,000","28,377,000","23,252,000","16,539,000","12,974,000","11,913,000","11,205,000"
			AccumulatedDepreciation,"-65,071,000","-58,222,000","-51,884,000","-49,733,000","-45,438,000","-45,138,000","-40,666,000","-30,905,000","-25,064,000","-22,890,000","-17,534,000"
		GoodwillAndOtherIntangibleAssets,"1,369,851,000","1,383,268,000","34,841,000","9,941,000","10,305,000","10,668,000","11,032,000","12,123,000","13,601,000","10,486,000","1,857,000"
			Goodwill,"1,119,548,000","1,118,768,000","27,092,000","6,709,000","6,709,000","6,709,000","6,709,000","6,709,000","6,709,000","3,840,000","645,000"
			OtherIntangibleAssets,"250,303,000","264,500,000","7,749,000","3,232,000","3,596,000","3,959,000","4,323,000","5,414,000","6,892,000","6,646,000","1,212,000"
		NonCurrentDeferredAssets,"153,257,000","146,048,000","128,746,000","120,869,000","115,641,000","115,929,000","85,249,000","58,145,000","34,023,000","31,442,000","24,910,000"
			NonCurrentDeferredTaxesAssets,"1,301,000","96,000","3,961,000","205,000","260,000","92,000","2,655,000","3,313,000","0",,
		OtherNonCurrentAssets,"28,414,000","27,577,000","22,246,000","19,850,000","16,582,000","9,368,000","8,089,000","1,694,000","3,496,000","5,469,000","2,819,000"
TotalLiabilitiesNetMinorityInterest,"1,354,888,000","1,395,523,000","1,423,634,000","1,398,811,000","1,488,928,000","1,307,957,000","1,103,316,000","1,143,804,000","356,247,000","274,554,000","352,934,000"
	CurrentLiabilities,"967,729,000","1,023,017,000","676,183,000","652,375,000","728,948,000","967,547,000","789,628,000","789,222,000","340,556,000","264,766,000","214,459,000"
		PayablesAndAccruedExpenses,"198,282,000","251,455,000","141,672,000","128,357,000","218,307,000","255,498,000","126,433,000","111,736,000","60,578,000","38,385,000","32,885,000"
			Payables,"100,876,000","114,397,000","52,134,000","43,213,000","26,614,000","36,619,000","60,259,000","44,896,000","27,512,000","13,757,000","15,135,000"
				AccountsPayable,"70,865,000","84,053,000","46,823,000","39,517,000","20,416,000","30,452,000","48,114,000","31,707,000","23,441,000","11,236,000","11,375,000"
				TotalTaxPayable,"30,011,000","30,344,000","5,311,000","3,696,000","6,198,000","6,167,000","12,145,000","13,189,000","4,071,000","2,521,000","3,760,000"
					IncomeTaxPayable,"24,168,000","23,049,000","1,008,000","0","3,230,000","3,414,000","9,745,000","11,447,000","473,000","53,000","237,000"
			CurrentAccruedExpenses,"97,406,000","137,058,000","89,538,000","85,144,000","191,693,000","218,879,000","66,174,000","66,840,000","33,066,000","24,628,000","17,750,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"2,249,000","4,519,000","4,464,000","7,297,000","5,310,000","209,286,000","276,803,000","286,991,000","0",,
		CurrentDebtAndCapitalLeaseObligation,"20,870,000","18,898,000","15,710,000","13,441,000","12,677,000","7,125,000","8,792,000","7,893,000",,,
			CurrentCapitalLeaseObligation,"20,870,000","18,898,000","15,710,000","13,441,000","12,677,000","7,125,000","8,792,000","7,893,000","0",,
		CurrentDeferredLiabilities,"746,328,000","748,145,000","514,337,000","503,280,000","492,654,000","495,638,000","377,600,000","382,602,000","279,978,000","226,381,000","181,574,000"
			CurrentDeferredTaxesLiabilities,,,,,,,,,,"2,070,000","1,160,000"
			CurrentDeferredRevenue,"746,328,000","748,145,000","514,337,000","503,280,000","492,654,000","495,638,000","377,600,000","382,602,000","279,978,000","224,311,000","180,414,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"387,159,000","372,506,000","747,451,000","746,436,000","759,980,000","340,410,000","313,688,000","354,582,000","15,691,000","9,788,000","138,475,000"
		LongTermDebtAndCapitalLeaseObligation,"274,131,000","263,307,000","726,154,000","728,903,000","731,348,000","235,620,000","189,363,000","182,274,000","0",,
			LongTermDebt,,,"504,564,000","502,869,000","501,181,000",,,,,,
			LongTermCapitalLeaseObligation,"274,131,000","263,307,000","221,590,000","226,034,000","230,167,000","235,620,000","189,363,000","182,274,000","0",,
		NonCurrentDeferredLiabilities,"34,517,000","30,351,000","9,857,000","12,108,000","9,611,000","11,447,000","4,351,000","4,182,000","6,306,000","3,888,000","4,731,000"
			NonCurrentDeferredTaxesLiabilities,"24,539,000","23,653,000","3,966,000","6,060,000","5,358,000","5,970,000","738,000","0","2,062,000",,
			NonCurrentDeferredRevenue,"9,978,000","6,698,000","5,891,000","6,048,000","4,253,000","5,477,000","3,613,000","4,182,000","4,244,000","3,888,000","4,731,000"
		EmployeeBenefits,"0","52,000","330,000","731,000","2,360,000","76,627,000","105,959,000","161,237,000","0",,
		PreferredSecuritiesOutsideStockEquity,,,,,,,"0","0","36,000","0","129,609,000"
		OtherNonCurrentLiabilities,"78,511,000","78,796,000","11,110,000","4,694,000","16,661,000","16,716,000","14,015,000","6,889,000","9,349,000","5,900,000","4,135,000"
TotalEquityGrossMinorityInterest,"1,976,090,000","2,186,700,000","18,928,000","35,265,000","-99,386,000","-268,902,000","-397,095,000","-540,520,000","22,266,000","59,763,000","-72,597,000"
	StockholdersEquity,"1,976,090,000","2,186,700,000","18,928,000","35,265,000","-99,386,000","-268,902,000","-397,095,000","-540,520,000","22,266,000","59,763,000","-72,597,000"
		CapitalStock,"58,000","57,000","51,000","51,000","51,000","43,000","42,000","42,000","1,000","19,000","1,000"
			PreferredStock,"0","0","0","0","0","0","0","0",,,
			CommonStock,"58,000","57,000","51,000","51,000","51,000","43,000","42,000","42,000","1,000","19,000","1,000"
		AdditionalPaidInCapital,"4,727,962,000","4,645,800,000","2,167,649,000","1,895,938,000","1,497,779,000","1,126,631,000","986,631,000","586,631,000","141,816,000","240,107,000","8,174,000"
		RetainedEarnings,"-2,750,238,000","-2,457,913,000","-2,148,141,000","-1,862,108,000","-1,598,621,000","-1,398,767,000","-1,384,292,000","-1,126,265,000","-118,632,000","-179,598,000","-81,324,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,692,000","-1,244,000","-631,000","1,384,000","1,405,000","3,191,000","524,000","-928,000","-919,000","-765,000","552,000"
TotalCapitalization,"1,976,090,000","2,186,700,000","523,492,000","538,134,000","401,795,000","-268,902,000","-397,095,000","-540,520,000","22,266,000","59,763,000","-72,597,000"
CommonStockEquity,"1,976,090,000","2,186,700,000","18,928,000","35,265,000","-99,386,000","-268,902,000","-397,095,000","-540,520,000","22,266,000","59,763,000","-72,597,000"
CapitalLeaseObligations,"295,001,000","282,205,000","237,300,000","239,475,000","242,844,000","242,745,000","198,155,000","190,167,000","0",,
NetTangibleAssets,"606,239,000","803,432,000","-15,913,000","25,324,000","-109,691,000","-279,570,000","-408,127,000","-552,643,000","8,665,000","49,277,000","-74,454,000"
WorkingCapital,"375,991,000","582,666,000","274,553,000","324,889,000","208,106,000","-375,949,000","-459,977,000","-493,805,000","-51,345,000","-13,938,000","8,265,000"
InvestedCapital,"1,976,090,000","2,186,700,000","523,492,000","538,134,000","401,795,000","-268,902,000","-397,095,000","-540,520,000","22,266,000","59,763,000","-72,597,000"
TangibleBookValue,"606,239,000","803,432,000","-15,913,000","25,324,000","-109,691,000","-279,570,000","-408,127,000","-552,643,000","8,665,000","49,277,000","-74,454,000"
TotalDebt,"295,001,000","282,205,000","741,864,000","742,344,000","744,025,000","242,745,000","198,155,000","190,167,000","0",,
ShareIssued,"582,032,729","570,479,864","515,851,200","514,206,374","512,452,566","503,384,662","503,384,662","503,384,662","503,384,662","503,384,662","503,384,662"
OrdinarySharesNumber,"582,032,729","570,479,864","515,851,200","514,206,374","512,452,566","503,384,662","503,384,662","503,384,662","503,384,662","503,384,662","503,384,662"
