name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010
TaxProvision,"-390,000","-120,000","-279,000","13,000","-3,000","-134,000","-425,000","-18,000","-36,000","-68,000","2,484,000","-350,000","-176,000","-160,000","888,000","13,000","-33,000","-260,000","-979,000","-1,234,000","-1,281,000","-83,000","1,433,000","-227,000","-29,059,000","-4,181,000","-28,568,000","-628,000","18,000","102,000","-181,000","292,000","68,000","2,129,000","52,000","0","0","0","0","0","-35,000","8,000",,"0","0",,,,,
NetIncomeCommonStockholders,"-258,416,000","-60,169,000","-64,391,000","-67,410,000","-66,448,000","-66,277,000","-98,958,000","-78,676,000","-92,247,000","-99,332,000","-99,501,000","-94,075,000","-120,427,000","-86,421,000","-99,259,000","-89,864,000","-101,190,000","-77,694,000","-51,883,000","-60,664,000","-175,386,000","-58,464,000","-70,728,000","-65,695,000","-129,314,000","-83,400,000","-119,541,000","-98,645,000","-71,531,000","-63,144,000","-54,907,000","-39,642,000","-34,764,000","-30,718,000","-29,203,000","-20,320,000","-19,341,000","-15,668,000","-21,059,000","-18,268,000","-15,657,000","-18,999,000","-14,908,000","-13,835,000","-18,499,000","-8,328,000","-19,433,000","-6,401,000","-7,905,000","-4,091,000"
	NetIncome,"-258,416,000","-60,169,000","-64,391,000","-67,410,000","-66,448,000","-66,277,000","-98,958,000","-78,676,000","-92,247,000","-99,332,000","-99,501,000","-94,075,000","-120,427,000","-86,421,000","-99,259,000","-89,864,000","-101,190,000","-77,694,000","-51,883,000","-60,664,000","-175,386,000","-58,464,000","-70,728,000","-65,695,000","-129,314,000","-83,400,000","-119,541,000","-98,645,000","-71,531,000","-63,144,000","-54,907,000","-39,642,000","-34,764,000","-30,718,000","-29,203,000","-20,320,000","-19,341,000","-15,668,000","-21,059,000","-18,268,000","-15,657,000","-18,999,000","-14,908,000","-13,835,000","-18,499,000","-8,328,000","-19,433,000","-6,401,000","-7,905,000","-4,091,000"
		NetIncomeIncludingNoncontrollingInterests,"-258,416,000","-60,169,000","-64,391,000","-67,410,000","-66,448,000","-66,277,000","-98,958,000","-78,676,000","-92,247,000","-99,332,000","-99,501,000","-94,075,000","-120,427,000","-86,421,000","-99,259,000","-89,864,000","-101,190,000","-77,694,000","-51,883,000","-60,664,000","-175,386,000","-58,464,000","-70,728,000","-65,695,000","-129,314,000","-83,400,000","-119,541,000","-98,645,000","-71,531,000","-63,144,000","-54,907,000","-39,642,000","-34,764,000","-30,718,000","-29,203,000","-20,320,000","-19,341,000","-15,668,000","-21,059,000","-18,268,000","-15,657,000","-18,999,000","-14,908,000","-13,835,000","-18,499,000","-8,328,000","-19,433,000","-6,401,000","-7,905,000","-4,091,000"
			NetIncomeContinuousOperations,"-258,416,000","-60,169,000","-64,391,000","-67,410,000","-66,448,000","-66,277,000","-98,958,000","-78,676,000","-92,247,000","-99,332,000","-99,501,000","-94,075,000","-120,427,000","-86,421,000","-99,259,000","-89,864,000","-101,190,000","-77,694,000","-51,883,000","-60,664,000","-175,386,000","-58,464,000","-70,728,000","-65,695,000","-129,314,000","-83,400,000","-119,541,000","-98,645,000","-71,531,000","-63,144,000","-54,907,000","-39,642,000","-34,764,000","-30,718,000","-29,203,000","-20,320,000","-19,341,000","-15,668,000","-21,059,000","-18,268,000","-15,657,000","-18,999,000","-14,908,000","-13,835,000","-18,499,000","-8,328,000","-19,433,000","-6,401,000","-7,905,000","-4,091,000"
DilutedNIAvailtoComStockholders,"-258,416,000","-60,169,000","-64,391,000","-67,410,000","-66,448,000","-66,277,000","-98,958,000","-78,676,000","-92,247,000","-99,332,000","-99,501,000","-94,075,000","-120,427,000","-86,421,000","-99,259,000","-89,864,000","-101,190,000","-77,694,000","-51,883,000","-60,664,000","-175,386,000","-58,464,000","-70,728,000","-65,695,000","-129,314,000","-83,400,000","-119,541,000","-98,645,000","-71,531,000","-63,144,000","-54,907,000","-39,642,000","-34,764,000","-30,718,000","-29,203,000","-20,320,000","-19,341,000","-15,668,000","-21,059,000","-18,268,000","-15,657,000","-18,999,000","-14,908,000","-13,835,000","-18,499,000","-8,328,000","-19,433,000","-6,401,000","-7,905,000","-4,091,000"
BasicEPS,,"-0.44",,"-0.56","-0.61","-0.64",,"-0.89","-1.15","-1.39",,"-1.72","-2.27","-1.63",,"-1.71","-1.94","-1.54",,"-1.24","-3.88","-1.33",,"-1.7","-3.37","-2.17",,"-2.62","-2.1","-1.86",,"-1.17","-1.03","-0.91",,"-0.68","-0.72","-0.6","-0.81","-0.71","-0.61","-0.86",,"-10.73","-14.32","-6.461",,,,"-3.174"
DilutedEPS,,"-0.44",,"-0.56","-0.61","-0.64",,"-0.89","-1.15","-1.39",,"-1.72","-2.27","-1.63",,"-1.71","-1.94","-1.54",,"-1.24","-3.88","-1.33",,"-1.7","-3.37","-2.17",,"-2.62","-2.1","-1.86",,"-1.17","-1.03","-0.91",,"-0.68","-0.72","-0.6","-0.81","-0.71","-0.61","-0.86",,"-10.73","-14.32","-6.461",,,,"-3.174"
BasicAverageShares,,"138,205,000",,"121,217,000","108,481,000","104,246,000",,"88,255,000","80,453,000","71,662,000",,"54,707,000","53,028,000","52,891,000",,"52,669,000","52,223,000","50,602,000",,"48,917,000","45,176,000","44,039,000",,"38,538,000","38,389,000","38,360,000",,"37,613,000","34,062,381","34,011,000",,"33,921,000","33,872,000","33,820,000",,"30,047,000","26,717,000","26,034,000","25,948,000","25,906,000","25,744,000","22,041,000",,"1,289,000","1,292,000","1,289,000",,,,"1,289,000"
DilutedAverageShares,,"138,205,000",,"121,217,000","108,481,000","104,246,000",,"88,255,000","80,453,000","71,662,000",,"54,707,000","53,028,000","52,891,000",,"52,669,000","52,223,000","50,602,000",,"48,917,000","45,176,000","44,039,000",,"38,538,000","38,389,000","38,360,000",,"37,613,000","34,088,000","34,011,000",,"33,921,000","33,872,000","33,820,000",,"30,047,000","26,717,000","26,034,000","25,948,000","25,906,000","25,744,000","22,041,000",,"1,289,000","1,292,000","1,289,000",,,,"1,289,000"
