name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","600,000","1,919,000","0","0",,"0","0","0","0",,,"0","0","0","0","0","0","0","0","782,592","921,240","316,406","1,492,084","700,000","500,000","900,000","37,500,000","43,500,000","44,200,000","53,300,000","58,000,000","61,600,000","33,900,000","45,000,000","22,300,000"
	TotalNonCurrentAssets,"28,152,000","4,055,000","2,185,000","2,676,000","3,441,000","3,916,000","4,403,000","4,885,000","5,342,000","10,700,000","8,915,000","9,609,000","10,184,000","7,340,000","7,329,000","7,531,000","7,967,000","7,962,000","8,032,000","7,969,000","7,890,000","8,019,000","8,571,000","8,727,000","9,499,000","9,357,000","9,793,000","9,595,000","9,603,000","11,782,000","12,656,000","13,006,000","13,361,000","13,208,000","13,493,000","13,618,000","13,511,000","13,402,000","16,399,000","16,543,000","12,226,000","11,164,000","12,946,000","13,789,000","13,311,000","26,687,000","26,532,000","26,635,000","28,939,000","27,430,000","27,802,000","28,452,000","28,767,000","36,082,000","46,403,000","49,638,000","51,086,000","50,876,000","36,587,000","35,131,000","36,321,000","37,283,000","41,426,000","43,225,000","42,901,000","48,364,000","47,887,000","51,133,000","54,932,000","57,064,000","57,914,000","59,563,000","58,861,000","40,671,000","35,056,000","34,036,000","33,033,000","35,438,000","36,354,000","38,550,000","38,261,000","38,307,000","34,681,604","34,555,327","30,603,399","32,618,827","34,010,451","35,135,843","36,007,932","5,800,000","5,800,000","6,200,000","6,500,000","7,000,000","7,300,000","7,300,000","6,800,000","6,200,000","6,100,000","5,700,000","5,600,000"
		NetPPE,"2,826,000","3,285,000","1,415,000","1,906,000","2,456,000","2,868,000","3,304,000","3,784,000","4,190,000","4,614,000","3,640,000","4,094,000","4,536,000","1,793,000","1,938,000","2,084,000","2,233,000","2,365,000","2,534,000","2,642,000","2,830,000","3,023,000","3,220,000","3,412,000","3,617,000","3,718,000","3,950,000","4,148,000","4,391,000","4,646,000","4,841,000","5,000,000","5,148,000","5,478,000","5,838,000","6,294,000","6,643,000","6,785,000","7,734,000","8,376,000","4,261,000","3,604,000","4,309,000","4,517,000","4,091,000","3,426,000","3,114,000","3,507,000","4,034,000","3,430,000","2,658,000","3,628,000","3,679,000","4,324,000","4,426,000","4,880,000","5,336,000","6,025,000","6,106,000","6,478,000","6,974,000","7,915,000","9,013,000","10,323,000","11,123,000","12,278,000","14,881,000","18,205,000","21,223,000","22,360,000","22,502,000","23,205,000","24,057,000","11,341,000","11,614,000","11,707,000","11,153,000","11,652,000","11,098,000","10,942,000","10,648,000","8,395,000","6,552,701","4,982,317","4,946,765","4,263,424","3,978,105","4,240,983","4,620,329","5,000,000","5,700,000","6,100,000","6,500,000","6,800,000","7,000,000","7,100,000","6,600,000","5,900,000","5,600,000","5,500,000","5,400,000"
			GrossPPE,"2,826,000","8,846,000","1,415,000","1,906,000","2,456,000","7,952,000","3,304,000","3,784,000","4,190,000","11,391,000","3,640,000","4,094,000","4,536,000","9,676,000",,,,"9,929,000",,,,"11,828,000",,,,"11,765,000",,,,"16,307,000",,,,"16,134,000",,,,"17,231,000",,,,"15,541,000",,,,"16,532,000",,,,"15,807,000",,,,"33,004,000","35,797,000","36,251,000","36,707,000","37,396,000","33,588,000","33,960,000","34,456,000","35,397,000","32,034,000","33,344,000","34,144,000","35,299,000","35,285,000","38,609,000","41,627,000","42,764,000","36,585,000","37,288,000","38,140,000","25,424,000","29,171,000","29,264,000","28,710,000","29,209,000","26,145,000","25,989,000","25,695,000","23,442,000","19,792,572","18,222,188","18,186,636","17,503,295","16,797,543","16,636,830","16,580,220","16,500,000","16,900,000","16,700,000","16,700,000","16,500,000","16,200,000","15,700,000","14,800,000","13,700,000","13,000,000","12,500,000","11,900,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,644,000",,,,"11,208,000",,,,"12,694,000",,,,"12,753,000",,,,"8,911,000",,,,"8,604,000",,,,"6,369,000",,,,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,"597,000",,,,"663,000",,,,"2,872,000",,,,"4,508,000",,,,"4,761,000",,,,"6,722,000",,,,"6,687,000",,,,"11,229,000",,,,"11,056,000",,,,"12,154,000",,,,"13,786,000",,,,"13,601,000",,,,"12,530,000",,,,"26,492,000",,,,"25,752,000",,,,"24,189,000",,,,"22,605,000",,,,"30,011,000",,,,"16,513,000",,,,"20,605,000","26,145,000",,,"17,073,000",,,,,,,,,,,,,,,,,,,
				OtherProperties,"2,826,000","3,109,000","1,415,000","1,906,000","2,456,000","2,149,000","3,304,000","3,784,000","4,190,000","3,379,000","3,640,000","4,094,000","4,536,000",,,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0","0",,,"0",,,,,,,,,,,,,,,,,,,
				Leases,,"5,140,000",,,,"5,140,000",,,,"5,140,000",,,,"5,168,000",,,,"5,168,000",,,,"5,106,000",,,,"5,078,000",,,,"5,078,000",,,,"5,078,000",,,,"5,077,000",,,,"1,755,000",,,,"2,931,000",,,,"3,277,000",,,,"6,512,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,"-5,561,000",,,,"-5,084,000",,,,"-6,777,000",,,,"-7,883,000",,,,"-7,564,000",,,,"-8,805,000",,,,"-8,047,000",,,,"-11,661,000",,,,"-10,656,000",,,,"-10,446,000",,,,"-11,937,000",,,,"-13,106,000",,,,"-12,377,000",,,,"-28,680,000","-31,371,000","-31,371,000","-31,371,000","-31,371,000","-27,482,000","-27,482,000","-27,482,000","-27,482,000","-23,021,000","-23,021,000","-23,021,000","-23,021,000","-20,404,000","-20,404,000","-20,404,000","-20,404,000","-14,083,000","-14,083,000","-14,083,000","-14,083,000","-17,557,000","-17,557,000","-17,557,000","-17,557,000","-15,047,000","-15,047,000","-15,047,000","-15,047,000","-13,239,871","-13,239,871","-13,239,871","-13,239,871","-12,819,438","-12,395,847","-11,959,891","-11,500,000","-11,200,000","-10,600,000","-10,200,000","-9,700,000","-9,200,000","-8,600,000","-8,200,000","-7,800,000","-7,400,000","-7,000,000","-6,500,000"
