name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,12/31/2013
CommonStockEquity,"548,963,000","318,358,000","375,218,000","468,246,000","285,536,000","324,219,000","350,584,000","438,672,000","263,040,000","280,768,000","300,075,000","301,349,000","215,471,000","146,716,000","155,744,000","158,626,000","169,259,000","210,369,000","279,897,000","290,165,000","302,382,000","312,173,000","325,337,000","319,468,000","319,683,000","323,161,000","352,004,000","351,850,000","271,072,000","271,495,000","267,322,000","263,983,000","268,299,000"
CapitalLeaseObligations,"120,156,000","122,252,000","58,566,000","48,368,000","49,277,000","50,074,000","61,508,000","32,980,000","33,228,000","33,469,000","33,725,000","33,849,000","27,730,000",,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"445,035,000","214,430,000","-99,660,000","-99,660,000","-99,660,000","-99,660,000","-101,303,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,615,000","-85,724,000","-85,755,000","-86,471,000","-86,902,000","-86,986,000","-87,082,000","-87,780,000","-88,241,000","-89,014,000","-89,120,000","-90,728,000","-5,574,000","-5,601,000","-5,681,000","-5,754,000","-5,930,000"
WorkingCapital,"-43,950,000","-58,276,000","-4,174,000","10,476,000","18,305,000","33,297,000","46,639,000","111,666,000","26,098,000","-8,283,000","-38,301,000","-37,025,000","43,498,000","-69,821,000","-4,996,000","15,568,000","3,543,000","35,133,000","36,288,000","36,667,000","40,859,000","52,391,000","47,003,000","37,681,000","34,667,000","26,788,000","113,967,000","110,573,000","31,533,000","33,184,000","30,234,000","21,261,000","24,145,000"
InvestedCapital,"1,646,524,000","1,589,904,000","1,521,830,000","1,269,753,000","1,253,329,000","1,250,268,000","1,248,921,000","1,043,740,000","938,408,000","883,788,000","848,154,000","827,430,000","694,208,000","579,371,000","565,261,000","588,166,000","570,050,000","685,386,000","623,020,000","633,874,000","647,460,000","662,968,000","532,027,000","526,207,000","526,843,000","536,359,000","528,843,000","529,362,000","358,546,000","365,570,000","367,258,000","365,170,000","368,823,000"
TangibleBookValue,"445,035,000","214,430,000","275,558,000","368,586,000","185,876,000","224,559,000","249,281,000","353,057,000","177,425,000","195,153,000","214,460,000","215,734,000","129,856,000","61,101,000","70,129,000","73,011,000","83,644,000","124,645,000","194,142,000","203,694,000","215,480,000","225,187,000","238,255,000","231,688,000","231,442,000","234,147,000","262,884,000","261,122,000","265,498,000","265,894,000","261,641,000","258,229,000","262,369,000"
TotalDebt,"1,217,717,000","1,393,798,000","1,205,178,000","849,875,000","1,017,070,000","976,123,000","959,845,000","638,048,000","708,596,000","636,489,000","581,804,000","559,930,000","506,467,000","432,655,000","409,517,000","429,540,000","400,791,000","475,017,000","343,123,000","343,709,000","345,078,000","350,795,000","206,690,000","206,739,000","207,160,000","213,198,000","176,839,000","177,512,000","87,474,000","94,075,000","99,936,000","101,187,000","100,524,000"
NetDebt,"1,092,389,000","1,254,745,000","1,134,820,000","758,606,000","964,405,000","916,045,000","896,991,000","506,967,000","670,057,000","593,967,000","545,722,000","521,076,000","371,992,000","430,195,000","408,654,000","415,750,000","395,734,000","474,493,000","333,670,000","342,628,000","333,165,000","350,329,000","185,294,000","186,933,000","203,524,000","211,023,000","101,682,000","100,844,000","81,828,000","93,483,000","96,957,000","96,727,000","96,966,000"
ShareIssued,"66,559,148","61,137,744","45,017,303","45,008,079","40,026,133","39,796,237","39,767,468","39,765,192","33,605,138","33,456,811","33,456,811","33,456,811","30,081,457","26,442,590","26,478,590","26,472,884","26,350,406","26,325,738","26,317,503","26,316,998","26,298,193","26,232,922","24,997,578","24,772,913","24,757,523","24,755,233","23,800,000","23,800,000","23,810,276","23,810,276","23,810,276","23,810,276","23,810,276"
OrdinarySharesNumber,"66,559,148","61,137,744","45,017,303","45,008,079","40,026,133","39,796,237","39,767,468","39,765,192","33,605,138","33,456,811","33,456,811","33,456,811","30,081,457","26,442,590","26,478,590","26,472,884","26,350,406","26,325,738","26,317,503","26,316,998","26,298,193","26,232,922","24,997,578","24,772,913","24,757,523","24,755,233","23,800,000","23,800,000","23,810,276","23,810,276","23,810,276","23,810,276","23,810,276"
