name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,12/31/2003
			GrossPPE,"513,315,000","491,313,000","478,724,000","472,927,000","483,281,000","485,550,000","487,899,000","510,654,000","511,644,000","523,165,000","507,428,000","497,923,000","460,338,000","286,144,000","276,708,000","267,229,000","260,812,000","256,585,000","246,552,000","242,638,000","240,403,000","235,858,000","227,907,000","224,845,000","218,486,000","213,346,000","208,843,000","202,976,000","198,347,000","195,062,000","215,527,000","219,774,000","216,954,000","214,161,000","213,892,000","209,846,000","204,471,000","202,271,000","212,180,000","208,348,000","205,444,000","203,927,000","202,159,000","192,751,000","197,527,000","196,534,000","196,324,000","194,112,000","192,392,000","191,847,000","194,279,000","193,849,000","196,016,000","207,084,000","242,975,000","254,256,000","239,459,000","194,077,000","184,161,000","168,408,000","159,958,000","153,403,000","116,216,000","108,695,000","107,815,000","106,190,000","96,945,000","94,387,000","92,824,000","91,553,000","96,465,000"
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"27,000",,,,"27,000",,,,"27,000",,,,"27,000",,,,"0",,,,"0",,,,"0",,,"0","0","0"
				LandAndImprovements,,"616,000",,,,"616,000",,,,"616,000",,,,"616,000",,,,"616,000",,,,"616,000",,,,"917,000",,,,"917,000",,,,"917,000",,,,"522,000",,,,"1,471,000",,,,"1,471,000",,,,"1,471,000",,,,"3,251,000",,,,"7,582,000",,,,"7,778,000",,,,"6,596,000",,,"6,596,000","6,596,000","7,607,000"
				BuildingsAndImprovements,,"25,503,000",,,,"25,503,000",,,,"25,477,000",,,,"25,163,000",,,,"24,639,000",,,,"23,880,000",,,,"24,451,000",,,,"24,175,000",,,,"23,760,000",,,,"23,681,000",,,,"25,237,000",,,,"25,223,000",,,,"24,285,000",,,,"35,994,000",,,,"133,331,000",,,,"95,217,000",,,,"67,111,000",,,"57,471,000","57,438,000","61,238,000"
				MachineryFurnitureEquipment,,"43,093,000",,,,"42,576,000",,,,"44,230,000",,,,"37,134,000",,,,"34,021,000",,,,"29,941,000",,,,"28,039,000",,,,"26,345,000",,,,"30,491,000",,,,"59,683,000",,,,"57,487,000",,,,"54,710,000",,,,"53,121,000",,,,"53,699,000",,,,"43,605,000",,,,"33,865,000",,,,"28,757,000",,,"27,100,000","26,712,000","27,161,000"
				OtherProperties,"513,315,000","217,181,000","478,724,000","472,927,000","483,281,000","230,157,000","487,899,000","510,654,000","511,644,000","250,585,000","507,428,000","497,923,000","460,338,000","41,852,000","276,708,000","267,229,000","260,812,000","39,725,000","246,552,000","242,638,000","240,403,000","36,741,000","227,907,000","224,845,000","218,486,000","33,931,000","208,843,000","202,976,000","198,347,000","31,458,000","215,527,000","219,774,000","216,954,000","33,066,000","213,892,000","209,846,000","204,471,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,"17,015,000",,,,"5,492,000",,,,"10,161,000",,,,"13,729,000",,,,"6,896,000",,,,"14,335,000",,,,"8,644,000",,,,"4,106,000",,,,"4,159,000",,,,"1,706,000",,,,"3,623,000",,,,"1,450,000",,,,"1,873,000",,,,"3,394,000",,,,"9,559,000",,,,"16,543,000",,,,"3,726,000",,,"1,657,000","807,000","459,000"
				Leases,,"187,905,000",,,,"181,206,000",,,,"192,096,000",,,,"167,650,000",,,,"150,688,000",,,,"130,345,000",,,,"117,364,000",,,,"108,061,000",,,,"121,768,000",,,,"116,679,000",,,,"116,082,000",,,,"113,653,000",,,,"111,070,000",,,,"110,719,000",,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-196,932,000","-195,853,000","-190,345,000","-185,968,000","-181,747,000","-177,277,000","-172,567,000","-173,614,000","-170,188,000","-173,845,000","-174,028,000","-177,066,000","-168,512,000","-160,153,000","-155,895,000","-152,481,000","-148,338,000","-144,373,000","-143,034,000","-139,207,000","-135,658,000","-132,817,000","-132,033,000","-130,174,000","-127,769,000","-125,362,000","-123,934,000","-120,724,000","-117,568,000","-114,708,000","-128,354,000","-127,379,000","-125,866,000","-122,691,000","-121,935,000","-118,910,000","-115,814,000","-112,292,000","-115,440,000","-111,950,000","-108,397,000","-104,773,000","-102,109,000","-91,383,000","-95,016,000","-91,383,000","-89,009,000","-85,242,000","-81,458,000","-77,643,000","-76,086,000","-72,157,000","-70,098,000","-66,204,000","-66,417,000","-66,208,000","-58,462,000","-58,462,000","-55,518,000","-52,527,000","-49,771,000","-48,311,000","-42,340,000","-42,340,000","-42,340,000","-42,340,000","-38,814,000","-40,386,000","-40,386,000","-38,814,000","-33,061,000"
		GoodwillAndOtherIntangibleAssets,"92,184,000","92,778,000","93,371,000","92,959,000","93,554,000","94,147,000","94,740,000","95,335,000","95,928,000","99,914,000","100,575,000","84,551,000","85,030,000","86,303,000","86,836,000","87,370,000","86,732,000","87,248,000","59,329,000","59,343,000","59,366,000","59,388,000","59,410,000","59,432,000","59,482,000","59,504,000","59,226,000","59,248,000","59,245,000","59,305,000","65,177,000","72,593,000","72,758,000","70,377,000","70,837,000","70,864,000","70,900,000","71,004,000","71,129,000","71,234,000","71,338,000","71,443,000","74,590,000","74,735,000","74,871,000","75,153,000","75,611,000","75,733,000","75,855,000","75,977,000","83,641,000","83,773,000","83,903,000","84,033,000","133,309,000","133,441,000","133,542,000","79,840,000","78,438,000","67,133,000","67,158,000","67,188,000","53,691,000","30,533,000","30,533,000","30,533,000","30,533,000","30,533,000","30,533,000","30,533,000","30,533,000"
