name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,06/30/2014,12/31/2013
				OtherPayable,,"23,900,000",,,,"24,900,000",,,,"21,200,000",,,,"23,600,000",,,,"17,200,000",,,,"17,500,000",,,,"13,700,000",,,,"9,500,000",,"9,200,000"
			CurrentAccruedExpenses,"520,900,000","360,200,000","610,800,000","578,200,000","575,200,000","299,000,000","533,600,000","487,700,000","477,200,000","311,400,000","497,200,000","444,700,000","447,100,000","297,200,000","455,300,000","416,300,000","407,700,000","298,800,000","447,500,000","456,200,000","365,800,000","237,100,000","386,200,000","350,000,000","300,600,000","198,400,000","330,500,000","334,600,000","291,700,000","217,100,000","275,400,000","265,100,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,,"179,600,000",,,,"204,200,000",,,,"188,200,000",,,,"163,200,000",,,,"165,300,000",,,,"155,900,000",,,,"151,200,000",,,,"165,400,000","139,900,000","181,300,000"
		CurrentDebtAndCapitalLeaseObligation,"76,100,000","106,900,000","43,300,000","40,500,000","49,900,000","83,000,000","48,700,000","41,300,000","40,200,000","73,200,000","42,400,000","43,700,000","43,500,000","42,200,000","42,500,000","39,900,000","41,800,000","37,700,000","37,800,000","35,500,000","29,000,000","27,900,000","54,200,000","55,100,000","53,700,000","50,100,000","48,800,000","50,700,000","41,600,000","40,100,000","43,700,000","46,700,000"
			CurrentDebt,"76,100,000","79,700,000","43,300,000","40,500,000","49,900,000","54,200,000","48,700,000","41,300,000","40,200,000","43,900,000","42,400,000","43,700,000","43,500,000","42,200,000","42,500,000","39,900,000","41,800,000","37,700,000","37,800,000","35,500,000","29,000,000","27,900,000","54,200,000","55,100,000","53,700,000","50,100,000","48,800,000","50,700,000","41,600,000","40,100,000","43,700,000","46,700,000"
				OtherCurrentBorrowings,,"79,700,000",,,,"54,200,000",,,,"43,900,000",,,,,,,,"37,700,000",,,,"27,900,000",,,,"50,100,000",,,,"40,100,000",,"46,700,000"
			CurrentCapitalLeaseObligation,,"27,200,000",,,,"28,800,000",,,,"29,300,000",,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,,,,,,,,,,,,,,"6,500,000","6,800,000","7,100,000","6,600,000","6,700,000","6,300,000","6,400,000","7,300,000","6,300,000","5,500,000"
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,"6,500,000","6,800,000","7,100,000","6,600,000","6,700,000","6,300,000","6,400,000","7,300,000","6,300,000","5,500,000"
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,"3,300,000",,,,"1,300,000",,,,"1,800,000",,,,"1,500,000",,"1,200,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,315,300,000","4,343,600,000","4,469,300,000","4,457,900,000","4,424,900,000","4,496,500,000","4,586,600,000","4,549,100,000","4,042,700,000","4,335,500,000","4,315,400,000","4,389,000,000","4,372,300,000","4,324,600,000","4,383,400,000","4,296,400,000","4,403,500,000","4,342,200,000","4,347,900,000","4,284,000,000","3,725,100,000","3,677,500,000","3,895,600,000","3,730,900,000","3,850,900,000","3,831,400,000","3,964,700,000","3,981,500,000","4,052,200,000","4,194,100,000","4,455,500,000","4,521,900,000"
		LongTermProvisions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,200,000"
		LongTermDebtAndCapitalLeaseObligation,"3,739,200,000","3,749,900,000","3,799,200,000","3,813,400,000","3,810,100,000","3,838,500,000","4,010,900,000","3,980,000,000","3,479,500,000","3,790,200,000","3,772,300,000","3,812,400,000","3,809,000,000","3,821,800,000","3,852,000,000","3,842,200,000","3,919,500,000","3,877,900,000","3,865,200,000","3,823,400,000","3,278,300,000","3,236,000,000","3,428,100,000","3,298,100,000","3,405,100,000","3,391,400,000","3,504,700,000","3,508,600,000","3,566,700,000","3,656,300,000","3,857,200,000","3,874,200,000"
			LongTermDebt,"3,739,200,000","3,749,900,000","3,799,200,000","3,813,400,000","3,810,100,000","3,838,500,000","4,010,900,000","3,980,000,000","3,479,500,000","3,790,200,000","3,772,300,000","3,812,400,000","3,809,000,000","3,821,800,000","3,852,000,000","3,842,200,000","3,919,500,000","3,877,900,000","3,865,200,000","3,823,400,000","3,278,300,000","3,236,000,000","3,428,100,000","3,298,100,000","3,405,100,000","3,391,400,000","3,504,700,000","3,508,600,000","3,566,700,000","3,656,300,000","3,857,200,000","3,874,200,000"
		NonCurrentDeferredLiabilities,"165,500,000","174,700,000","177,900,000","116,600,000","108,200,000","114,000,000","108,500,000","108,700,000","108,600,000","115,500,000","115,800,000","133,600,000","138,500,000","140,800,000","149,300,000","155,900,000","167,100,000","152,900,000","162,100,000","164,500,000","161,900,000","160,200,000","192,300,000","160,900,000","166,800,000","165,500,000","167,900,000","179,400,000","190,600,000","208,200,000","270,400,000","280,400,000"
			NonCurrentDeferredTaxesLiabilities,"165,500,000","174,700,000","177,900,000","116,600,000","108,200,000","114,000,000","108,500,000","108,700,000","108,600,000","115,500,000","115,800,000","133,600,000","138,500,000","140,800,000","149,300,000","155,900,000","167,100,000","152,900,000","162,100,000","164,500,000","161,900,000","160,200,000","192,300,000","160,900,000","166,800,000","165,500,000","167,900,000","179,400,000","190,600,000","208,200,000","270,400,000","280,400,000"
		TradeandOtherPayablesNonCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,100,000"
		NonCurrentAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"500,000"
		EmployeeBenefits,"261,400,000","269,300,000","288,000,000","296,000,000","294,200,000","309,900,000","284,000,000","278,300,000","275,400,000","285,200,000","248,600,000","259,000,000","257,600,000","261,900,000","271,000,000","267,700,000","286,200,000","279,100,000","288,100,000","262,900,000","252,000,000","249,100,000","243,300,000","243,400,000","252,200,000","252,300,000","265,700,000","272,100,000","272,600,000","306,400,000",,"332,700,000"
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"261,400,000","269,300,000","288,000,000","296,000,000","294,200,000","309,900,000","284,000,000","278,300,000","275,400,000","285,200,000","248,600,000","259,000,000","257,600,000","261,900,000","271,000,000","267,700,000","286,200,000","279,100,000","288,100,000","262,900,000","252,000,000","249,100,000","243,300,000","243,400,000","252,200,000","252,300,000","265,700,000","272,100,000","272,600,000","306,400,000",,"313,200,000"
		OtherNonCurrentLiabilities,"149,200,000","149,700,000","204,200,000","231,900,000","212,400,000","234,100,000","183,200,000","182,100,000","179,200,000","144,600,000","178,700,000","184,000,000","167,200,000","100,100,000","111,100,000","30,600,000","30,700,000","32,300,000","32,500,000","33,200,000","32,900,000","32,200,000","31,900,000","28,500,000","26,800,000","22,200,000","26,400,000","21,400,000","22,300,000","23,200,000","327,900,000","8,800,000"
TotalEquityGrossMinorityInterest,"1,421,200,000","1,538,700,000","1,487,100,000","1,535,300,000","1,405,800,000","1,479,800,000","1,384,700,000","1,258,600,000","1,340,800,000","1,409,600,000","1,339,700,000","1,307,100,000","1,279,600,000","1,310,500,000","1,346,100,000","1,405,900,000","1,524,400,000","1,407,800,000","1,434,300,000","1,391,500,000","1,383,800,000","1,257,600,000","1,330,800,000","1,254,800,000","1,201,000,000","1,141,200,000","1,104,300,000","1,112,200,000","1,048,200,000","1,112,000,000","1,242,500,000","1,211,800,000"
	StockholdersEquity,"1,375,400,000","1,492,900,000","1,440,800,000","1,488,300,000","1,359,400,000","1,433,000,000","1,339,700,000","1,213,100,000","1,291,000,000","1,354,200,000","1,285,700,000","1,252,500,000","1,206,200,000","1,205,100,000","1,243,400,000","1,303,500,000","1,421,400,000","1,276,100,000","1,309,400,000","1,266,200,000","1,260,000,000","1,136,100,000","1,210,500,000","1,186,500,000","1,134,100,000","1,073,700,000","1,035,700,000","1,042,500,000","978,900,000","1,044,700,000","1,173,700,000","1,142,900,000"
		CapitalStock,"252,200,000","251,800,000","251,700,000","251,700,000","251,200,000","250,900,000","250,600,000","250,500,000","250,400,000","249,900,000","249,600,000","248,200,000","247,000,000","245,300,000","245,100,000","244,500,000","243,300,000","242,400,000","242,100,000","241,500,000","240,400,000","239,300,000","238,900,000","237,900,000","237,200,000","237,000,000","236,600,000","234,600,000","229,800,000","229,800,000","229,100,000","229,100,000"
			CommonStock,"252,200,000","251,800,000","251,700,000","251,700,000","251,200,000","250,900,000","250,600,000","250,500,000","250,400,000","249,900,000","249,600,000","248,200,000","247,000,000","245,300,000","245,100,000","244,500,000","243,300,000","242,400,000","242,100,000","241,500,000","240,400,000","239,300,000","238,900,000","237,900,000","237,200,000","237,000,000","236,600,000","234,600,000","229,800,000","229,800,000","229,100,000","229,100,000"
		AdditionalPaidInCapital,"1,518,200,000","1,515,500,000","1,510,700,000","1,506,900,000","1,490,500,000","1,487,100,000","1,484,100,000","1,479,500,000","1,478,100,000","1,474,100,000","1,463,900,000","1,441,800,000","1,431,600,000","1,409,500,000","1,399,400,000","1,384,500,000","1,371,100,000","1,354,500,000","1,341,900,000","1,326,300,000","1,312,400,000","1,294,300,000","1,289,800,000","1,272,100,000","1,255,500,000","1,238,800,000","1,226,400,000","1,204,500,000","1,145,900,000","1,144,700,000","1,137,500,000","1,133,700,000"
		RetainedEarnings,"868,700,000","827,200,000","774,000,000","704,900,000","578,500,000","563,300,000","493,600,000","411,100,000","493,900,000","443,200,000","401,500,000","336,000,000","241,300,000","198,600,000","123,200,000","136,300,000","61,400,000","-21,400,000","40,100,000","-14,800,000","17,000,000","-47,100,000","-65,300,000","-54,600,000","-103,100,000","-132,800,000","-171,400,000","-206,500,000","-181,400,000","-226,500,000","-218,600,000","-253,900,000"
		TreasuryStock,"862,300,000","687,200,000","657,300,000","567,200,000","507,200,000","443,500,000","418,400,000","418,400,000","417,500,000","417,500,000","417,500,000","417,500,000","378,000,000","312,200,000","211,900,000","162,200,000","61,700,000","58,400,000","58,400,000","8,300,000",,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-401,400,000","-414,400,000","-438,300,000","-408,000,000","-453,600,000","-424,800,000","-470,200,000","-509,600,000","-513,900,000","-395,500,000","-411,800,000","-356,000,000","-335,700,000","-336,100,000","-312,400,000","-299,600,000","-192,700,000","-241,000,000","-256,300,000","-278,500,000","-309,800,000","-350,400,000","-252,900,000","-268,900,000","-255,500,000","-269,300,000","-255,900,000","-190,100,000","-215,400,000","-103,300,000","25,700,000","34,000,000"
	MinorityInterest,"45,800,000","45,800,000","46,300,000","47,000,000","46,400,000","46,800,000","45,000,000","45,500,000","49,800,000","55,400,000","54,000,000","54,600,000","73,400,000","105,400,000","102,700,000","102,400,000","103,000,000","131,700,000","124,900,000","125,300,000","123,800,000","121,500,000","120,300,000","68,300,000","66,900,000","67,500,000","68,600,000","69,700,000","69,300,000","67,300,000","68,800,000","68,900,000"
TotalCapitalization,"5,114,600,000","5,242,800,000","5,240,000,000","5,301,700,000","5,169,500,000","5,271,500,000","5,350,600,000","5,193,100,000","4,770,500,000","5,144,400,000","5,058,000,000","5,064,900,000","5,015,200,000","5,026,900,000","5,095,400,000","5,145,700,000","5,340,900,000","5,154,000,000","5,174,600,000","5,089,600,000","4,538,300,000","4,372,100,000","4,638,600,000","4,484,600,000","4,539,200,000","4,465,100,000","4,540,400,000","4,551,100,000","4,545,600,000","4,701,000,000","5,030,900,000","5,017,100,000"
CommonStockEquity,"1,375,400,000","1,492,900,000","1,440,800,000","1,488,300,000","1,359,400,000","1,433,000,000","1,339,700,000","1,213,100,000","1,291,000,000","1,354,200,000","1,285,700,000","1,252,500,000","1,206,200,000","1,205,100,000","1,243,400,000","1,303,500,000","1,421,400,000","1,276,100,000","1,309,400,000","1,266,200,000","1,260,000,000","1,136,100,000","1,210,500,000","1,186,500,000","1,134,100,000","1,073,700,000","1,035,700,000","1,042,500,000","978,900,000","1,044,700,000","1,173,700,000","1,142,900,000"
CapitalLeaseObligations,,"27,200,000",,,,"28,800,000",,,,"29,300,000",,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-1,436,500,000","-1,378,000,000","-1,502,000,000","-902,600,000","-996,200,000","-1,010,700,000","-1,054,700,000","-1,154,300,000","-1,085,400,000","-1,078,600,000","-1,134,000,000","-1,255,300,000","-1,320,700,000","-1,373,700,000","-1,392,700,000","-1,347,200,000","-1,367,200,000","-1,423,300,000","-1,394,800,000","-1,389,600,000","-907,600,000","-955,200,000","-1,045,300,000","-897,400,000","-985,200,000","-1,046,100,000","-1,123,200,000","-1,134,700,000","-1,184,700,000","-1,256,400,000","-1,330,800,000","-1,410,300,000"
WorkingCapital,"1,171,300,000","1,240,700,000","1,237,200,000","1,832,000,000","1,700,700,000","1,745,000,000","1,785,100,000","1,619,300,000","1,182,100,000","1,500,500,000","1,398,200,000","1,315,300,000","1,240,100,000","1,269,000,000","1,264,900,000","1,263,800,000","1,283,400,000","1,233,400,000","1,143,700,000","1,113,400,000","1,083,900,000","1,000,300,000","1,156,500,000","1,111,700,000","1,096,800,000","1,035,700,000","1,085,300,000","1,026,700,000","952,800,000","926,200,000","954,300,000","952,200,000"
InvestedCapital,"5,190,700,000","5,322,500,000","5,283,300,000","5,342,200,000","5,219,400,000","5,325,700,000","5,399,300,000","5,234,400,000","4,810,700,000","5,188,300,000","5,100,400,000","5,108,600,000","5,058,700,000","5,069,100,000","5,137,900,000","5,185,600,000","5,382,700,000","5,191,700,000","5,212,400,000","5,125,100,000","4,567,300,000","4,400,000,000","4,692,800,000","4,539,700,000","4,592,900,000","4,515,200,000","4,589,200,000","4,601,800,000","4,587,200,000","4,741,100,000","5,074,600,000","5,063,800,000"
TangibleBookValue,"-1,436,500,000","-1,378,000,000","-1,502,000,000","-902,600,000","-996,200,000","-1,010,700,000","-1,054,700,000","-1,154,300,000","-1,085,400,000","-1,078,600,000","-1,134,000,000","-1,255,300,000","-1,320,700,000","-1,373,700,000","-1,392,700,000","-1,347,200,000","-1,367,200,000","-1,423,300,000","-1,394,800,000","-1,389,600,000","-907,600,000","-955,200,000","-1,045,300,000","-897,400,000","-985,200,000","-1,046,100,000","-1,123,200,000","-1,134,700,000","-1,184,700,000","-1,256,400,000","-1,330,800,000","-1,410,300,000"
TotalDebt,"3,815,300,000","3,856,800,000","3,842,500,000","3,853,900,000","3,860,000,000","3,921,500,000","4,059,600,000","4,021,300,000","3,519,700,000","3,863,400,000","3,814,700,000","3,856,100,000","3,852,500,000","3,864,000,000","3,894,500,000","3,882,100,000","3,961,300,000","3,915,600,000","3,903,000,000","3,858,900,000","3,307,300,000","3,263,900,000","3,482,300,000","3,353,200,000","3,458,800,000","3,441,500,000","3,553,500,000","3,559,300,000","3,608,300,000","3,696,400,000","3,900,900,000","3,920,900,000"
NetDebt,"3,239,100,000","2,989,000,000","3,214,800,000","2,623,000,000","2,593,100,000","2,531,800,000","2,718,300,000","2,897,700,000","2,862,500,000","2,816,600,000","3,047,500,000","3,278,800,000","3,351,400,000","3,170,400,000","3,306,400,000","3,331,000,000","3,360,900,000","3,145,800,000","3,314,100,000","3,376,800,000","2,868,200,000","2,728,500,000","2,954,000,000","2,873,100,000","3,039,300,000","2,956,500,000","3,141,900,000","3,251,500,000","3,385,400,000","3,314,300,000","3,567,800,000","3,461,600,000"
ShareIssued,"252,200,000","251,800,000","251,700,000","251,700,000","251,200,000","250,900,000","250,700,000","250,600,000","250,500,000","250,100,000","249,800,000","248,500,000","247,800,000","246,700,000","246,700,000","246,000,000","247,400,000","243,900,000","243,600,000","243,000,000","241,900,000","240,500,000","240,100,000","239,100,000","238,500,000","237,900,000","237,600,000","235,600,000","229,800,000","229,800,000","229,069,356","229,069,356"
