name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"459,000","459,000","5,658,000","5,658,000",,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"66,127,000","88,844,000","70,515,000","65,425,000","60,385,000","72,424,000","55,274,000","88,265,000","126,281,000","139,208,000","119,418,000","109,424,000","93,442,000","108,381,000","95,282,000","93,976,000","88,874,000","104,828,000","82,394,000","76,594,000","65,978,000","114,927,000","143,864,000","159,228,000","196,910,000","169,297,000","125,178,000","146,267,000","143,503,000","148,640,000","411,155,000","314,665,000","261,130,000","374,820,000","323,827,000","413,468,000","330,177,000","32,507,000","13,005,000","14,514,000","18,326,000",,"48,674,000","27,380,000","27,272,000","21,972,000",,,,,,"24,913,000",,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"138,153,000",,,,,,,"2,107,000","2,654,000","1,962,000","1,043,000","1,076,000","620,626,000","1,161,000","322,000","998,000","493,000","1,452,000","745,000","1,902,000","1,194,000","2,023,000","8,803,000","10,522,000","10,811,000","2,316,000","1,698,000","4,443,000","2,715,000","53,296,000","157,319,000","212,797,000","131,248,000","116,647,000","7,250,000","5,115,000","6,346,000","230,441,000","143,119,000","148,431,000","177,512,000","170,828,000","106,510,000","107,446,000","89,811,000","58,979,000","16,451,000","175,708,000","28,584,000","17,346,000","17,484,000","109,587,000","6,904,000","19,035,000","19,941,000","15,340,000","11,490,000","9,250,000","8,742,000","8,340,000","10,197,000","12,304,000","11,643,000","11,503,000","9,687,000","8,962,000","6,249,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"154,907,000","655,186,000","667,261,000","694,389,000","733,216,000","710,265,000","702,077,000","814,090,000","1,146,033,000","1,252,013,000","1,207,709,000","1,264,776,000","1,229,360,000","1,797,529,000","2,371,179,000","2,242,957,000","2,236,740,000","2,286,032,000","2,410,728,000","2,340,401,000","2,577,072,000","2,389,672,000","2,327,133,000","2,472,489,000","2,370,627,000","2,349,752,000","1,691,911,000","1,623,768,000","1,705,364,000","1,651,542,000","1,552,124,000","1,572,154,000","1,130,834,000","1,084,447,000","1,305,584,000","1,371,738,000","1,194,533,000","1,385,991,000","1,032,857,000","1,244,541,000","1,080,479,000","1,112,707,000","1,055,713,000","863,928,000","790,873,000","933,540,000","834,510,000","1,066,285,000","1,255,607,000","785,419,000","694,955,000","786,237,000","588,758,000","603,630,000","351,872,000","316,126,000","506,584,000","81,341,000","505,162,000","242,621,000","248,952,000","27,733,000","29,994,000","30,609,000","29,141,000","28,774,000","51,597,000"
		LongTermProvisions,"37,846,000","59,962,000","43,014,000","45,768,000","47,235,000","52,540,000","47,889,000","86,354,000","104,742,000","107,466,000","108,952,000","117,221,000","123,823,000","134,105,000","144,399,000","155,826,000","158,731,000","156,082,000","155,157,000","153,686,000","149,573,000","156,315,000","156,312,000","157,262,000","157,469,000","147,488,000","144,364,000","144,347,000","139,630,000","141,370,000","143,670,000","141,068,000","140,427,000","138,946,000","125,307,000","117,110,000","110,295,000","236,082,000","240,254,000","204,687,000","188,862,000","181,947,000","153,597,000","154,049,000","157,133,000","160,485,000",,"91,621,000","90,856,000",,"97,142,000","102,216,000",,,,,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"26,553,000","462,823,000","501,551,000","516,513,000","551,525,000","522,498,000","534,618,000","565,571,000","882,472,000","980,175,000","913,050,000","960,593,000","919,915,000","1,442,302,000","1,923,144,000","1,781,410,000","1,739,105,000","1,755,930,000","1,761,017,000","1,659,744,000","1,903,990,000","1,798,970,000","1,736,861,000","1,858,636,000","1,765,293,000","1,744,583,000","1,113,012,000","1,072,350,000","1,121,139,000","1,057,762,000","964,849,000","966,625,000","536,910,000","491,051,000","679,889,000","721,301,000","604,139,000","814,290,000","535,367,000","814,218,000","691,270,000","778,268,000","774,726,000","521,367,000","463,046,000","641,923,000","585,343,000","816,441,000","936,733,000","636,309,000","584,353,000","669,178,000","467,618,000","478,206,000","225,000,000","225,000,000","425,000,000",,"425,000,000","200,000,000","200,000,000",,,,,,
			LongTermDebt,"338,000","424,057,000","465,452,000","481,283,000","509,185,000","478,890,000","490,518,000","514,498,000","828,732,000","934,086,000","868,243,000","921,655,000","890,425,000","858,884,000","1,409,266,000","1,281,101,000","1,248,585,000","1,247,088,000","1,417,048,000","1,366,476,000","1,615,428,000","1,564,721,000","1,568,582,000","1,690,358,000","1,609,663,000","1,589,908,000","958,097,000","919,276,000","989,867,000","918,736,000","849,927,000","857,054,000","423,502,000","393,174,000","614,526,000","666,229,000","559,348,000","814,290,000","535,367,000","814,218,000","691,270,000","778,268,000","774,726,000","521,367,000","463,046,000","641,923,000","585,343,000","816,441,000","936,733,000","636,309,000","584,353,000","669,178,000","467,618,000","478,206,000","225,000,000","225,000,000","425,000,000",,"425,000,000","200,000,000","200,000,000",,,,,,
			LongTermCapitalLeaseObligation,"26,215,000","38,766,000","36,099,000","35,230,000","42,340,000","43,608,000","44,100,000","51,073,000","53,740,000","46,089,000","44,807,000","38,938,000","29,490,000","583,418,000","513,878,000","500,309,000","490,520,000","508,842,000","343,969,000","293,268,000","288,562,000","234,249,000","168,279,000","168,278,000","155,630,000","154,675,000","154,915,000","153,074,000","131,272,000","139,026,000","114,922,000","109,571,000","113,408,000","97,877,000","65,363,000","55,072,000","44,791,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"60,006,000","83,956,000","71,719,000","75,319,000","75,023,000","80,165,000","66,936,000","100,183,000","102,901,000","107,784,000","109,189,000","118,229,000","128,869,000","155,273,000","201,822,000","208,657,000","221,661,000","252,663,000","257,175,000","261,714,000","269,318,000","189,230,000","179,318,000","291,984,000","298,326,000","305,962,000","311,839,000","317,715,000","321,820,000","325,700,000","331,299,000","336,686,000","340,662,000","344,207,000","328,193,000","374,242,000","371,493,000","163,958,000","114,581,000","32,043,000","29,815,000",,,"26,958,000","25,987,000","0","11,927,000","23,319,000","5,661,000","6,777,000","9,468,000","92,490,000","10,963,000","8,115,000","9,285,000","9,285,000","6,771,000","6,213,000","10,393,000","13,552,000","19,138,000","46,000","1,140,000",,,"336,000",
			NonCurrentDeferredTaxesLiabilities,"1,692,000","15,834,000","1,950,000","12,280,000","10,671,000","13,468,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"35,022,000","29,756,000","32,043,000","29,815,000",,,"26,958,000","25,987,000","0","11,927,000","23,319,000","5,661,000","6,777,000","9,468,000","9,279,000","10,963,000","8,115,000","9,285,000","9,285,000","6,771,000","6,213,000","10,393,000","13,552,000","19,138,000","46,000","1,140,000",,,"336,000",
			NonCurrentDeferredRevenue,"58,314,000","68,122,000","69,769,000","63,039,000","64,352,000","66,697,000","66,936,000","100,183,000","102,901,000","107,784,000","109,189,000","118,229,000","128,869,000","155,273,000","201,822,000","208,657,000","221,661,000","252,663,000","257,175,000","261,714,000","269,318,000","189,230,000","179,318,000","291,984,000","298,326,000","305,962,000","311,839,000","317,715,000","321,820,000","325,700,000","331,299,000","336,686,000","340,662,000","344,207,000","328,193,000","374,242,000","371,493,000","128,936,000","84,825,000",,,,,,,,,,,,,"83,211,000",,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"866,000","866,000","2,234,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DuetoRelatedPartiesNonCurrent,"1,458,000","1,458,000","1,458,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		EmployeeBenefits,"3,802,000","4,151,000","5,685,000","5,610,000","5,407,000","5,185,000","4,440,000","6,632,000","6,284,000","5,897,000","2,981,000","2,841,000","2,640,000","2,567,000","5,078,000","4,914,000","4,678,000","4,465,000","4,117,000","3,875,000","3,627,000","3,381,000","14,222,000","13,703,000","13,142,000","12,014,000","12,305,000","11,571,000","10,780,000","9,980,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
