name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012
			OtherIntangibleAssets,"58,000,000","60,147,000","62,299,000","64,424,000","66,557,000","68,797,000","71,009,000","73,253,000","75,282,000","77,533,000","79,536,000","3,127,000","3,411,000","3,755,000","4,103,000","4,093,000","4,456,000","4,717,000","1,650,000","1,684,000","214,000","241,000","268,000","184,000","206,000","229,000","227,000","238,000","260,000","270,000","274,000","315,000","345,000","215,000","362,000","558,000"
		NonCurrentDeferredAssets,,"0","15,481,000","9,171,000","15,994,000","14,467,000","14,083,000","13,768,000","14,652,000","14,452,000","11,176,000","26,063,000","29,296,000","30,130,000","26,282,000","20,736,000","20,434,000","18,636,000","24,619,000","25,992,000","26,708,000","26,654,000","9,514,000","11,504,000","14,474,000","15,464,000","11,002,000","15,248,000","15,248,000","15,248,000","16,427,000","16,727,000","17,807,000","17,865,000",,
			NonCurrentDeferredTaxesAssets,,"0","15,481,000","9,171,000","15,994,000","14,467,000","14,083,000","13,768,000","14,652,000","14,452,000","11,176,000","26,063,000","29,296,000","30,130,000","26,282,000","20,736,000","20,434,000","18,636,000","24,619,000","25,992,000","26,708,000","26,654,000","9,514,000","11,504,000","14,474,000","15,464,000","11,002,000","15,248,000","15,248,000","15,248,000","16,427,000","16,727,000","17,807,000","17,865,000",,
		OtherNonCurrentAssets,"2,151,000","3,363,000","3,322,000","3,261,000","2,619,000","2,669,000","4,166,000","4,394,000","5,502,000","4,888,000","4,664,000","4,793,000","3,586,000","2,832,000","1,874,000","537,000","610,000","765,000","512,000","493,000","405,000","410,000","97,000","97,000","96,000","97,000","97,000","97,000","97,000","97,000","80,000","80,000","80,000","1,765,000","342,000","79,000"
TotalLiabilitiesNetMinorityInterest,"116,331,000","119,286,000","121,937,000","127,258,000","120,191,000","112,229,000","107,831,000","107,007,000","111,821,000","102,718,000","101,586,000","69,975,000","66,301,000","65,474,000","65,848,000","65,730,000","53,545,000","48,031,000","48,555,000","43,453,000","34,854,000","31,961,000","38,709,000","35,283,000","30,211,000","27,296,000","27,549,000","29,282,000","25,894,000","21,935,000","23,247,000","34,652,000","27,602,000","26,098,000","26,667,000","19,011,000"
	CurrentLiabilities,"59,823,000","61,512,000","59,933,000","61,840,000","55,472,000","56,710,000","51,971,000","50,614,000","55,845,000","50,181,000","50,043,000","46,362,000","43,752,000","46,585,000","46,130,000","47,232,000","37,667,000","33,886,000","35,433,000","32,190,000","25,289,000","22,845,000","30,228,000","27,977,000","24,044,000","22,013,000","22,837,000","25,088,000","22,368,000","18,735,000","20,475,000","26,300,000","21,916,000","19,671,000","19,244,000","13,790,000"
		PayablesAndAccruedExpenses,"41,214,000","43,071,000","41,681,000","44,055,000","39,804,000","42,045,000","37,566,000","36,756,000","42,411,000","37,766,000","37,704,000","34,704,000","32,674,000","38,585,000","39,042,000","40,626,000","31,686,000","27,848,000","29,489,000","26,643,000","20,681,000","18,918,000","26,554,000","23,826,000","20,243,000","18,149,000","18,942,000","21,438,000","18,893,000","15,339,000","17,580,000","16,631,000","14,672,000","12,117,000","11,625,000","8,360,000"
			Payables,"18,601,000","10,819,000","16,662,000","16,448,000","16,352,000","14,211,000","11,075,000","14,585,000","20,136,000","17,933,000","19,692,000","17,102,000","15,194,000","14,630,000","14,026,000","18,658,000","14,406,000","10,365,000","11,866,000","12,453,000","9,219,000","6,019,000","10,246,000","11,081,000","8,559,000","7,504,000","14,303,000","17,181,000","14,241,000","11,273,000","13,848,000","13,790,000","10,843,000","9,219,000","11,625,000","8,360,000"
				AccountsPayable,"18,109,000","10,258,000","15,939,000","15,560,000","14,606,000","12,520,000","9,514,000","13,189,000","18,727,000","16,399,000","18,469,000","16,071,000","14,499,000","13,720,000","13,134,000","17,823,000","13,589,000","9,541,000","11,033,000","11,990,000","8,885,000","5,738,000","10,214,000","11,058,000","8,504,000","7,448,000","14,303,000","17,181,000","14,241,000","11,273,000","11,201,000","12,355,000","10,411,000","9,219,000","11,500,000","8,335,000"
				TotalTaxPayable,"492,000","561,000","723,000","888,000","1,746,000","1,691,000","1,561,000","1,396,000","1,409,000","1,534,000","1,223,000","1,031,000","695,000","910,000","892,000","835,000","817,000","824,000","833,000","463,000","334,000","281,000","32,000","23,000","55,000","56,000",,,,"0","2,647,000","1,435,000","432,000","0","125,000","25,000"
					IncomeTaxPayable,"0","75,000","235,000","404,000","1,264,000","1,242,000","1,132,000","988,000","908,000","821,000","586,000","410,000","111,000","392,000","369,000","344,000","319,000","345,000","251,000","59,000",,"0","0","0","6,000","11,000",,,,"0","2,647,000","1,435,000","432,000","0","125,000","25,000"
			CurrentAccruedExpenses,"22,613,000","32,252,000","25,019,000","27,607,000","23,452,000","27,834,000","26,491,000","22,171,000","22,275,000","19,833,000","18,012,000","17,602,000","17,480,000","23,955,000","25,016,000","21,968,000","17,280,000","17,483,000","17,623,000","14,190,000","11,462,000","12,899,000","16,308,000","12,745,000","11,684,000","10,645,000","4,639,000","4,257,000","4,652,000","4,066,000","3,732,000","2,841,000","3,829,000","2,898,000",,
		CurrentProvisions,"6,519,000","6,480,000","6,310,000","6,210,000","5,701,000","5,740,000","5,887,000","5,769,000","5,614,000","4,923,000","4,311,000","4,036,000","3,734,000","3,549,000","3,539,000","3,223,000","2,829,000","2,505,000","2,298,000","1,962,000","1,848,000","1,688,000","1,559,000","1,674,000","1,351,000","1,226,000","1,172,000","1,065,000","928,000","781,000","669,000","605,000","490,000","809,000","843,000","447,000"
		CurrentDebtAndCapitalLeaseObligation,"3,401,000","3,393,000","3,518,000","3,562,000","2,475,000","1,931,000","1,890,000","1,823,000","1,863,000","2,014,000","2,193,000","2,006,000","2,061,000",,,,,,,,,,"80,000","159,000","238,000","315,000","311,000","307,000","303,000","299,000","267,000","7,080,000","5,038,000","5,258,000","5,379,000","3,879,000"
			CurrentDebt,,,,,,,,,,,,,,,,,,,,,,,"80,000","159,000","238,000","315,000","311,000","307,000","303,000","299,000","267,000","7,080,000","5,038,000","5,258,000","5,379,000","3,879,000"
			CurrentCapitalLeaseObligation,"3,401,000","3,393,000","3,518,000","3,562,000","2,475,000","1,931,000","1,890,000","1,823,000","1,863,000","2,014,000","2,193,000","2,006,000","2,061,000",,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"8,689,000","8,568,000","8,424,000","8,013,000","7,492,000","6,994,000","6,628,000","6,266,000","5,957,000","5,478,000","5,835,000","5,616,000","5,283,000","4,451,000","3,549,000","3,383,000","3,152,000","3,533,000","3,646,000","3,585,000","2,760,000","2,239,000","2,035,000","2,318,000","2,212,000","2,323,000","2,412,000","2,278,000","2,244,000","2,316,000","1,959,000","1,984,000","1,716,000","1,487,000","1,397,000","1,104,000"
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","10,000","10,000"
			CurrentDeferredRevenue,"8,689,000","8,568,000","8,424,000","8,013,000","7,492,000","6,994,000","6,628,000","6,266,000","5,957,000","5,478,000","5,835,000","5,616,000","5,283,000","4,451,000","3,549,000","3,383,000","3,152,000","3,533,000","3,646,000","3,585,000","2,760,000","2,239,000","2,035,000","2,318,000","2,212,000","2,323,000","2,412,000","2,278,000","2,244,000","2,316,000","1,959,000","1,984,000","1,716,000","1,487,000","1,387,000","1,094,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"56,508,000","57,774,000","62,004,000","65,418,000","64,719,000","55,519,000","55,860,000","56,393,000","55,976,000","52,537,000","51,543,000","23,613,000","22,549,000","18,889,000","19,718,000","18,498,000","15,878,000","14,145,000","13,122,000","11,263,000","9,565,000","9,116,000","8,481,000","7,306,000","6,167,000","5,283,000","4,712,000","4,194,000","3,526,000","3,200,000","2,772,000","8,352,000","5,686,000","6,427,000","7,423,000","5,221,000"
		LongTermProvisions,"6,574,000","7,246,000","8,606,000","9,128,000","9,213,000","8,654,000","8,040,000","8,039,000","7,957,000","7,648,000","7,165,000","6,289,000","6,023,000","5,981,000","5,703,000","5,507,000","4,416,000","3,666,000","3,269,000","2,691,000","2,160,000","1,792,000","1,838,000","1,347,000","1,078,000","747,000","616,000","541,000","463,000","334,000","503,000","473,000","431,000",,,
		LongTermDebtAndCapitalLeaseObligation,"22,409,000","23,281,000","24,121,000","24,911,000","16,435,000","8,078,000","8,570,000","8,693,000","9,116,000","4,702,000","5,123,000","4,456,000","4,920,000",,,,,,,,,,,,,,"80,000","159,000","237,000","315,000","391,000","6,333,000","4,151,000","5,391,000","6,648,000","5,057,000"
			LongTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,"80,000","159,000","237,000","315,000","391,000","6,333,000","4,151,000","5,391,000","6,648,000","5,057,000"
			LongTermCapitalLeaseObligation,"22,409,000","23,281,000","24,121,000","24,911,000","16,435,000","8,078,000","8,570,000","8,693,000","9,116,000","4,702,000","5,123,000","4,456,000","4,920,000",,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"11,509,000","11,861,000","12,159,000","12,214,000","11,866,000","11,847,000","12,857,000","13,122,000","13,296,000","13,628,000","13,506,000","12,868,000","11,606,000","12,076,000","13,119,000","12,053,000","10,749,000","9,750,000","9,036,000","8,324,000","7,142,000","7,042,000","6,343,000","5,619,000","4,768,000","4,199,000","3,695,000","3,155,000","2,469,000","2,176,000","1,878,000","1,546,000","1,104,000","776,000","574,000",
			NonCurrentDeferredTaxesLiabilities,,"0","24,000","25,000","24,000","25,000","91,000","87,000","85,000","87,000","221,000","230,000","227,000","232,000","338,000","340,000","358,000","348,000","414,000","400,000",,,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,"11,509,000","11,861,000","12,135,000","12,189,000","11,842,000","11,822,000","12,766,000","13,035,000","13,211,000","13,541,000","13,285,000","12,638,000","11,379,000","11,844,000","12,781,000","11,713,000","10,391,000","9,402,000","8,622,000","7,924,000","7,142,000","7,042,000","6,343,000","5,619,000","4,768,000","4,199,000","3,695,000","3,155,000","2,469,000","2,176,000","1,878,000","1,546,000","1,104,000","776,000","574,000",
		DerivativeProductLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","260,000","201,000","164,000"
		OtherNonCurrentLiabilities,"16,016,000","15,386,000","17,118,000","19,165,000","27,205,000","26,940,000","26,393,000","26,539,000","25,607,000","26,559,000","25,749,000",,,"832,000","896,000","938,000","713,000","729,000","817,000","248,000","263,000","282,000","300,000","340,000","321,000","337,000","321,000","339,000","357,000","375,000",,,,,,
TotalEquityGrossMinorityInterest,"358,285,000","370,227,000","390,920,000","370,916,000","356,284,000","349,623,000","352,500,000","351,114,000","347,300,000","344,621,000","343,146,000","333,798,000","321,894,000","310,424,000","291,264,000","266,906,000","246,337,000","227,041,000","221,286,000","207,777,000","192,775,000","182,088,000","156,082,000","147,503,000","138,189,000","134,018,000","129,922,000","127,917,000","122,566,000","118,150,000","113,906,000","110,814,000","107,904,000","56,299,000","34,195,000","28,575,000"
	StockholdersEquity,"358,285,000","370,227,000","390,920,000","370,916,000","356,284,000","349,623,000","352,500,000","351,114,000","347,300,000","344,621,000","343,146,000","333,798,000","321,894,000","310,424,000","291,264,000","266,906,000","246,337,000","227,041,000","221,286,000","207,777,000","192,775,000","182,088,000","156,082,000","147,503,000","138,189,000","134,018,000","129,922,000","127,917,000","122,566,000","118,150,000","113,906,000","110,814,000","107,904,000","56,299,000","34,195,000","28,575,000"
		CapitalStock,"23,000","23,000","23,000","23,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","21,000","21,000","21,000","21,000","21,000","21,000","20,000","20,000","20,000","20,000","20,000","20,000","19,000","19,000","19,000","19,000","18,000","18,000","18,000","118,919,000","116,992,000","109,593,000"
			PreferredStock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","118,918,000","116,991,000","109,592,000"
			CommonStock,"23,000","23,000","23,000","23,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","22,000","21,000","21,000","21,000","21,000","21,000","21,000","20,000","20,000","20,000","20,000","20,000","20,000","19,000","19,000","19,000","19,000","18,000","18,000","18,000","1,000","1,000","1,000"
		AdditionalPaidInCapital,"302,020,000","299,463,000","297,097,000","289,615,000","280,464,000","273,521,000","271,345,000","268,349,000","267,011,000","263,252,000","260,071,000","257,177,000","255,226,000","249,194,000","240,101,000","231,879,000","226,635,000","218,109,000","211,817,000","205,883,000","199,160,000","194,466,000","190,202,000","185,086,000","181,030,000","179,143,000","178,869,000","179,560,000","177,668,000","174,824,000","172,100,000","171,141,000","170,517,000",,,
		RetainedEarnings,"55,058,000","69,272,000","92,149,000","79,975,000","74,873,000","75,605,000","80,726,000","82,425,000","79,845,000","81,434,000","82,809,000","75,946,000","65,786,000","60,484,000","50,439,000","34,007,000","19,397,000","8,639,000","9,245,000","1,907,000","-6,431,000","-12,363,000","-34,146,000","-37,601,000","-42,743,000","-45,108,000","-48,966,000","-51,662,000","-55,121,000","-56,693,000","-58,212,000","-60,345,000","-62,631,000","-62,620,000","-82,797,000","-81,018,000"
		GainsLossesNotAffectingRetainedEarnings,"1,184,000","1,469,000","1,651,000","1,303,000","925,000","475,000","407,000","318,000","422,000","-87,000","244,000","653,000","860,000","724,000","703,000","999,000","284,000","272,000","203,000","-34,000","26,000","-35,000","6,000","-2,000","-118,000","-37,000",,,,,,,,,,
TotalCapitalization,"358,285,000","370,227,000","390,920,000","370,916,000","356,284,000","349,623,000","352,500,000","351,114,000","347,300,000","344,621,000","343,146,000","333,798,000","321,894,000","310,424,000","291,264,000","266,906,000","246,337,000","227,041,000","221,286,000","207,777,000","192,775,000","182,088,000","156,082,000","147,503,000","138,189,000","134,018,000","130,002,000","128,076,000","122,803,000","118,465,000","114,297,000","117,147,000","112,055,000","61,690,000","40,843,000","33,632,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"118,918,000","116,991,000","109,592,000"
CommonStockEquity,"358,285,000","370,227,000","390,920,000","370,916,000","356,284,000","349,623,000","352,500,000","351,114,000","347,300,000","344,621,000","343,146,000","333,798,000","321,894,000","310,424,000","291,264,000","266,906,000","246,337,000","227,041,000","221,286,000","207,777,000","192,775,000","182,088,000","156,082,000","147,503,000","138,189,000","134,018,000","129,922,000","127,917,000","122,566,000","118,150,000","113,906,000","110,814,000","107,904,000","-62,619,000","-82,796,000","-81,017,000"
CapitalLeaseObligations,"25,810,000","26,674,000","27,639,000","28,473,000","18,910,000","10,009,000","10,460,000","10,516,000","10,979,000","6,716,000","7,316,000","6,462,000","6,981,000",,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"267,351,000","277,101,000","295,593,000","273,407,000","256,672,000","247,661,000","248,437,000","244,904,000","239,106,000","234,134,000","230,333,000","328,429,000","316,271,000","304,412,000","284,873,000","260,509,000","239,451,000","219,961,000","217,306,000","203,840,000","192,561,000","181,847,000","155,814,000","147,319,000","137,983,000","133,789,000","129,695,000","127,679,000","122,306,000","117,880,000","113,632,000","110,499,000","107,559,000","56,084,000","33,833,000","28,017,000"
WorkingCapital,"258,299,000","267,674,000","275,898,000","265,726,000","254,204,000","248,987,000","251,410,000","252,151,000","247,144,000","242,038,000","239,793,000","294,364,000","278,004,000","267,998,000","253,420,000","235,762,000","213,387,000","194,602,000","184,346,000","166,657,000","151,215,000","138,700,000","127,849,000","114,584,000","99,936,000","92,831,000","91,599,000","84,354,000","78,159,000","73,808,000","68,840,000","71,394,000","65,534,000","13,159,000","12,352,000","12,880,000"
InvestedCapital,"358,285,000","370,227,000","390,920,000","370,916,000","356,284,000","349,623,000","352,500,000","351,114,000","347,300,000","344,621,000","343,146,000","333,798,000","321,894,000","310,424,000","291,264,000","266,906,000","246,337,000","227,041,000","221,286,000","207,777,000","192,775,000","182,088,000","156,162,000","147,662,000","138,427,000","134,333,000","130,313,000","128,383,000","123,106,000","118,764,000","114,564,000","124,227,000","117,093,000","-51,970,000","-70,769,000","-72,081,000"
