name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009
				LongTermDebtPayments,"-832,517,000","-1,031,504,000","-999,173,000","620,434,000","577,726,000","-1,430,983,000","-58,843,000","-25,646,000","-35,854,000","-50,594,000","-397,208,000","-7,013,000","-33,014,000","-750,000","-165,396,000","-276,000","73,974,000","-135,575,000","-1,017,294,000","313,671,000","196,635,000","-687,068,000","372,717,000","-947,364,000","1,597,907,000","-2,029,947,000","-108,628,000","176,194,000","-197,489,000","-438,000","-69,248,000","-67,988,000","-44,414,000","-22,091,000","-142,011,000","-150,308,000","7,600,000","-610,393,000",,,,,,,,,,"4,616,000",,,"31,843,000","-5,501,000"
			NetShortTermDebtIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,931,000","-900,000","-900,000","-899,000","-901,000",,,,,,,,
				ShortTermDebtPayments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60,931,000","-900,000","-900,000","-899,000","-901,000",,,,,,,,
		NetCommonStockIssuance,"-39,748,000","-26,896,000","-3,190,000","-9,377,000","-285,000","-768,000","-1,815,000","-9,361,000","-209,000","-20,368,000","232,000","-3,670,000","-1,755,000","-19,972,000","-42,110,000","-4,383,000","3,159,000","-16,549,000","-5,910,000","-11,271,000","-48,000","-14,657,000","-193,000","-247,000","-3,634,000","-5,054,000","1,677,000","-381,000","981,000","-44,985,000","5,977,000","-235,000","-1,149,000","-34,430,000","-757,000","-144,000","-812,000","-173,000","-199,000","150,654,000","0","-123,000","-472,000","0","0","2,053,000",,,,,,
			CommonStockIssuance,"-7,201,000","153,000","-4,000","-7,881,000","531,000","12,606,000","1,434,000","6,022,000","196,000","6,369,000","1,058,000","265,000","1,000","4,187,000","10,000","872,000","3,216,000","4,851,000","126,000","2,000","1,000","2,884,000","326,000","148,000","0","3,291,000","1,876,000","0","2,858,000","2,819,000","6,038,000","1,000","250,000","1,467,000","-50,000","650,000","420,000","119,000","375,000","150,697,000","0","1,000","1,000","0","0","2,053,000",,,,"0",,
			CommonStockPayments,"-32,547,000","-27,049,000","-3,186,000","-1,496,000","-816,000","-13,374,000","-3,249,000","-15,383,000","-405,000","-26,737,000","-826,000","-3,935,000","-1,756,000","-24,159,000","-42,120,000","-5,255,000","-57,000","-21,400,000","-6,036,000","-11,273,000","-49,000","-17,541,000","-519,000","-395,000","-3,634,000","-8,345,000","-199,000","-381,000","-1,877,000","-47,804,000","-61,000","-236,000","-1,399,000","-35,897,000","-707,000","-794,000","-1,232,000","-292,000","-574,000","-43,000","0","-124,000",,,,,,,,,,
		CashDividendsPaid,"-68,478,000","-20,077,000","-16,185,000","-16,146,000","-16,070,000","-16,052,000","-11,366,000","-11,343,000","-11,294,000","-11,347,000","-9,336,000","-9,306,000","-9,311,000","-9,319,000","-7,845,000","-7,901,000","-7,861,000","-7,838,000",,,,,,,,,,,,,,,,,,,,,,,,,"-1,750,000","0",,,"-3,609,000","-6,628,000",,,"-2,904,000","-5,011,000"
			CommonStockDividendPaid,,,,,,,"-11,366,000","-11,343,000","-11,294,000","-11,347,000","-9,336,000","-9,306,000","-9,311,000","-9,319,000","-7,845,000","-7,901,000","-7,861,000","-7,838,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-30,142,000","-18,179,000","-9,970,000","-1,429,000","-564,000","-769,000","-1,958,000","-5,592,000","-6,184,000","-2,605,000","-2,066,000","-736,000","-905,000","-7,274,000","-4,762,000","-669,000","-795,000","-6,236,000","-2,201,000","-636,000","-728,000","-325,000","-1,205,000","-736,000",,,"-2,716,000","97,000","612,000","-728,000","-1,357,000","-14,000","13,000","-96,000","-3,051,000","364,000","728,000","161,000","138,000","-1,110,000",,,,,,"-174,077,000","159,000","173,000","52,444,000","-52,603,000","111,000","-24,000"
EndCashPosition,"224,012,000","224,012,000","393,180,000","404,613,000","389,756,000","331,614,000","358,002,000","328,580,000","291,868,000","244,597,000","136,566,000","80,140,000","93,720,000","133,846,000","120,348,000","221,613,000","169,827,000","285,131,000","295,754,000","197,644,000","161,507,000","146,958,000","213,467,000","83,887,000","60,993,000","98,224,000","136,988,000","60,163,000","67,789,000","65,516,000","113,354,000","84,613,000","66,275,000","63,249,000","170,563,000","60,968,000","66,289,000","65,405,000","65,027,000","82,613,000","46,153,000","40,811,000","53,817,000","86,086,000","38,234,000","43,390,000","33,285,000","20,058,000","14,789,000","10,093,000","10,390,000","10,706,000"
