name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999
		NetPPE,"666,869,000","703,752,000","728,879,000","759,065,000","808,190,000","855,353,000","893,631,000","936,446,000","977,220,000","1,007,192,000","1,039,894,000","1,039,231,000","1,042,029,000","350,437,000","360,718,000","364,223,000","369,064,000","377,924,000","382,014,000","382,472,000","386,275,000","385,874,000","388,440,000","386,034,000","377,273,000","371,704,000","361,305,000","353,138,000","341,658,000","333,097,000","332,875,000","325,675,000","316,786,000","307,885,000","256,225,000","208,094,000","182,193,000","170,110,000","153,330,000","139,592,000","127,736,000","122,346,000","111,830,000","101,796,000","92,553,000","94,968,000","92,558,000","90,374,000","85,783,000","86,077,000","84,430,000","83,677,000","84,809,000","86,229,000","76,377,000","70,014,000","71,557,000","75,053,000","72,829,000","72,693,000","80,972,000","87,940,000","79,863,000","76,192,000","76,166,000","79,458,000","74,952,000","49,612,000","51,155,000","53,187,000","51,177,000","52,627,000","50,678,000","50,502,000","47,679,000","48,565,000","50,491,000","54,441,000","47,938,000","49,483,000","49,096,000","51,776,000"
			GrossPPE,"1,203,449,000","1,232,678,000","1,286,043,000","1,304,767,000","1,365,798,000","1,439,333,000","1,469,754,000","1,495,588,000","1,215,459,000","1,531,040,000","1,544,727,000","1,525,550,000","1,510,280,000","799,335,000","811,178,000","795,057,000","785,217,000","782,097,000","769,055,000","767,353,000","752,008,000","731,781,000","722,100,000","703,614,000","684,722,000","662,340,000","637,535,000","616,718,000","599,052,000","578,108,000",,,,"535,863,000",,,,"357,367,000",,,,"290,400,000",,,,"237,055,000",,,,"207,519,000",,,,"190,777,000","162,843,000","156,480,000","158,023,000","161,519,000","140,301,000","140,165,000","148,444,000","155,412,000","128,562,000","124,891,000","124,865,000","128,157,000","116,326,000","90,986,000","92,529,000","94,561,000","86,415,000","87,865,000","85,916,000","85,740,000","66,111,000","48,565,000","50,491,000","54,441,000","47,938,000","49,483,000","49,096,000","51,776,000"
				Properties,,"328,771,000",,,,"358,121,000",,,,"363,428,000",,,,"348,131,000",,,,"336,981,000",,,,"305,844,000",,,,"260,809,000",,,,"220,995,000",,,,"207,376,000",,,,"132,089,000",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"96,770,000",,,,"69,675,000",,,,"60,141,000",,,,"58,939,000",,,,"51,579,000",,,,"57,767,000",,,,"49,401,000",,,,"27,333,000",,,,"26,326,000",,,,,,,,
				MachineryFurnitureEquipment,,"397,857,000",,,,"477,637,000",,,,"470,194,000",,,,"432,687,000",,,,"437,758,000",,,,"405,551,000",,,,"379,929,000",,,,"337,941,000",,,,"281,533,000",,,,"207,472,000",,,,"181,925,000",,,,"162,116,000",,,,"141,628,000",,,,"119,194,000",,,,"95,200,000",,,,"90,681,000",,,,"65,759,000",,,,"65,164,000",,,,"41,766,000",,,,,,,,
				OtherProperties,"1,203,449,000","487,748,000","1,286,043,000","1,304,767,000","1,365,798,000","593,008,000","1,469,754,000","1,495,588,000","1,215,459,000","687,024,000","1,544,727,000","1,525,550,000","1,510,280,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,777,000",,,,"11,135,000",,,,"4,923,000",,,,"4,904,000",,,,,,,,"16,972,000",,,,,,,,
				ConstructionInProgress,,"18,302,000",,,,"10,567,000",,,,"10,394,000",,,,"18,517,000",,,,"7,358,000",,,,"20,386,000",,,,"21,602,000",,,,"19,172,000",,,,"46,954,000",,,,"17,806,000",,,,"11,705,000",,,,"5,264,000",,,,"5,750,000",,,,"3,867,000",,,,"3,605,000",,,,"2,041,000",,,,"8,093,000",,,,"2,064,000",,,,"676,000",,,,,,,,
			AccumulatedDepreciation,"-536,580,000","-528,926,000","-557,164,000","-545,702,000","-557,608,000","-583,980,000","-576,123,000","-559,142,000","-238,239,000","-523,848,000","-504,833,000","-486,319,000","-468,251,000","-448,898,000","-450,460,000","-430,834,000","-416,153,000","-404,173,000","-387,041,000","-384,881,000","-365,733,000","-345,907,000","-333,660,000","-317,580,000","-307,449,000","-290,636,000","-276,230,000","-263,580,000","-257,394,000","-245,011,000",,,,"-227,978,000",,,,"-187,257,000",,,,"-168,054,000",,,,"-142,087,000",,,,"-121,442,000",,,,"-104,548,000","-86,466,000","-86,466,000","-86,466,000","-86,466,000","-67,472,000","-67,472,000","-67,472,000","-67,472,000","-48,699,000","-48,699,000","-48,699,000","-48,699,000","-41,374,000","-41,374,000","-41,374,000","-41,374,000","-35,238,000","-35,238,000","-35,238,000","-35,238,000","-18,432,000",,,,,,,
		GoodwillAndOtherIntangibleAssets,"553,250,000","553,635,000","554,564,000","556,740,000","556,697,000","557,179,000","555,609,000","555,540,000","555,585,000","604,794,000","604,830,000","637,252,000","637,318,000","637,304,000","640,890,000","640,594,000","642,883,000","643,971,000","646,410,000","632,444,000","634,304,000","484,937,000","485,929,000","486,557,000","487,091,000","485,722,000","488,475,000","491,589,000","493,814,000","499,272,000","500,242,000","504,519,000","508,571,000","516,335,000","524,602,000","529,840,000","494,705,000","495,821,000","496,642,000","494,870,000","496,049,000","495,113,000","493,038,000","497,717,000","442,303,000","442,303,000","442,303,000","442,440,000","443,260,000","444,080,000","444,900,000","445,735,000","446,649,000","447,563,000","442,303,000","450,390,000","451,304,000","453,718,000","454,632,000","457,570,000","613,820,000","614,884,000","615,948,000","620,377,000","621,713,000","623,555,000","627,878,000","359,515,000","359,515,000","359,515,000","359,515,000","360,140,000","361,390,000","362,640,000","363,890,000","114,555,000","115,372,000","116,189,000","117,089,000","117,906,000","118,713,000","119,540,000"
			Goodwill,"212,518,000","212,023,000","212,016,000","213,195,000","212,271,000","211,776,000","209,507,000","208,573,000","207,720,000","229,026,000","228,235,000","228,860,000","228,019,000","227,101,000","229,611,000","228,555,000","230,008,000","230,424,000","234,193,000","231,709,000","232,925,000","176,009,000","176,956,000","177,540,000","177,238,000","174,874,000","176,633,000","178,753,000","178,859,000","181,975,000","184,196,000","186,173,000","184,604,000","186,077,000","188,006,000","186,957,000","188,731,000","189,749,000","190,470,000","188,621,000","189,696,000","188,679,000","186,536,000","191,050,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","136,570,000","279,756,000","279,756,000","279,756,000","283,122,000","283,394,000","284,172,000","287,431,000","139,282,000","139,282,000","139,282,000","139,282,000","139,282,000","139,282,000","139,282,000","139,282,000","26,222,000","26,414,000","26,606,000","26,881,000","27,073,000","27,255,000","27,457,000"
