name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,09/30/2018,06/30/2018
			OtherInventories,"7,013,000","6,556,000","6,584,000","5,993,000","6,059,000","5,746,000","5,266,000",,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,"-21,000","0",,,,,,,,
		PrepaidAssets,"17,042,000","18,395,000","16,632,000","15,315,000","12,276,000","11,573,000","8,431,000","87,938","154,625","136,313","192,696","262,091","331,297",,
	TotalNonCurrentAssets,"2,442,473,000","2,438,442,000","2,359,694,000","2,380,094,000","2,346,838,000","2,339,979,000","1,834,768,000","452,603,299","452,430,869","451,020,841","449,220,389","446,993,124","444,509,931","640,607","340,526"
		NetPPE,"298,656,000","303,807,000","281,121,000","285,611,000","262,999,000","270,416,000","285,481,000",,,,,,,,
			GrossPPE,"365,232,000","359,055,000","325,069,000","318,068,000","285,308,000","282,836,000","289,257,000",,,,,,,,
				Properties,"0","0","0","0","0","0","0",,,,,,,,
				LandAndImprovements,"29,193,000","29,279,000","26,317,000","26,230,000","24,900,000","24,978,000","31,120,000",,,,,,,,
				BuildingsAndImprovements,"101,963,000","101,712,000","98,678,000","97,523,000","85,053,000","84,827,000","78,737,000",,,,,,,,
				MachineryFurnitureEquipment,"214,972,000","214,319,000","180,411,000","177,507,000","165,670,000","157,513,000","164,460,000",,,,,,,,
				ConstructionInProgress,"19,104,000","13,745,000","19,663,000","16,808,000","9,685,000","15,518,000","14,940,000",,,,,,,,
			AccumulatedDepreciation,"-66,576,000","-55,248,000","-43,948,000","-32,457,000","-22,309,000","-12,420,000","-3,776,000",,,,,,,,
		GoodwillAndOtherIntangibleAssets,"2,045,698,000","2,057,947,000","2,037,077,000","2,050,203,000","2,047,331,000","2,033,892,000","1,519,244,000",,,,,,,,
			Goodwill,"915,490,000","915,438,000","889,521,000","892,524,000","880,063,000","862,183,000","664,335,000",,,,,,,,
			OtherIntangibleAssets,"1,130,208,000","1,142,509,000","1,147,556,000","1,157,679,000","1,167,268,000","1,171,709,000","854,909,000",,,,,,,,
		NonCurrentNoteReceivables,"19,614,000","20,725,000","22,140,000","23,857,000","22,348,000","20,000,000","23,125,000",,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,"640,607","340,526"
		OtherNonCurrentAssets,"78,505,000","55,963,000","19,356,000","20,423,000","14,160,000","15,671,000","6,918,000","452,603,299","452,430,869","451,020,841","449,220,389","446,993,124","444,509,931",,
TotalLiabilitiesNetMinorityInterest,"1,295,871,000","1,281,673,000","1,126,157,000","1,164,355,000","1,090,032,000","1,061,650,000","647,000,000","17,521,269","17,303,181","16,052,765","15,927,616","15,552,700","15,562,851","662,891","329,547"
	CurrentLiabilities,"182,794,000","188,020,000","151,184,000","153,924,000","129,441,000","147,529,000","126,504,000","2,071,269","1,853,181","602,765","477,616","102,700","112,851","662,891","329,547"
		PayablesAndAccruedExpenses,"132,248,000","132,868,000","108,149,000","111,376,000","93,001,000","98,026,000","90,559,000","2,071,269","1,853,181","602,765","477,616","102,700","112,851","507,891","324,547"
			Payables,"106,561,000","106,518,000","82,527,000","80,442,000","69,982,000","63,022,000","57,366,000","196,830","161,579","11,654","41,642","3,894","23,420","2,397","24,797"
				AccountsPayable,"104,967,000","95,369,000","77,559,000","74,674,000","64,214,000","57,254,000","56,066,000","196,830","161,579","11,654","41,642","3,894","23,420","2,397","24,797"
				TotalTaxPayable,"1,594,000","6,960,000","4,968,000","5,768,000","5,768,000","5,768,000","1,300,000",,,,,,,,
				DividendsPayable,"0","4,189,000",,,,,,,,,,,,,
			CurrentAccruedExpenses,"25,687,000","26,350,000","25,622,000","30,934,000","23,019,000","35,004,000","33,193,000","1,874,439","1,691,602","591,111","435,974","98,806","89,431","505,494","299,750"
				InterestPayable,"494,000","371,000","686,000","570,000","576,000","1,220,000","1,826,000",,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"15,183,000","20,081,000","19,326,000","19,845,000","17,789,000","36,968,000","24,499,000",,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"35,213,000","30,523,000","20,693,000","19,651,000","15,642,000","9,487,000","8,649,000",,,,,,,"155,000","5,000"
			CurrentDebt,"24,471,000","21,371,000","20,693,000","19,651,000","15,642,000","9,487,000","8,649,000",,,,,,,"155,000","5,000"
				CurrentNotesPayable,,"9,957,000",,,,,,,,,,,,"155,000","5,000"
				OtherCurrentBorrowings,"24,471,000","11,414,000","20,693,000","19,651,000","15,642,000","9,487,000","8,649,000",,,,,,,"155,000","5,000"
			CurrentCapitalLeaseObligation,"10,742,000","9,152,000",,,,,,,,,,,,,
		OtherCurrentLiabilities,"150,000","4,548,000","3,016,000","3,052,000","3,009,000","3,048,000","2,797,000",,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,113,077,000","1,093,653,000","974,973,000","1,010,431,000","960,591,000","914,121,000","520,496,000","15,450,000","15,450,000","15,450,000","15,450,000","15,450,000","15,450,000","0","0"
		LongTermDebtAndCapitalLeaseObligation,"875,851,000","855,257,000","818,339,000","813,109,000","743,861,000","802,564,000","436,897,000",,,,,,,,
			LongTermDebt,"875,851,000","855,257,000","818,339,000","813,109,000","743,861,000","802,564,000","436,897,000",,,,,,,,
		NonCurrentDeferredLiabilities,"136,837,000","136,334,000","74,634,000","75,010,000","74,847,000","73,786,000","22,958,000","15,450,000","15,450,000","15,450,000","15,450,000","15,450,000","15,450,000",,
			NonCurrentDeferredTaxesLiabilities,"136,837,000","136,334,000","74,634,000","75,010,000","74,847,000","73,786,000","22,958,000",,,,,,,,
			NonCurrentDeferredRevenue,,,,,,,,,,,,,"15,450,000",,
		NonCurrentAccruedExpenses,"56,109,000","55,838,000","33,256,000","37,280,000","37,483,000","37,771,000","60,641,000",,,,,,,,
		DerivativeProductLiabilities,"44,280,000","46,224,000","48,744,000","85,032,000","104,400,000",,,,,,,,,,
		RestrictedCommonStock,,,,,,,,,,,,"427,374,659","425,017,252",,
TotalEquityGrossMinorityInterest,"1,427,154,000","1,434,673,000","1,506,388,000","1,479,271,000","1,477,203,000","1,522,514,000","1,414,479,000","435,483,530","435,867,436","435,689,642","434,157,484","432,374,661","430,017,258","18,219","18,229"
	StockholdersEquity,"674,548,000","679,705,000","738,139,000","693,040,000","678,743,000","602,265,000","469,120,000","435,483,530","435,867,436","435,689,642","434,157,484","432,374,661","430,017,258","18,219","18,229"
		CapitalStock,"14,000","14,000","14,000","14,000","13,000","13,000","12,000","430,484,933","430,868,825","430,691,021","429,158,866","427,376,041","425,018,632","1,238","1,238"
			PreferredStock,,,,,,,,"0","0","0","0","0","0","0","0"
			CommonStock,"14,000","14,000","14,000","14,000","13,000","13,000","12,000","430,484,933","430,868,825","430,691,021","429,158,866","427,376,041","425,018,632","1,238","1,238"
		AdditionalPaidInCapital,"909,144,000","912,574,000","959,748,000","944,758,000","941,003,000","623,729,000","479,028,000","0","0","0","0","0","785,556","23,762","23,762"
		RetainedEarnings,"-254,168,000","-236,598,000","-224,662,000","-254,085,000","-264,019,000","-22,401,000","-10,172,000","4,998,597","4,998,611","4,998,621","4,998,618","4,998,620","4,213,070","-6,781","-6,771"
		GainsLossesNotAffectingRetainedEarnings,"19,558,000","3,715,000","3,039,000","2,353,000","1,746,000","924,000","252,000",,,,,,,,
	MinorityInterest,"752,606,000","754,968,000","768,249,000","786,231,000","798,460,000","920,249,000","945,359,000",,,,,,,,
TotalCapitalization,"1,550,399,000","1,534,962,000","1,556,478,000","1,506,149,000","1,422,604,000","1,404,829,000","906,017,000","435,483,530","435,867,436","435,689,642","434,157,484","432,374,661","430,017,258","18,219","18,229"
CommonStockEquity,"674,548,000","679,705,000","738,139,000","693,040,000","678,743,000","602,265,000","469,120,000","435,483,530","435,867,436","435,689,642","434,157,484","432,374,661","430,017,258","18,219","18,229"
CapitalLeaseObligations,"10,742,000","9,152,000",,,,,,,,,,,,,
NetTangibleAssets,"-1,371,150,000","-1,378,242,000","-1,298,938,000","-1,357,163,000","-1,368,588,000","-1,431,627,000","-1,050,124,000","435,483,530","435,867,436","435,689,642","434,157,484","432,374,661","430,017,258","18,219","18,229"
WorkingCapital,"97,758,000","89,884,000","121,667,000","109,608,000","90,956,000","96,656,000","100,207,000","-1,669,769","-1,113,433","118,801","387,095","831,537","957,327","-622,388","-322,297"
InvestedCapital,"1,574,870,000","1,556,333,000","1,577,171,000","1,525,800,000","1,438,246,000","1,414,316,000","914,666,000","435,483,530","435,867,436","435,689,642","434,157,484","432,374,661","430,017,258","173,219","23,229"
TangibleBookValue,"-1,371,150,000","-1,378,242,000","-1,298,938,000","-1,357,163,000","-1,368,588,000","-1,431,627,000","-1,050,124,000","435,483,530","435,867,436","435,689,642","434,157,484","432,374,661","430,017,258","18,219","18,229"
TotalDebt,"911,064,000","885,780,000","839,032,000","832,760,000","759,503,000","812,051,000","445,546,000",,,,,,,"155,000","5,000"
NetDebt,"885,423,000","834,730,000","813,071,000","806,015,000","755,483,000","765,220,000","413,522,000",,,,,,,"114,497",
ShareIssued,"78,597,175","77,644,645","77,570,422","76,570,422","76,481,833","71,094,714","59,369,050","55,875,000","55,875,000","55,875,000","55,875,000","55,875,000","55,875,000","12,375,000","12,375,000"
OrdinarySharesNumber,"78,597,175","77,644,645","77,570,422","76,570,422","76,481,833","71,094,714","59,369,050","55,875,000","55,875,000","55,875,000","55,875,000","55,875,000","55,875,000","12,375,000","12,375,000"
