name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015
TotalExpenses,"362,335,000","102,967,000","89,161,000","84,317,000","85,890,000","91,898,000","82,271,000","70,382,000","61,518,000","73,672,000","67,872,000","62,711,000","54,628,000","62,974,000","65,550,000","57,576,000","56,201,000","61,946,000","66,502,000","62,085,000","52,671,000","55,351,000","61,464,000","54,836,000","43,705,000","46,482,000","54,499,000","44,279,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"21,770,000","1,556,000","6,214,000","5,724,000","8,276,000","-24,000","4,297,000","447,000","1,512,000","-341,000","8,002,000","6,517,000","3,706,000","-17,914,000","9,672,000","3,915,000","1,248,000","690,000","21,480,000","5,865,000","3,970,000","2,160,000","6,601,000","-2,377,000","-2,715,000","3,804,000","2,427,000","-748,000"
NormalizedIncome,"22,206,560","1,545,200","6,203,458","5,812,704","8,652,424","1,903,930","4,297,000","447,000","1,512,000","-341,000","8,007,832","3,116,620","2,512,528","848,615.784","9,672,000","3,915,000","1,248,000","690,000","21,480,000","5,865,000","3,970,000","2,160,000","7,683,400","-1,731,124","-2,715,000","3,804,000","2,427,000","-748,000"
InterestIncome,"3,000"
InterestExpense,"2,113,000","201,000","570,000","597,000","745,000","20,000","855,000","905,000","1,468,000","1,504,000","1,560,000","1,643,000","1,717,000","1,849,000","1,171,000","1,901,000","1,989,000","1,963,000","1,160,000","2,262,000","2,387,000","2,156,000","2,640,000","3,834,000","3,334,000","3,061,000","4,074,000","2,929,000"
NetInterestIncome,"-2,441,000","-529,000","-570,000","-597,000","-745,000","-862,000","-855,000","-905,000","-1,468,000","-1,388,000","-1,560,000","-1,643,000","-1,717,000","-1,849,000","-1,963,000","-1,901,000","-1,989,000","-1,963,000","-1,970,000","-2,262,000","-2,387,000","-2,156,000","-2,925,000","-4,259,000","-3,334,000","-3,061,000","-3,245,000","-3,195,000"
EBIT,"27,544,000","1,374,000","8,825,000","6,796,000","10,549,000","-2,764,000","5,614,000","1,109,000","2,979,000","981,000","12,545,000","9,688,000","7,279,000","-19,324,000","11,858,000","6,673,000","3,363,000","3,086,000","13,668,000","9,401,000","2,941,000","4,424,000","13,679,000","406,000","-1,185,000","9,781,000","8,510,000","2,067,000"
EBITDA,"54,627,000"
ReconciledCostOfRevenue,"140,423,000","37,635,000","33,777,000","33,870,000","35,141,000","34,071,000","31,443,000","25,212,000","21,186,000","26,648,000","28,240,000","24,267,000","22,573,000","25,650,000","31,652,000","24,920,000","22,410,000","25,712,000","33,899,000","28,952,000","19,966,000","22,346,000","31,115,000","23,834,000","19,010,000","23,373,000","30,407,000","24,781,000"
ReconciledDepreciation,"27,083,000","6,766,000","6,968,000","7,127,000","6,222,000","6,371,000","6,211,000","6,168,000","6,429,000","5,980,000","5,694,000","5,977,000","5,192,000","27,161,000","4,956,000","4,193,000","4,424,000","4,288,000","3,845,000","3,529,000","3,488,000","3,659,000","3,574,000","3,348,000","3,250,000","2,980,000","2,897,000","2,797,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"21,770,000","1,556,000","6,214,000","5,724,000","8,276,000","-24,000","4,297,000","447,000","1,512,000","-341,000","8,002,000","6,517,000","3,706,000","-17,914,000","9,672,000","3,915,000","1,248,000","690,000","21,480,000","5,865,000","3,970,000","2,160,000","6,601,000","-2,377,000","-2,715,000","3,804,000","2,427,000","-748,000"
TotalUnusualItemsExcludingGoodwill,"-510,000","18,000","14,000","-96,000","-446,000","-2,641,000","0","0","0","0","-8,000","4,198,000","1,792,000","-22,176,000",,,,,,"-379,000","-244,000","-799,000","-1,804,000","-932,000","-1,627,000","3,590,000","-3,255,000","-4,172,000"
TotalUnusualItems,"-510,000","18,000","14,000","-96,000","-446,000","-2,641,000","0","0","0","0","-8,000","4,198,000","1,792,000","-22,176,000",,,,,,"-379,000","-244,000","-799,000","-1,804,000","-932,000","-1,627,000","3,590,000","-3,255,000","-4,172,000"
NormalizedEBITDA,"55,137,000","8,122,000","15,779,000","14,019,000","17,217,000","6,248,000","11,825,000","7,277,000","9,408,000","6,961,000","18,247,000","11,467,000","10,679,000","30,013,000","16,814,000","10,866,000","7,787,000","7,374,000","17,513,000","12,930,000","6,429,000","8,083,000","19,057,000","4,686,000","2,065,000","12,761,000","11,407,000","4,864,000"
TaxRateForCalcs,"0.144","0.4","0.247","0.076","0.156","0.27","0.097","0.27","0","0.348","0.271","0.19","0.334","0.154","0.095","0.18","0.09","0.39","0.4","0.177","0.4","0.048","0.4","0.307","0.399","0.4","0.4","0.134"
TaxEffectOfUnusualItems,"-73,440","7,200","3,458","-7,296","-69,576","-713,070","0","0","0","0","-2,168","797,620","598,528","-3,413,384.216","0","0","0","0","0","0","0","0","-721,600","-286,124","0","0","0","0"
