name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,"0",,,,,,"0",,,,,,,
				MachineryFurnitureEquipment,"14,975,000","14,975,000","14,944,000","15,062,000","15,137,000","15,295,000","15,307,000","15,335,000","15,405,000","15,118,000","15,086,000","14,846,000","15,427,000","15,145,000","10,483,000","9,203,000","8,700,000","7,810,000","7,051,000","6,271,000","6,167,000","5,730,000","4,577,000","3,789,000","3,204,000","2,600,000","2,398,000","2,090,776","1,793,194","1,570,092","1,240,466","954,797","903,433","433,314","431,563","2,178,637","2,016,134","1,805,592","1,758,798",,,,"1,355,760",,,,,,"1,192,533",,,,,,,
				OtherProperties,"21,737,000","22,315,000","20,465,000","19,617,000","19,214,000","19,932,000","19,895,000","18,290,000","18,286,000","18,291,000","18,059,000","18,051,000","18,272,000","13,787,000","9,982,000","9,316,000","10,226,000","9,565,000","8,666,000","7,971,000","8,196,000","7,528,000","4,564,000","3,792,000","3,392,000","3,176,000","3,040,000","2,804,547","2,729,522","2,632,088","2,025,263","2,265,203","1,901,219","1,887,645","1,887,645","0","0","0",,,,,"0",,,,,,"0",,,,,,,
				ConstructionInProgress,"683,000","397,000","677,000","1,972,000","4,295,000","3,321,000","1,347,000","1,150,000","1,463,000","972,000","765,000","1,089,000","984,000","1,507,000","2,200,000","2,583,000","2,736,000","2,533,000","3,300,000","3,629,000","2,169,000","1,539,000","2,629,000","2,556,000","1,943,000","1,928,000","949,000","831,183","583,109","250,727","802,319","597,130","556,093","81,810","10,027",,,,,,,,,,,,,,,,,,,,,
				Leases,"9,170,000","9,052,000","8,745,000","8,039,000","6,010,000","6,010,000","5,976,000","5,689,000","5,321,000","5,321,000","5,312,000","5,312,000","5,281,000","4,804,000","3,393,000","3,116,000","3,323,000","3,306,000","3,274,000","3,259,000","3,245,000","3,233,000","2,684,000","2,666,000","2,613,000","2,589,000","2,559,000","2,491,731","2,427,502","2,400,837","2,319,928","2,638,508","2,147,775","1,129,488","1,022,230","990,127","978,550","925,086","925,086",,,,"793,900",,,,,,"793,899",,,,,,,
			AccumulatedDepreciation,"-33,442,000","-32,878,000","-32,076,000","-31,273,000","-30,045,000","-29,498,000","-28,239,000","-26,733,000","-25,484,000","-23,977,000","-22,412,000","-20,774,000","-19,512,000","-17,819,000","-11,967,000","-10,954,000","-10,566,000","-9,451,000","-8,505,000","-7,373,000","-6,728,000","-5,907,000","-4,979,000","-4,427,000","-3,968,000","-3,853,000","-3,499,000","-3,166,028","-2,852,851","-2,565,001","-2,301,870","-2,694,005","-2,517,774","-2,378,590","-2,279,840","-2,168,898","-2,045,964","-1,924,861","-1,814,473","-1,775,925","-1,701,688","-1,585,986","-1,392,704","-1,286,038","-1,171,706","-1,059,438","-837,548","-726,652","-610,536","-823,960","-395,314","-288,878",,,,
		GoodwillAndOtherIntangibleAssets,"25,241,000","25,359,000","25,596,000","25,726,000","25,894,000","25,980,000","27,144,000","27,362,000","27,557,000","27,753,000","27,927,000","28,080,000","28,268,000","29,584,000","30,009,000","30,271,000","42,492,000","42,991,000","43,471,000","54,200,000","54,644,000","64,440,000","14,803,000","14,780,000","14,821,000","14,853,000","14,885,000","15,000,743","15,044,516","15,155,631","15,219,016","15,688,949","15,764,653","15,689,596","15,952,191","16,214,787","18,462,974","18,796,951","19,130,928","19,464,905","19,798,882","20,132,860","4,786,991","4,953,974","5,120,957","5,287,940","5,640,524","5,807,230","5,973,934","6,140,638","6,307,342","6,474,046",,,,
			Goodwill,"19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,976,000","19,894,000","20,203,000","20,203,000","20,203,000","26,951,000","26,951,000","30,730,000","4,040,000","4,040,000","4,040,000","4,040,000","4,040,000","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","4,040,443","857,597","857,597","857,597","857,597","857,597","857,597","857,597","857,597","857,597","857,597",,,,
			OtherIntangibleAssets,"5,265,000","5,383,000","5,620,000","5,750,000","5,918,000","6,004,000","7,168,000","7,386,000","7,581,000","7,777,000","7,951,000","8,104,000","8,292,000","9,608,000","10,033,000","10,377,000","22,289,000","22,788,000","23,268,000","27,249,000","27,693,000","33,710,000","10,763,000","10,740,000","10,781,000","10,813,000","10,845,000","10,960,300","11,004,073","11,115,188","11,178,573","11,648,506","11,724,210","11,649,153","11,911,748","12,174,344","14,422,531","14,756,508","15,090,485","15,424,462","15,758,439","16,092,417","3,929,394","4,096,377","4,263,360","4,430,343","4,782,927","4,949,633","5,116,337","5,283,041","5,449,745","5,616,449",,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,,,,,,,"0","0","2,500,000","3,250,000",,,,,,,,,,,,,,,,,,"92,500",,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,"0","25,541,000","17,671,000","10,408,000","9,839,000","9,468,000","7,418,000","7,521,000","5,417,000","15,325,000",,,,,,,,,,,,,,,,,,,,"0","0","0","0","209,971","226,771",,,,,,,,
