name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
		CapitalStock,"419,000","417,000","370,000","370,000","370,000","316,000","300,000","281,000","239,000","237,000","237,000","237,000","237,000","235,000","235,000","235,000","235,000","233,000","233,000","233,000","232,000","232,000","232,000","232,000","232,000","232,000","232,000","232,000","232,000","230,000","206,000","205,000","205,000","205,000","205,000","204,000","204,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
			CommonStock,"419,000","417,000","370,000","370,000","370,000","316,000","300,000","281,000","239,000","237,000","237,000","237,000","237,000","235,000","235,000","235,000","235,000","233,000","233,000","233,000","232,000","232,000","232,000","232,000","232,000","232,000","232,000","232,000","232,000","230,000","206,000","205,000","205,000","205,000","205,000","204,000","204,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000","25,000"
		AdditionalPaidInCapital,"7,537,111,000","7,513,725,000","6,371,545,000","6,329,585,000","6,328,120,000","4,889,355,000","5,155,986,000","4,851,781,000","4,257,571,000","4,235,690,000","4,208,975,000","4,176,825,000","4,145,530,000","4,129,639,000","4,100,291,000","4,064,138,000","4,020,584,000","3,998,694,000","3,973,350,000","3,937,211,000","3,911,085,000","3,890,119,000","3,870,040,000","3,849,537,000","3,832,929,000","3,814,536,000","3,797,584,000","3,771,531,000","3,766,137,000","3,702,344,000","2,826,395,000","2,822,208,000","2,812,641,000","2,822,864,000","2,819,153,000","2,805,277,000","2,806,635,000","2,335,563,000","2,335,424,000","2,335,405,000","2,335,240,000","2,331,973,000","2,331,668,000","2,331,368,000","2,331,064,000","2,330,792,000","2,330,189,000","2,329,559,000","2,328,929,000","2,328,302,000"
		RetainedEarnings,"-5,779,120,000","-4,796,406,000","-3,223,685,000","-2,377,800,000","-1,660,011,000","-295,449,000","557,410,000","1,234,776,000","1,950,019,000","3,829,068,000","3,707,771,000","3,257,187,000","3,016,997,000","2,898,840,000","2,744,206,000","2,273,828,000","2,047,152,000","1,963,128,000","1,864,331,000","1,463,639,000","1,265,166,000","1,201,103,000","1,128,871,000","786,493,000","641,247,000","568,018,000","529,706,000","277,919,000","119,425,000","140,881,000","166,490,000","-34,588,000","-146,204,000","-197,471,000","-233,563,000","-404,421,000","-395,580,000","-299,185,000","-300,238,000","-428,426,000","-464,457,000","-467,741,000","-474,709,000","-584,907,000","-614,083,000","-603,458,000","-564,146,000","-657,147,000","-642,207,000","-626,075,000"
		TreasuryStock,,,,,,"0","1,253,926,000","1,253,926,000","1,253,926,000","1,253,926,000","1,253,926,000","1,104,137,000","1,104,062,000","904,066,000","702,760,000","702,760,000","502,760,000","239,255,000","239,255,000","239,255,000","239,255,000","239,255,000","239,255,000","239,255,000","239,255,000","189,256,000","89,425,000","82,000,000","82,000,000","82,000,000","82,000,000","79,155,000",,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-250,808,000","-285,086,000","-264,991,000","-232,903,000","-291,218,000","-240,117,000","-372,004,000","-495,887,000","-579,249,000","-295,490,000","-389,633,000","-179,769,000","-153,400,000","-161,647,000","56,118,000","51,352,000","73,862,000","26,966,000","-61,055,000","-170,079,000","-311,946,000","-314,473,000","-223,161,000","-278,646,000","-307,542,000","-412,650,000","-319,203,000","-227,227,000","-324,402,000","-242,642,000","-58,479,000","-23,011,000","-31,662,000","-16,690,000","-33,098,000","-47,407,000","-38,544,000","-17,619,000","-23,699,000","-61,950,000","-1,112,000","-19,794,000","-12,020,000","22,638,000","21,760,000","4,309,000","-2,119,000","-11,373,000","3,684,000","2,299,000"
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","31,372,000","29,122,000","34,985,000","22,358,000","22,191,000","30,640,000","28,873,000",,,,,,,,,,,,,
TotalCapitalization,"14,071,120,000","14,002,350,000","14,748,033,000","15,643,886,000","16,558,963,000","16,035,339,000","14,552,861,000","14,348,897,000","12,807,079,000","12,570,914,000","11,946,050,000","11,894,270,000","11,839,487,000","11,773,874,000","12,073,342,000","11,836,014,000","11,219,363,000","11,438,158,000","11,540,481,000","11,074,975,000","10,269,457,000","10,376,220,000","10,351,975,000","10,089,504,000","9,597,755,000","9,548,577,000","9,015,131,000","8,918,499,000","8,858,474,000","9,125,970,000","5,934,958,000","5,814,996,000","5,925,473,000","5,450,122,000","5,383,174,000","5,272,219,000","4,789,295,000","4,782,904,000","4,738,254,000","4,606,041,000","4,633,472,000","4,681,962,000","4,692,410,000","4,708,801,000","4,731,566,000","4,857,516,000","4,560,131,000","4,686,012,000","4,165,427,000","4,258,656,000"
CommonStockEquity,"1,507,602,000","2,432,650,000","2,883,239,000","3,719,252,000","4,377,261,000","4,354,105,000","4,087,766,000","4,337,025,000","4,374,654,000","6,515,579,000","6,273,424,000","6,150,343,000","5,905,302,000","5,963,001,000","6,198,090,000","5,686,793,000","5,639,073,000","5,749,766,000","5,537,604,000","4,991,749,000","4,625,282,000","4,537,726,000","4,536,727,000","4,118,361,000","3,927,611,000","3,780,880,000","3,918,894,000","3,740,455,000","3,479,392,000","3,518,813,000","2,852,612,000","2,685,659,000","2,634,980,000","2,608,908,000","2,552,697,000","2,353,653,000","2,372,715,000","2,018,784,000","2,011,512,000","1,845,054,000","1,869,696,000","1,844,463,000","1,844,964,000","1,769,124,000","1,738,766,000","1,731,668,000","1,763,949,000","1,661,064,000","1,690,431,000","1,704,551,000"
NetTangibleAssets,"908,943,000","1,833,991,000","2,284,580,000","3,120,593,000","3,778,602,000","3,755,102,000","3,487,234,000","3,733,701,000","3,768,538,000","4,298,873,000","4,052,096,000","3,924,393,000","3,674,730,000","3,727,807,000","3,956,343,000","3,438,493,000","3,384,220,000","3,488,409,000","3,264,033,000","2,710,399,000","2,336,181,000","2,240,710,000","2,234,103,000","1,814,563,000","1,614,484,000","1,462,364,000","1,591,770,000","1,393,130,000","1,113,694,000","1,134,885,000","2,241,282,000","2,074,329,000","2,023,650,000","1,997,578,000","1,941,367,000","1,742,323,000","1,761,385,000","1,407,454,000","1,400,182,000","1,234,762,000","1,259,404,000","1,241,671,000","1,242,172,000","1,166,332,000","1,135,974,000","1,128,876,000","1,161,157,000","1,058,272,000","1,087,639,000","1,101,759,000"
