name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012
				AvailableForSaleSecurities,"208,679,000","228,051,000","221,262,000","211,435,000","191,102,000","219,719,000","198,187,000","185,719,000","185,096,000","198,509,000","113,177,000","124,370,000","177,636,000","169,793,000","162,188,000","153,612,000","151,920,000","151,209,000","130,540,000","126,329,000","124,859,000","58,058,000","50,291,000","47,662,000","36,733,000","29,017,000","28,186,000","28,455,000","22,809,000","27,273,000","49,505,000","73,861,000","96,894,000","98,108,000","93,035,000","340,119,575","198,125,162","197,629,665",
			OtherInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"195,581,699"
		NonCurrentAccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,595"
		DuefromRelatedPartiesNonCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"317,595"
		OtherNonCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,972,131"
TotalLiabilitiesNetMinorityInterest,"2,607,735,000","2,581,796,000","2,467,478,000","2,612,983,000","2,120,169,000","2,248,918,000","2,246,761,000","1,768,976,000","1,487,932,000","1,447,362,000","1,396,625,000","1,142,677,000","1,344,809,000","1,350,390,000","1,648,500,000","1,571,611,000","1,593,763,000","1,607,391,000","1,655,986,000","1,625,268,000","1,406,390,000","1,171,548,000","1,059,032,000","973,907,000","1,053,306,000","1,037,515,000","866,185,000","835,149,000","724,021,000","736,215,000","484,044,000","446,903,000","442,998,000","420,808,000","356,573,000","228,047,813","207,176,876","206,934,562","213,301,379"
	CurrentLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,418,850"
		PayablesAndAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,418,850"
			Payables,"90,895,000","88,866,000","77,395,000","75,813,000","68,276,000","59,944,000","56,843,000","52,123,000","48,672,000","53,538,000","39,851,000","38,264,000","33,266,000","36,509,000","32,822,000","24,772,000","26,528,000","25,645,000","33,187,000","37,559,000","35,475,000","25,219,000","28,015,000","26,165,000","22,899,000","17,875,000","16,592,000","13,749,000","10,962,000","11,408,000","9,418,000","17,361,000","8,486,000","7,296,000","5,704,000","3,783,819","6,931,734","6,812,575","8,418,850"
				AccountsPayable,,,,"75,813,000","68,276,000","59,944,000","56,843,000","52,123,000","48,672,000","53,538,000","39,851,000","38,264,000","33,266,000","36,509,000","32,822,000","24,772,000","26,528,000","25,645,000","33,187,000","37,559,000","35,475,000","25,219,000","28,015,000","26,165,000","22,899,000","17,875,000","16,592,000","13,749,000","10,962,000","11,408,000","9,418,000","17,361,000","8,486,000","7,296,000","5,704,000","3,783,819","6,931,734","6,812,575","6,072,855"
				OtherPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,345,995"
	TotalNonCurrentLiabilitiesNetMinorityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"204,882,529"
		LongTermDebtAndCapitalLeaseObligation,"2,516,840,000","2,492,930,000","2,390,083,000","2,537,170,000","2,051,893,000","2,188,974,000","2,189,918,000","1,716,853,000","1,439,260,000","1,393,011,000","1,355,701,000","1,098,599,000","1,245,193,000","1,241,781,000","1,532,191,000","1,449,154,000","1,430,730,000","1,428,438,000","1,396,982,000","1,314,262,000","1,196,314,000","975,437,000","966,686,000","869,615,000","967,866,000","911,141,000","771,157,000","725,700,000","640,723,000","636,519,000","424,638,000","408,537,000","366,591,000","337,038,000","271,625,000","194,136,167","200,245,142","200,121,987","204,882,529"
			LongTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"204,882,529"
		PreferredSecuritiesOutsideStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,918,000","3,120,000",,,,,,
TotalEquityGrossMinorityInterest,"1,613,994,000","1,566,515,000","1,473,385,000","1,322,549,000","1,311,321,000","1,210,149,000","1,097,737,000","1,067,964,000","1,036,555,000","939,912,000","882,543,000","884,744,000","842,061,000","804,523,000","646,614,000","646,396,000","626,952,000","642,781,000","654,699,000","663,263,000","636,804,000","574,339,000","497,133,000","502,231,000","423,671,000","432,106,000","341,380,000","346,295,000","270,651,000","274,042,000","219,607,000","217,226,000","147,382,000","150,624,000","164,064,000","163,247,549","4,423,935","5,851,008","19,161,518"
	StockholdersEquity,"1,591,182,000","1,544,718,000","1,454,403,000","1,305,693,000","1,302,600,000","1,203,296,000","1,092,047,000","1,062,609,000","1,032,225,000","936,480,000","879,376,000","881,486,000","838,647,000","801,100,000","643,100,000","642,887,000","623,474,000","639,184,000","651,051,000","659,573,000","633,101,000","570,608,000","493,373,000","498,440,000","419,833,000","428,195,000","337,407,000","342,283,000","266,597,000","269,299,000","214,817,000","217,226,000","146,166,000","146,525,000","159,599,000","158,737,039","4,423,935","5,851,008","19,161,518"
		CapitalStock,"867,000","853,000","843,000","784,000","783,000","765,000","743,000","733,000","713,000","663,000","649,000","649,000","629,000","605,000","527,000","527,000","518,000","517,000","517,000","517,000","502,000","465,000","420,000","420,000","370,000","370,000","312,000","312,000","264,000","264,000","218,000","218,000","159,000","159,000","158,000","157,951","68,400","68,400",
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
			CommonStock,"867,000","853,000","843,000","784,000","783,000","765,000","743,000","733,000","713,000","663,000","649,000","649,000","629,000","605,000","527,000","527,000","518,000","517,000","517,000","517,000","502,000","465,000","420,000","420,000","370,000","370,000","312,000","312,000","264,000","264,000","218,000","218,000","159,000","159,000","158,000","157,951","68,400","68,400",
		AdditionalPaidInCapital,"1,783,938,000","1,727,667,000","1,671,747,000","1,487,103,000","1,489,168,000","1,394,009,000","1,282,744,000","1,250,976,000","1,206,225,000","1,102,303,000","1,063,102,000","1,060,086,000","1,009,346,000","965,384,000","791,383,000","789,129,000","770,922,000","770,983,000","768,665,000","766,894,000","734,625,000","663,744,000","578,107,000","576,041,000","485,756,000","482,431,000","381,424,000","379,183,000","295,999,000","293,635,000","233,170,000","231,620,000","160,648,000","160,120,000","160,099,000","159,835,353",,,
		RetainedEarnings,"-181,282,000","-193,706,000","-225,933,000","-193,530,000","-181,992,000","-204,112,000","-202,914,000","-198,719,000","-185,789,000","-169,786,000","-193,121,000","-180,217,000","-170,953,000","-163,205,000","-151,834,000","-150,624,000","-150,052,000","-131,251,000","-117,122,000","-107,263,000","-102,090,000","-92,213,000","-80,865,000","-71,200,000","-61,202,000","-52,701,000","-43,467,000","-37,131,000","-30,151,000","-25,006,000","-19,358,000","-16,918,000","-14,738,000","-13,864,000","-592,000","-1,441,464","4,291,643","5,510,466","8,441,399"
		GainsLossesNotAffectingRetainedEarnings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"252,801"
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,467,318"
	MinorityInterest,"22,812,000","21,797,000","18,982,000","16,856,000","8,721,000","6,853,000","5,690,000","5,355,000","4,330,000","3,432,000","3,167,000","3,258,000","3,414,000","3,423,000","3,514,000","3,509,000","3,478,000","3,597,000","3,648,000","3,690,000","3,703,000","3,731,000","3,760,000","3,791,000","3,838,000","3,911,000","3,973,000","4,012,000","4,054,000","4,743,000","4,790,000","0","1,216,000","4,099,000","4,465,000","4,510,510",,,
TotalCapitalization,"4,108,022,000","4,037,648,000","3,844,486,000","3,842,863,000","3,354,493,000","3,392,270,000","3,281,965,000","2,779,462,000","2,471,485,000","2,329,491,000","2,235,077,000","1,980,085,000","2,083,840,000","2,042,881,000","2,175,291,000","2,092,041,000","2,054,204,000","2,067,622,000","2,048,033,000","1,973,835,000","1,829,415,000","1,546,045,000","1,460,059,000","1,368,055,000","1,387,699,000","1,339,336,000","1,108,564,000","1,067,983,000","907,320,000","905,818,000","639,455,000","625,763,000","512,757,000","483,563,000","431,224,000","352,873,206","204,669,077","205,972,995","224,044,047"
CommonStockEquity,"1,591,182,000","1,544,718,000","1,454,403,000","1,305,693,000","1,302,600,000","1,203,296,000","1,092,047,000","1,062,609,000","1,032,225,000","936,480,000","879,376,000","881,486,000","838,647,000","801,100,000","643,100,000","642,887,000","623,474,000","639,184,000","651,051,000","659,573,000","633,101,000","570,608,000","493,373,000","498,440,000","419,833,000","428,195,000","337,407,000","342,283,000","266,597,000","269,299,000","214,817,000","217,226,000","146,166,000","146,525,000","159,599,000","158,737,039","4,423,935","5,851,008","19,161,518"
NetTangibleAssets,"1,591,182,000","1,544,718,000","1,454,403,000","1,305,693,000","1,302,600,000","1,203,296,000","1,092,047,000","1,062,609,000","1,032,225,000","936,480,000","879,376,000","881,486,000","838,647,000","801,100,000","643,100,000","642,887,000","623,474,000","639,184,000","651,051,000","659,573,000","633,101,000","570,608,000","462,449,000","467,720,000","388,801,000","401,265,000","311,567,000","316,801,000","241,806,000","246,241,000","189,045,000","192,773,000","140,713,000","141,021,000","154,045,000","153,131,524","-1,256,997","82,284","13,305,002"
WorkingCapital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,528,912"
InvestedCapital,"4,108,022,000","4,037,648,000","3,844,486,000","3,842,863,000","3,354,493,000","3,392,270,000","3,281,965,000","2,779,462,000","2,471,485,000","2,329,491,000","2,235,077,000","1,980,085,000","2,083,840,000","2,042,881,000","2,175,291,000","2,092,041,000","2,054,204,000","2,067,622,000","2,048,033,000","1,973,835,000","1,829,415,000","1,546,045,000","1,460,059,000","1,368,055,000","1,387,699,000","1,339,336,000","1,108,564,000","1,067,983,000","907,320,000","905,818,000","639,455,000","625,763,000","512,757,000","483,563,000","431,224,000","352,873,206","204,669,077","205,972,995","224,044,047"
TangibleBookValue,"1,591,182,000","1,544,718,000","1,454,403,000","1,305,693,000","1,302,600,000","1,203,296,000","1,092,047,000","1,062,609,000","1,032,225,000","936,480,000","879,376,000","881,486,000","838,647,000","801,100,000","643,100,000","642,887,000","623,474,000","639,184,000","651,051,000","659,573,000","633,101,000","570,608,000","462,449,000","467,720,000","388,801,000","401,265,000","311,567,000","316,801,000","241,806,000","246,241,000","189,045,000","192,773,000","140,713,000","141,021,000","154,045,000","153,131,524","-1,256,997","82,284","13,305,002"
TotalDebt,"2,516,840,000","2,492,930,000","2,390,083,000","2,537,170,000","2,051,893,000","2,188,974,000","2,189,918,000","1,716,853,000","1,439,260,000","1,393,011,000","1,355,701,000","1,098,599,000","1,245,193,000","1,241,781,000","1,532,191,000","1,449,154,000","1,430,730,000","1,428,438,000","1,396,982,000","1,314,262,000","1,196,314,000","975,437,000","966,686,000","869,615,000","967,866,000","911,141,000","771,157,000","725,700,000","640,723,000","636,519,000","424,638,000","408,537,000","366,591,000","337,038,000","271,625,000","194,136,167","200,245,142","200,121,987","204,882,529"
NetDebt,"2,383,517,000","2,266,726,000","1,976,824,000","1,953,951,000","1,819,564,000","1,902,724,000","1,308,431,000","1,175,028,000","1,266,235,000","1,386,803,000","1,169,549,000","1,060,707,000","1,183,102,000","1,220,363,000","1,497,768,000","1,407,342,000","1,383,580,000","1,371,164,000","1,306,230,000","1,272,566,000","1,179,983,000","946,009,000","893,718,000","850,336,000","941,281,000","868,496,000","740,477,000","704,030,000","575,267,000","578,320,000","363,725,000","369,846,000","327,016,000","305,192,000","247,408,000","179,327,381","196,928,632","192,097,716","183,934,767"
ShareIssued,"86,719,735","85,326,781","84,275,179","78,419,939","78,319,134","76,457,415","74,252,973","73,318,552","71,325,089","66,338,120","64,924,800","64,912,741","62,875,638","60,510,086","52,728,818","52,728,327","51,826,553","51,665,449","51,656,224","51,655,406","50,194,089","46,493,155","41,989,485","41,985,976","37,030,467","37,010,603","31,221,982","31,221,982","26,429,882","26,377,111","21,774,411","21,774,411","15,892,927","15,892,927","15,795,118","15,795,118","15,127,372","15,127,372","15,127,372"
OrdinarySharesNumber,"86,719,735","85,326,781","84,275,179","78,419,939","78,319,134","76,457,415","74,252,973","73,318,552","71,325,089","66,338,120","64,924,800","64,912,741","62,875,638","60,510,086","52,728,818","52,728,327","51,826,553","51,665,449","51,656,224","51,655,406","50,194,089","46,493,155","41,989,485","41,985,976","37,030,467","37,010,603","31,221,982","31,221,982","26,429,882","26,377,111","21,774,411","21,774,411","15,892,927","15,892,927","15,795,118","15,795,118","15,127,372","15,127,372","15,127,372"
