name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997
				OtherPayable,,,"10,755,000","10,755,000",,,,,,,"150,000","250,000","300,000","1,200,000",,,,,,,,,"6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934","6,934",,"6,934","6,934","6,934","6,934","6,934","6,934","6,606","6,934","5,334","5,334","5,334",,,,,"98,536","194,069","194,069","186,569",,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"6,178,814","5,114,768","5,452,427","3,789,179","1,385,054","3,952,438","2,765,070","2,467,085","773,005","784,271","592,222","667,383","385,974","474,797","402,653","438,346","408,106","228,699","126,681","103,166","86,785","0","122,018","118,020","113,865","109,711","105,513","101,315","97,161","93,050","88,852","84,654","80,500","76,092","72,052","68,051","64,615","60,805","56,917","2,000","50,274","1,600","43,205","39,707","36,301","33,109","29,850","26,745","23,685","20,821","18,392","15,645","12,928","10,409","7,872","5,398","3,163","2,566","47",,,"0","0","7,184","101,859","43,328","43,308","37,220","45,621",,,,"97,723",,,,"66,140",
				InterestPayable,,,,,"22,667",,,,"197,342",,,,"35,422",,,,"0","74,896",,,,"0","118,243","114,245","110,290","106,336","102,338","98,340","94,386","90,475","86,477","82,479","78,525","74,317","70,477","66,676","62,915","59,305","55,617",,"48,474",,"41,805","38,507","35,301","32,309","29,250","26,345","23,485","20,821","16,992","14,445","11,928",,,,,,"47",,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"2,827,414","6,073,201","5,982,239","4,263,752","4,263,734","5,765,783","7,587,475","7,110,067","5,408,636","7,725,153","10,495,698","9,412,603","1,730,597","1,545,505","27,909","69,773","99,907","1,681,880","2,242,303","2,137,250","2,574,433",,"198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","194,166","194,166","188,530","182,897",,,,"166,875",,,,"151,680",,,,"135,012",,,,"117,159","114,285","111,803","105,069",,,,,"968,163","1,049,528","1,831,440","2,274,376","2,375,632","2,299,010","2,245,988","2,110,817","2,300,000","1,400,000","1,600,000","1,533,796","1,300,000","1,300,000","900,000","226,734","100,000"
			CurrentDebt,"1,995,985","5,247,858","5,115,106","3,314,858","3,599,950","5,255,680","7,092,373","6,629,597","5,032,823","7,229,058","10,005,752","8,928,731","1,730,597","1,545,505","27,909","69,773","99,907","1,681,880","2,242,303","2,137,250","2,574,433",,"198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","194,166","194,166","188,530","182,897",,,,"166,875",,,,"151,680",,,,"135,012",,,,"117,159","114,285","111,803","105,069",,,,,"968,163","1,049,528","1,831,440","2,274,376","2,375,632","2,299,010","2,245,988","2,110,817","2,300,000","1,400,000","1,600,000","1,533,796","1,300,000","1,300,000","900,000","226,734","100,000"
				CurrentNotesPayable,"0","285,718","1,134,159","1,320,278","41,517","103,792","286,030","591,750","764,455","488,508","569,479","528,731","230,597","0","27,909","69,773","99,907","106,880","467,303","362,250","699,433",,,,,,,,,,,,,,,,,,,,,,,,,"151,680",,,,"135,012",,,,"117,159","114,285","111,803","105,069",,,,,,,,,,,,,,,,,,,,,
				LineOfCredit,"825,675","194,810","194,810","258,955","1,091,098","2,250,000","2,250,000","1,758,003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherCurrentBorrowings,"1,170,310","4,767,330","3,786,137","1,735,625","2,467,335","2,901,888","4,556,343","4,279,844","4,268,368","6,740,550","9,436,273","8,400,000","1,500,000","1,545,505",,,,"1,575,000","1,775,000","1,775,000","1,875,000",,"198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","198,266","194,166","194,166","188,530","182,897",,,,"166,875",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"831,429","825,343","867,133","948,894","663,784","510,103","495,102","480,470","375,813","496,095","489,946","483,872",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,"361,270",,,,"493,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,,,,,"361,270",,,,"493,553",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,"1,907,788","2,005,979","936,750","1,036,273",,,,,,,,,,,"625,000",,,"1",,,,,,,,,,,,,,,,,,"1",,,,,,,,,,,"5,334",,"5,253","5,253",,,,,,,"74,588",,"74,588","104,588","154,588",,"400,000","300,000","300,000","267,454","700,000","500,000","700,000","137,385","700,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,051,436","4,461,291","3,256,301","3,091,458","6,933,319","10,208,207","15,027,018","12,145,061","9,621,334","4,572,676","4,698,262","4,823,050","9,575,856","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,"0","0","0","0","0","0","0","0","0","0","0","0",,,,"0",,,,"0",
