name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005
			NetIncomeContinuousOperations,"102,316,000","16,696,000","10,346,000","28,135,000","47,139,000","20,514,000","15,271,000","6,630,000","39,000","-37,602,000","13,318,000","11,004,000","6,046,000","2,408,000","16,491,000","30,364,000","32,327,000","21,846,000","17,144,000","13,556,000","8,141,000","9,376,000","10,955,000","-102,000","24,534,000","22,618,000","-6,213,000","-110,000","8,559,000","29,158,000","7,589,000","2,697,000","10,770,000","937,000","-10,686,000","14,939,000","-6,519,000","15,949,000","4,699,000","-353,000","-3,017,000","-411,000","5,495,000","12,695,000","4,187,000","2,796,000","15,135,000","-6,859,000","5,368,000","20,628,000","-4,420,000","-18,090,000","-9,190,000","-3,982,000","-3,940,000","956,000","-4,484,000","-9,953,471","5,108,919","-4,367,075","8,270,466","458,769","2,684,543","2,848,044","1,277,048","2,943,018","1,614,747","1,476,732","19,800"
DilutedNIAvailtoComStockholders,"102,316,000","16,696,000","10,346,000","28,135,000","47,139,000","20,514,000","15,271,000","6,630,000","39,000","-37,602,000","13,318,000","11,004,000","6,046,000","2,408,000","16,491,000","30,364,000","32,327,000","21,846,000","17,144,000","13,556,000","8,141,000","9,376,000","10,955,000","-102,000","24,534,000","22,618,000","-6,213,000","-110,000","8,559,000","29,158,000","7,589,000","2,697,000","10,770,000","937,000","-10,686,000","14,939,000","-6,519,000","15,949,000","4,699,000","-353,000","-3,017,000","-411,000","5,495,000","12,695,000","4,187,000","2,796,000","15,135,000","-6,859,000","5,368,000","20,628,000","-4,420,000","-18,090,000","-9,190,000","-3,982,000","-3,940,000","956,000","-4,484,000","-9,953,471","5,108,919","-4,367,075","8,270,466","458,769","2,684,543","2,848,044","1,277,048","2,943,018","1,614,747","1,476,732","19,800"
BasicEPS,,,"0.31","0.85","1.42",,"0.46","0.2","0",,"0.41","0.34","0.18",,"0.5","0.93","0.99",,"0.53","0.42","0.26",,"0.36","0","0.81",,"-0.21","0","0.29",,"0.29","0.1","0.41",,"-0.4","0.57","-0.25",,"0.18","-0.02","-0.13",,"0.25","0.57","0.19",,"0.69","-0.31","0.24",,"-0.2","-0.82","-0.42",,"-0.18","0.04","-0.22",,"0.31","-0.26","0.5",,"0.16","0.17","0.08",,"0.1","0.09","0"
DilutedEPS,,,"0.31","0.85","1.42",,"0.46","0.2","0",,"0.41","0.34","0.18",,"0.5","0.93","0.99",,"0.53","0.42","0.26",,"0.36","-0.003","0.81",,"-0.21","-0.004","0.29",,"0.29","0.1","0.41",,"-0.4","0.57","-0.25",,"0.18","-0.02","-0.13",,"0.25","0.57","0.19",,"0.69","-0.31","0.24",,"-0.2","-0.82","-0.42",,"-0.18","0.04","-0.22",,"0.31","-0.26","0.5",,"0.16","0.17","0.08",,"0.1","0.09","0"
BasicAverageShares,,,"33,205,023","33,205,023","33,205,023",,"33,205,023","33,205,023","33,091,662",,"32,822,459","32,822,459","32,822,459",,"32,822,459","32,822,459","32,762,848",,"32,526,223","32,526,223","31,474,284",,"30,270,958","30,270,958","30,270,958",,"30,270,958","30,270,958","30,260,079",,"26,475,958","26,475,958","26,475,958",,"26,475,958","26,475,958","26,475,958",,"26,147,157","22,080,133","22,080,133",,"22,080,133","22,080,133","22,080,133",,"22,080,133","22,080,133","22,080,133",,"22,080,133","22,080,133","22,080,133",,"22,080,133","22,080,133","19,943,346",,"16,560,100","16,560,100","16,560,100",,"16,560,100","16,560,100","16,560,100",,"16,560,100","16,231,404","14,400,100"
DilutedAverageShares,,,"33,205,023","33,205,023","33,205,023",,"33,205,023","33,205,023","33,091,662",,"32,822,459","32,822,459","32,822,459",,"32,822,459","32,822,459","32,762,848",,"32,526,223","32,526,223","31,474,284",,"30,270,958","30,270,958","30,270,958",,"30,270,958","30,270,958","30,260,079",,"26,475,958","26,475,958","26,475,958",,"26,475,958","26,475,958","26,475,958",,"26,147,157","22,080,133","22,080,133",,"22,080,133","22,080,133","22,080,133",,"22,080,133","22,080,133","22,080,133",,"22,080,133","22,080,133","22,080,133",,"22,080,133","22,080,133","19,943,346",,"16,560,100","16,560,100","16,560,100",,"16,560,100","16,560,100","16,560,100",,"16,560,100","16,231,404","14,400,100"
RentExpenseSupplemental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"886,000",,,,,,,,,,,,,,,,,,
TotalExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,039,000","2,575,000","2,067,000","1,542,000","1,492,000","1,630,000","1,702,000","3,011,000","1,711,000","2,767,000","1,695,000","2,463,000","2,020,000","2,022,000","1,649,000","1,592,000","1,949,000","1,885,000","24,297,900","-6,179,002","2,138,556","-4,825,647","-2,639,201","-1,470,048","1,330,042","1,282,274","-2,478,158","569,118","393,684","28,020"
NetIncomeFromContinuingAndDiscontinuedOperation,"102,316,000","16,696,000","10,346,000","28,135,000","47,139,000","20,514,000","15,271,000","6,630,000","39,000","-37,602,000","13,318,000","11,004,000","6,046,000","2,408,000","16,491,000","30,364,000","32,327,000","21,846,000","17,144,000","13,556,000","8,141,000","9,376,000","10,955,000","-102,000","24,534,000","22,618,000","-6,213,000","-110,000","8,559,000","29,158,000","7,589,000","2,697,000","10,770,000","937,000","-10,686,000","14,939,000","-6,519,000","15,949,000","4,699,000","-353,000","-3,017,000","-411,000","5,495,000","12,695,000","4,187,000","2,796,000","15,135,000","-6,859,000","5,368,000","20,628,000","-4,420,000","-18,090,000","-9,190,000","-3,982,000","-3,940,000","956,000","-4,484,000","-9,953,471","5,108,919","-4,367,075","8,270,466","458,769","2,684,543","2,848,044","1,277,048","2,943,018","1,614,747","1,476,732","19,800"
NormalizedIncome,"102,316,000","16,696,000","10,346,000","28,135,000","47,139,000","20,514,000","15,271,000","6,630,000","39,000","-37,602,000","13,318,000","11,004,000","6,046,000","2,408,000","16,491,000","30,364,000","32,327,000","21,846,000","17,144,000","13,556,000","8,141,000","9,376,000","10,955,000","-102,000","24,534,000","22,618,000","-6,213,000","-110,000","8,559,000","29,158,000","7,589,000","2,697,000","10,770,000","937,000","-10,686,000","14,939,000","-6,519,000","15,949,000","4,699,000","2,119,600","992,200","-411,000","5,495,000","6,594,100","7,470,800","2,796,000","15,135,000","-814,000","4,613,350","20,628,000","450,450","-4,790,350","-1,627,250","-3,982,000","952,550","2,793,550","413,750","-9,953,471","5,104,860.4","417,973.45","8,266,483.45","460,379.7","2,683,647.8","2,847,642","1,276,858.4","2,942,907","1,614,747","1,476,732","19,800"
