name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,09/30/2013,06/30/2013,03/31/2013
	CashFlowFromContinuingInvestingActivities,"-616,500,000","-37,100,000","-18,700,000","-501,100,000","-59,600,000","10,500,000","-8,500,000","-12,200,000","-2,800,000","-16,400,000","-70,600,000","-8,000,000","84,200,000","4,194,100,000","-5,800,000","14,700,000","-39,500,000","6,800,000","-19,300,000","-25,300,000","-22,600,000","-25,400,000","-37,200,000","-7,300,000","-10,300,000","-19,900,000","-1,950,700,000","-5,300,000","-82,200,000","-2,218,300,000","-1,601,892,000","-381,048,000","-2,562,000","2,802,000","-3,428,000","-9,000","-2,621,000"
		CapitalExpenditureReported,"-47,300,000","-9,500,000","-18,600,000","-10,400,000","-8,800,000","-8,500,000","-7,100,000","-6,700,000","-4,500,000","-10,500,000","-11,500,000","-6,800,000","-4,700,000","-6,700,000","-8,800,000","4,700,000","-14,300,000","-10,000,000","-18,000,000","-12,700,000","-13,800,000","-14,900,000","-23,500,000","-10,200,000","-11,000,000","-11,600,000","-15,800,000","-2,800,000","-8,500,000","-20,800,000","-11,709,000","-2,204,000","-2,562,000","-2,025,000","-3,185,000","-2,356,000","-1,331,000"
		NetPPEPurchaseAndSale,,,"0",,"0",,"0","200,000",,,"4,600,000","0",,,"2,500,000","-200,000",,,"3,200,000","10,300,000",,,,"400,000","9,900,000","2,200,000",,,,,,,,,,,
			SaleOfPPE,,,"0",,"0",,"0","200,000",,,"4,600,000","0",,,"2,500,000","-200,000",,,"3,200,000","10,300,000",,,,"400,000","9,900,000","2,200,000",,,,,,,,,,,
		NetBusinessPurchaseAndSale,"-559,100,000","-22,600,000","0","-485,600,000","-50,900,000",,"0","-9,000,000",,,"-63,900,000","0","89,500,000","4,192,300,000","0","21,800,000","-50,000,000","25,000,000","-200,000",,,,"0","0","2,500,000","-1,200,000","-1,815,500,000","-1,200,000","-67,500,000","-2,789,200,000","-1,302,773,000","-63,854,000","-1,114,000","5,941,000","0","0","0"
			PurchaseOfBusiness,"-559,100,000","-22,600,000","0","-485,600,000","-50,900,000",,"0","-9,000,000",,,"-63,900,000","0",,,"0","21,800,000",,,"-200,000",,,,"0",,,"-1,200,000","-1,815,500,000","-1,200,000","-67,500,000","-2,789,200,000","-1,302,773,000",,,,,,
			SaleOfBusiness,,,,,,,"0","0",,,"0","0","89,500,000","4,192,300,000","0","0","0","25,000,000",,,,,"0","0","3,000,000",,,,,,,,"-1,114,000","5,941,000",,"0","0"
		NetInvestmentPurchaseAndSale,,,,,,,,,,,,,"0","0","0","20,300,000","-7,100,000","-13,200,000","-14,700,000","-7,700,000","-5,200,000","-12,900,000","-14,000,000","-2,500,000","-11,300,000","-8,600,000","-8,200,000","-11,600,000","-6,200,000","-8,400,000","0","0",,,"352,000","-359,933,000",
			PurchaseOfInvestment,,,,,,,,,,,,,,,,,"-7,100,000","-13,200,000","-14,700,000","-7,700,000","-5,200,000","-12,900,000","-14,000,000","-2,500,000","-11,300,000","-8,600,000","-8,200,000","-11,600,000","-6,200,000","-8,400,000","0","0",,,"-472,000","-359,933,000",
			SaleOfInvestment,,,,,,,,,,,,,"0","0","0","0","0","25,000,000",,,,,,,,,,,,,"0",,,,,,
