name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
				OtherProperties,"31,086,000",,,,"13,050,000",,,,"8,183,000","2,029,000","2,133,000","2,168,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,568,000",,,,"2,567,000",,,
				Leases,"19,126,000","20,381,000","21,629,000","23,300,000","5,677,000","5,954,000","6,140,000","6,275,000","6,336,000","2,652,000","2,755,000","2,775,000","558,000","533,000","412,000","172,000","166,000","143,000","143,000","143,000","143,000","144,000","246,000","106,000","74,000","69,000","68,000","69,000","32,000","18,000","18,000","18,000","27,000","15,000","15,000","15,000","0","183,000","203,000","184,000","184,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000","140,000",,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-18,303,000","-16,014,000","-13,797,000","-12,134,000","-10,582,000","-9,296,000","-8,147,000","-7,125,000","-6,246,000","-5,612,000","-5,073,000","-4,623,000","-4,428,000","-3,789,000","-3,469,000","-3,096,000","-2,988,000","-3,018,000","-2,651,000","-2,314,000","-2,015,000","-1,540,000","-1,486,000","-1,312,000","-1,098,000","-1,004,000","-896,000","-227,000","-173,000","-146,000","-160,000","-189,000","-162,000","-920,000","-879,000","-827,000","-1,763,000","-1,821,000","-1,791,000","-1,777,000","-1,748,000","-1,212,000","-1,180,000","-1,158,000","-1,086,000","-1,004,000","-940,000","-835,000","-644,000","-848,000","-731,000","-608,000","-488,000","-334,000","-220,000","-134,000",,,,,,,,,,,,,"-5,820,000","-5,803,000","-5,803,000","-5,803,000","-5,803,000",,,
		GoodwillAndOtherIntangibleAssets,"1,000,381,000","1,001,510,000","1,026,561,000","1,060,967,000","133,476,000","112,323,000","112,993,000","112,927,000","113,144,000","42,268,000","42,268,000","42,268,000","42,268,000","42,492,000","42,827,000","43,164,000","43,499,000","79,465,000","80,014,000","80,596,000","81,186,000","83,471,000","85,350,000","87,231,000","89,111,000","91,190,000","94,773,000","99,573,000","101,683,000","15,312,000","13,222,000","13,567,000","13,911,000","14,865,000","15,379,000","15,962,000","8,345,000","9,513,000","9,688,000","4,399,000","4,457,000","9,802,000","9,860,000","9,917,000","9,975,000","10,011,000","16,143,000","16,259,000","16,350,000","71,042,000","71,344,000","71,649,000","71,954,000","104,490,000","80,739,000","80,918,000",,,,,,,,,,,,,"187,000","262,000","322,000","360,000","149,000","231,000","313,000","395,000"
			Goodwill,"559,792,000","554,975,000","559,033,000","572,607,000","80,176,000","70,452,000","70,452,000","69,716,000","69,262,000","42,268,000","42,268,000","42,268,000","42,268,000","42,266,000","42,266,000","42,268,000","42,268,000","76,621,000","76,621,000","76,621,000","76,621,000","76,621,000","76,621,000","76,621,000","76,621,000","76,621,000","76,621,000","76,801,000","76,747,000","7,309,000","6,309,000","6,309,000","4,837,000","4,770,000","4,770,000","4,840,000","3,588,000","4,537,000","4,537,000","3,640,000","3,640,000","6,609,000","6,609,000","6,609,000","6,609,000","6,609,000","8,155,000","8,155,000","8,155,000","55,833,000","55,833,000","55,833,000","55,833,000","84,124,000","61,436,000","61,377,000",,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"440,589,000","446,535,000","467,528,000","488,360,000","53,300,000","41,871,000","42,541,000","43,211,000","43,882,000",,,,,"226,000","561,000","896,000","1,231,000","2,844,000","3,393,000","3,975,000","4,565,000","6,850,000","8,729,000","10,610,000","12,490,000","14,569,000","18,152,000","22,772,000","24,936,000","8,003,000","6,913,000","7,258,000","9,074,000","10,095,000","10,609,000","11,122,000","4,757,000","4,976,000","5,151,000","759,000","817,000","3,193,000","3,251,000","3,308,000","3,366,000","3,402,000","7,988,000","8,104,000","8,195,000","15,209,000","15,511,000","15,816,000","16,121,000","20,366,000","19,303,000","19,541,000",,,,,,,,,,,,,"187,000","262,000","322,000","360,000","149,000","231,000","313,000","395,000"
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,,,,"0","0","999,000","999,000","999,000","999,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,,,,,,,,,,,,,,,,,,,,,"0","0","999,000","999,000","999,000","999,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"0","0","0","0","12,963,000",,,,"0",,"13,000","85,000","40,000","439,000","655,000","632,000","596,000","593,000","688,000","352,000","352,000","288,000","401,000","500,000","500,000","82,000","82,000","82,000","82,000","28,000","541,000","82,000","3,238,000","497,000","415,000","429,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"0","0","0","0","12,963,000",,,,"0",,"13,000","85,000","40,000","439,000","655,000","632,000","596,000","593,000","688,000","352,000","352,000","288,000","401,000","500,000","500,000","82,000","82,000","82,000","82,000","28,000","541,000","82,000","3,238,000","497,000","415,000","429,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"732,000","883,000","844,000","799,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"16,623,000",,,,,"278,000","206,000","210,000",,,,,,,,,,,,,"35,000","35,000","35,000","35,000","300,000","775,000","793,000","794,000"
TotalLiabilitiesNetMinorityInterest,"942,294,000","987,614,000","924,229,000","897,269,000","115,257,000","120,267,000","113,468,000","102,477,000","106,557,000","56,403,000","53,655,000","53,484,000","46,503,000","54,139,000","48,552,000","51,388,000","58,935,000","63,514,000","53,569,000","52,138,000","45,535,000","43,710,000","47,122,000","40,283,000","39,797,000","38,334,000","37,167,000","35,264,000","31,042,000","11,680,000","10,044,000","9,084,000","12,144,000","10,986,000","11,274,000","19,461,000","11,748,000","11,331,000","11,751,000","8,616,000","9,097,000","37,326,000","11,862,000","11,408,000","11,585,000","13,222,000","12,294,000","11,659,000","38,707,000","37,406,000","39,324,000","40,273,000","42,166,000","43,349,000","27,290,000","27,406,000","447,337","260,545","155,501","38,187","98,697","183,618","124,842","96,482","74,424","6,869","1,600","9,100","5,702,000","5,298,000","5,657,000","5,577,000","5,539,000","5,913,000","5,809,000","6,521,000"
	CurrentLiabilities,"385,263,000","609,628,000","642,132,000","618,544,000","111,149,000","98,457,000","91,022,000","79,051,000","82,809,000","54,396,000","51,545,000","38,781,000","38,308,000","44,411,000","41,922,000","41,931,000","46,406,000","48,214,000","38,999,000","35,198,000","30,774,000","31,457,000","31,417,000","39,448,000","38,982,000","30,889,000","29,841,000","28,057,000","23,952,000","11,680,000","10,044,000","9,084,000","11,906,000","10,748,000","11,036,000","17,338,000","9,655,000","8,779,000","9,429,000","7,238,000","6,020,000","20,546,000","7,300,000","7,056,000","7,441,000","8,967,000","8,390,000","8,102,000","38,707,000","37,406,000","39,324,000","16,416,000","42,139,000","19,673,000","10,139,000","9,890,000","447,337","260,545","155,501","38,187","98,697","183,618","124,842","96,482","74,424","6,869","1,600","9,100","441,000","5,298,000","5,657,000","5,577,000","5,539,000","5,529,000","5,436,000","6,133,000"
		PayablesAndAccruedExpenses,"263,028,000","282,735,000","248,985,000","239,806,000","81,149,000","80,330,000","76,967,000","70,459,000","74,737,000","37,084,000","33,945,000","31,749,000","31,117,000","34,043,000","32,469,000","29,783,000","28,127,000","41,261,000","33,719,000","30,215,000","28,397,000","28,719,000","28,684,000","25,172,000","24,922,000","23,889,000","22,338,000","18,489,000","14,951,000","7,658,000","6,190,000","6,142,000","6,338,000","8,596,000","8,872,000","8,529,000","4,452,000","4,795,000","5,065,000","4,081,000","4,206,000","4,198,000","5,165,000","4,705,000","5,367,000","7,068,000","6,233,000","6,406,000","6,362,000","8,571,000","10,355,000","12,180,000","12,944,000","13,353,000","7,884,000","7,133,000","447,337","260,545","155,501","38,187","98,697","83,618","24,842","46,482","74,424","6,869","1,600","9,100","159,000","1,794,000","1,911,000","1,862,000","1,898,000","2,167,000","2,222,000","2,947,000"
