name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,12/31/2016
				Leases,"609,000","609,000","609,000","609,000","609,000","609,000","609,000","609,000","609,000","609,000","609,000","609,000","605,000","609,000","609,000","48,000","43,000","28,000","28,000","28,000","28,000"
			AccumulatedDepreciation,"-4,122,000","-4,283,000","-4,099,000","-3,916,000","-3,990,000","-3,786,000","-3,293,000","-2,766,000","-2,478,000","-2,247,000","-1,999,000","-1,724,000","-1,433,000","-1,151,000","-931,000","-693,000","-505,000","-355,000","-466,000","-440,000","-374,000"
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,"2,285,000","1,567,000",
		NonCurrentPrepaidAssets,,,,,,,,,,,,,,,,,,"329,000","1,081,000","336,000","499,000"
		OtherNonCurrentAssets,"4,178,000","4,345,000","4,960,000","5,236,000","5,745,000","6,133,000","6,179,000","1,353,000","1,513,000","1,538,000","2,014,000","2,187,000","2,495,000","248,000","210,000","300,000","391,000","76,000","16,000","3,000","54,000"
TotalLiabilitiesNetMinorityInterest,"178,673,000","187,843,000","183,386,000","176,588,000","174,613,000","182,025,000","153,341,000","140,439,000","139,039,000","111,067,000","104,859,000","98,100,000","100,639,000","98,378,000","94,892,000","95,618,000","94,451,000","86,640,000","68,568,000","6,225,000","45,389,000"
	CurrentLiabilities,"50,023,000","59,235,000","53,627,000","46,798,000","44,781,000","52,172,000","43,350,000","34,898,000","34,225,000","36,139,000","29,962,000","24,367,000","26,868,000","25,697,000","22,362,000","23,213,000","22,488,000","14,777,000","9,699,000","6,225,000","5,910,000"
		PayablesAndAccruedExpenses,"26,226,000","30,620,000","29,685,000","26,335,000","26,483,000","29,147,000","25,906,000","20,256,000","20,863,000","22,146,000","21,609,000","16,286,000","20,728,000","22,681,000","19,770,000","21,592,000","22,049,000","14,591,000","9,482,000","6,092,000","5,910,000"
			Payables,"7,642,000","8,013,000","6,502,000","3,471,000","7,973,000","5,489,000","6,069,000","3,505,000","5,403,000","3,625,000","5,112,000","2,811,000","7,676,000","7,116,000","6,549,000","6,951,000","7,996,000","5,893,000","3,876,000","2,311,000","3,369,000"
				AccountsPayable,"7,642,000","8,013,000","6,502,000","3,471,000","7,973,000","5,489,000","6,069,000","3,505,000","5,403,000","3,625,000","5,112,000","2,811,000","7,676,000","7,116,000","6,549,000","6,951,000","7,996,000","5,893,000","3,876,000","2,311,000","3,369,000"
