name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003
				ChangesInAccountReceivables,"-19,355,000","-6,307,000","5,523,000","-10,740,000","-7,831,000","-3,336,000","-1,876,000","-14,785,000","12,067,000","-4,716,000","6,464,000","-11,370,000","5,592,000","-9,415,000","10,274,000","-11,049,000","12,063,000","-8,026,000","8,518,000","-11,880,000","9,589,000","-13,840,000","12,965,000","-14,494,000","6,410,000","-8,294,000","7,922,000","-7,996,000","10,041,000","-10,691,000","9,944,000","-10,694,000","8,178,000","-9,344,000","11,529,000","-6,346,000","12,306,000","-14,602,000","14,802,000","-12,195,000","6,961,000","-14,947,000","11,178,000","-10,827,000","2,721,000","-9,012,000","2,157,000","-8,777,000","3,722,000","-6,229,000","707,000","-7,450,000","284,000","322,000","13,696,000","-3,451,000","6,435,000","-3,538,000","13,124,000","-9,699,000","-3,977,000","-3,754,000","613,000","3,317,000","-20,709,000","-7,093,000","747,000","-6,484,000","-3,643,000","-229,000","-3,234,000","-1,499,000",,,,
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-3,271,000","24,000","93,000","248,000","-1,704,000",,,"-1,041,000","-5,000"
			ChangeInPayablesAndAccruedExpense,"63,100,000","49,023,000","-1,150,000","5,772,000","9,455,000","-1,201,000","-9,652,000","-10,713,000","11,895,000","-605,000","-412,000","2,845,000","-7,396,000","7,364,000","1,011,000","5,121,000","-10,767,000","7,507,000","5,381,000","-3,483,000","5,153,000","6,527,000","-1,054,000","4,984,000","-6,788,000","6,999,000","4,341,000","4,615,000","238,000","-402,000","830,000","1,894,000","-5,936,000","192,000","-1,271,000","-900,000","4,604,000","-3,459,000","6,530,000","5,762,000","11,268,000","-19,115,000","1,112,000","6,604,000","11,861,000","-20,520,000","10,417,000","7,600,000","3,930,000","-6,498,000","15,052,000","4,406,000","3,315,000","-14,269,000","-12,932,000","5,284,000","4,427,000","-24,022,000","5,875,000","7,037,000","7,334,000","-11,068,000","8,393,000","7,806,000","4,300,000","-10,168,000","1,281,000","4,693,000","3,420,000","4,210,000","-11,367,000","4,369,000",,,"-15,180,000","5,700,000"
				ChangeInPayable,"63,100,000","49,023,000","-1,150,000","5,772,000","9,455,000","-1,201,000","-9,652,000","-10,713,000","11,895,000","-605,000","-412,000","2,845,000","-7,396,000","7,364,000","1,011,000","5,121,000","-10,767,000","7,507,000","5,381,000","-3,483,000","5,153,000","6,527,000","-1,054,000","4,984,000","-6,788,000","6,999,000","4,341,000","4,615,000","238,000","-402,000","830,000","1,894,000","-5,936,000","192,000","-1,271,000","-900,000","4,604,000","-3,459,000","6,235,000","-3,182,000","3,656,000","-2,264,000","-2,813,000","-112,000","5,036,000","-6,499,000","3,486,000","2,455,000","-483,000","1,599,000",,,,,"-14,118,000",,,,,,,,,,,,,,,,,,,,,
					ChangeInTaxPayable,"16,198,000","4,523,000","1,544,000","5,584,000","4,547,000","-1,684,000","-10,886,000","-10,189,000","10,467,000","968,000","2,040,000","1,513,000","-8,702,000","8,680,000","-290,000","4,644,000","-8,692,000","3,109,000","7,530,000","3,779,000","-7,323,000","6,531,000","178,000","3,392,000","-7,038,000","5,578,000","5,272,000","123,000","238,000","-402,000","830,000","1,894,000","-5,936,000","192,000","-1,271,000","-900,000","4,604,000","-3,459,000","6,235,000","-3,182,000","3,656,000","-2,264,000","-2,813,000","-112,000","5,036,000","-6,499,000","3,486,000","2,455,000","-483,000","1,599,000",,,,,"-14,118,000",,,"-21,375,000",,"12,210,000","11,584,000","-22,098,000",,,,,,"-1,142,000","-5,239,000","6,381,000",,"490,000",,,,"0"
						ChangeInIncomeTaxPayable,"16,198,000","4,523,000","1,544,000","5,584,000","4,547,000","-1,684,000","-10,886,000","-10,189,000","10,467,000","968,000","2,040,000","1,513,000","-8,702,000","8,680,000","-290,000","4,644,000","-8,692,000","3,109,000","7,530,000","3,779,000","-7,323,000","6,531,000","178,000","3,392,000","-7,038,000","5,578,000","5,272,000","123,000","238,000","-402,000","830,000","1,894,000","-5,936,000","192,000","-1,271,000","-900,000","4,604,000","-3,459,000","6,235,000","-3,182,000","3,656,000","-2,264,000","-2,813,000","-112,000","5,036,000","-6,499,000","3,486,000","2,455,000","-483,000","1,599,000",,,,,"-14,118,000",,,"-21,375,000",,"12,210,000","11,584,000","-22,098,000",,,,,,"-1,142,000","-5,239,000","6,381,000",,"490,000",,,,"0"
					ChangeInAccountPayable,,,,,"1,639,000","850,000","1,026,000","-755,000","1,448,000","-1,289,000","-1,185,000","1,700,000","-57,000","-1,633,000","-27,000","2,159,000","-413,000","543,000","-1,693,000","835,000","641,000","-4,000","-655,000","1,042,000","272,000","-399,000","-931,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-25,661,000","8,780,000","8,490,000","8,374,000","-12,601,000","10,274,000","9,934,000","1,167,000","-10,312,000","5,669,000","4,560,000","5,546,000","2,084,000","-11,367,000","6,227,000",,,,
					ChangeInDividendPayable,"1,325,000","-260,000","-1,088,000","1,034,000","1,639,000","850,000","1,026,000","-755,000","1,448,000","-1,289,000","-1,185,000","1,700,000","-57,000","-1,633,000","-27,000","2,159,000","-413,000","543,000","-1,693,000","835,000","641,000","-4,000","-655,000","1,042,000","272,000","-399,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,944,000","7,612,000","-16,851,000","3,925,000","6,716,000","6,825,000","-14,021,000","6,931,000","5,145,000","4,413,000","-8,097,000","3,137,000","4,406,000","3,315,000","-14,269,000","1,186,000","4,214,000","4,427,000","-24,022,000","5,875,000","7,037,000","7,334,000","-11,068,000","8,393,000","7,806,000","4,300,000","-10,168,000","1,281,000","4,693,000","3,420,000","4,210,000","-11,367,000","4,369,000",,,"-15,180,000","5,700,000"
			ChangeInOtherCurrentAssets,"-108,069,000","-96,551,000","-13,210,000","-1,178,000","2,870,000","-11,673,000","-3,727,000","5,332,000","-1,627,000","-4,354,000","5,062,000","-21,143,000","23,804,000","-21,840,000","-26,864,000","-13,190,000","-8,023,000","-35,794,000","-87,000","-263,000","-182,000","-44,000","-1,654,000","854,000","121,000","-763,000","-1,066,000","707,000","397,000","-1,304,000","1,276,000","1,545,000","-2,436,000","424,000","-752,000","1,298,000","-248,000","1,244,000","60,237,000","-12,887,000","-2,406,000","-45,983,000","3,749,000","2,385,000","-1,187,000","-1,066,000","143,000","-809,000","-11,531,000","-1,164,000","1,224,000","-8,240,000","3,886,000","3,995,000","-1,159,000","-17,641,000","2,776,000","-3,538,000","13,124,000","-9,699,000","-3,977,000","-3,754,000","613,000","3,317,000","-20,709,000","-7,093,000","747,000","-6,484,000","-3,643,000","-229,000","-3,234,000","-1,499,000",,,,
