name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005
		OtherCurrentLiabilities,,"138,602,000",,,,"125,651,000",,,"13,446,000","13,446,000",,"225,000","225,000","573,000","219,000","3,650,000","12,353,000","11,873,000","11,714,000","10,731,000","10,535,000","10,085,000","10,064,000","10,509,000","10,092,000","9,155,000","8,548,000","8,431,000","7,633,000","7,283,000",,"963,000","963,000","963,000",,"5,707,000","5,707,000","14,900,000",,,,,,,,,"2,528,000","2,652,000","8,507,000","13,229,000",,"10,775,000","10,775,000",,"11,536,000","3,763,000",,,"21,146,000","35,930,000","105,067,000",,"3,572,000","13,144,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,079,300,000","4,127,038,000","4,120,840,000","4,163,358,000","4,178,461,000","4,157,512,000","4,160,288,000","3,995,216,000","3,766,901,000","3,670,895,000","3,615,373,000","3,674,334,000","3,669,984,000","2,551,032,000","2,536,690,000","2,551,594,000","2,554,131,000","2,596,292,000","2,627,156,000","2,613,218,000","2,610,774,000","2,590,448,000","2,595,794,000","2,589,290,000","2,587,847,000","2,575,891,000","2,596,613,000","2,609,390,000","2,601,428,000","2,614,444,000","2,612,002,000","2,618,217,000","2,635,473,000","2,646,034,000","2,647,515,000","2,652,368,000","2,424,490,000","2,430,038,000","2,211,159,000","2,193,960,000","2,212,906,000","2,193,742,000","2,167,210,000","2,160,388,000","2,114,736,000","2,116,386,000","2,100,776,000","2,094,771,000","2,096,666,000","2,080,988,000","2,083,558,000","2,100,534,000","2,060,973,000","2,010,311,000","2,037,833,000","2,056,741,000","2,051,868,000","2,043,185,000","1,994,720,000","1,975,768,000","1,996,947,000","2,234,850,000","1,148,787,000","1,169,014,000"
		LongTermDebtAndCapitalLeaseObligation,"3,619,500,000","3,657,081,000","3,653,377,000","3,673,492,000","3,697,135,000","3,639,913,000","3,632,929,000","3,417,174,000","3,193,204,000","3,135,821,000","3,128,159,000","3,176,894,000","3,190,837,000","2,005,094,000","2,002,618,000","2,013,787,000","2,021,050,000","2,031,532,000","2,033,999,000","2,010,958,000","2,012,341,000","2,016,722,000","1,995,569,000","1,999,328,000","2,000,275,000","1,981,882,000","2,006,896,000","2,012,549,000","2,008,672,000","2,016,552,000","2,017,303,000","2,019,519,000","2,024,466,000","2,025,453,000","2,025,664,000","2,033,261,000","1,896,120,000","1,893,571,000","1,678,850,000","1,683,962,000","1,690,063,000","1,691,609,000","1,690,168,000","1,690,862,000","1,650,003,000","1,654,417,000","1,654,284,000","1,658,485,000","1,660,680,000","1,664,506,000","1,668,976,000","1,690,652,000","1,639,486,000","1,614,192,000","1,645,122,000","1,639,478,000","1,634,956,000","1,631,065,000","1,639,955,000","1,674,293,000","1,665,047,000","2,009,572,000","1,033,396,000","1,048,224,000"
			LongTermDebt,"2,476,600,000","2,476,250,000","2,477,257,000","2,478,626,000","2,476,680,000","2,377,162,000","2,366,380,000","2,117,286,000","1,869,821,000","1,771,342,000","1,771,663,000","1,771,984,000","1,772,304,000","1,772,627,000","1,774,456,000","1,774,782,000","1,775,252,000","1,780,381,000","1,781,952,000","1,782,104,000","1,782,522,000","1,782,441,000","1,786,549,000","1,786,576,000","1,793,907,000","1,772,930,000","1,809,306,000","1,811,056,000","1,812,815,000","1,814,574,000","1,817,694,000","1,819,444,000","1,821,194,000","1,822,944,000","1,817,750,000","1,819,500,000","1,752,960,000","1,754,464,000","1,551,592,000","1,554,390,000","1,557,230,000","1,560,076,000","1,562,970,000","1,561,360,000","1,519,102,000","1,521,605,000","1,524,293,000","1,526,805,000","1,529,321,000","1,531,478,000","1,534,093,000","1,553,949,000","1,500,996,000","1,496,012,000","1,524,894,000","1,517,877,000","1,511,931,000","1,514,579,000","1,527,944,000","1,561,227,000","1,553,853,000","1,897,394,000","1,033,396,000","1,048,224,000"
			LongTermCapitalLeaseObligation,"1,142,900,000","1,180,831,000","1,176,120,000","1,194,866,000","1,220,455,000","1,262,751,000","1,266,549,000","1,299,888,000","1,323,383,000","1,364,479,000","1,356,496,000","1,404,910,000","1,418,533,000","232,467,000","228,162,000","239,005,000","245,798,000","251,151,000","252,047,000","228,854,000","229,819,000","234,281,000","209,020,000","212,752,000","206,368,000","208,952,000","197,590,000","201,493,000","195,857,000","201,978,000","199,609,000","200,075,000","203,272,000","202,509,000","207,914,000","213,761,000","143,160,000","139,107,000","127,258,000","129,572,000","132,833,000","131,533,000","127,198,000","129,502,000","130,901,000","132,812,000","129,991,000","131,680,000","131,359,000","133,028,000","134,883,000","136,703,000","138,490,000","118,180,000","120,228,000","121,601,000","123,025,000","116,486,000","112,011,000","113,066,000","111,194,000","112,178,000",,
		NonCurrentDeferredLiabilities,"382,800,000","385,854,000","386,271,000","395,540,000","381,549,000","423,780,000","450,143,000","500,506,000","508,022,000","490,190,000","429,479,000","443,617,000","433,609,000","482,210,000","473,143,000","476,321,000","474,443,000","514,422,000","540,450,000","548,176,000","546,150,000","521,320,000","545,812,000","534,091,000","531,117,000","525,372,000","515,850,000","522,633,000","518,455,000","522,195,000","509,636,000","512,027,000","517,600,000","526,727,000","524,065,000","518,198,000","452,163,000","457,562,000","449,963,000","441,758,000","457,109,000","433,225,000","405,418,000","400,974,000","394,433,000","390,320,000","373,627,000","371,910,000","375,486,000","230,704,000","353,881,000","350,779,000","362,299,000","135,417,000","152,774,000","154,872,000","153,034,000","168,475,000","135,200,000","87,219,000","118,583,000","198,320,000","94,664,000","102,152,000"
			NonCurrentDeferredTaxesLiabilities,"39,000,000","39,828,000","38,059,000","45,178,000","39,309,000","79,525,000","103,906,000","152,319,000","157,918,000","141,836,000","152,494,000","162,653,000","148,665,000","155,626,000","142,281,000","141,307,000","134,732,000","121,787,000","144,740,000","149,415,000","144,237,000","135,014,000","156,941,000","142,682,000","137,177,000","139,905,000","128,119,000","132,104,000","125,172,000","140,973,000","126,990,000","127,585,000","131,528,000","148,746,000","145,712,000","140,105,000","163,890,000","177,960,000","170,060,000","161,602,000","176,970,000","162,449,000","134,955,000","130,690,000","124,162,000","129,293,000","111,704,000","110,339,000","113,957,000",,"123,409,000","120,853,000","132,953,000","135,417,000","152,774,000","154,872,000","153,034,000","168,475,000","135,200,000","87,219,000","118,583,000","198,320,000","94,664,000","102,152,000"
			NonCurrentDeferredRevenue,"343,800,000","346,026,000","348,212,000","350,362,000","342,240,000","344,255,000","346,237,000","348,187,000","350,104,000","348,354,000","276,985,000","280,964,000","284,944,000","287,349,000","291,307,000","295,264,000","299,222,000","351,706,000","354,419,000","357,132,000","359,845,000","343,928,000","346,292,000","348,657,000","351,022,000","342,134,000","344,313,000","346,491,000","348,670,000","335,219,000","337,114,000","339,009,000","340,904,000","334,429,000","336,096,000","337,764,000","249,061,000","241,305,000","242,367,000","243,428,000","244,489,000","236,310,000","237,217,000","238,125,000","239,032,000","230,573,000","231,393,000","232,212,000","233,031,000","203,006,000","203,623,000","204,240,000","204,856,000",,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,198,000","20,452,000","20,886,000","22,411,000","21,154,000","17,172,000","16,318,000",,"17,322,000",,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"77,000,000","84,103,000","81,192,000","94,326,000","99,777,000","93,819,000","77,216,000","77,536,000","65,675,000","44,884,000","57,735,000","53,823,000","45,538,000","63,728,000","60,929,000","61,486,000","58,638,000","50,338,000","52,707,000","54,084,000","52,283,000","52,406,000","54,413,000","55,871,000","56,455,000","68,637,000","73,867,000","74,208,000","74,301,000","75,697,000","85,063,000","86,671,000","93,407,000","93,854,000","97,786,000","100,909,000","76,207,000","78,905,000","62,148,000","47,788,000","44,848,000","46,497,000","50,470,000","51,380,000","53,982,000","71,649,000","55,543,000","64,376,000","60,500,000","185,778,000","60,701,000","59,103,000","59,188,000","260,702,000","239,937,000","262,391,000","263,878,000","243,645,000","219,565,000","214,256,000","213,317,000","26,958,000","20,727,000","18,638,000"
