name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
	CashFlowFromContinuingFinancingActivities,"-1,306,816,000","-166,533,000","-456,953,000","-670,821,000","-12,509,000","-158,389,000","290,000","-21,691,000","-55,151,000","277,419,000","6,781,000","-2,312,000","-4,999,000","-29,117,000","-8,842,000","-24,774,000","1,440,000","-16,660,000","4,096,000","-769,000","5,594,000","304,109,000","4,435,000","-4,191,000","-24,048,000","-28,501,000","1,085,000","-68,614,000","1,736,000","-17,961,000","-19,745,000","-41,557,000","-8,403,000","4,481,000","-16,089,000","-13,781,000","3,373,000","2,632,000","-42,000","83,591,000","-33,333,000","2,532,000","5,633,000","-86,843,000","-15,745,000","-10,218,000","3,453,000","-42,036,000","-65,472,000","-15,809,000","-3,458,000","17,029,000","-895,000","-5,808,000","-39,436,000","-72,021,000","-29,960,000","-139,571,000","-109,671,000","-19,849,000","185,000","-10,676,000","-10,973,000","-32,151,000","11,743,000","26,120,000","10,714,000","3,655,000","3,204,000","2,616,000","2,747,000","1,080,000","3,955,000","5,232,000","4,592,000","7,725,000","3,849,000","573,000","-1,669,000","-234,000","468,000","286,000","549,000","-383,000","205,000","-346,000","513,000","-4,729,000","-984,000","95,240,000"
		NetIssuancePaymentsOfDebt,"0","0","0","0","0","-140,572,000","-6,008,000","-21,283,000","-62,446,000","310,000,000",,,,,"0","0","0","0","0","0","-532,000","317,500,000","0","0","-2,500,000","-2,500,000","-2,500,000","-5,885,000","-2,500,000","-2,583,000","-3,750,000","-1,250,000","-1,250,000","-1,250,000","-1,250,000","-8,434,000","-1,250,000","-2,500,000","0","98,325,000","0","0","0",,,"-7,174,000",,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,"-11,919,000","11,950,000","146,000","51,000","-2,758,000","-309,000","-424,000","-347,000","-344,000","-343,000","-501,000","-494,000","-212,000","-5,049,000","-667,000","2,887,000"
			NetLongTermDebtIssuance,"0","0","0","0","0","-140,572,000","-6,008,000","-21,283,000",,,,,,,"0","0","0","0","0","0","-532,000","317,500,000","0","0","-2,500,000","-2,500,000","-2,500,000","-5,885,000","-2,500,000","-2,583,000","-3,750,000","-1,250,000","-1,250,000","-1,250,000","-1,250,000","-8,434,000","-1,250,000","-2,500,000","0","98,325,000","0","0","0",,,"-7,174,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,,,"0","0",,,"0","0",,,,,,,"0","0","0","0","0","0","-532,000","390,000,000",,,,,"0",,,,,,,,"0",,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"0","0","0","0","0","-140,572,000","-6,008,000","-21,283,000",,,,,,,"0","0","0","0","0","0","0","-72,500,000","0","0","-2,500,000","-2,500,000","-2,500,000","-87,123,000","-2,500,000","-2,583,000","-3,750,000","-1,250,000","-1,250,000","-1,250,000","-1,250,000","-8,434,000","-1,250,000","-2,500,000","0","0","0","0","0",,,"-7,174,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,,,,,,"0",,,,"310,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,,,,,,"0",,,,"310,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"-1,293,639,000","-157,778,000","-456,107,000","-669,160,000","-10,594,000","0","6,860,000","398,000","7,757,000","-16,287,000","7,388,000","-1,000","-4,603,000","-15,004,000","-8,286,000","-20,875,000","1,977,000","1,211,000","4,979,000","0","6,674,000","162,000","4,848,000","-3,351,000","-10,257,000","-18,484,000","3,206,000","-62,791,000","3,965,000","-12,699,000","-15,973,000","-40,372,000","-7,507,000","5,496,000","-14,845,000","-5,388,000","4,597,000","4,915,000","1,134,000","-14,754,000","-33,357,000","106,000","5,340,000","-86,991,000","-16,566,000","-4,186,000","3,049,000","-42,260,000","-66,456,000","-16,609,000","-3,942,000","15,924,000","-1,118,000","-5,858,000","-39,514,000","-72,206,000","-30,174,000","-139,982,000","-110,131,000","-20,566,000","-119,000","-11,154,000","-11,006,000","-33,801,000","6,798,000","26,120,000","10,714,000","3,655,000","3,204,000","2,616,000","2,747,000","1,080,000","3,955,000","5,232,000",,,"3,703,000","522,000","1,089,000","75,000","892,000","633,000","893,000","-40,000","706,000","148,000","725,000","320,000","-317,000","92,353,000"
			CommonStockIssuance,,,"5,564,000","231,000",,,"6,860,000","398,000",,,"7,388,000","-1,000","7,109,000","0","6,718,000","0","5,374,000","1,211,000","4,979,000","0","6,674,000","162,000","4,848,000","1,089,000",,,,,,,"4,761,000","-384,000","3,447,000","5,496,000","3,401,000","2,388,000","4,597,000","4,915,000","12,113,000","113,000","2,816,000","106,000","5,340,000","-169,000","6,069,000","-3,580,000","3,049,000","-2,238,000","9,761,000","7,483,000","-1,135,000","18,981,000","6,680,000","661,000","1,571,000","295,000","2,820,000","4,534,000","7,107,000","7,559,000","5,206,000","1,995,000","3,644,000","1,595,000","6,798,000","26,120,000","10,714,000","3,655,000","3,204,000","2,616,000","2,747,000","1,080,000","3,955,000","5,232,000",,,"3,703,000","522,000","1,089,000","173,000","892,000","633,000","893,000","-40,000","706,000","148,000","795,000","320,000","-317,000","92,353,000"
			CommonStockPayments,"-1,307,822,000","-157,778,000","-461,671,000","-669,391,000","-18,982,000","0","0","0","0","-16,287,000","0","0","-11,712,000","-15,004,000","-15,004,000","-20,875,000",,,"0","0","0","0","0","-4,440,000","-17,619,000","-18,484,000","77,000","-61,107,000","2,281,000","-12,699,000","-20,734,000","-39,988,000",,,"-18,246,000","-7,776,000",,,"-10,979,000","-14,867,000","-36,173,000","0","0","-86,822,000","-22,635,000","-606,000","0","-40,022,000","-76,217,000","-24,092,000","-2,807,000","-3,057,000","-7,798,000","-6,519,000","-41,085,000","-72,501,000","-32,994,000","-144,516,000","-117,238,000","-28,125,000","-5,325,000","-13,149,000","-14,650,000",,,,,,,,,,,,,,,,"0",,,,,,,,,,,
