name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001
				Properties,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"34,749,154",,,,"38,917,694",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,,,,,"0",
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,955,750",,,,"2,472,210",,,,"1,364,752",,,,"1,081,951",,,,"1,064,139",,,,,,,,,,,,"1,451,642",
				MachineryFurnitureEquipment,,"26,699,000",,,,"24,521,000",,,,"27,461,000",,,,"39,388,000",,,,"37,424,000",,"59,226,000",,"48,702,000",,,,"45,552,000",,,,"55,080,000",,,,"47,232,943",,,,"47,314,843",,,,"50,358,697",,,,"20,077,252",,,,"19,415,814",,,,"18,729,672",,,,"16,228,684",,,,"13,494,785",,,,"10,517,255",,,,"7,183,431",,,,"27,870,576",,,,"23,549,735",,,,"18,732,671",
				OtherProperties,"40,245,000","7,545,000","41,166,000","40,502,000","40,635,000","10,549,000","45,019,000","44,929,000","52,306,000","16,964,000","64,366,000","68,821,000","69,188,000",,,,,"0",,"0",,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,,,,,"0",,,,"0",,,,"37,551,372",,,,"30,880,711",,,,"25,706,675",,,,"20,269,418",,,,"14,102,365",,,,"1,980,078",,,,"1,773,038",,,,"0",
				ConstructionInProgress,,"2,523,000",,,,"473,000",,,,"1,187,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,"4,340,000",,,,"4,370,000",,,,"6,460,000",,,,"7,716,000",,,,"7,340,000",,,,"7,257,000",,,,"4,286,000",,,,"4,643,000",,,,"3,716,158",,,,"2,837,740",,,,"3,316,926",,,,"3,121,846",,,,"3,132,578",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-18,092,000","-17,729,000","-18,225,000","-18,299,000","-17,774,000","-17,013,000","-22,130,000","-21,416,000","-24,078,000","-23,276,000","-34,617,000","-35,639,000","-34,582,000","-33,476,000","-33,808,000","-32,958,000","-31,794,000","-30,678,000","-46,386,000","-45,364,000","-44,178,000","-43,141,000","-42,191,000","-41,194,000","-40,373,000","-39,368,000","-38,554,000","-38,642,000","-48,554,000","-47,590,000","-46,538,000","-46,642,000","-44,831,000","-44,778,602","-44,819,000","-43,956,000","-42,942,000","-41,917,771","-45,327,000","-44,083,000","-43,210,000","-41,657,234","-48,338,000","-46,822,000","-45,186,000","-43,412,061","-47,683,000","-45,935,000","-43,836,000","-41,759,619","-39,649,000",,,"-33,252,084","-26,122,000","-26,122,000","-26,122,000","-26,121,576","-20,004,000","-20,004,000","-20,004,000","-20,003,739","-15,391,000","-15,391,000","-15,391,000","-15,391,384","-10,510,000","-10,510,000","-10,510,343","-10,510,343","-17,248,000","-17,248,000","-17,248,000","-17,248,084","-12,929,000","-12,929,000","-12,929,000","-12,928,611","-8,786,000","-8,786,000","-8,786,000","-8,785,801","-5,025,000"
		GoodwillAndOtherIntangibleAssets,"165,933,000","167,734,000","163,035,000","165,745,000","130,165,000","131,655,000","133,146,000","135,825,000","149,449,000","151,923,000","155,691,000","157,887,000","174,781,000","176,644,000","199,890,000","201,683,000","203,476,000","205,267,000","221,409,000","149,740,000","150,812,000","151,885,000","149,789,000","150,886,000","176,603,000","178,010,000","149,835,000","160,706,000","161,689,000","162,671,000","174,128,000","175,364,000","144,980,000","145,765,143","124,221,000","124,773,000","125,339,000","125,905,422","172,260,000","196,310,000","216,056,000","216,592,094","217,501,000","218,544,000","219,428,000","220,084,232","231,997,000","232,551,000","220,688,000","222,130,417","224,823,000","226,154,000","218,362,000","219,500,159","468,088,000","373,415,000","369,557,000","361,267,100","361,196,000","343,526,000","336,828,000","336,681,951","335,398,000","323,031,000","323,387,000","323,742,701","324,099,000","324,455,000","324,811,000","325,166,330","332,322,000","332,532,000","332,907,000","331,860,499","334,447,000","334,725,000","251,508,000","248,977,140","249,550,000","250,234,000","250,262,000","244,050,588","255,585,000"
			Goodwill,"119,490,000","119,490,000","112,990,000","127,995,000","90,924,000","90,924,000","90,924,000","90,924,000","101,066,000","101,066,000","101,066,000","101,177,000","101,081,000","101,060,000","117,589,000","117,589,000","117,589,000","117,589,000","123,244,000","79,648,000","79,648,000","79,648,000","77,376,000","77,376,000","95,096,000","95,096,000","80,758,000","90,647,000","90,647,000","90,647,000","91,109,000","96,034,000","77,266,000","77,265,907","62,712,000","62,712,000","62,712,000","62,712,109","102,788,000","124,674,000","143,550,000","143,343,521","143,410,000","143,563,000","143,568,000","143,349,300","143,480,000","143,194,000","130,367,000","130,700,479","130,698,000","130,916,000","122,533,000","122,597,725","366,340,000","339,602,000","335,101,000","326,118,839","325,253,000","313,798,000","310,688,000","310,172,759","307,749,000","302,854,000","302,854,000",,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"46,443,000","48,244,000","50,045,000","37,750,000","39,241,000","40,731,000","42,222,000","44,901,000","48,383,000","50,857,000","54,625,000","56,710,000","73,700,000","75,584,000","82,301,000","84,094,000","85,887,000","87,678,000","98,165,000","70,092,000","71,164,000","72,237,000","72,413,000","73,510,000","81,507,000","82,914,000","69,077,000","70,059,000","71,042,000","72,024,000","83,019,000","79,330,000","67,714,000","68,499,236","61,509,000","62,061,000","62,627,000","63,193,313","69,472,000","71,636,000","72,506,000","73,248,573","74,091,000","74,981,000","75,860,000","76,734,932","88,517,000","89,357,000","90,321,000","91,429,938","94,125,000","95,238,000","95,829,000","96,902,434","101,748,000","33,813,000","34,456,000","35,148,261","35,943,000","29,728,000","26,140,000","26,509,192","27,649,000","20,177,000","20,533,000","323,742,701","324,099,000","324,455,000","324,811,000","325,166,330","332,322,000","332,532,000","332,907,000","331,860,499","334,447,000","334,725,000","251,508,000","248,977,140","249,550,000","250,234,000","250,262,000","244,050,588","255,585,000"
