name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,12/31/2004
		CurrentDeferredLiabilities,"14,893,000","15,255,000","16,670,000","20,392,000",,,,,,,,,,,,,,,,,,,"3,900,000","799,000","736,000","648,000","1,293,000","1,574,000","2,032,000","2,085,000","2,026,000","2,818,000","2,117,000","2,172,000","1,264,000","1,176,000","1,313,000","2,844,000","3,069,000","2,651,000","3,124,000","4,514,000","3,351,000","3,291,000","3,266,000","3,396,000","2,984,000","1,299,000","1,618,000","2,135,000","2,067,000","2,865,000","2,501,000","1,858,000","2,862,000","1,085,000",,,,,,,,,,,
			CurrentDeferredRevenue,"14,893,000","15,255,000","16,670,000","20,392,000",,,,,,,,,,,,,,,,,,,"3,900,000","799,000","736,000","648,000","831,000","1,001,000","1,351,000","1,300,000","1,142,000","1,838,000","1,044,000","1,009,000","1,264,000","1,176,000","1,313,000","1,361,000","3,069,000","2,651,000","3,124,000","4,514,000","3,351,000","3,291,000","3,266,000","3,396,000","2,984,000","1,299,000","1,618,000","2,135,000","2,067,000","2,865,000","2,501,000","1,858,000","2,862,000","1,085,000",,,,,,,,,,,
		OtherCurrentLiabilities,,"4,294,000","7,874,000","5,367,000","7,333,000","6,184,000","5,121,000","4,708,000","3,585,000","2,975,000","3,814,000","3,214,000","3,235,000","4,162,000","3,520,000","4,637,000","5,240,000","3,450,000","3,456,000","3,889,000","3,979,000","4,718,000","5,562,000","8,525,000","6,570,000","7,369,000","6,872,000","13,226,000","15,282,000","13,870,000","16,152,000","18,374,000","17,395,000","5,855,000",,,,"8,097,000",,,,,,,,,"1,033,000","1,179,000","2,864,000",,,,,,,,,,,,,"1,918,000",,,"1,298,331","95,835","62,750"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"390,801,000","391,536,000","386,280,000","119,948,000","226,062,000","73,031,000","98,461,000","99,518,000","88,166,000","89,927,000","89,044,000","88,265,000","82,540,000","81,291,000","74,108,000","74,247,000","77,268,000","81,576,000","84,497,000","86,172,000","89,377,000","95,557,000","91,856,000","57,590,000","58,168,000","57,880,000","75,959,000","127,277,000","128,949,000","132,368,000","129,110,000","131,071,000","125,755,000","114,235,000","80,794,000","78,978,000","78,833,000","79,523,000","74,411,000","72,198,000","66,240,000","64,227,000","61,110,000","66,593,000","68,167,000","66,991,000","62,794,000","61,491,000","65,623,000","48,980,000","50,290,000","52,893,000","52,913,000","52,869,000","27,962,000","28,194,000","27,762,000","28,317,000","30,052,000","30,372,000","29,589,000","30,167,000","27,919,000","31,664,000","108,298,069","106,624,582","2,930,288"
		LongTermDebtAndCapitalLeaseObligation,"350,573,000","350,872,000","345,925,000","81,202,000","59,332,000","38,075,000","65,820,000","66,264,000","53,592,000","54,373,000","52,359,000","50,836,000","44,337,000","42,299,000","34,285,000","33,666,000","34,665,000","37,767,000","37,228,000","38,178,000","40,017,000","43,092,000","38,215,000","187,000","314,000","480,000","20,919,000","69,784,000","72,223,000","74,597,000","70,617,000","70,909,000","64,115,000","49,978,000","43,784,000","41,118,000","40,578,000","39,967,000","36,031,000","35,307,000","26,649,000","23,802,000","28,771,000","32,223,000","32,330,000","32,474,000","22,680,000","24,165,000","26,752,000","23,631,000","23,724,000","26,577,000","26,360,000","26,488,000","1,500,000","1,515,000","1,568,000","1,954,000","2,410,000","2,887,000","2,630,000","3,111,000","2,882,000","3,333,000","2,013,911","2,508,087","2,437,717"
			LongTermDebt,"326,639,000","326,489,000","320,974,000","55,789,000","38,580,000","38,034,000","65,764,000","66,073,000","53,033,000","53,448,000","51,094,000","49,369,000","42,559,000","42,299,000","34,285,000","33,666,000","34,665,000","37,767,000","37,228,000","38,178,000","40,017,000","43,092,000","38,215,000","187,000","314,000","480,000","20,919,000","69,784,000","72,223,000","74,597,000","70,617,000","70,909,000","64,115,000","49,978,000","43,784,000","41,118,000","40,578,000","39,967,000","36,031,000","35,307,000","26,649,000","23,802,000","28,771,000","32,223,000","32,330,000","32,474,000","22,680,000","24,165,000","26,752,000","23,631,000","23,724,000","26,577,000","26,360,000","26,488,000","1,500,000","1,515,000","1,568,000","1,954,000","2,410,000","2,887,000","2,630,000","3,111,000","2,882,000","3,333,000","2,013,911","2,508,087","2,437,717"
			LongTermCapitalLeaseObligation,"23,934,000","24,383,000","24,951,000","25,413,000","20,752,000","41,000","56,000","191,000","559,000","925,000","1,265,000","1,467,000","1,778,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,"2,897,000","2,711,000",,,,,,,,,,,,,,,,,,,,,,,,"1,623,000","3,291,000","1,862,000","1,948,000","1,925,000","2,199,000","1,998,000","1,870,000","2,277,000","2,269,000","2,096,000","2,468,000","3,647,000","1,695,000","4,309,000","3,825,000","6,910,000","7,875,000","9,483,000","8,761,000","11,986,000","11,158,000","12,255,000","738,000","998,000","964,000","915,000","887,000","1,107,000","1,098,000","1,068,000","1,273,000","2,539,000","2,440,000","1,513,000","1,467,000",,"3,057,000","3,056,853","3,056,853",
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,623,000","3,291,000","1,862,000","1,948,000","1,925,000","2,199,000","1,998,000","1,870,000","2,277,000","2,269,000","2,096,000","2,468,000","3,647,000","1,695,000","4,309,000","3,825,000","6,910,000","7,875,000","9,483,000","8,761,000","11,986,000","11,158,000","12,255,000","738,000","998,000","964,000","915,000","887,000","1,107,000","1,098,000","1,068,000","1,273,000","2,539,000","2,440,000","1,513,000","1,467,000",,"3,057,000","3,056,853","3,056,853",
			NonCurrentDeferredRevenue,,"2,897,000","2,711,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
