name,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,02/28/2019
	CurrentLiabilities,"111,753,000","184,602,000","249,397,000","167,487,000","79,075,000","73,439,000","68,935,000","75,393,000","69,958,000","72,913,000","56,665,000"
		PayablesAndAccruedExpenses,"16,216,000","13,619,000","15,473,000","14,587,000","12,235,000","7,573,000","6,442,000","9,315,000","11,853,000","10,424,000","5,594,000"
			Payables,"10,575,000","5,744,000","8,696,000","7,089,000","8,464,000","4,136,000","3,811,000","4,940,000","5,785,000","5,063,000","2,789,000"
				AccountsPayable,"7,837,000","5,744,000","8,696,000","7,089,000","7,390,000","4,136,000","3,811,000","4,940,000","5,273,000","5,063,000","2,454,000"
				TotalTaxPayable,"769,000",,,,"1,074,000",,,,"512,000",,"335,000"
				OtherPayable,"1,969,000",,,,,,,,,,
			CurrentAccruedExpenses,"5,641,000","7,875,000","6,777,000","7,498,000","3,771,000","3,437,000","2,631,000","4,375,000","6,068,000","5,361,000","2,805,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"39,189,000","36,297,000","35,868,000","25,027,000","35,379,000","27,459,000","24,488,000","26,627,000","23,838,000","19,811,000","19,612,000"
		CurrentDebtAndCapitalLeaseObligation,"7,185,000",,,,,,,,,,
			CurrentDebt,"596,000",,,,,,,,,,
				OtherCurrentBorrowings,"596,000",,,,,,,,,,
			CurrentCapitalLeaseObligation,"6,589,000",,,,,,,,,,
		CurrentDeferredLiabilities,"47,138,000","52,102,000","52,842,000","41,165,000","31,461,000","38,407,000","38,005,000","39,451,000","34,267,000","42,678,000","31,459,000"
			CurrentDeferredRevenue,"47,138,000","49,436,000","49,802,000","39,402,000","30,894,000","37,876,000","37,514,000","38,722,000","33,593,000","42,028,000","30,918,000"
		OtherCurrentLiabilities,"2,025,000","82,584,000","145,214,000","86,708,000",,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"317,982,000","290,050,000","286,839,000","286,896,000","5,587,000","5,769,000","5,838,000","311,586,000","78,229,000","259,876,000","239,718,000"
		LongTermDebtAndCapitalLeaseObligation,"313,152,000","280,259,000","279,849,000","279,434,000",,,,"72,524,000","72,310,000","20,954,000","19,200,000"
			LongTermDebt,"280,666,000","280,259,000","279,849,000","279,434,000",,,,"72,524,000","72,310,000","20,954,000","19,200,000"
			LongTermCapitalLeaseObligation,"32,486,000",,,,,,,,,,
		NonCurrentDeferredLiabilities,"4,830,000","9,791,000","6,990,000","7,462,000","5,587,000","5,769,000","5,838,000","6,040,000","5,919,000","5,900,000","5,854,000"
			NonCurrentDeferredRevenue,"268,000","299,000","353,000","448,000","395,000","394,000","322,000","426,000","396,000","506,000","501,000"
		PreferredSecuritiesOutsideStockEquity,,,,,"0","0",,"233,022,000","0","233,022,000","214,664,000"
TotalEquityGrossMinorityInterest,"855,794,000","788,700,000","733,558,000","437,109,000","390,848,000","388,287,000","192,104,000","-266,497,000","-23,773,000","-263,912,000","-230,621,000"
	StockholdersEquity,"855,794,000","788,700,000","733,558,000","437,109,000","390,848,000","388,287,000","192,104,000","-266,497,000","-23,773,000","-263,912,000","-230,621,000"
		CapitalStock,"7,000","7,000","7,000","6,000","6,000","5,000","5,000","2,000","4,000","1,000","1,000"
			CommonStock,"7,000","7,000","7,000","6,000","6,000","5,000","5,000","2,000","4,000","1,000","1,000"
		AdditionalPaidInCapital,"1,350,431,000","1,248,781,000","1,216,142,000","857,330,000","762,362,000","755,076,000","542,298,000","68,329,000","297,091,000","54,816,000","38,881,000"
		RetainedEarnings,"-494,644,000","-460,088,000","-482,591,000","-420,227,000","-371,520,000","-366,794,000","-350,199,000","-334,828,000","-320,868,000","-318,729,000","-269,503,000"
TotalCapitalization,"1,136,460,000","1,068,959,000","1,013,407,000","716,543,000","390,848,000","388,287,000","192,104,000","-193,973,000","48,537,000","-242,958,000","-211,421,000"
CommonStockEquity,"855,794,000","788,700,000","733,558,000","437,109,000","390,848,000","388,287,000","192,104,000","-266,497,000","-23,773,000","-263,912,000","-230,621,000"
CapitalLeaseObligations,"39,075,000",,,,,,,,,,
NetTangibleAssets,"33,208,000","-46,010,000","-97,268,000","19,434,000","386,231,000","383,307,000","186,762,000","-272,202,000","-29,840,000","-270,342,000","-230,621,000"
WorkingCapital,"297,384,000","222,954,000","168,213,000","285,970,000","374,906,000","371,074,000","173,902,000","21,361,000","30,143,000","-26,706,000","-9,780,000"
InvestedCapital,"1,137,056,000","1,068,959,000","1,013,407,000","716,543,000","390,848,000","388,287,000","192,104,000","-193,973,000","48,537,000","-242,958,000","-211,421,000"
TangibleBookValue,"33,208,000","-46,010,000","-97,268,000","19,434,000","386,231,000","383,307,000","186,762,000","-272,202,000","-29,840,000","-270,342,000","-230,621,000"
TotalDebt,"320,337,000","280,259,000","279,849,000","279,434,000",,,,"72,524,000","72,310,000","20,954,000","19,200,000"
ShareIssued,"67,098,477","66,906,311","66,348,000","58,808,792","55,699,052","55,171,467","49,269,342","46,653,451","46,653,451","46,653,451","46,653,451"
OrdinarySharesNumber,"67,098,477","66,906,311","66,348,000","58,808,792","55,699,052","55,171,467","49,269,342","46,653,451","46,653,451","46,653,451","46,653,451"
