name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011
NormalizedIncome,"-86,534,400","40,871,117.595","-4,072,870","10,969,283.955","-129,794,620","32,937,659.794","37,712,680","36,881,940","29,684,106.801","35,427,763.921","47,167,569.582","37,409,857.25","92,948,383.867","-1,302,200","-6,832,890","35,352,211.235","59,303,306.394","63,794,199.409","58,574,827.052","29,057,000","18,100,800","18,823,000","24,926,400","24,466,400","37,506,200","19,258,000","23,894,600","20,363,800","15,801,200","19,450,000","19,705,900","17,306,700","14,906,300","14,831,000","12,999,000","12,049,150","9,088,000","9,557,000","3,959,000","5,226,000","5,923,000","4,405,000","7,164,000","2,344,000","2,087,000","1,248,000"
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"177,000","40,000"
InterestExpense,"99,161,000","24,972,000","25,676,000","24,243,000","24,270,000","24,443,000","24,524,000","24,904,000","25,292,000","25,704,000","27,429,000","29,255,000","33,608,000","36,318,000","37,226,000","37,305,000","36,757,000","35,818,000","32,222,000","24,568,000","15,862,000","15,788,000","15,734,000","15,794,000","16,427,000","16,918,000","16,110,000","15,176,000","14,052,000","13,880,000","14,290,000","10,540,000","10,994,000","11,134,000","10,576,000","9,739,000","10,143,000","10,002,000","11,621,000","9,538,000","8,148,000","7,698,000","7,593,000","7,624,000","7,505,000","7,597,000"
NetInterestIncome,"-99,161,000","-24,972,000","-25,676,000","-24,243,000","-24,270,000","-24,443,000","-24,524,000","-24,904,000","-25,292,000","-25,704,000","-27,429,000","-29,255,000","-33,608,000","-36,318,000","-37,226,000","-37,305,000","-36,757,000","-35,818,000","-32,222,000","-24,568,000","-15,862,000","-15,788,000","-15,734,000","-15,794,000","-16,427,000","-16,918,000","-16,110,000","-15,176,000","-14,052,000","-13,880,000","-14,290,000","-10,540,000","-10,994,000","-11,134,000","-10,576,000","-9,739,000","-10,143,000","-10,002,000","-11,621,000","-9,538,000","-8,148,000","-7,698,000","-7,593,000","-7,624,000","-7,328,000","-7,557,000"
EBIT,"-5,511,000","65,858,000","1,854,000","34,558,000","-107,781,000","58,590,000","61,014,000","61,226,000","55,348,000","61,963,000","68,280,000","53,367,000","118,145,000","-40,762,000","19,007,000","73,265,000","238,151,000","98,809,000","136,681,000","39,442,000","36,398,000","34,579,000","38,904,000","41,106,000","53,893,000","1,175,000","41,194,000","33,210,000","30,878,000","33,319,000","36,526,000","27,738,000","25,790,000","3,813,000","23,575,000","21,560,000","9,481,000","19,559,000","15,580,000","14,764,000","14,071,000","12,103,000","14,757,000","9,968,000","9,592,000","8,845,000"
EBITDA,"174,361,000"
ReconciledCostOfRevenue,"145,236,000","38,115,000","37,384,000","35,836,000","33,901,000","34,080,000","33,096,000","32,994,000","33,301,000","32,162,000","32,176,000","31,191,000","32,080,000","13,025,000","9,004,000","7,050,000","12,983,000","12,808,000","7,480,000","4,465,000","4,407,000","2,420,000","1,447,000","1,404,000","1,440,000","1,412,000","1,135,000",,,,,,,,,,,,,"0","0","0","0","0","0","0"
ReconciledDepreciation,"179,872,000","45,256,000","45,079,000","45,046,000","44,491,000","44,375,000","44,158,000","44,209,000","44,202,000","44,168,000","42,930,000","41,491,000","47,875,000","49,253,000","51,586,000","54,029,000","46,144,000","47,321,000","50,043,000","26,570,000","17,220,000","19,137,000","17,199,000","17,102,000","16,405,000","17,766,000","18,126,000","16,306,000","14,497,000","14,150,000","14,465,000","9,762,000","9,755,000","9,350,000","8,555,000","8,258,000","8,222,000","8,246,000","7,907,000","7,496,000","7,557,000","7,303,000","7,364,000","6,850,000","6,291,000","6,086,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-106,101,000","40,602,000","-24,353,000","10,223,000","-132,573,000","33,447,000","37,117,000","36,460,000","29,623,000","35,217,000","39,741,000","23,282,000","83,677,000","-77,704,000","-19,394,000","35,218,000","200,787,000","62,471,000","103,945,000","15,095,000","20,520,000","18,823,000","23,175,000","25,337,000","37,475,000","-15,711,000","25,067,000","18,061,000","16,835,000","19,450,000","22,250,000","17,204,000","14,801,000","-7,303,000","12,999,000","11,821,000","-662,000","9,557,000","3,959,000","5,226,000","5,923,000","4,405,000","7,164,000","2,344,000","2,087,000","1,248,000"
TotalUnusualItemsExcludingGoodwill,"-32,611,000","-271,000","-27,781,000","-753,000","-3,806,000","520,000","-816,000","-578,000","-62,000","-217,000","-7,634,000","-14,629,000","-9,366,000","-104,660,000","-17,207,000","-137,000","141,910,000","-1,334,000","45,584,000","-23,270,000","4,032,000","0","-2,919,000","1,451,000","-52,000","-34,969,000","1,954,000","-3,838,000","1,723,000","0","3,914,000","-158,000","-162,000","-22,134,000","0","-351,000","-9,750,000",,"-2,481,000",,,,,,,
TotalUnusualItems,"-32,611,000","-271,000","-27,781,000","-753,000","-3,806,000","520,000","-816,000","-578,000","-62,000","-217,000","-7,634,000","-14,629,000","-9,366,000","-104,660,000","-17,207,000","-137,000","141,910,000","-1,334,000","45,584,000","-23,270,000","4,032,000","0","-2,919,000","1,451,000","-52,000","-34,969,000","1,954,000","-3,838,000","1,723,000","0","3,914,000","-158,000","-162,000","-22,134,000","0","-351,000","-9,750,000",,"-2,481,000",,,,,,,
NormalizedEBITDA,"206,972,000","111,385,000","74,714,000","80,357,000","-59,484,000","102,445,000","105,988,000","106,013,000","99,612,000","106,348,000","119,946,000","111,088,000","176,987,000","113,151,000","87,800,000","127,431,000","143,069,000","148,148,000","142,689,000","89,282,000","49,586,000","53,716,000","59,022,000","56,757,000","70,350,000","53,910,000","57,366,000","53,354,000","43,652,000","47,469,000","47,077,000","37,658,000","35,707,000","35,297,000","32,130,000","30,169,000","27,453,000","27,805,000","23,487,000","22,260,000","21,628,000","19,406,000","22,121,000","16,818,000","15,883,000","14,931,000"
TaxRateForCalcs,"0.4","0.007","0.27","0.009","0.27","0.021","0.27","0.27","0.014","0.029","0.027","0.034","0.01","0.27","0.27","0.02","0.003","0.008","0.005","0.4","0.4","0.4","0.4","0.4","0.4","0","0.4","0.4","0.4","0.4","0.35","0.35","0.35","0","0.35","0.35","0","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35","0.35"
TaxEffectOfUnusualItems,"-13,044,400","-1,882.405","-7,500,870","-6,716.045","-1,027,620","10,659.794","-220,320","-156,060","-893.199","-6,236.079","-207,430.418","-501,142.75","-94,616.133","-28,258,200","-4,645,890","-2,788.765","426,306.394","-10,800.591","213,827.052","-9,308,000","1,612,800","0","-1,167,600","580,400","-20,800","0","781,600","-1,535,200","689,200","0","1,369,900","-55,300","-56,700","0","0","-122,850","0","0","0","0","0","0","0","0","0","0"
