name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011
			GrossPPE,"369,528,906","297,554,255","108,375,004","90,271,520","49,161,394","23,904,981","12,415,217","10,578,980","9,329,528","10,210,042","9,783,861","5,712,246","5,731,838","5,373,506","5,373,506","5,399,237","5,945,154","144,524","143,027","140,931","138,834","136,736","136,736","134,639","130,446","128,349","126,251","111,123",,,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,,,,,,,,,,,"9,464,980","5,373,506","5,373,506","5,373,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"369,528,906","297,554,255","98,985,585","90,271,520","49,161,394","23,904,981","12,415,217","10,578,980","9,329,528","10,210,042","9,783,861","5,712,246","5,731,838","5,373,506","5,373,506",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"186,125,986",,"9,389,419",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-34,884,957","-21,311,461","-14,442,777","-10,120,373","-7,200,501","-6,480,359","-7,507,970","-6,720,281","-6,220,792","-6,157,786","-4,751,014","-4,613,653","-4,476,292","-4,338,931","-1,517,694","-941,368","-366,777","-134,513","-133,224","-128,718","-118,420","-108,407","-98,347","-87,662","-77,653","-67,052","-55,571","-40,385",,,,,,,,,,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"0","931,226","949,020","966,813","984,608","1,002,402","1,020,196","1,037,990","1,055,784","1,073,578","1,091,373","1,109,167","1,126,961","1,144,755","1,162,549","1,180,343","1,198,137","0","7,818,614","11,583,075","11,907,523","12,537,471","24,034,807","27,942,398","27,814,031","29,940,484","48,326,667","51,153,813","44,611,082","46,796,140","35,121,165","21,761,005","7,848,500","8,302,147","5,361,495","4,646,472","474,605","492,152",,,"325,000",,,,
			Goodwill,,,,,,,,,,,,,,,,,,"0","228,401","224,353","224,353","222,843","4,483,129","4,453,945","4,605,733","4,482,845","4,573,450","4,556,291","4,453,997","3,432,308","1,606,800","2,227,488","2,144,488","2,144,488","2,144,488","2,144,488",,,,,,,,,
			OtherIntangibleAssets,,"931,226","949,020","966,813","984,608","1,002,402","1,020,196","1,037,990","1,055,784","1,073,578","1,091,373","1,109,167","1,126,961","1,144,755","1,162,549","1,180,343","1,198,137",,"7,590,213","11,358,722","11,683,170","12,314,628","19,551,678","23,488,453","23,208,298","25,457,639","43,753,217","46,597,522","40,157,085","43,363,832","33,514,365","19,533,517","5,704,012","6,157,659","3,217,007","2,501,984","474,605","492,152",,,"325,000",,,,
		InvestmentsAndAdvances,"13,499,825","3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"254,016",,,,,
			LongTermEquityInvestment,,"3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,,"3,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,"0","11,918,920","8,893,421","14,385,393","12,437,741","10,529,693","10,257,415","7,117,753","4,952,309","1,949,401",,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,"0","11,918,920","8,893,421","14,385,393","12,437,741","10,529,693","10,257,415","7,117,753","4,952,309","1,949,401",,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,"597,370,653","479,920,212","14,899,389","11,095,026","7,854,000","8,415,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,,,,,,,,,,,,,,,,,,,"0","200,000","200,000","201,203","201,031","204,721","207,100","9,169","11,238",,"1",,,,,"0",,,"230,088","1,035,570","1,521,247",,,,,,
TotalLiabilitiesNetMinorityInterest,"763,986,927","765,221,042","3,924,170","3,344,571","2,962,801","1,506,275","1,241,746","1,058,611","2,498,399","2,972,290","4,190,676","2,420,131","2,503,937","2,273,633","2,473,395","3,143,518","3,970,339","7,670,100","21,924,790","25,149,498","25,418,010","27,575,577","26,327,536","28,948,083","36,035,398","34,551,851","50,912,068","47,748,442","42,638,748","35,233,811","25,311,204","6,232,877","1,749,906","785,609","403,216","423,540","183,833","87,822","235,856","138,367","149,260","11,050","12,485","6,375","1,775"
	CurrentLiabilities,"14,815,003","13,794,399","3,924,170","3,344,571","2,900,301","1,443,775","1,134,885","928,856","1,404,275","1,852,705","4,055,729","2,263,124","2,325,363","2,273,633","1,474,289","3,143,518","3,970,339","7,670,100","21,206,379","10,998,719","9,865,871","20,461,015","17,303,738","14,935,992","20,314,271","16,951,648","28,704,747","23,567,448","15,347,024","22,470,746","14,344,204","6,232,877","1,749,906","785,609","403,216","423,540","183,833","87,822","235,856","138,367","149,260","11,050","12,485","6,375","1,775"
		PayablesAndAccruedExpenses,"14,550,543","13,794,399","3,374,507","2,626,242","985,968","999,742","1,010,188","831,784","1,312,159","1,751,897","2,924,098","1,065,452","1,168,469","1,235,444","1,329,165","1,953,693","2,071,142","1,961,784","1,954,836","5,294,616","6,117,663","7,217,078","6,054,015","6,142,186","8,832,010","6,534,825","8,992,574","5,289,861","5,195,719","3,293,746","5,665,707","1,139,713","1,719,242","754,945","372,552","392,876","153,169","57,158","205,192","107,703","79,260","11,050","2,110",,"400"
			Payables,"7,715,259","12,927,139",,,,"999,742","1,010,188","831,784","1,312,159","1,751,897","2,924,098",,,,"1,329,165","1,953,693","2,071,142","1,961,784",,,,,,,,,,,,,,,,,,,,"57,158","205,192","107,703","79,260","11,050","2,110",,
				AccountsPayable,"7,715,259","12,927,139",,,,"999,742","1,010,188","831,784","1,312,159","1,238,197","1,071,621",,,,"1,329,165","1,953,693","2,071,142","1,961,784",,,,,,,,,,,,,,,,,,,,"57,158","205,192",,,,"2,110",,
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,"11,050",,,
				OtherPayable,,,,,,,,,,"513,700","1,852,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"6,835,284","867,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400"
				InterestPayable,"2,710,411","867,260",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"264,460",,,,,"121,596","93,197","87,447","89,054","87,959","1,084,795","1,082,285","1,080,077","999,106",,"999,106","1,613,849","1,763,920","15,582,156","5,622,173","3,666,278","13,162,007","11,139,623","8,793,806","11,379,212","10,383,177","19,384,416","17,394,103","8,059,305","17,085,000","6,062,500","5,062,500",,,,,,,,,"70,000",,"10,375","6,375","1,375"
			CurrentDebt,,,,,,,,,,,"999,106","999,106","999,106","999,106",,"999,106","1,613,849","1,763,920","15,582,156","5,622,173","3,666,278","13,162,007","11,139,623","8,793,806","11,379,212","10,383,177","19,384,416","17,394,103","8,059,305","17,085,000","6,062,500","5,062,500",,,,,,,,,"70,000",,"10,375","6,375","1,375"
				CurrentNotesPayable,,,,,,,,,,,,,,,,"999,106","1,613,849","1,763,920","15,582,156","5,622,173","3,666,278","13,162,007","11,139,623","8,793,806","11,379,212","10,383,177","19,384,416","17,394,103","8,059,305","17,085,000","6,062,500","5,062,500",,,,,,,,,"70,000",,"10,375","6,375","1,375"
				OtherCurrentBorrowings,,,,,,,,,,,"999,106","999,106","999,106","999,106",,,,"1,763,920","0",,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"264,460","0","0","0","0","121,596","93,197","87,447","89,054","87,959","85,689","83,179","80,971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"467,997",,,,,,,,,,,,,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"467,997",,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,"549,663","718,329","1,914,333","322,437","31,500","9,625","3,062","12,849","46,836","115,387","76,817","39,083","145,124","190,719","285,348","3,944,396","3,669,387","81,930","81,930","81,930","110,100",,"103,049","33,646","327,757","883,484","2,092,000","2,092,000","2,148,000","30,664","30,664","30,664","30,664","30,664","30,664","30,664","30,664","30,664",,,,,
