name,ttm,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,09/30/2018,08/31/2018,06/30/2018,05/31/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
	DepreciationAmortizationDepletionIncomeStatement,"165,457,000","40,307,000","45,937,000","40,536,000","38,677,000","39,440,000","38,767,000","39,083,000","39,520,000","40,366,000","39,470,000","42,271,000","39,880,000","36,786,000","33,934,000",,"32,295,000",,"31,905,000",,"53,679,000","53,259,000","55,424,000","50,717,000","49,510,000","58,523,000","52,691,000","50,769,000","49,610,000","57,987,000","58,466,000","55,240,000","52,440,000","53,399,000","46,464,000","44,643,000","41,487,000","40,148,000","49,280,000","48,201,000","29,796,000","29,541,000","30,372,000","40,855,000","39,496,000","20,471,000","18,668,000","18,579,000","17,762,000","19,530,000","19,814,000","22,209,000","21,804,000","18,184,000","16,315,000","15,457,000","15,277,000","14,433,000","14,763,000","13,491,000","11,446,000","12,188,000","10,171,000","6,699,000","6,180,000","5,918,000","5,855,000","9,356,000","8,415,000","-112,220,000","43,804,000","48,667,000","46,516,000","49,012,000","55,318,000","58,975,000","63,125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"165,457,000","40,307,000","45,937,000","40,536,000","38,677,000","39,440,000","38,767,000","39,083,000","39,520,000","40,366,000","39,470,000","42,271,000","39,880,000","36,786,000","33,934,000",,"32,295,000",,"31,905,000",,"53,679,000","53,259,000","55,424,000","50,717,000","49,510,000","58,523,000","52,691,000","50,769,000","49,610,000","57,987,000","58,466,000","55,240,000","52,440,000","53,399,000","46,464,000","44,643,000","41,487,000","40,148,000","49,280,000","48,201,000","29,796,000","29,541,000","30,372,000","40,855,000","39,496,000","20,471,000","18,668,000","18,579,000","17,762,000","19,530,000","19,814,000","22,209,000","21,804,000","18,184,000","16,315,000","15,457,000","15,277,000","14,433,000","14,763,000","13,491,000","11,446,000","12,188,000","10,171,000","6,699,000","6,180,000","5,918,000","5,855,000","9,356,000","8,415,000","-112,220,000","43,804,000","48,667,000","46,516,000","49,012,000","55,318,000","58,975,000","63,125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"16,485,000",,"20,528,000",,"13,029,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"1,650,064,000","188,241,000","422,317,000","458,714,000","580,792,000","497,665,000","811,353,000","427,500,000","407,189,000","82,228,000","225,649,000","151,320,000","-59,020,000","161,309,000","22,004,000","96,887,000","253,825,000","105,824,000","4,162,000","139,432,000","74,554,000","281,496,000","169,970,000","110,578,000","526,671,000","182,869,000","213,406,000","87,572,000","-322,015,000","25,371,000","-296,428,000","-29,344,000","546,656,000","-66,181,000","89,242,000","71,278,000","119,745,000","-12,932,000","2,517,000","45,448,000","135,250,000","-747,458,000","136,050,000","92,965,000","387,313,000","90,961,000","46,368,000","450,085,000","-47,811,000","330,028,000","-27,332,000","112,298,000","74,504,000","24,661,000","-590,000","-98,145,000","-48,096,000","-52,575,000","-56,116,000","-62,016,000","-50,390,000","-66,969,000","-58,278,000","-40,870,000","-56,540,000","-64,290,000","-48,067,000","-45,095,000","-45,188,000","-83,800,000","-8,156,000","-26,081,000","-33,979,000","-55,052,000","-43,288,000","-45,250,000","-60,359,000","11,295,000","57,310,000","24,955,000","-7,092,000","-26,871,000","4,134,000","41,133,000","31,746,000","99,234,000","-34,421,000","57,690,000","-13,630,000","105,627,000","60,096,000","30,855,000","54,437,000","19,500,000","41,400,000","40,200,000","193,200,000","33,000,000","-24,000,000","32,700,000","32,800,000","-24,800,000","-7,000,000","57,900,000","25,300,000","22,600,000","42,500,000","30,700,000","37,000,000","69,600,000","43,300,000","36,900,000","35,200,000","42,500,000","39,400,000","29,900,000","33,000,000","48,900,000","53,600,000","63,100,000","50,900,000","35,900,000","50,800,000","52,100,000","43,300,000","76,900,000","33,300,000","13,300,000","23,200,000","14,900,000","29,100,000","65,800,000","16,600,000","24,300,000","25,000,000","25,200,000","172,200,000","-582,300,000","228,300,000","210,900,000","222,800,000","-264,900,000","88,800,000","96,800,000","97,600,000","-265,800,000","108,400,000","117,200,000","81,700,000","-91,800,000","52,700,000"
NetNonOperatingInterestIncomeExpense,,,,,,,"-20,367,000",,,,"-21,554,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90,434,000","-21,106,000","-21,373,000","-28,868,000","-27,525,000","-27,538,000","-27,837,000","-28,977,000","-30,475,000","-31,353,000","-31,497,000","-31,491,000","-31,560,000","-31,472,000","-32,384,000","-33,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,,,,,,,"20,367,000",,,,"21,554,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,106,000","21,373,000","28,868,000","27,525,000","27,538,000","27,837,000","28,977,000","30,475,000","31,353,000","31,497,000","31,491,000","31,560,000","31,472,000","32,384,000","33,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-112,010,000","-21,700,000","-29,985,000","-33,149,000","-27,176,000","-23,526,000","-10,568,000","-5,960,000","5,053,000","-6,721,000","-67,855,000","81,229,000","72,283,000","22,170,000","27,313,000","-18,924,000","18,867,000","-18,723,000","33,353,000","-17,567,000","32,100,000","9,512,000","30,057,000","14,104,000","-128,574,000","46,153,000","36,503,000","51,890,000","20,052,000","15,780,000","24,243,000","29,807,000","40,451,000","54,229,000","28,917,000","35,345,000","20,036,000","29,481,000","23,889,000","34,863,000",,"1,048,964,000","27,192,000",,,,"-296,812,000","96,944,000","156,318,000",,"324,712,000",,,,,,,,"143,841,000","37,626,000","-21,002,000","-101,990,000","84,131,000","108,871,000","80,745,000","82,124,000","65,941,000","117,255,000","186,649,000","-20,975,000","112,185,000","160,187,000","62,025,000","111,767,000","146,754,000","98,023,000","69,683,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"396,707,000","27,192,000",,,,,"96,944,000","156,318,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"-112,010,000","-21,700,000","-29,985,000","-33,149,000","-27,176,000","-23,526,000","-10,568,000","-5,960,000","5,053,000","-6,721,000","-67,855,000","81,229,000","72,283,000","22,170,000","27,313,000",,"18,867,000",,"33,353,000",,"32,100,000","9,512,000","30,057,000","14,104,000","-128,574,000","46,153,000","36,503,000","51,890,000","20,052,000","15,780,000","24,243,000","29,807,000","40,451,000","54,229,000","28,917,000","35,345,000","20,036,000","29,481,000","23,889,000","34,863,000",,,,,,,"-296,812,000",,,,"324,712,000",,,,,,,,"159,666,000","-25,235,000","-74,381,000","-48,132,000","8,778,000","4,554,000","12,925,000","13,384,000","1,073,000","9,534,000","13,729,000","-57,095,000","-66,531,000","67,345,000","11,148,000","52,266,000","-3,919,000","4,151,000","23,981,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-15,825,000","62,861,000","53,379,000","-53,858,000","75,353,000","104,317,000","67,820,000","68,740,000","64,868,000","107,721,000","172,920,000","36,120,000","178,716,000","92,842,000","50,877,000","59,501,000","150,673,000","93,872,000","45,702,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,,,,,,,,,,,,,,"-18,924,000",,"-18,723,000",,"-17,567,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,538,054,000","166,541,000","392,332,000","425,565,000","553,616,000","474,139,000","800,785,000","421,540,000","412,242,000","75,507,000","157,794,000","232,549,000","13,263,000","183,479,000","49,317,000","77,963,000","272,692,000","87,101,000","37,515,000","121,865,000","106,654,000","291,008,000","200,027,000","124,682,000","398,097,000","229,022,000","249,909,000","139,462,000","-301,963,000","41,151,000","-272,185,000","463,000","587,107,000","-11,952,000","118,159,000","106,623,000","139,781,000","16,549,000","26,406,000","80,311,000","135,250,000","391,940,000","142,136,000","71,592,000","358,445,000","63,436,000","18,830,000","519,192,000","79,530,000","299,553,000","-58,685,000","80,801,000","43,013,000","-6,899,000","-32,062,000","-130,529,000","-57,179,000","-189,120,000","-108,957,000","-35,698,000","-32,793,000","-74,035,000","-10,868,000","36,611,000","4,129,000","-35,000","-4,969,000","50,559,000","123,671,000","-52,852,000","78,705,000","109,073,000","3,237,000","32,284,000","76,592,000","28,030,000","-11,679,000","-6,067,000","45,394,000","16,102,000","-15,272,000","-35,989,000","-5,545,000","30,831,000","20,521,000","86,365,000","-50,291,000","41,669,000","-29,591,000","90,199,000","43,348,000","14,332,000","39,902,000","6,100,000","29,200,000","24,500,000","178,000,000","16,700,000","-36,300,000","20,300,000","20,600,000","-37,400,000","-19,900,000","44,000,000","10,600,000","8,900,000","29,100,000","17,400,000","23,100,000","55,500,000","29,000,000","24,300,000","23,400,000","30,600,000","28,500,000","19,100,000","22,000,000","40,600,000","41,900,000","53,200,000","41,200,000","44,300,000","33,200,000","38,000,000","28,100,000","61,100,000","19,700,000","2,300,000","11,600,000","2,800,000","15,400,000","55,300,000","5,700,000","11,200,000","10,600,000","10,900,000",,,,,,,,,,,,,,,
TaxProvision,"351,713,000","49,683,000","64,357,000","91,973,000","145,700,000","120,820,000","218,236,000","113,535,000","107,403,000","31,962,000","45,773,000","38,671,000","-36,131,000","-488,797,000","2,302,000","16,313,000","90,391,000","26,923,000","9,598,000","23,857,000","-32,495,000","542,913,000","63,260,000","50,620,000","104,174,000","62,917,000","73,703,000","68,850,000","-83,361,000","2,113,000","-90,273,000","-14,571,000","212,678,000","2,086,000","59,906,000","43,775,000","50,190,000","24,483,000","16,183,000","22,068,000","67,602,000","145,473,000","61,208,000","33,945,000","133,517,000","27,057,000","14,035,000","190,108,000","39,053,000","-1,150,254,000","3,540,000","4,665,000","2,702,000","640,000","1,680,000","29,127,000","-24,304,000","1,971,489,000","-38,753,000","-247,711,000","-11,350,000","-566,712,000","-4,177,000","14,850,000","-3,732,000","-7,100,000","-8,709,000","14,952,000","42,515,000","637,000","-24,883,000","-1,107,460,000","624,000","-20,713,000","1,879,000","-3,889,000","273,000","-34,512,000","-10,696,000","2,493,000","-1,486,000","-160,272,000","-3,061,000","11,402,000","7,778,000","-4,419,000","-18,331,000","15,795,000","-9,693,000","38,504,000","14,557,000","4,804,000","14,891,000","-2,300,000","7,800,000","9,200,000","29,800,000","-4,100,000","-34,300,000","5,500,000","8,000,000","-13,600,000","-8,500,000","16,800,000","4,800,000","1,400,000","9,900,000","4,200,000","7,500,000","3,500,000","7,300,000","6,900,000","7,100,000","7,600,000","7,300,000","6,800,000","7,800,000","15,900,000","9,100,000","20,300,000","15,300,000","0","4,600,000","3,700,000","4,700,000","-6,200,000","4,700,000","900,000","900,000","3,800,000","3,400,000","4,900,000","1,900,000","5,800,000","400,000","5,200,000",,,,,,,,,,,,,,,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,"-67,855,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"233,122,000","204,043,000","36,017,000","-226,320,000","262,539,000",,,"-145,796,000","-28,048,000",,,,,,,"570,640,000","-82,954,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
