name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,12/31/2012
			AccumulatedDepreciation,,"-22,828,000",,,,"-17,031,000",,,,"-12,605,000",,,,"-9,426,000",,,,"-7,948,000",,,,"-7,545,000",,,,"-6,884,000","-6,696,000","-6,575,000","-6,653,000","-6,554,000","-6,489,000","-6,438,000","-6,410,000","-6,377,000","-6,346,000","-6,318,000","-6,279,000"
		GoodwillAndOtherIntangibleAssets,"16,712,000","16,493,000","16,675,000","16,384,000","15,550,000","15,977,000","15,319,000","15,162,000","14,637,000","14,421,000","14,027,000","13,522,000","12,737,000","11,969,000","11,677,000","11,531,000","11,316,000","11,148,000","11,043,000","10,865,000","10,886,000","10,362,000","10,565,000","10,353,000","10,140,000","9,971,000","9,617,000","9,691,000","9,509,000","9,116,000","8,957,000","9,058,000","8,899,000","8,814,000","9,013,000","8,897,000","8,460,000"
			OtherIntangibleAssets,,"16,493,000","16,675,000",,,"15,977,000",,,,"14,421,000",,,,"11,969,000",,,,"11,148,000",,,,"10,362,000",,,,"9,971,000",,,,"9,116,000",,,,"8,814,000",,,"8,460,000"
		InvestmentsAndAdvances,"270,297,000","331,727,000","293,326,000","170,765,000","53,301,000","17,101,000","31,768,000","1,145,000","38,232,000","71,526,000","73,995,000","120,966,000","172,472,000","236,108,000","276,228,000","299,971,000","120,089,000","139,198,000","163,052,000","190,242,000","237,865,000","273,340,000","197,570,000","77,666,000","86,357,000","96,891,000","69,632,000","91,284,000","22,628,000",,,,,,,,
			InvestmentinFinancialAssets,"270,297,000","331,727,000","293,326,000","170,765,000","53,301,000","17,101,000","31,768,000","1,145,000","38,232,000","71,526,000","73,995,000","120,966,000","172,472,000","236,108,000","276,228,000","299,971,000","120,089,000","139,198,000","163,052,000","190,242,000","237,865,000","273,340,000","197,570,000","77,666,000","86,357,000","96,891,000","69,632,000","91,284,000","22,628,000",,,,,,,,
				AvailableForSaleSecurities,"270,297,000","331,727,000","293,326,000","170,765,000","53,301,000","17,101,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				HeldToMaturitySecurities,,"300,465,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,,,,,,,,,"402,000","402,000","402,000","402,000","804,000","762,000","762,000","762,000","1,524,000",,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,"5,000,000","5,000,000",,,,,,,,,,,,"0","0","0","0",,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"613,000","653,000","33,455,000","4,354,000","10,417,000","212,000","8,608,000","8,788,000","9,188,000","311,000","10,187,000","10,726,000","11,265,000","311,000","311,000","265,000","265,000","265,000","265,000","214,000","103,000","103,000","103,000","103,000","103,000","63,000","63,000","64,000","59,000","59,000","60,000","58,000","50,000","100,000","100,000","77,000","77,000"
TotalLiabilitiesNetMinorityInterest,"94,899,000","104,707,000","78,404,000","48,664,000","109,125,000","130,800,000","77,866,000","74,075,000","73,958,000","77,049,000","76,007,000","76,662,000","87,438,000","55,051,000","53,313,000","72,278,000","74,608,000","108,056,000","107,716,000","114,799,000","114,555,000","114,609,000","119,710,000","125,684,000","35,148,000","44,478,000","58,166,000","10,495,000","9,337,000","8,533,000","11,157,000","10,851,000","12,430,000","13,782,000","15,634,000","17,336,000","31,161,000"
	CurrentLiabilities,"60,941,000","70,738,000","44,317,000","45,962,000","99,931,000","121,061,000","70,488,000","66,449,000","65,917,000","66,558,000","64,312,000","63,712,000","73,321,000","53,853,000","52,027,000","71,156,000","73,431,000","101,345,000","100,326,000","107,431,000","106,875,000","106,286,000","110,666,000","115,953,000","34,255,000","43,429,000","56,576,000","8,408,000","6,877,000","6,196,000","9,930,000","5,946,000","6,827,000","7,479,000","8,627,000","7,130,000","25,479,000"
		PayablesAndAccruedExpenses,"24,517,000","33,444,000","31,239,000","24,440,000","20,176,000","26,557,000","24,490,000","19,670,000","17,605,000","19,184,000","16,536,000","16,020,000","12,090,000","13,459,000","11,654,000","10,839,000","13,134,000","12,506,000","11,238,000","11,818,000","10,952,000","10,637,000","14,270,000","12,753,000","6,682,000","10,034,000","8,924,000","5,614,000","4,242,000","3,942,000","3,862,000","2,705,000","3,569,000","4,026,000","4,150,000","3,691,000","2,601,000"
			Payables,"11,905,000","14,001,000","9,131,000","7,112,000","7,663,000","8,954,000","13,109,000","10,513,000","10,313,000","10,189,000","8,704,000","9,794,000","6,385,000","3,797,000","5,983,000","4,916,000","8,523,000","7,026,000","6,602,000","7,834,000","4,450,000","3,945,000","7,734,000","9,475,000","4,291,000","6,400,000","5,107,000","3,077,000","2,556,000","1,691,000","2,098,000","1,374,000","2,104,000","2,633,000","3,361,000","2,776,000","1,315,000"
				AccountsPayable,"11,905,000","14,001,000","9,131,000","7,112,000","7,663,000","8,954,000","13,109,000","10,513,000","10,313,000","10,189,000","8,304,000","8,994,000","5,485,000","3,797,000","5,983,000","4,916,000","8,523,000","6,869,000","6,602,000","7,379,000","4,275,000","3,880,000","7,334,000","7,694,000","4,291,000","6,400,000","5,107,000","3,077,000","2,556,000","1,691,000","2,098,000","1,374,000","2,104,000","2,633,000","3,361,000","2,776,000","1,315,000"
				TotalTaxPayable,,,,,,,,,,,"400,000","800,000","900,000","0","0","0","0","157,000","0","455,000","175,000","65,000","400,000","1,781,000",,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,,,"400,000","800,000","900,000","0","0","0","0","157,000","0","455,000","175,000","65,000","400,000","1,781,000",,,,,,,,,,,,,
			CurrentAccruedExpenses,"12,612,000","19,443,000","22,108,000","17,328,000","12,513,000","17,603,000","11,381,000","9,157,000","7,292,000","8,995,000","7,832,000","6,226,000","5,705,000","9,662,000","5,671,000","5,923,000","4,611,000","5,480,000","4,636,000","3,984,000","6,502,000","6,692,000","6,536,000","3,278,000","2,391,000","3,634,000","3,817,000","2,537,000","1,686,000","2,251,000","1,764,000","1,331,000","1,465,000","1,393,000","789,000","915,000","1,286,000"
		CurrentDebtAndCapitalLeaseObligation,"936,000",,"128,000","2,322,000","1,934,000","1,889,000","2,158,000","2,094,000","2,136,000","2,169,000","2,197,000","2,214,000","1,987,000",,,,,,,,,,,,,,,,,,"2,000","5,000","7,000","9,000","7,000","7,000","20,930,000"
			CurrentDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,923,000"
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","0","0","20,923,000"
			CurrentCapitalLeaseObligation,"936,000","0","128,000","2,322,000","1,934,000","1,889,000","2,158,000","2,094,000","2,136,000","2,169,000","2,197,000","2,214,000","1,987,000",,,,,,,,,,,,,,,,,"0","2,000","5,000","7,000","9,000","7,000","7,000","7,000"
		CurrentDeferredLiabilities,"35,488,000","37,294,000","12,950,000","19,200,000","77,821,000","92,615,000","43,840,000","44,685,000","46,176,000","45,205,000","45,579,000","45,478,000","59,244,000","40,394,000","40,373,000","60,317,000","60,297,000","88,839,000","89,088,000","95,613,000","95,923,000","95,649,000","96,396,000","103,200,000","27,573,000","33,395,000","47,652,000","2,794,000","2,635,000","2,254,000","6,066,000","3,236,000","3,251,000","3,444,000","4,470,000","3,432,000","1,948,000"
			CurrentDeferredRevenue,"35,488,000","37,294,000","12,950,000","19,200,000","77,821,000","92,615,000","43,840,000","44,685,000","46,176,000","45,205,000","45,579,000","45,478,000","59,244,000","40,079,000","40,079,000","60,118,000","60,118,000","88,813,000","89,088,000","95,613,000","95,788,000","95,521,000","96,274,000","103,063,000","27,460,000","33,287,000","47,652,000","2,794,000","2,616,000","2,254,000","6,066,000","3,236,000","3,251,000","3,444,000","4,470,000","3,432,000","1,948,000"
		OtherCurrentLiabilities,,,,,,,,,,,,,,"315,000","294,000","199,000",,"183,000",,,,"193,000",,,,,,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"33,958,000","33,969,000","34,087,000","2,702,000","9,194,000","9,739,000","7,378,000","7,626,000","8,041,000","10,491,000","11,695,000","12,950,000","14,117,000","1,198,000","1,286,000","1,122,000","1,177,000","6,711,000","7,390,000","7,368,000","7,680,000","8,323,000","9,044,000","9,731,000","893,000","1,049,000","1,590,000","2,087,000","2,460,000","2,337,000","1,227,000","4,905,000","5,603,000","6,303,000","7,007,000","10,206,000","5,682,000"
		LongTermDebtAndCapitalLeaseObligation,"33,958,000","33,969,000","34,087,000","2,702,000","9,194,000","9,739,000","7,378,000","7,626,000","8,041,000","8,565,000","9,082,000","9,650,000","10,221,000",,,,,,,,,,,,,,,,,"0",,"0","0","1,000","7,000","6,000","10,000"
			LongTermCapitalLeaseObligation,"33,958,000","33,969,000","34,087,000","2,702,000","9,194,000","9,739,000","7,378,000","7,626,000","8,041,000","8,565,000","9,082,000","9,650,000","10,221,000",,,,,,,,,,,,,,,,,"0",,"0","0","1,000","7,000","6,000","10,000"
		NonCurrentDeferredLiabilities,,,,,,"0","0","0","0","1,926,000","2,613,000","3,300,000","3,896,000","1,198,000","1,286,000","1,122,000","1,177,000","6,711,000","7,390,000","7,368,000","7,680,000","8,323,000","9,044,000","9,731,000","893,000","1,049,000","1,590,000","2,087,000","2,460,000","2,337,000","1,227,000","4,905,000","5,603,000","6,302,000","7,000,000","10,200,000","5,672,000"
			NonCurrentDeferredRevenue,,,,,,"0","0","0","0","1,926,000","2,613,000","3,300,000","3,896,000","1,198,000","1,286,000","1,122,000","1,177,000","5,623,000","6,188,000","6,754,000","7,319,000","7,926,000","8,613,000","9,307,000","417,000","542,000","931,000","1,384,000","1,884,000","2,337,000","1,227,000","4,905,000","5,603,000","6,302,000","7,000,000","10,200,000","5,672,000"
TotalEquityGrossMinorityInterest,"763,023,000","733,504,000","618,860,000","646,938,000","583,612,000","572,444,000","568,483,000","570,645,000","593,005,000","593,201,000","610,237,000","608,091,000","609,565,000","521,681,000","532,273,000","519,179,000","537,664,000","282,046,000","290,539,000","301,365,000","303,748,000","313,954,000","202,420,000","208,597,000","158,813,000","162,432,000","153,315,000","162,068,000","169,302,000","59,290,000","59,709,000","65,516,000","70,065,000","73,533,000","4,572,000","3,994,000","-19,502,000"
	StockholdersEquity,"763,023,000","733,504,000","618,860,000","646,938,000","583,612,000","572,444,000","568,483,000","570,645,000","593,005,000","593,201,000","610,237,000","608,091,000","609,565,000","521,681,000","532,273,000","519,179,000","537,664,000","282,046,000","290,539,000","301,365,000","303,748,000","313,954,000","202,420,000","208,597,000","158,813,000","162,432,000","153,315,000","162,068,000","169,302,000","59,290,000","59,709,000","65,516,000","70,065,000","73,533,000","4,572,000","3,994,000","-19,502,000"
		CapitalStock,"596,000","595,000","585,000","584,000","583,000","580,000","573,000","572,000","570,000","569,000","567,000","565,000","564,000","563,000","562,000","558,000","556,000","470,000","470,000","468,000","467,000","466,000","411,000","409,000","407,000","405,000","405,000","405,000","404,000","314,000","314,000","314,000","314,000","314,000","79,602,000","74,851,000","146,767,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,"0","79,601,000","74,849,000","146,766,000"
			CommonStock,"596,000","595,000","585,000","584,000","583,000","580,000","573,000","572,000","570,000","569,000","567,000","565,000","564,000","563,000","562,000","558,000","556,000","470,000","470,000","468,000","467,000","466,000","411,000","409,000","407,000","405,000","405,000","405,000","404,000","314,000","314,000","314,000","314,000","314,000","1,000","2,000","1,000"
		AdditionalPaidInCapital,"1,029,058,000","1,017,523,000","974,514,000","962,343,000","951,154,000","937,525,000","919,387,000","908,084,000","895,855,000","887,873,000","877,724,000","865,163,000","851,888,000","845,366,000","839,127,000","828,858,000","821,670,000","570,670,000","566,609,000","562,017,000","557,473,000","552,889,000","431,154,000","428,790,000","426,286,000","424,128,000","422,258,000","421,058,000","419,370,000","302,969,000","302,039,000","301,568,000","301,073,000","300,790,000","148,838,000","151,176,000","1,043,000"
		RetainedEarnings,"-259,510,000","-283,104,000","-356,165,000","-315,974,000","-368,222,000","-365,735,000","-352,044,000","-339,494,000","-304,476,000","-296,402,000","-269,490,000","-259,266,000","-243,232,000","-323,277,000","-305,078,000","-308,229,000","-282,361,000","-287,286,000","-275,443,000","-259,880,000","-252,996,000","-237,960,000","-228,895,000","-220,818,000","-267,983,000","-261,585,000","-269,342,000","-259,305,000","-250,437,000","-243,993,000","-242,644,000","-236,366,000","-231,322,000","-227,571,000","-223,868,000","-222,033,000","-167,312,000"
		GainsLossesNotAffectingRetainedEarnings,"-7,121,000","-1,510,000","-74,000","-15,000","97,000","74,000","567,000","1,483,000","1,056,000","1,161,000","1,436,000","1,629,000","345,000","-971,000","-2,338,000","-2,008,000","-2,201,000","-1,808,000","-1,097,000","-1,240,000","-1,196,000","-1,441,000","-250,000","216,000","103,000","-516,000","-6,000","-90,000","-35,000",,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"73,534,000",,,
TotalCapitalization,"763,023,000","733,504,000","618,860,000","646,938,000","583,612,000","572,444,000","568,483,000","570,645,000","593,005,000","593,201,000","610,237,000","608,091,000","609,565,000","521,681,000","532,273,000","519,179,000","537,664,000","282,046,000","290,539,000","301,365,000","303,748,000","313,954,000","202,420,000","208,597,000","158,813,000","162,432,000","153,315,000","162,068,000","169,302,000","59,290,000","59,709,000","65,516,000","70,065,000","73,533,000","4,572,000","3,994,000","-19,502,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79,601,000","74,849,000","146,766,000"
CommonStockEquity,"763,023,000","733,504,000","618,860,000","646,938,000","583,612,000","572,444,000","568,483,000","570,645,000","593,005,000","593,201,000","610,237,000","608,091,000","609,565,000","521,681,000","532,273,000","519,179,000","537,664,000","282,046,000","290,539,000","301,365,000","303,748,000","313,954,000","202,420,000","208,597,000","158,813,000","162,432,000","153,315,000","162,068,000","169,302,000","59,290,000","59,709,000","65,516,000","70,065,000","73,533,000","-75,029,000","-70,855,000","-166,268,000"
CapitalLeaseObligations,"34,894,000","33,969,000","34,215,000","5,024,000","11,128,000","11,628,000","9,536,000","9,720,000","10,177,000","10,734,000","11,279,000","11,864,000","12,208,000",,,,,,,,,,,,,,,,,"0","2,000","5,000","7,000","10,000","14,000","13,000","17,000"
NetTangibleAssets,"746,311,000","717,011,000","602,185,000","630,554,000","568,062,000","556,467,000","553,164,000","555,483,000","578,368,000","578,780,000","596,210,000","594,569,000","596,828,000","509,712,000","520,596,000","507,648,000","526,348,000","270,898,000","279,496,000","290,500,000","292,862,000","303,592,000","191,855,000","198,244,000","148,673,000","152,461,000","143,698,000","152,377,000","159,793,000","50,174,000","50,752,000","56,458,000","61,166,000","64,719,000","-4,441,000","-4,903,000","-27,962,000"
WorkingCapital,"445,029,000","353,630,000","285,312,000","435,005,000","491,237,000","516,611,000","500,395,000","536,937,000","522,190,000","491,847,000","509,453,000","463,297,000","415,350,000","261,874,000","234,893,000","198,371,000","397,488,000","129,534,000","117,484,000","103,551,000","59,214,000","35,367,000","176,000","127,698,000","60,596,000","54,246,000","73,300,000","61,312,000","138,191,000","51,553,000","51,175,000","60,734,000","66,379,000","70,615,000","2,127,000","4,859,000","-22,640,000"
InvestedCapital,"763,023,000","733,504,000","618,860,000","646,938,000","583,612,000","572,444,000","568,483,000","570,645,000","593,005,000","593,201,000","610,237,000","608,091,000","609,565,000","521,681,000","532,273,000","519,179,000","537,664,000","282,046,000","290,539,000","301,365,000","303,748,000","313,954,000","202,420,000","208,597,000","158,813,000","162,432,000","153,315,000","162,068,000","169,302,000","59,290,000","59,709,000","65,516,000","70,065,000","73,533,000","-75,029,000","-70,855,000","-145,345,000"
TangibleBookValue,"746,311,000","717,011,000","602,185,000","630,554,000","568,062,000","556,467,000","553,164,000","555,483,000","578,368,000","578,780,000","596,210,000","594,569,000","596,828,000","509,712,000","520,596,000","507,648,000","526,348,000","270,898,000","279,496,000","290,500,000","292,862,000","303,592,000","191,855,000","198,244,000","148,673,000","152,461,000","143,698,000","152,377,000","159,793,000","50,174,000","50,752,000","56,458,000","61,166,000","64,719,000","-84,042,000","-79,752,000","-174,728,000"
TotalDebt,"34,894,000","33,969,000","34,215,000","5,024,000","11,128,000","11,628,000","9,536,000","9,720,000","10,177,000","10,734,000","11,279,000","11,864,000","12,208,000",,,,,,,,,,,,,,,,,"0","2,000","5,000","7,000","10,000","14,000","13,000","20,940,000"
NetDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,611,000"
ShareIssued,"59,529,192","59,355,558","58,454,811","58,315,485","58,221,953","57,873,444","57,374,937","57,214,253","57,001,253","56,902,301","56,714,788","56,529,398","56,349,389","56,279,542","56,212,449","55,821,310","55,616,875","47,002,488","46,955,365","46,854,762","46,689,447","46,567,978","41,138,851","40,944,080","40,741,753","40,551,039","40,477,003","40,460,091","40,358,140","31,434,272","31,395,626","31,393,606","31,361,444","31,354,467","29,422,576","29,422,576","29,422,576"
OrdinarySharesNumber,"59,529,192","59,355,558","58,454,811","58,315,485","58,221,953","57,873,444","57,374,937","57,214,253","57,001,253","56,902,301","56,714,788","56,529,398","56,349,389","56,279,542","56,212,449","55,821,310","55,616,875","47,002,488","46,955,365","46,854,762","46,689,447","46,567,978","41,138,851","40,944,080","40,741,753","40,551,039","40,477,003","40,460,091","40,358,140","31,434,272","31,395,626","31,393,606","31,361,444","31,354,467","29,422,576","29,422,576","29,422,576"
