name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004
		NetBusinessPurchaseAndSale,"-2,169,000,000","-329,000,000","-902,000,000","-399,000,000","-539,000,000","-6,000,000","-21,000,000","-193,000,000","-1,022,000,000","-9,000,000","-10,000,000","-5,000,000","-19,000,000","-1,000,000","-27,000,000","8,000,000","-14,000,000","-26,000,000","-278,000,000","-153,000,000","260,000,000","-64,000,000","-78,000,000","-296,000,000","-242,000,000","-107,000,000","-32,000,000","-101,000,000","-21,000,000","2,000,000","-24,000,000","-52,000,000","2,000,000","-2,288,000,000","-7,000,000","-23,000,000","-6,000,000","-9,000,000","-118,700,000","55,600,000","-6,700,000","-11,100,000","0","0","32,000,000","-300,000","222,000,000","-219,200,000","194,900,000","-14,500,000","-43,037,000","44,211,000","-6,987,000","10,713,000","-135,947,000","-6,211,000","53,280,000","-490,000","-361,000","-193,789,000","0","-51,675,000","-115,940,000","-57,015,000","0","0","-1,804,000","-130,420,000","-268,000","-4,750,000","-4,900,000"
			PurchaseOfBusiness,"-2,169,000,000","-329,000,000","-790,000,000","-417,000,000","-633,000,000","-6,000,000","-179,000,000","-193,000,000","-1,022,000,000","-9,000,000","-10,000,000","-5,000,000","-19,000,000","-1,000,000","-21,000,000","-31,000,000","-14,000,000","-26,000,000","-278,000,000","-152,000,000","-66,000,000","-64,000,000","-78,000,000","-296,000,000","-242,000,000","-107,000,000","-32,000,000","-101,000,000","-21,000,000","-54,000,000","-24,000,000","-52,000,000","2,000,000","-2,288,000,000","-7,000,000","-23,000,000","-6,000,000","-9,000,000","-182,900,000","-19,400,000",,,"0","0",,,"36,700,000","-26,000,000","0","-21,100,000","-43,673,000",,,,"-135,947,000","-6,211,000","-592,000","-490,000","-361,000","-193,789,000","0","-51,675,000","-115,940,000","-57,015,000","0","0","-1,804,000","-130,420,000","-268,000","-4,750,000","-4,900,000"
			SaleOfBusiness,,,,"18,000,000",,,,,,,"0",,,,"-6,000,000",,,,"0","-1,000,000",,,"0","0","0","0","0","0","0","56,000,000",,,,,"0","0",,,"64,200,000","75,000,000",,,"0","0",,,"185,300,000","-193,200,000","194,900,000","6,600,000","636,000","48,438,000","-6,987,000","10,713,000","0","0",,,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-7,981,000,000","-3,081,000,000","-2,044,000,000","-1,350,000,000","-1,506,000,000","-1,052,000,000","-1,395,000,000","-516,000,000","1,106,000,000","-417,000,000","-335,000,000","-261,000,000","-37,000,000","202,000,000","-272,000,000","-107,000,000","99,000,000","-25,000,000","171,000,000","-60,000,000","-59,000,000","136,000,000","115,000,000","127,000,000","76,000,000","303,000,000","-226,000,000","-200,000,000","-149,000,000","39,000,000","-196,000,000","32,000,000","261,000,000","-289,000,000","129,000,000","-41,000,000","4,000,000","16,000,000","-5,100,000","-80,700,000","-46,300,000","-22,400,000","90,300,000","-39,300,000","-36,100,000","15,900,000","-168,200,000","122,900,000","107,200,000","140,000,000","15,023,000","-160,418,000","-155,798,000","-66,307,000","140,897,000","-46,060,000","-44,144,000","120,848,000","524,309,000","166,173,000","166,294,000","-506,199,000","348,918,000","-55,793,000","82,828,000","-56,674,000","4,595,000","-125,595,000","104,989,000","-221,482,000","-439,292,000"
			PurchaseOfInvestment,"-17,796,000,000","-5,065,000,000","-5,736,000,000","-4,052,000,000","-2,943,000,000","-3,283,000,000","-2,266,000,000","-1,862,000,000","-4,000,000","-682,000,000","-511,000,000","-399,000,000","-298,000,000","-54,000,000","-642,000,000","-317,000,000","-205,000,000","-334,000,000","-239,000,000","-234,000,000","-297,000,000","-123,000,000","-102,000,000","-109,000,000","-136,000,000","-251,000,000","-427,000,000","-593,000,000","-328,000,000","-346,000,000","-530,000,000","-252,000,000","-28,000,000","-618,000,000","-217,000,000","-159,000,000","-328,000,000","-275,000,000","-342,100,000","-340,600,000","-215,100,000","-268,700,000","-239,800,000","-281,800,000","-345,900,000","-467,500,000","-396,600,000","-505,300,000","-310,800,000","-213,500,000","-398,353,000","-364,901,000","-696,214,000","-469,232,000","-29,618,000","-79,830,000","-296,745,000","-351,061,000","-613,375,000","-945,758,000","-1,677,098,000","-1,933,599,000","-1,486,371,000","-694,225,000","-295,516,000","-488,882,000","-521,005,000","-780,686,000","-817,706,000","-788,730,000","-799,823,000"
			SaleOfInvestment,"9,815,000,000","1,984,000,000","3,692,000,000","2,702,000,000","1,437,000,000","2,231,000,000","871,000,000","1,346,000,000","1,110,000,000","265,000,000","176,000,000","138,000,000","261,000,000","256,000,000","370,000,000","210,000,000","304,000,000","309,000,000","410,000,000","174,000,000","238,000,000","259,000,000","217,000,000","236,000,000","212,000,000","554,000,000","201,000,000","393,000,000","179,000,000","385,000,000","334,000,000","284,000,000","289,000,000","329,000,000","346,000,000","118,000,000","332,000,000","291,000,000","337,000,000","259,900,000","168,800,000","246,300,000","330,100,000","242,500,000","309,800,000","483,400,000","228,400,000","628,200,000","418,000,000","353,500,000","413,376,000","204,483,000","540,416,000","402,925,000","170,515,000","33,770,000","252,601,000","471,909,000","1,137,684,000","1,111,931,000","1,843,392,000","1,427,400,000","1,835,289,000","638,432,000","378,344,000","432,208,000","525,600,000","655,091,000","922,695,000","567,248,000","360,531,000"
		DividendsReceivedCFI,"501,000,000","34,000,000","402,000,000","45,000,000","20,000,000","24,000,000","163,000,000","53,000,000","23,000,000","2,000,000","9,000,000","10,000,000","10,000,000","17,000,000","13,000,000","18,000,000","23,000,000","19,000,000","28,000,000","32,000,000","24,000,000","20,000,000","64,000,000","31,000,000","19,000,000","25,000,000","178,000,000","56,000,000","121,000,000","-2,000,000","16,000,000","13,000,000","13,000,000","7,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherInvestingChanges,,,"-1,000,000","-2,000,000","-4,000,000","-4,000,000","-3,000,000","-4,000,000","-1,000,000","4,000,000","1,000,000","-4,000,000","97,000,000","-102,000,000","1,000,000","2,000,000","-3,000,000","-1,000,000","0","0","-2,000,000","-1,000,000","-3,000,000","-4,000,000",,,"0","-2,000,000","2,000,000","5,000,000","-4,000,000","0","-2,000,000","1,000,000","-2,000,000","0","2,000,000","-3,000,000","-700,000","1,400,000","2,500,000","1,400,000","127,000,000","-700,000","-2,700,000","-700,000","-35,200,000","4,100,000","2,600,000","9,900,000",,"352,000","1,775,000","1,013,000",,"15,933,000","-14,489,000","4,714,000","-975,683,000","67,752,000","-33,888,000","446,090,000","-10,389,000","117,325,000","-159,777,000","135,554,000","14,975,000","186,444,000","-387,393,000","205,287,000","547,403,000"
FinancingCashFlow,"5,478,000,000","1,180,000,000","308,000,000","2,338,000,000","1,652,000,000","702,000,000","526,000,000","793,000,000","929,000,000","-152,000,000","-216,000,000","-122,000,000","80,000,000","-224,000,000","-125,000,000","-123,000,000","-58,000,000","-136,000,000","-104,000,000","-291,000,000","-467,000,000","-137,000,000","-112,000,000","-144,000,000","-125,000,000","-207,000,000","-206,000,000","-173,000,000","295,000,000","-154,000,000","-250,000,000","-183,000,000","-54,000,000","1,574,000,000","467,000,000","-9,000,000","-54,000,000","-64,000,000","-26,200,000","61,600,000","-126,300,000","142,500,000","-120,700,000","-21,700,000","-26,000,000","-36,200,000","26,400,000","4,700,000","-173,600,000","-43,400,000","-58,524,000","-34,640,000","41,661,000","-60,597,000","-105,411,000","82,394,000","-79,969,000","-47,043,000","408,657,000","-165,746,000","-89,257,000","-51,876,000","-254,052,000","-50,759,000","-76,701,000","-54,617,000","-97,457,000","-144,461,000","145,272,000","-31,663,000","-50,980,000"
	CashFlowFromContinuingFinancingActivities,"5,478,000,000","1,180,000,000","308,000,000","2,338,000,000","1,652,000,000","702,000,000","526,000,000","793,000,000","929,000,000","-152,000,000","-216,000,000","-122,000,000","80,000,000","-224,000,000","-125,000,000","-123,000,000","-58,000,000","-136,000,000","-104,000,000","-291,000,000","-467,000,000","-137,000,000","-112,000,000","-144,000,000","-125,000,000","-207,000,000","-206,000,000","-173,000,000","295,000,000","-154,000,000","-250,000,000","-183,000,000","-54,000,000","1,574,000,000","467,000,000","-9,000,000","-54,000,000","-64,000,000","-26,200,000","61,600,000","-126,300,000","142,500,000","-120,700,000","-21,700,000","-26,000,000","-36,200,000","26,400,000","4,700,000","-173,600,000","-43,400,000","-58,524,000","-34,640,000","41,661,000","-60,597,000","-105,411,000","82,394,000","-79,969,000","-47,043,000","408,657,000","-165,746,000","-89,257,000","-51,876,000","-254,052,000","-50,759,000","-76,701,000","-54,617,000","-97,457,000","-144,461,000","145,272,000","-31,663,000","-50,980,000"
