name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
		NetIssuancePaymentsOfDebt,"305,831,000","316,000,000","-50,500,000","56,000,000","-15,669,000","-129,249,000","-39,000,000","3,000,000","-22,237,000","-3,277,000","36,018,000","154,000,000","15,512,000","7,000,000","-19,950,229","0",,,"145,000,000","0","21,000,000","-10,000,000","24,000,000","-12,000,000","15,000,000","-33,000,000","-20,000,000","-18,000,000","40,000,000","40,000,000","70,000,000","30,000,000","60,000,000","63,000,000","30,000,000","45,000,000","71,500,000","15,000,000","56,000,000","68,000,000","122,500,000","107,600,000","54,900,000","15,000,000","0","0","-13,821","-6,779","-2,810,777","1,496,885","-9,003,905","-7,799,985","9,779,910","5,517,691","662,281","-11,468","-519,580","1,519,487","0","0","0","-165,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetLongTermDebtIssuance,"197,831,000","0","213,500,000","0","-15,669,000","139,751,000","0","0","-237,000","-13,277,000","-216,982,000","0","15,512,000","7,000,000","-159,950,229","0",,,"145,000,000","0","21,000,000","-10,000,000","24,000,000","-12,000,000","15,000,000","-33,000,000","0","0","40,000,000","40,000,000","0","0","60,000,000","63,000,000","0","0","71,500,000","15,000,000","1,900,000","68,000,000","122,500,000","107,600,000","54,900,000","15,000,000","0","0","-13,821","-6,779","-2,779,400","2,300,000","-9,000,000","-7,000,000","9,783,585","5,526,354",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtIssuance,"213,500,000","0","213,500,000","0","0","550,000,000","22,000,000","31,000,000","0","25,000,000","0","0","70,000,000","53,000,000","364,369,444","0",,,"306,000,000","6,000,000",,,"34,000,000","3,000,000","26,000,000","0","0","0","250,000,000","50,000,000","0","0","60,000,000","63,000,000","0","0","246,500,000","22,000,000","-109,600,000","87,000,000","60,000,000","262,600,000","58,900,000","21,000,000","0","0","-5,300,000","0","3,000,000","2,300,000","3,750,000","10,000,000","10,000,000","6,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				LongTermDebtPayments,"-15,669,000","0","0","0","-15,669,000","-410,249,000","0","0","-237,000","-13,277,000","-216,982,000","0","-54,488,000","-46,000,000","-574,319,673",,,,"-161,000,000","-6,000,000","-3,000,000","-10,000,000","-10,000,000","-15,000,000","-11,000,000","-33,000,000","-30,000,000","-48,000,000","-210,000,000","-10,000,000","-20,000,000","-10,000,000","0","0","0","0","-175,000,000","-7,000,000","-310,000,000","-19,000,000","62,500,000","-155,000,000","-4,000,000","-6,000,000",,,"5,286,179","-6,779",,,"-12,750,000","-17,000,000","-216,415","-973,646",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetShortTermDebtIssuance,"108,000,000","316,000,000","-264,000,000","56,000,000","0","-269,000,000","-39,000,000","3,000,000","-22,000,000","10,000,000","253,000,000","154,000,000","26,000,000","7,000,000","140,000,000",,,,"-155,000,000","0","21,000,000","-10,000,000","24,000,000","-12,000,000","15,000,000","-33,000,000","-20,000,000","-18,000,000","-150,000,000","40,000,000","70,000,000","30,000,000","60,000,000","63,000,000","30,000,000","45,000,000","-139,000,000","15,000,000",,,,,"0","0","0","0","0","0","-31,377","-803,115","-3,905","-799,985","-3,675","-8,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtIssuance,"879,000,000","434,000,000","126,000,000","129,000,000","190,000,000","109,000,000","22,000,000","31,000,000","0","25,000,000","640,000,000","190,000,000","70,000,000","53,000,000","190,000,000",,,,"6,000,000","6,000,000",,,"34,000,000","3,000,000","26,000,000","0","10,000,000","30,000,000","60,000,000","50,000,000","90,000,000","40,000,000","60,000,000","63,000,000","30,000,000","45,000,000","36,000,000","22,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ShortTermDebtPayments,"-771,000,000","-118,000,000","-390,000,000","-73,000,000","-190,000,000","-378,000,000","-61,000,000","-28,000,000","-22,000,000","-15,000,000","-387,000,000","-36,000,000","-44,000,000","-46,000,000","-50,000,000",,,,"-161,000,000","-6,000,000","-3,000,000","-10,000,000","-10,000,000","-15,000,000","-11,000,000","-33,000,000","-30,000,000","-48,000,000","-210,000,000","-10,000,000","-20,000,000","-10,000,000","0","0","0","0","-175,000,000","-7,000,000",,,,,"0","0","0","0","0","0","-31,377","-803,115","-3,905","-799,985","-3,675","-8,663",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetCommonStockIssuance,"305,177,000","0","209,878,000","0","95,299,000","132,900,000","0","0","0","0","0","0","0","-15,108,000","-21,815,898","-66,008","141,548,884","-188,152",,"0","-134,772","-412,217","-75,929","58,557","-227,311","-1,158,577","-134,965","-12,686","-115,565","-76,362","-1,908,154","-49,763","-274,115","-13,900,382","-188,890","-26,129,312","-20,258","-27,867","-372,833","0","0","-1,173,315",,"0",,,"199,693,406","0",,,"56,307,973","-14,286",,,"0","10,237,854","16,495,804","105,000","-17,061","13,826,063","1,095","1,187,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStockIssuance,"305,177,000","0","209,878,000","0","95,299,000","132,900,000",,,,,"0","0",,,"-35,820","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0",,,"56,307,973","-14,286",,,"0","10,237,854","16,495,804","105,000","-17,061","13,826,063","1,095","1,187,895",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStockPayments,,,,,,,"0","0","0","0","0","0","0","-15,108,000","-21,780,078","-66,008","-160,797","-188,152",,"0","-134,772","-412,217","-75,929","58,557","-227,311","-1,158,577","-134,965","-12,686","-115,565","-76,362","-1,908,154","-49,763","-274,115","-13,900,382","-188,890","-26,129,312","-20,258","-27,867","-372,833","0","0","-1,173,315",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
