name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
			CommonStockIssuance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,374,000","7,749,000","8,904,000","11,011,000","12,381,000","25,646,000","4,939,000","3,195,000","2,093,000","67,785,000","15,250,000","955,000","12,150,000","4,347,000","9,671,000","15,846,000","2,786,000","1,837,000","6,085,000","538,000","1,249,000","1,617,000","572,000","987,000","1,752,000","1,034,000","1,500,000","-1,003,000","54,839,000","633,000","62,222,000","0",,,
			CommonStockPayments,"-38,673,000","-33,994,000","-267,000","-143,000","-4,269,000","-36,028,000","-74,000","-112,000","-118,000","-23,675,000","-47,000","-157,000","-123,000","-17,760,000","-55,000","-123,000","-119,000","-13,549,000","-7,000","-36,082,000","-22,640,000","-48,180,000","-41,000","-28,000","-51,000","-12,147,000","-47,000","-17,945,000","-40,854,000","-58,632,000","-33,000","-20,376,000","-80,797,000","-20,812,000","-74,229,000","-64,804,000","-15,670,000","-11,229,000","-18,347,000","-15,029,000","-15,567,000","-15,246,000","-28,185,000","-64,501,000","-16,644,000","-174,465,000","-106,000","-353,456,000","-70,000","-2,895,000","-127,000","-606,000","-15,593,000","-29,571,000","-25,108,000","-32,075,000","-33,092,000","-24,783,000","-11,303,000","-21,339,000","-2,681,000","-6,294,000","-3,355,000","-75,177,000","-157,660,000","-13,766,000","-14,882,000",,,,,,,,,,,,,,,,,,,,,,,
		CashDividendsPaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-50,000","0","-1,350,000","0","-599,000","-40,000","-1,473,000","0","-40,000","0","-1,862,000","0","0","0","-1,470,000",,,,,,,,
		ProceedsFromStockOptionExercised,"38,239,000","12,199,000","2,338,000","8,016,000","15,686,000","19,612,000","2,780,000","7,198,000","14,000,000","22,608,000","7,564,000","3,129,000","2,021,000","21,832,000","7,429,000","6,032,000","4,155,000","20,041,000","3,781,000","5,134,000","10,232,000","19,723,000","1,554,000","1,820,000","7,309,000","12,514,000","2,780,000","946,000","1,505,000","34,136,000","26,947,000","10,207,000","1,693,000","34,841,000","34,803,000","22,635,000","11,203,000","25,148,000","6,443,000","8,809,000","392,000","2,715,000","51,000","7,861,000","7,474,000","5,239,000",,,,,"449,000","317,000","46,000","7,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NetOtherFinancingCharges,"-17,129,000","-5,226,000","-2,000","-85,000","-11,816,000","-28,680,000","-1,530,000","0","-12,000","-4,405,000","-7,879,000","0","-7,908,000","-2,608,000","-1,440,000","-23,000","-13,382,000","-4,932,000","-1,208,000","-3,200,000","1,000","-451,000","-13,210,000","-13,000","-1,711,000","6,700,000","802,000","-514,000","-3,092,000","10,280,000","1,309,000","280,000","707,000","3,064,000","582,000","-182,000","-2,664,000","1,670,000","405,000","61,000","12,000","462,000","-4,111,000","-2,186,000","814,000","-876,000","-3,526,000","-12,200,000","715,000","1,314,000","0","230,000",,,"85,000","1,466,000","464,000","1,773,000","2,854,000","1,622,000","815,000","467,000","3,589,000","-771,000","-104,896,000","-177,000","-791,000","-90,000","-610,000","-25,000","-7,349,000","0","0","-100,000","0","-5,000",,,"6,123,000","149,000","-6,000","-5,925,000","5,787,000","-2,540,000","186,000","-591,000",,,,
	CashFromDiscontinuedFinancingActivities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"213,000",,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,
CashFlowFromDiscontinuedOperation,,,,,,,,,,,"0","0","0","0","0","-4,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EndCashPosition,"230,879,000","243,396,000","246,314,000","226,505,000","227,490,000","471,025,000","233,119,000","247,423,000","404,042,000","374,453,000","240,046,000","166,720,000","202,586,000","128,306,000","197,318,000","141,876,000","195,365,000","190,400,000","166,331,000","126,153,000","119,020,000","133,827,000","117,626,000","105,722,000","154,585,000","157,375,000","117,947,000","74,032,000","150,807,000","151,919,000","160,023,000","130,747,000","117,012,000","169,850,000","155,927,000","130,454,000","113,521,000","100,422,000","109,685,000","83,224,000","76,076,000","61,031,000","68,905,000","81,220,000","145,831,000","158,745,000","179,160,000","137,433,000","219,077,000","222,199,000","182,574,000","192,198,000","154,806,000","170,233,000","243,592,000","212,851,000","262,438,000","239,876,000","225,449,000","183,497,000","162,050,000","136,537,000","175,380,000","253,504,000","193,067,000","101,456,000","114,821,000","167,705,000","166,549,000","213,059,000","207,566,000","259,406,000","224,153,000","189,746,000","182,331,000","164,316,000","144,341,000","114,014,000","122,509,000","112,389,000","84,712,000","135,398,000","58,271,000","78,303,000","28,416,000","72,399,000","33,129,000","28,008,000","18,993,000","18,458,000"
	ChangesInCash,"-240,146,000","-8,658,000","19,593,000","-1,433,000","-249,648,000","226,953,000","-9,273,000","-162,149,000","29,584,000","134,117,000","70,762,000","-38,989,000","74,635,000","-75,037,000","69,580,000","-62,850,000","13,916,000","19,815,000","38,079,000","4,806,000","-19,910,000","12,228,000","19,225,000","-46,889,000","-8,350,000","38,689,000","46,408,000","-72,253,000","-4,113,000","577,000","35,655,000","18,357,000","-54,681,000","15,144,000","26,501,000","13,761,000","13,911,000","-5,318,000","26,625,000","6,656,000","17,144,000","-8,636,000","-8,564,000","-62,017,000","-12,338,000","-20,229,000","41,615,000","-78,816,000","2,811,000","41,269,000","-7,811,000","29,218,000","-22,742,000","-63,419,000","41,773,000","-36,113,000","22,464,000","7,329,000","42,528,000","11,446,000","22,536,000","-39,473,000","-77,769,000","53,863,000","99,376,000","-13,705,000","-48,206,000","2,842,000","-37,889,000","8,385,000","-56,546,000","34,767,000","36,119,000","7,465,000","11,255,000","19,921,000","29,449,000","-9,040,000","7,763,000","28,068,000","-53,014,000","77,132,000","-18,549,000","48,284,000","-43,850,000","40,722,000","5,172,000","10,694,000","323,000","3,785,000"
	EffectOfExchangeRateChanges,"12,517,000","5,740,000","216,000","448,000","6,113,000","10,953,000","-5,031,000","5,530,000","5,000","290,000","2,564,000","3,123,000","-355,000","6,025,000","-14,138,000","9,361,000","-8,951,000","4,254,000","2,099,000","2,327,000","5,103,000","1,705,000","-7,321,000","-1,974,000","5,560,000","739,000","-2,493,000","-4,522,000","3,001,000","-8,681,000","-6,379,000","-4,622,000","1,843,000","-1,221,000","-1,028,000","3,172,000","-812,000","-3,945,000","-164,000","492,000","-2,099,000","762,000","-3,751,000","-2,594,000","-576,000","-186,000","112,000","-2,828,000","-5,933,000","-1,644,000","-1,813,000","8,174,000","7,315,000","-9,940,000","-11,032,000","-13,474,000","98,000","7,098,000","-576,000","10,001,000","2,977,000","630,000","-354,000","6,574,000","-7,765,000","340,000","-4,678,000","-1,686,000","-8,621,000","-2,892,000","4,706,000","486,000","-1,712,000","-50,000","6,760,000","54,000","878,000","545,000","2,357,000","-391,000","2,328,000","-5,000","-1,483,000","1,603,000","-133,000","-1,452,000","-51,000","-1,679,000","212,000","-337,000"
