name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
			NonCurrentDeferredTaxesLiabilities,"1,675,000","1,726,000","1,295,000","2,167,000","2,054,000","2,810,000","2,134,000","2,424,000","3,118,000","5,133,000","6,172,000","6,440,000","6,086,000","6,949,000","7,001,000","6,935,000","9,113,000","10,087,000","9,602,000",,,,,,,,,,,,,,,
			NonCurrentDeferredRevenue,,"3,500,000",,,,"3,500,000","3,500,000",,,,,,"3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000","3,500,000",,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"639,000","636,000","6,553,000","6,550,000","6,697,000","6,694,000","8,270,000","1,073,000","986,000","899,000","812,000","737,000","637,000",,,,"70,000","70,000","2,160,000","300,000","305,000",,,,,,"594,000","612,000","576,000","621,000","649,000","642,000","1,561,000","847,000"
TotalEquityGrossMinorityInterest,"653,350,000","829,155,000","879,465,000","917,419,000","910,488,000","940,990,000","951,573,000","679,371,000","656,283,000","711,250,000","733,058,000","861,049,000","694,595,000","705,009,000","692,129,000","693,447,000","385,833,000","387,832,000","369,512,000","191,051,000","195,744,000","195,237,000","192,685,000","193,215,000","196,623,000","195,789,000","194,916,000","80,619,000","85,381,000","88,011,000","88,927,000","93,818,000","485,000","6,023,000"
	StockholdersEquity,"653,350,000","829,155,000","879,465,000","917,419,000","910,488,000","940,990,000","951,573,000","679,371,000","656,283,000","711,250,000","733,058,000","861,049,000","694,595,000","705,009,000","692,129,000","693,447,000","385,833,000","387,832,000","369,512,000","191,051,000","195,744,000","195,237,000","192,685,000","193,215,000","196,623,000","195,789,000","194,916,000","80,619,000","85,381,000","88,011,000","88,927,000","93,818,000","485,000","6,023,000"
		CapitalStock,"77,000","76,000","75,000","75,000","74,000","72,000","71,000","64,000","64,000","63,000","63,000","63,000","58,000","58,000","58,000","57,000","53,000","53,000","52,000","48,000","47,000","47,000","47,000","47,000","46,000","46,000","46,000","42,000","41,000","41,000","40,000","40,000","98,142,000","98,055,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,"0","0","0","0","0","0","98,134,000","98,047,000"
			CommonStock,"77,000","76,000","75,000","75,000","74,000","72,000","71,000","64,000","64,000","63,000","63,000","63,000","58,000","58,000","58,000","57,000","53,000","53,000","52,000","48,000","47,000","47,000","47,000","47,000","46,000","46,000","46,000","42,000","41,000","41,000","40,000","40,000","8,000","8,000"
		AdditionalPaidInCapital,"1,645,456,000","1,735,628,000","1,714,647,000","1,688,223,000","1,662,439,000","1,646,574,000","1,629,565,000","1,306,483,000","1,218,632,000","1,197,379,000","1,180,298,000","1,161,321,000","969,143,000","957,631,000","948,070,000","936,664,000","596,529,000","588,289,000","579,422,000","382,609,000","375,549,000","371,455,000","366,694,000","360,466,000","355,538,000","351,324,000","347,051,000","224,523,000","219,656,000","216,818,000","213,718,000","211,272,000","9,242,000","7,817,000"
		RetainedEarnings,"-983,601,000","-890,638,000","-823,377,000","-763,267,000","-741,436,000","-695,872,000","-658,215,000","-605,661,000","-539,494,000","-479,388,000","-434,804,000","-293,692,000","-265,720,000","-244,166,000","-248,998,000","-239,054,000","-220,707,000","-205,836,000","-206,345,000","-191,606,000","-179,852,000","-176,265,000","-174,056,000","-167,298,000","-158,961,000","-155,581,000","-152,181,000","-143,946,000","-134,316,000","-128,848,000","-124,831,000","-117,494,000","-106,899,000","-99,849,000"
