name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005,03/31/2005
			CurrentAccruedExpenses,"50,727,000","48,279,000","53,531,000","51,657,000","42,326,000","40,536,000","39,890,000","38,031,000","23,145,000","20,858,000","12,445,000","11,564,000","5,778,000","5,957,000","5,611,000","4,848,000","4,874,000","8,125,000","7,123,000","5,151,000","3,126,000","4,037,888","2,755,554","1,938,000","4,214,000","8,767,000","19,648,000","17,262,000","15,314,000","14,642,000","16,494,000","15,513,000","15,091,000","12,988,000","10,587,000","7,836,000","6,582,000","6,616,000","5,383,000","4,758,000","4,801,000","7,435,000","6,259,000","5,780,000","5,405,000","6,705,000","6,039,000","5,337,000","5,817,000","6,603,000","6,979,000","8,203,000","16,677,000","15,234,000","15,813,000","11,328,000","8,242,000","9,184,000","8,046,000","9,619,000","7,565,000","6,127,000","7,052,000","8,741,000","10,568,000"
				InterestPayable,,,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"2,715,000","6,769,000","4,970,000","3,583,000","1,749,000","4,686,000","2,883,000","1,917,000","1,124,000","2,779,000","1,936,000",,,,,,,,,,,,,"714,000","1,349,000","3,072,000","2,605,000","2,995,000","2,605,000","3,852,000","2,776,000","2,686,000","2,162,000","3,137,000","2,262,000","1,699,000","1,158,000","3,272,000","1,979,000","1,419,000","1,172,000",,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"413,000","410,000","406,000","403,000","320,000","318,000","315,000","323,000","319,000","315,000","310,000","306,000","302,000",,,,,,,,,,,"32,000","2,332,000","4,650,000","6,956,000","9,250,000","9,263,000","9,256,000","9,249,000","9,241,000","9,302,000","9,493,000","7,389,000","5,314,000","3,092,000","7,937,000","7,913,000","7,891,000","6,067,000","4,246,000","4,633,000","3,124,000","5,646,000","201,000","277,000","1,078,000","1,185,000","1,262,000","1,352,000","1,602,000","1,877,000","2,170,000","2,410,000","2,573,000","2,401,000","2,406,000","2,468,000","2,440,000","2,448,000","2,330,000","2,269,000","1,915,000","750,000"
			CurrentDebt,,,,,,,,,,,,,,,,,,,,,,,,"10,000","2,299,000","4,607,000","6,913,000","9,207,000","9,221,000","9,214,000","9,207,000","9,200,000","9,261,000","9,451,000","7,385,000","5,306,000","3,081,000","7,924,000","7,900,000","7,878,000","6,055,000","4,234,000","4,613,000","3,093,000","5,529,000",,,,,,,,,"2,170,000","2,410,000","2,573,000","2,401,000","2,406,000","2,468,000","2,440,000","2,448,000","2,330,000","2,269,000","1,915,000","750,000"
				OtherCurrentBorrowings,,,,,,,,,,,,,,,,,,,,,,,,"10,000","2,299,000","4,607,000","6,913,000","9,207,000","9,221,000","9,214,000","9,207,000","9,200,000","9,261,000","9,451,000","7,385,000","5,306,000","3,081,000","7,924,000","7,900,000","7,878,000","6,055,000","4,234,000","4,613,000","3,093,000","5,529,000",,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"413,000","410,000","406,000","403,000","320,000","318,000","315,000","323,000","319,000","315,000","310,000","306,000","302,000",,,,,,,,,,,"22,000","33,000","43,000","43,000","43,000","42,000","42,000","42,000","41,000","41,000","42,000","4,000","8,000","11,000","13,000","13,000","13,000","12,000","12,000","20,000","31,000","117,000","201,000","277,000","1,078,000","1,185,000","1,262,000","1,352,000","1,602,000","1,877,000",,,,,,,,,,,,
		CurrentDeferredLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,303,000","4,446,000","4,572,000","4,572,000","4,572,000","4,572,000","4,573,000","4,647,000","4,892,000","120,599,000","13,782,000","12,588,000","7,017,000","5,351,000","5,351,000","5,351,000",,,"457,000","457,000","457,000","457,000","457,000"
			CurrentDeferredRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","3,303,000","4,446,000","4,572,000","4,572,000","4,572,000","4,572,000","4,573,000","4,647,000","4,892,000","120,599,000","13,782,000","12,588,000","7,017,000","5,351,000","5,351,000","5,351,000",,,"457,000","457,000","457,000","457,000","457,000"
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,,,,"0",,,,,,"718,000","564,000",,,,,"3,333,000","1,667,000",,,,"0",,,,"0",,,"1,343,000","1,340,000","1,831,000",,"0",,"0",
