name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012
BasicEPS,,"-1.4",,"-2.44","-1.56","-1.34",,"-1.05","-0.73","-0.72",,"-0.38",,"-0.36","-1.12","-1.08",,"-1.04","-0.44","-0.32",,"-0.64","-0.36","-0.56",,"-0.6","-0.88","1.72",,"-1","2.2","-14.6","0","0",,"0","0","0",,"0","0"
DilutedEPS,,"-1.4",,"-2.44","-1.56","-1.34",,"-1.05","-0.73","-0.72",,"-0.38",,"-0.36","-1.12","-1.08",,"-1.04","-0.44","-0.32",,"-0.64","-0.36","-0.56",,"-0.6","-0.88","1.44",,"-1","1.6","-14.6","0","0",,"0","0","0",,"0","0"
BasicAverageShares,,"28,392,601",,"17,478,477","17,054,646","16,572,672",,"16,044,670","15,323,051","14,738,230",,"9,761,188",,"7,509,492","6,395,980","3,137,467",,"3,136,905","3,136,794","3,133,210",,"3,008,978","3,008,978","3,008,833",,"3,000,947","2,855,044","2,701,018",,"2,684,832","2,537,626","2,036,357","1,425,000","1,425,000",,"1,175,000","1,175,000","1,175,000",,"705,163","700,000"
DilutedAverageShares,,"28,392,601",,"17,478,477","17,054,646","16,572,672",,"16,044,670","15,323,051","14,738,230",,"9,761,188",,"7,509,492","6,395,980","3,137,467",,"3,136,905","3,136,794","3,133,210",,"3,008,978","3,008,978","3,008,833",,"3,000,947","2,855,044","3,234,346",,"2,684,832","3,521,851","2,036,357","1,425,000","1,425,000",,"1,175,000","1,175,000","1,175,000",,"705,163","700,000"
TotalOperatingIncomeAsReported,"-141,595,712","-38,297,423","-34,182,774","-42,653,635","-26,461,880","-22,405,203","-20,923,451","-17,183,582","-12,757,202","-9,974,438","-4,564,195","-3,707,410","-4,135,702","-2,702,004","-3,478,984","-2,411,230","-1,930,123","-2,549,911","-1,456,585","-980,856","-1,782,884","-2,282,952","-1,536,401","-1,616,596","-3,102,473","-2,747,088","-5,722,313","-4,629,599","-4,423,992","-4,567,829","-4,384,882","-3,722,577","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
TotalExpenses,"141,595,712","38,297,423","34,182,774","42,653,635","26,461,880","22,405,203","20,923,451","17,183,582","12,757,202","9,974,438","4,564,195","3,707,410","4,135,702","2,702,004","3,478,984","2,411,230","1,930,123","2,549,911","1,456,585","980,856","1,782,884","2,282,952","1,536,401","1,616,596","3,102,473","2,747,088","5,722,313","4,629,599","4,423,992","4,567,829","4,384,882","3,722,577","3,806","16,224","12,364","20,119","6,492","11,169","10,144","2,881","6,152"
NetIncomeFromContinuingAndDiscontinuedOperation,"-143,282,411","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-7,129,310","-3,380,093","-3,349,932","-3,201,884","-1,427,350","-981,686","-1,633,617","-1,981,494","-1,030,829","-1,640,581","-3,317,391","-1,859,780","-2,460,662","4,663,142","6,042,436","-2,462,961","5,455,377","-29,838,448","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
NormalizedIncome,"-140,486,660","-37,967,474","-34,024,126","-42,355,987","-26,139,073","-21,985,229","-20,699,183","-16,820,282","-12,353,198","-9,566,786","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-3,618,749","-3,061,552","-2,560,489","-2,947,022","-1,768,456","-975,984","-1,737,194","-2,225,569","-1,479,870","-1,560,538","-2,970,308","-2,746,310","-5,722,642","-912,861.4","-236,939.6","-4,565,526","-938,186.8","-3,723,728","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-126"
InterestIncome,"1,109,052","329,949",,,"322,807","419,974",,"363,300","404,004","407,652","37,147","37,916",,"15,939","-139,765","-650,322",,"-397,111","-311,871","2,522",,,,,,,"843","1,044","1,233","2,428","5,105","2,117",,,,,,,,,
InterestExpense,,,,,,,,,,,,,,,,"650,322",,,,,,"473","378","851",,,"1,172","1,642","431","125","1,098","3,268",,,,,,,,,
NetInterestIncome,"1,109,052","329,949","158,648","297,648","322,807","419,974","224,268","363,300","404,004","407,652","37,147","37,916","13,110","15,939","-139,765","-650,322","-630,366","-397,111","-311,871","2,522","206","473","-378","-851","1,896","778","-329","-598","802","2,303","4,007","-1,151",,,,,,,,,
EBIT,"-141,595,712","-38,297,423","-34,182,774","-42,653,635","-26,461,880","-22,405,203","-20,923,451","-17,183,582","-12,757,202","-9,974,438","-4,564,195","-3,707,410","-306,600","-2,702,004","-3,478,984","-2,729,771","-1,930,123","-2,549,911","-1,456,585","-980,856","-1,782,884","-2,282,952","-1,536,401","-1,616,596","-3,102,473","-2,747,088","-2,459,490","4,664,784","6,042,867","-2,462,836","5,456,475","-29,835,180","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-126"
EBITDA,"-141,595,260"
ReconciledCostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","685","1,686","0","322","1,864","1,850","998","292","4,509"
ReconciledDepreciation,"452","0","0","0","452","806","823","854","1,029","1,046","1,100","1,100","1,088","1,075","1,302","1,405","929","568","582","548","18,259","23,268","23,581","20,163","21,341","27,570","2,955","2,953","3,307","2,448","-93","3,594","150","150","150",,,,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-143,282,411","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-7,129,310","-3,380,093","-3,349,932","-3,201,884","-1,427,350","-981,686","-1,633,617","-1,981,494","-1,030,829","-1,640,581","-3,317,391","-1,859,780","-2,460,662","4,663,142","6,042,436","-2,462,961","5,455,377","-29,838,448","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
TotalUnusualItemsExcludingGoodwill,"-2,795,751","-1,778,309","-354,367","-250,204","-412,871","-229,952","-62,947","-82,225","1,234,757","-1,106,530",,,"0","0","-3,510,561","-318,541","-789,443","-254,862","341,106","-5,702","103,577","244,075","449,041","-80,043","-347,083","886,530","3,261,980","9,293,339","10,465,626","2,102,565","9,836,252","-26,114,720","0","0","0","0","0","0","0","0","-377"
TotalUnusualItems,"-2,795,751","-1,778,309","-354,367","-250,204","-412,871","-229,952","-62,947","-82,225","1,234,757","-1,106,530",,,"0","0","-3,510,561","-318,541","-789,443","-254,862","341,106","-5,702","103,577","244,075","449,041","-80,043","-347,083","886,530","3,261,980","9,293,339","10,465,626","2,102,565","9,836,252","-26,114,720","0","0","0","0","0","0","0","0","-377"
NormalizedEBITDA,"-138,799,509","-36,519,114","-33,828,407","-42,403,431","-26,048,557","-22,174,445","-20,859,681","-17,100,503","-13,990,930","-8,866,862","-4,563,095","-3,706,310","-305,512","-2,700,929","32,879","-2,409,825","-1,139,751","-2,294,481","-1,797,109","-974,606","-1,868,202","-2,503,759","-1,961,861","-1,516,390","-2,734,049","-3,606,048","-5,718,515","-4,625,602","-4,419,452","-4,562,953","-4,379,777","-3,716,866","-2,974","-14,224","-12,214","-19,485","-4,146","-9,020","-8,629","-2,481","251"
TaxRateForCalcs,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4","0.4","0","0.35","0","0","0","0","0","0","0","0","0","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,717,335.6","4,186,250.4","0","3,442,688.2","0","0","0","0","0","0","0","0","0","0"
